,beats,piano,bass,drums,metre_auto
0,0.02,0.03,,0.01,1.0
1,0.24,,0.22,,2.0
2,0.47,0.49,,0.46,3.0
3,0.68,,,0.69,4.0
4,0.91,0.91,,0.91,1.0
5,1.1,,,1.1,2.0
6,1.32,,1.31,1.33,3.0
7,1.51,1.5,1.51,1.52,4.0
8,1.73,,1.74,1.73,1.0
9,1.95,,1.95,1.96,2.0
10,2.17,2.21,2.17,2.17,3.0
11,2.37,,2.37,2.39,4.0
12,2.59,2.63,2.59,2.59,1.0
13,2.82,2.83,,2.82,2.0
14,3.03,,3.01,3.03,3.0
15,3.23,3.28,3.23,3.24,4.0
16,3.44,,3.44,3.44,1.0
17,3.65,3.7,3.65,3.66,2.0
18,3.88,3.91,3.9,3.87,3.0
19,4.08,,4.09,4.08,4.0
20,4.3,,4.32,4.3,1.0
21,4.51,4.52,4.52,4.5,2.0
22,4.74,4.75,4.76,,3.0
23,4.93,,4.91,4.94,4.0
24,5.16,5.17,5.16,5.15,1.0
25,5.35,,5.35,5.36,2.0
26,5.57,,5.59,5.57,3.0
27,5.78,,5.78,5.78,4.0
28,5.99,6.04,6.0,5.99,1.0
29,6.2,,6.21,6.18,2.0
30,6.42,6.47,6.43,6.42,3.0
31,6.63,6.68,6.63,6.62,4.0
32,6.85,6.87,6.86,6.84,1.0
33,7.06,,7.06,7.06,2.0
34,7.27,7.32,7.27,7.27,3.0
35,7.47,,7.46,7.48,4.0
36,7.68,,7.7,7.68,1.0
37,7.9,7.95,7.89,7.9,2.0
38,8.12,8.15,8.13,8.11,3.0
39,8.34,,8.34,,4.0
40,8.54,8.54,8.54,8.54,1.0
41,8.74,8.75,8.74,8.75,2.0
42,8.95,8.96,8.95,8.95,3.0
43,9.17,,,9.17,4.0
44,9.38,9.41,9.38,9.38,1.0
45,9.58,,9.58,9.58,2.0
46,9.79,9.84,9.79,9.79,3.0
47,9.98,,9.98,10.0,4.0
48,10.21,,10.2,10.21,1.0
49,10.42,10.45,10.42,10.41,2.0
50,10.64,10.67,10.65,,3.0
51,10.83,,,10.83,4.0
52,11.06,11.1,11.06,11.06,1.0
53,11.26,,11.25,11.27,2.0
54,11.48,11.51,11.46,11.48,3.0
55,11.69,11.72,11.69,11.68,4.0
56,11.89,11.93,,11.89,1.0
57,12.1,12.13,12.1,12.1,2.0
58,12.31,12.35,12.33,12.31,3.0
59,12.52,12.56,,12.52,4.0
60,12.74,,12.74,12.74,1.0
61,12.95,12.95,12.94,12.96,2.0
62,13.16,13.18,13.16,13.16,3.0
63,13.37,,13.37,13.37,4.0
64,13.57,13.58,13.58,13.57,1.0
65,13.78,,13.78,13.77,2.0
66,14.01,14.01,13.99,14.01,3.0
67,14.2,,,14.2,4.0
68,14.43,14.44,14.42,14.43,1.0
69,14.62,14.62,14.63,14.61,2.0
70,14.83,14.88,,14.83,3.0
71,15.05,15.08,15.05,15.05,4.0
72,15.26,15.3,,15.26,1.0
73,15.47,15.51,15.46,15.48,2.0
74,15.7,15.74,15.7,15.7,3.0
75,15.9,15.95,,15.9,4.0
76,16.12,16.12,16.12,16.12,1.0
77,16.32,16.37,,16.33,2.0
78,16.53,16.56,16.52,16.53,3.0
79,16.73,16.78,16.75,,4.0
80,16.96,16.96,16.95,16.96,1.0
81,17.15,17.2,17.16,17.15,2.0
82,17.37,17.41,,17.37,3.0
83,17.56,,,17.56,4.0
84,17.77,17.81,17.77,17.77,1.0
85,17.98,18.0,17.99,17.98,2.0
86,18.19,,18.2,18.19,3.0
87,18.39,18.42,18.4,18.39,4.0
88,18.62,18.63,18.61,18.63,1.0
89,18.82,18.83,18.83,,2.0
90,19.03,19.06,19.04,19.04,3.0
91,19.25,,19.23,19.25,4.0
92,19.46,19.48,19.44,19.47,1.0
93,19.66,19.65,,19.67,2.0
94,19.88,19.88,19.88,19.89,3.0
95,20.08,20.1,,20.08,4.0
96,20.3,20.3,,,1.0
97,20.51,20.52,20.52,20.51,2.0
98,20.73,20.75,20.72,20.74,3.0
99,20.95,20.95,,20.95,4.0
100,21.17,21.17,21.15,21.17,1.0
101,21.36,21.39,21.36,21.37,2.0
102,21.58,21.58,21.59,21.59,3.0
103,21.8,21.79,,21.8,4.0
104,22.01,22.03,22.01,22.01,1.0
105,22.21,,22.2,22.21,2.0
106,22.43,22.43,22.42,22.44,3.0
107,22.63,22.62,22.63,22.64,4.0
108,22.85,22.86,22.84,22.85,1.0
109,23.07,23.08,,23.08,2.0
110,23.28,23.27,23.28,23.31,3.0
111,23.47,23.47,23.46,23.51,4.0
112,23.69,23.68,23.69,23.72,1.0
113,23.91,,23.9,23.92,2.0
114,24.14,24.16,24.14,24.13,3.0
115,24.35,24.39,24.33,24.35,4.0
116,24.56,24.59,24.56,24.55,1.0
117,24.76,24.8,24.77,24.76,2.0
118,24.99,,24.99,24.99,3.0
119,25.19,25.22,25.18,25.19,4.0
120,25.41,25.41,25.42,25.41,1.0
121,25.63,,,25.63,2.0
122,25.83,25.83,25.83,25.84,3.0
123,26.04,26.04,26.02,26.05,4.0
124,26.25,,,26.25,1.0
125,26.46,26.49,,26.46,2.0
126,26.68,,26.69,26.68,3.0
127,26.88,26.91,26.86,26.88,4.0
128,27.09,,27.1,27.09,1.0
129,27.31,27.33,27.31,27.32,2.0
130,27.52,,27.53,27.52,3.0
131,27.73,27.77,27.72,27.74,4.0
132,27.96,27.98,27.98,27.96,1.0
133,28.16,28.19,28.15,28.16,2.0
134,28.39,28.41,28.39,28.39,3.0
135,28.59,28.61,28.57,28.6,4.0
136,28.81,28.82,28.81,28.81,1.0
137,29.01,29.03,,29.0,2.0
138,29.23,29.24,,29.23,3.0
139,29.42,,29.46,29.42,4.0
140,29.65,29.65,29.63,29.64,1.0
141,29.85,29.88,29.85,29.85,2.0
142,30.07,30.09,30.1,30.07,3.0
143,30.27,30.29,30.27,,4.0
144,30.49,,,,1.0
145,30.71,30.71,30.7,30.71,2.0
146,30.92,30.93,30.92,30.92,3.0
147,31.13,31.15,31.12,31.13,4.0
148,31.36,31.36,31.35,31.35,1.0
149,31.55,,31.55,31.53,2.0
150,31.78,31.8,31.79,31.78,3.0
151,31.99,32.01,,31.99,4.0
152,32.21,32.23,32.21,32.21,1.0
153,32.4,32.44,32.4,32.39,2.0
154,32.63,32.63,32.63,32.65,3.0
155,32.84,,32.82,32.84,4.0
156,33.06,33.09,33.04,33.07,1.0
157,33.25,33.29,33.25,33.25,2.0
158,33.47,33.47,33.48,33.46,3.0
159,33.67,,,33.67,4.0
160,33.89,33.89,,33.9,1.0
161,34.09,,34.07,34.09,2.0
162,34.31,34.34,34.31,34.3,3.0
163,34.51,,34.49,34.52,4.0
164,34.73,34.77,34.73,34.72,1.0
165,34.95,34.99,34.94,34.95,2.0
166,35.17,35.18,35.17,35.17,3.0
167,35.36,,35.35,35.37,4.0
168,35.59,35.64,35.58,35.59,1.0
169,35.8,35.83,35.78,35.79,2.0
170,36.02,36.04,36.03,36.02,3.0
171,36.23,36.27,,36.23,4.0
172,36.45,,36.45,36.45,1.0
173,36.66,36.67,36.66,36.65,2.0
174,36.85,36.89,36.86,36.85,3.0
175,37.07,,37.07,,4.0
176,37.3,37.33,,,1.0
177,37.52,37.54,37.5,37.54,2.0
178,37.74,37.77,37.74,37.74,3.0
179,37.94,37.98,37.93,37.94,4.0
180,38.16,,38.16,38.16,1.0
181,38.36,38.39,38.36,38.36,2.0
182,38.59,38.59,38.59,38.59,3.0
183,38.78,38.8,38.79,38.78,4.0
184,39.01,,39.02,39.02,1.0
185,39.22,39.21,39.2,39.22,2.0
186,39.43,,39.43,39.44,3.0
187,39.62,,39.64,39.62,4.0
188,39.85,39.87,39.85,39.86,1.0
189,40.07,,40.07,40.07,2.0
190,40.29,40.29,40.27,40.28,3.0
191,40.48,,40.47,40.48,4.0
192,40.71,,,,1.0
193,40.92,40.96,,40.92,2.0
194,41.13,41.14,,41.13,3.0
195,41.33,41.37,,41.33,4.0
196,41.54,41.57,,41.54,1.0
197,41.75,41.76,41.75,41.76,2.0
198,41.97,41.97,41.98,41.96,3.0
199,42.18,42.18,,42.18,4.0
200,42.39,42.41,42.4,42.38,1.0
201,42.59,42.6,42.59,42.59,2.0
202,42.81,42.83,,42.81,3.0
203,43.01,,43.01,43.01,4.0
204,43.24,43.26,43.24,43.24,1.0
205,43.43,43.48,43.43,43.44,2.0
206,43.66,43.68,43.67,43.66,3.0
207,43.86,,,43.86,4.0
208,44.07,44.06,,,1.0
209,44.27,44.26,44.27,44.29,2.0
210,44.49,,44.48,44.49,3.0
211,44.7,44.73,44.71,44.7,4.0
212,44.91,44.93,44.91,44.91,1.0
213,45.12,45.15,,45.12,2.0
214,45.34,45.38,,45.35,3.0
215,45.55,45.56,,45.55,4.0
