,beats,piano,bass,drums,metre_auto
0,0.35,0.31,,0.31,1.0
1,0.72,0.7,0.7,0.7,2.0
2,1.09,1.11,1.09,1.09,3.0
3,1.47,1.5,1.47,1.47,4.0
4,1.85,1.89,1.85,1.84,1.0
5,2.22,2.24,2.24,2.24,2.0
6,2.59,,2.63,2.63,3.0
7,2.94,2.93,3.01,3.01,4.0
8,3.29,3.29,,3.3,1.0
9,3.62,,3.68,,2.0
10,3.97,,,,3.0
11,4.32,,,,4.0
12,4.69,,,,1.0
13,5.02,,,,2.0
14,5.37,,,5.34,3.0
15,5.74,5.74,5.71,5.73,4.0
16,6.11,,6.11,6.1,1.0
17,6.48,,6.48,6.48,2.0
18,6.87,6.89,6.87,6.87,3.0
19,7.24,7.27,7.24,7.25,4.0
20,7.59,7.65,7.6,7.64,1.0
21,7.94,7.96,7.9,7.93,2.0
22,8.29,8.33,,8.3,3.0
23,8.62,,,8.69,4.0
24,8.97,,,,1.0
25,9.32,,,,2.0
26,9.69,,,,3.0
27,10.04,,,,4.0
28,10.37,10.34,,,1.0
29,10.72,10.71,10.71,10.69,2.0
30,11.11,11.11,,11.08,3.0
31,11.46,11.51,11.44,11.46,4.0
32,11.83,,11.81,11.86,1.0
33,12.2,,12.19,12.2,2.0
34,12.58,,12.57,12.58,3.0
35,12.94,12.96,12.93,12.96,4.0
36,13.31,13.36,13.31,13.34,1.0
37,13.7,13.73,13.69,13.71,2.0
38,14.07,14.09,14.08,14.1,3.0
39,14.44,,14.45,14.47,4.0
40,14.81,14.88,14.82,14.85,1.0
41,15.18,15.25,15.2,15.21,2.0
42,15.53,15.5,15.57,15.59,3.0
43,15.87,15.87,15.95,15.95,4.0
44,16.23,16.24,,16.23,1.0
45,16.58,16.61,,,2.0
46,16.91,,,16.99,3.0
47,17.26,,,,4.0
48,17.61,,,,1.0
49,17.96,,,,2.0
50,18.31,,,,3.0
51,18.66,18.62,,,4.0
52,19.01,,18.97,,1.0
53,19.36,19.42,19.34,19.35,2.0
54,19.73,19.74,19.71,19.72,3.0
55,20.1,20.14,20.09,20.08,4.0
56,20.47,20.51,20.46,20.45,1.0
57,20.85,20.87,20.84,20.86,2.0
58,21.21,,21.18,21.22,3.0
59,21.58,21.63,21.57,21.59,4.0
60,21.96,21.99,21.96,21.96,1.0
61,22.33,,22.34,22.33,2.0
62,22.7,22.72,22.7,22.7,3.0
63,23.07,,23.07,23.07,4.0
64,23.44,23.48,23.45,23.43,1.0
65,23.8,23.86,23.79,23.81,2.0
66,24.18,24.25,24.16,24.18,3.0
67,24.55,24.63,24.55,,4.0
68,24.93,24.91,24.93,24.92,1.0
69,25.3,25.34,25.3,25.3,2.0
70,25.67,,25.69,25.68,3.0
71,26.04,26.07,26.06,26.06,4.0
72,26.4,,26.45,26.44,1.0
73,26.73,26.72,,26.72,2.0
74,27.1,27.1,,27.1,3.0
75,27.45,27.47,,27.45,4.0
76,27.78,,,,1.0
77,28.13,,,28.21,2.0
78,28.49,,,,3.0
79,28.85,,,,4.0
80,29.18,29.16,,,1.0
81,29.53,29.55,,,2.0
82,29.88,29.93,,,3.0
83,30.24,30.28,,30.22,4.0
84,30.61,30.63,30.58,30.58,1.0
85,30.98,30.98,30.94,30.96,2.0
86,31.35,31.41,31.32,31.33,3.0
87,31.72,31.76,31.69,31.71,4.0
88,32.09,32.12,32.06,32.08,1.0
89,32.46,32.47,32.45,32.45,2.0
90,32.83,32.84,32.81,32.84,3.0
91,33.2,33.22,33.18,33.2,4.0
92,33.57,33.6,33.55,33.58,1.0
93,33.94,,33.93,33.94,2.0
94,34.31,34.32,34.31,34.33,3.0
95,34.69,34.7,34.68,34.7,4.0
96,35.05,35.07,35.05,35.07,1.0
97,35.42,35.43,35.43,35.42,2.0
98,35.8,35.81,35.8,35.81,3.0
99,36.17,36.16,36.18,36.17,4.0
100,36.53,36.52,36.53,,1.0
101,36.9,36.9,36.89,36.91,2.0
102,37.28,,37.28,37.28,3.0
103,37.65,37.73,37.64,37.66,4.0
104,38.03,38.11,38.01,38.04,1.0
105,38.4,,38.39,38.41,2.0
106,38.77,,38.78,38.78,3.0
107,39.14,39.22,39.13,39.15,4.0
108,39.51,,39.51,39.55,1.0
109,39.88,39.9,39.89,39.89,2.0
110,40.25,40.29,40.26,40.26,3.0
111,40.62,40.63,40.6,40.62,4.0
112,40.99,,41.0,40.98,1.0
113,41.36,41.38,41.37,41.37,2.0
114,41.73,41.77,41.73,41.74,3.0
115,42.09,42.13,42.08,42.09,4.0
