,beats,piano,bass,drums,metre_auto
0,0.22,,,0.21,2.0
1,0.55,,0.53,0.57,3.0
2,0.88,0.93,0.91,0.88,1.0
3,1.22,,1.22,1.21,2.0
4,1.56,,1.52,1.57,3.0
5,1.91,1.89,,1.91,1.0
6,2.25,,,2.22,2.0
7,2.57,,2.56,2.57,3.0
8,2.9,2.92,,2.9,1.0
9,3.24,,3.25,3.24,2.0
10,3.57,,3.58,3.57,3.0
11,3.92,,3.92,3.92,1.0
12,4.26,,4.26,,2.0
13,4.6,,4.59,4.61,3.0
14,4.95,4.96,4.95,4.93,1.0
15,5.26,,,5.26,2.0
16,5.62,,,,3.0
17,5.93,6.0,5.94,5.93,1.0
18,6.3,,6.32,,2.0
19,6.63,,6.65,,3.0
20,6.95,6.98,,6.94,1.0
21,7.29,7.29,,7.29,2.0
22,7.62,7.63,,7.62,3.0
23,7.97,7.94,7.97,7.97,1.0
24,8.29,8.29,,8.29,2.0
25,8.63,8.67,8.69,8.63,3.0
26,8.94,8.93,8.92,8.95,1.0
27,9.27,9.29,,9.27,2.0
28,9.61,9.63,,9.61,3.0
29,9.95,,,9.95,1.0
30,10.3,10.31,,,2.0
31,10.62,10.65,,10.61,3.0
32,10.94,10.99,10.94,10.94,1.0
33,11.3,11.31,,11.28,2.0
34,11.64,11.65,,11.64,3.0
35,11.99,11.98,12.01,11.95,1.0
36,12.33,12.34,,12.29,2.0
37,12.66,12.68,,,3.0
38,12.98,12.98,13.03,12.97,1.0
39,13.32,13.34,,13.39,2.0
40,13.65,13.68,,,3.0
41,13.96,13.92,13.96,13.96,1.0
42,14.3,,,14.3,2.0
43,14.64,,14.6,14.65,3.0
44,14.97,,14.97,14.99,1.0
45,15.29,15.28,15.3,15.32,2.0
46,15.61,15.6,15.58,,3.0
47,15.95,15.93,,15.95,1.0
48,16.27,16.24,,16.27,2.0
49,16.6,16.56,,16.58,3.0
50,16.93,16.9,16.96,16.93,1.0
51,17.26,17.31,,17.26,2.0
52,17.6,,,17.6,3.0
53,17.94,17.99,17.97,17.93,1.0
54,18.3,18.32,18.3,18.26,2.0
55,18.63,18.68,,,3.0
56,18.96,,18.98,18.93,1.0
57,19.27,,,19.25,2.0
58,19.6,,19.65,19.6,3.0
59,19.95,19.95,19.98,19.92,1.0
60,20.28,20.34,20.29,20.25,2.0
61,20.6,20.67,20.6,20.6,3.0
62,20.94,,20.94,20.94,1.0
63,21.28,,,21.26,2.0
64,21.65,21.65,,21.62,3.0
65,21.99,,22.0,,1.0
66,22.33,,22.33,,2.0
67,22.65,,,22.63,3.0
68,22.97,,22.98,22.97,1.0
69,23.34,23.34,,,2.0
70,23.67,23.66,23.72,,3.0
71,24.03,24.02,24.03,,1.0
72,24.36,24.37,24.38,24.44,2.0
73,24.69,24.69,24.7,24.65,3.0
74,25.0,25.04,25.02,24.99,1.0
75,25.33,25.34,,25.34,2.0
76,25.67,,,,3.0
77,26.0,26.06,26.02,26.0,1.0
78,26.32,,26.3,26.3,2.0
79,26.67,,26.68,,3.0
80,27.0,27.04,,27.0,1.0
81,27.34,27.36,27.35,27.34,2.0
82,27.69,27.71,27.69,27.7,3.0
83,28.03,28.04,28.03,28.03,1.0
84,28.38,28.38,28.38,28.36,2.0
85,28.71,28.71,28.71,,3.0
86,29.05,29.05,29.13,29.04,1.0
87,29.41,29.41,29.42,29.4,2.0
88,29.76,29.76,,,3.0
89,30.12,30.12,30.13,30.08,1.0
90,30.45,,30.44,30.43,2.0
91,30.82,,,,3.0
92,31.17,31.18,31.18,,1.0
93,31.5,31.5,31.47,,2.0
94,31.82,,31.81,,3.0
95,32.16,32.23,32.16,,1.0
96,32.5,32.52,32.5,,2.0
97,32.83,32.83,32.83,32.86,3.0
98,33.16,33.18,33.16,33.12,1.0
99,33.47,,33.49,33.47,2.0
100,33.81,,33.83,33.8,3.0
101,34.14,,34.15,34.14,1.0
102,34.48,,34.47,34.48,2.0
103,34.83,,34.83,,3.0
104,35.17,,35.18,35.16,1.0
105,35.48,,35.5,35.48,2.0
106,35.82,,35.83,35.81,3.0
107,36.16,,36.18,36.16,1.0
108,36.5,,36.5,36.5,2.0
109,36.84,,36.84,36.83,3.0
110,37.19,37.26,37.2,,1.0
111,37.52,37.59,37.52,37.5,2.0
112,37.85,37.92,37.84,37.85,3.0
113,38.18,,38.19,38.17,1.0
114,38.52,,38.53,38.5,2.0
115,38.87,,38.88,38.85,3.0
116,39.21,39.24,39.21,39.18,1.0
117,39.53,,39.53,39.52,2.0
118,39.9,39.9,39.92,39.87,3.0
119,40.24,40.25,40.23,,1.0
120,40.55,40.53,40.56,40.55,2.0
121,40.89,,40.89,40.88,3.0
122,41.23,41.23,41.23,41.23,1.0
123,41.57,,41.56,41.57,2.0
124,41.89,,41.89,41.89,3.0
125,42.26,42.27,,,1.0
126,42.59,,42.58,42.58,2.0
127,42.92,,42.91,42.92,3.0
128,43.27,43.3,43.25,43.27,1.0
129,43.62,,43.63,43.59,2.0
130,43.98,,43.98,,3.0
131,44.31,44.31,44.31,44.28,1.0
132,44.62,,44.63,44.62,2.0
133,44.97,,44.98,44.96,3.0
134,45.32,45.34,45.31,45.31,1.0
135,45.63,,45.66,45.62,2.0
136,45.98,,45.99,,3.0
137,46.29,,,46.29,1.0
138,46.62,,46.6,46.63,2.0
139,46.96,,46.99,46.95,3.0
140,47.3,,47.37,47.3,1.0
141,47.64,47.62,,47.64,2.0
142,47.95,47.94,,,3.0
143,48.28,48.27,48.31,48.29,1.0
144,48.63,48.63,,48.63,2.0
145,48.96,48.95,48.99,48.96,3.0
146,49.31,,49.32,49.3,1.0
147,49.66,,49.67,,2.0
148,50.01,50.05,50.01,,3.0
149,50.33,50.39,50.32,50.31,1.0
150,50.68,50.76,50.69,50.65,2.0
151,51.0,,50.98,51.01,3.0
152,51.33,51.41,51.34,51.33,1.0
153,51.67,51.74,51.66,51.66,2.0
154,52.01,,,52.01,3.0
155,52.35,52.42,52.35,52.35,1.0
156,52.69,,52.65,52.7,2.0
157,53.02,,53.01,53.02,3.0
158,53.37,53.4,53.38,53.37,1.0
159,53.7,53.77,53.7,53.7,2.0
160,54.04,54.05,54.05,54.05,3.0
161,54.37,54.44,,54.37,1.0
162,54.71,54.78,,54.71,2.0
163,55.05,55.05,55.06,,3.0
164,55.4,55.48,,55.4,1.0
165,55.72,55.71,,55.73,2.0
166,56.06,,,56.06,3.0
167,56.39,,56.38,56.39,1.0
168,56.73,,56.77,56.73,2.0
169,57.08,,57.09,,3.0
170,57.41,57.37,57.48,57.41,1.0
171,57.78,57.82,57.8,57.74,2.0
172,58.12,58.18,58.12,58.13,3.0
173,58.46,,58.46,58.46,1.0
174,58.82,58.88,58.81,,2.0
175,59.15,59.22,59.15,59.15,3.0
176,59.48,59.55,59.48,59.47,1.0
177,59.82,59.88,59.82,59.81,2.0
178,60.17,60.18,60.17,60.17,3.0
179,60.5,60.55,60.52,60.49,1.0
180,60.83,60.8,60.84,60.83,2.0
181,61.17,61.21,61.19,61.17,3.0
182,61.54,,61.54,61.5,1.0
183,61.89,,61.9,,2.0
184,62.23,62.3,62.24,62.2,3.0
185,62.54,62.5,62.56,62.53,1.0
186,62.9,62.92,62.89,,2.0
187,63.22,63.27,63.22,,3.0
188,63.57,63.61,63.58,63.57,1.0
189,63.91,,63.9,,2.0
190,64.24,,,,3.0
191,64.56,64.6,64.58,64.55,1.0
192,64.88,64.94,,64.88,2.0
193,65.22,65.19,,65.22,3.0
194,65.58,65.66,65.59,65.58,1.0
195,65.92,65.92,,,2.0
196,66.27,,66.29,66.23,3.0
197,66.58,66.64,,66.58,1.0
198,66.94,66.96,66.94,,2.0
199,67.29,,67.3,,3.0
200,67.6,,67.63,67.59,1.0
201,67.95,67.99,,67.95,2.0
202,68.29,68.31,,68.29,3.0
203,68.65,68.64,68.65,68.65,1.0
204,68.98,,68.98,68.97,2.0
205,69.32,69.32,69.31,,3.0
206,69.64,69.68,69.64,69.64,1.0
207,70.0,70.01,70.0,70.03,2.0
208,70.33,70.36,70.32,70.33,3.0
209,70.66,70.69,70.68,70.66,1.0
210,70.98,70.96,71.0,70.96,2.0
211,71.32,,,,3.0
212,71.65,71.69,,71.65,1.0
213,72.0,,72.0,72.0,2.0
214,72.33,72.36,72.35,72.33,3.0
215,72.67,72.69,72.67,72.67,1.0
216,73.0,73.03,73.0,72.99,2.0
217,73.35,73.37,,,3.0
218,73.68,73.73,73.7,73.67,1.0
219,74.02,74.04,74.01,74.01,2.0
220,74.35,74.37,74.35,74.35,3.0
221,74.69,74.73,74.68,74.69,1.0
222,75.05,75.06,75.06,75.02,2.0
223,75.39,75.47,75.39,75.41,3.0
224,75.71,75.71,75.72,75.7,1.0
225,76.06,76.07,76.06,76.03,2.0
226,76.39,76.4,76.4,76.37,3.0
227,76.72,76.76,76.72,76.72,1.0
228,77.05,77.11,77.05,77.05,2.0
229,77.39,77.35,77.39,,3.0
230,77.75,77.78,77.77,77.73,1.0
231,78.08,78.1,78.08,78.05,2.0
232,78.42,78.44,78.42,78.39,3.0
233,78.75,78.77,78.76,78.74,1.0
234,79.11,79.11,79.13,79.08,2.0
235,79.46,,79.48,,3.0
236,79.8,79.82,79.8,79.76,1.0
237,80.15,80.16,,,2.0
238,80.47,80.51,80.46,80.5,3.0
239,80.81,80.86,80.81,80.8,1.0
240,81.16,81.21,81.16,81.13,2.0
