,beats,piano,bass,drums,metre_auto
0,0.17,0.18,,0.16,4.0
1,0.48,,0.49,0.47,1.0
2,0.79,0.8,0.79,0.79,2.0
3,1.1,1.14,1.08,1.08,3.0
4,1.4,1.43,1.4,1.4,4.0
5,1.72,1.73,1.73,1.71,1.0
6,2.03,2.08,2.04,2.01,2.0
7,2.34,2.35,2.35,2.33,3.0
8,2.64,2.64,2.64,2.64,4.0
9,2.95,,2.96,2.95,1.0
10,3.26,,3.27,3.26,2.0
11,3.58,3.59,3.58,3.59,3.0
12,3.89,3.89,3.88,3.88,4.0
13,4.2,4.2,4.2,4.2,1.0
14,4.51,,4.51,4.51,2.0
15,4.82,4.84,4.8,4.82,3.0
16,5.13,,5.13,5.13,4.0
17,5.44,5.46,5.47,5.44,1.0
18,5.75,5.8,5.76,5.75,2.0
19,6.06,6.09,6.09,6.07,3.0
20,6.37,6.4,6.39,6.38,4.0
21,6.68,6.7,6.71,6.7,1.0
22,6.98,7.0,7.01,6.98,2.0
23,7.3,7.34,7.31,7.3,3.0
24,7.6,7.6,7.61,7.6,4.0
25,7.92,,7.95,7.92,1.0
26,8.23,8.24,8.24,8.23,2.0
27,8.54,8.54,8.55,8.55,3.0
28,8.85,,8.86,8.85,4.0
29,9.16,9.16,9.17,,1.0
30,9.47,9.49,,9.46,2.0
31,9.78,9.78,9.79,9.78,3.0
32,10.08,10.12,10.07,10.07,4.0
33,10.39,10.4,10.37,10.38,1.0
34,10.7,10.71,10.67,10.69,2.0
35,11.01,11.01,11.01,11.01,3.0
36,11.32,11.34,11.31,11.3,4.0
37,11.63,,11.62,11.62,1.0
38,11.94,,11.92,11.92,2.0
39,12.25,12.24,12.24,12.24,3.0
40,12.56,12.55,12.55,12.54,4.0
41,12.87,12.86,12.88,12.86,1.0
42,13.18,13.18,13.18,13.16,2.0
43,13.49,13.48,13.48,13.48,3.0
44,13.8,13.79,13.79,13.78,4.0
45,14.11,14.11,14.11,,1.0
46,14.42,,14.42,14.43,2.0
47,14.73,14.72,,14.74,3.0
48,15.04,,15.03,15.04,4.0
49,15.36,,15.36,15.35,1.0
50,15.67,15.7,15.65,15.67,2.0
51,15.98,16.02,15.97,15.97,3.0
52,16.28,16.28,16.28,16.28,4.0
53,16.6,16.61,16.59,16.61,1.0
54,16.9,16.93,16.9,16.9,2.0
55,17.22,17.23,17.23,17.22,3.0
