,beats,piano,bass,drums,metre_auto
0,0.16,0.16,0.16,0.15,1.0
1,0.61,0.67,0.6,0.61,2.0
2,1.05,,1.05,1.05,3.0
3,1.49,1.55,1.5,1.48,4.0
4,1.92,1.93,1.93,1.91,1.0
5,2.38,2.38,2.35,,2.0
6,2.81,2.81,2.77,2.81,3.0
7,3.26,3.26,3.23,3.25,4.0
8,3.7,,,,1.0
9,4.14,4.19,4.13,4.18,2.0
10,4.58,4.61,4.61,4.61,3.0
11,5.02,5.01,5.02,5.01,4.0
12,5.45,5.43,5.46,5.45,1.0
13,5.9,5.9,5.86,,2.0
14,6.3,6.34,6.29,6.3,3.0
15,6.76,6.77,6.74,6.77,4.0
16,7.17,7.21,7.17,7.17,1.0
17,7.63,7.66,7.62,,2.0
18,8.06,8.13,8.03,8.07,3.0
19,8.49,8.51,8.47,8.49,4.0
20,8.93,,8.91,8.94,1.0
21,9.38,9.38,9.34,9.38,2.0
22,9.8,9.8,9.79,9.82,3.0
23,10.25,10.23,10.23,10.25,4.0
24,10.68,10.68,10.67,10.68,1.0
25,11.12,11.11,11.12,11.12,2.0
26,11.55,11.55,11.57,11.55,3.0
27,11.99,11.99,11.97,11.99,4.0
28,12.41,12.4,12.4,12.42,1.0
29,12.86,12.84,12.83,12.86,2.0
30,13.28,13.29,13.28,13.28,3.0
31,13.74,13.73,13.7,13.75,4.0
32,14.16,14.15,14.16,14.16,1.0
33,14.59,14.64,14.62,14.58,2.0
34,15.05,15.05,15.02,,3.0
35,15.45,15.47,15.46,15.44,4.0
36,15.89,15.89,15.88,15.88,1.0
37,16.34,16.34,16.32,16.34,2.0
38,16.78,16.78,16.77,,3.0
39,17.22,17.2,17.21,17.21,4.0
40,17.66,17.68,17.65,17.65,1.0
41,18.1,18.11,18.11,18.09,2.0
42,18.53,18.53,18.54,18.53,3.0
43,18.97,18.96,18.96,18.97,4.0
44,19.4,19.4,19.4,,1.0
45,19.84,19.84,19.81,19.84,2.0
46,20.27,20.27,20.26,20.27,3.0
47,20.71,,20.7,20.71,4.0
48,21.13,,21.13,,1.0
49,21.57,,21.56,21.57,2.0
50,22.02,22.02,21.99,21.99,3.0
51,22.43,,22.41,22.43,4.0
52,22.86,22.85,22.86,,1.0
53,23.29,,23.27,23.29,2.0
54,23.71,23.71,23.7,23.71,3.0
55,24.14,,24.13,24.13,4.0
56,24.56,24.55,24.56,24.57,1.0
57,24.99,25.04,24.98,25.0,2.0
58,25.41,25.4,25.41,25.42,3.0
59,25.82,,25.82,25.81,4.0
60,26.23,26.26,26.22,26.21,1.0
61,26.65,26.65,26.64,26.64,2.0
62,27.08,,27.08,27.08,3.0
63,27.51,,27.49,27.51,4.0
64,27.96,27.96,27.93,,1.0
65,28.38,,28.34,28.38,2.0
66,28.79,,28.79,,3.0
67,29.23,,29.22,29.22,4.0
68,29.68,29.68,29.64,29.68,1.0
69,30.1,,30.09,,2.0
70,30.51,,30.51,30.51,3.0
71,30.96,,30.93,30.96,4.0
72,31.39,,31.38,31.39,1.0
73,31.82,31.85,31.82,31.82,2.0
74,32.28,32.32,32.3,32.26,3.0
75,32.69,32.74,32.7,32.68,4.0
76,33.14,33.15,33.14,33.12,1.0
77,33.55,33.6,33.55,33.54,2.0
78,33.99,34.04,33.98,33.98,3.0
79,34.41,34.48,34.41,34.4,4.0
80,34.84,34.92,34.83,,1.0
81,35.28,35.36,35.23,35.28,2.0
82,35.71,35.81,35.7,35.71,3.0
83,36.15,36.2,36.13,36.15,4.0
84,36.59,36.63,36.58,36.58,1.0
85,37.03,37.03,37.0,37.0,2.0
86,37.44,37.45,37.44,37.42,3.0
87,37.85,37.9,37.86,37.84,4.0
88,38.27,,38.26,38.26,1.0
89,38.71,38.75,38.72,38.7,2.0
90,39.12,39.16,39.11,39.11,3.0
91,39.54,39.55,39.53,39.53,4.0
92,39.97,40.01,39.96,39.97,1.0
93,40.4,40.4,40.37,40.4,2.0
94,40.82,40.83,40.8,40.81,3.0
95,41.24,41.28,41.22,41.23,4.0
96,41.65,,41.67,41.64,1.0
97,42.08,42.13,42.08,42.08,2.0
98,42.5,,42.51,42.5,3.0
99,42.93,42.95,42.89,42.93,4.0
100,43.35,43.41,43.34,43.36,1.0
101,43.77,43.8,43.77,43.78,2.0
102,44.19,44.21,44.19,44.19,3.0
103,44.59,44.59,44.59,44.58,4.0
104,45.01,,45.0,45.01,1.0
105,45.43,,45.42,45.43,2.0
106,45.85,45.85,45.82,45.83,3.0
107,46.27,46.28,46.25,46.22,4.0
108,46.69,46.69,46.67,46.69,1.0
109,47.12,47.15,47.11,47.11,2.0
110,47.54,47.53,47.55,47.54,3.0
111,47.96,47.98,47.95,47.95,4.0
112,48.38,,48.36,48.38,1.0
113,48.8,48.86,48.8,48.79,2.0
114,49.23,49.26,49.23,49.22,3.0
115,49.67,49.68,,49.66,4.0
116,50.1,50.11,50.11,50.09,1.0
117,50.53,50.54,,50.52,2.0
118,50.96,50.98,50.94,50.95,3.0
119,51.38,51.4,51.35,51.37,4.0
120,51.79,,,,1.0
121,52.23,52.2,,52.23,2.0
122,52.66,52.66,,,3.0
123,53.07,53.06,,53.07,4.0
124,53.5,,,,1.0
125,53.91,53.9,53.89,53.9,2.0
