,beats,piano,bass,drums,metre_auto
0,0.09,0.1,,0.07,4.0
1,0.37,0.37,0.36,0.35,1.0
2,0.65,0.65,0.62,0.65,2.0
3,0.94,0.94,0.92,,3.0
4,1.21,1.21,1.2,1.21,4.0
5,1.5,1.5,1.49,1.5,1.0
6,1.78,1.8,1.78,1.79,2.0
7,2.06,2.1,2.08,2.07,3.0
8,2.34,,2.35,2.34,4.0
9,2.62,,2.62,,1.0
10,2.9,2.94,2.89,2.89,2.0
11,3.18,3.19,3.16,3.18,3.0
12,3.45,,3.45,3.45,4.0
13,3.73,3.79,3.73,3.73,1.0
14,4.0,4.0,3.99,4.01,2.0
15,4.29,,4.28,4.29,3.0
16,4.57,4.6,4.54,4.57,4.0
17,4.84,4.84,4.83,,1.0
18,5.13,,5.1,5.13,2.0
19,5.41,5.42,5.4,5.42,3.0
20,5.69,5.7,5.69,5.69,4.0
21,5.96,5.95,5.96,,1.0
22,6.24,6.26,6.23,6.24,2.0
23,6.53,6.54,6.52,6.53,3.0
24,6.81,6.84,6.8,6.81,4.0
25,7.08,7.08,7.07,,1.0
26,7.36,7.37,7.35,7.36,2.0
27,7.65,7.65,7.65,7.67,3.0
28,7.93,7.92,7.92,7.93,4.0
29,8.21,8.23,8.2,8.22,1.0
30,8.49,,8.47,8.49,2.0
31,8.77,8.76,8.75,8.78,3.0
32,9.04,9.04,9.03,9.04,4.0
33,9.33,,9.37,,1.0
34,9.6,,9.59,9.6,2.0
35,9.86,9.85,9.87,,3.0
36,10.14,10.17,10.14,10.13,4.0
37,10.42,,10.41,10.42,1.0
38,10.7,,10.67,10.69,2.0
39,10.97,10.99,10.96,10.97,3.0
40,11.25,11.27,11.22,11.25,4.0
41,11.53,11.53,11.51,11.53,1.0
42,11.81,11.82,11.79,11.82,2.0
43,12.1,12.11,12.07,,3.0
44,12.36,12.35,12.35,12.37,4.0
45,12.63,12.63,12.62,12.64,1.0
46,12.9,12.9,12.88,12.9,2.0
47,13.18,13.19,13.18,13.18,3.0
48,13.45,13.47,13.45,13.44,4.0
49,13.74,,13.73,13.74,1.0
50,14.01,,13.99,14.01,2.0
51,14.29,,14.27,14.29,3.0
52,14.57,14.58,14.56,14.57,4.0
53,14.84,14.84,14.82,14.85,1.0
54,15.12,15.1,15.11,15.12,2.0
