,beats,piano,bass,drums,metre_auto
0,0.09,0.15,0.1,0.09,1.0
1,0.4,0.41,,,2.0
2,0.69,0.71,0.68,0.68,3.0
3,1.0,,0.99,1.0,4.0
4,1.3,1.31,,1.29,1.0
5,1.6,,1.6,,2.0
6,1.89,1.91,1.88,1.89,3.0
7,2.2,,,2.22,4.0
8,2.49,2.49,2.47,2.49,1.0
9,2.79,,,2.79,2.0
10,3.08,,3.08,3.09,3.0
11,3.38,3.37,3.38,3.39,4.0
12,3.68,3.67,3.68,3.69,1.0
13,3.98,,3.98,3.99,2.0
14,4.27,,4.26,4.28,3.0
15,4.56,4.56,,4.57,4.0
16,4.86,4.86,4.87,4.86,1.0
17,5.16,5.16,5.18,5.16,2.0
18,5.46,5.48,5.45,5.45,3.0
19,5.76,5.78,,5.77,4.0
20,6.03,6.05,6.04,6.02,1.0
21,6.32,,6.32,,2.0
22,6.61,,6.62,6.6,3.0
23,6.92,6.91,6.93,6.91,4.0
24,7.2,7.19,7.2,7.2,1.0
25,7.51,7.5,7.52,7.51,2.0
26,7.81,7.8,7.84,7.81,3.0
27,8.11,8.11,8.12,8.1,4.0
28,8.4,8.42,8.42,8.4,1.0
29,8.69,8.68,8.76,8.69,2.0
30,8.99,9.01,9.0,8.97,3.0
31,9.29,9.29,9.29,9.26,4.0
32,9.58,9.62,9.59,9.56,1.0
33,9.88,9.88,9.88,9.87,2.0
34,10.17,10.2,10.15,10.17,3.0
35,10.46,10.45,10.45,10.48,4.0
36,10.74,10.76,,10.79,1.0
37,11.02,11.07,,11.01,2.0
38,11.32,,,11.32,3.0
39,11.61,11.62,,11.61,4.0
40,11.88,11.89,11.89,11.87,1.0
41,12.19,,,12.19,2.0
42,12.47,,12.47,12.47,3.0
43,12.77,12.76,,,4.0
44,13.05,13.05,13.04,13.04,1.0
45,13.35,13.37,,13.35,2.0
46,13.63,,13.61,13.63,3.0
47,13.92,13.92,13.92,13.94,4.0
48,14.22,14.24,14.22,14.22,1.0
49,14.51,14.54,14.51,14.5,2.0
50,14.79,14.78,14.8,14.8,3.0
51,15.1,,15.09,,4.0
52,15.37,,15.36,15.37,1.0
53,15.66,15.65,15.66,,2.0
54,15.95,15.95,15.92,15.95,3.0
55,16.23,16.23,16.28,,4.0
56,16.51,16.54,,16.5,1.0
57,16.8,16.8,16.82,16.8,2.0
58,17.1,17.1,17.12,17.1,3.0
59,17.37,17.37,17.39,,4.0
60,17.66,17.67,17.67,17.65,1.0
61,17.94,17.97,17.95,17.95,2.0
62,18.21,18.26,18.21,18.2,3.0
63,18.52,18.52,18.52,18.54,4.0
64,18.81,18.83,18.82,18.8,1.0
65,19.1,,,19.1,2.0
66,19.38,19.38,19.37,19.38,3.0
67,19.65,,19.65,19.66,4.0
68,19.94,19.96,,19.93,1.0
69,20.22,20.23,20.21,,2.0
70,20.49,,20.46,20.49,3.0
71,20.79,,20.79,20.79,4.0
72,21.06,,21.05,21.06,1.0
73,21.36,21.41,21.36,21.35,2.0
74,21.66,21.66,,21.63,3.0
75,21.95,21.95,21.96,21.93,4.0
76,22.24,22.27,22.24,22.22,1.0
77,22.52,22.51,22.52,,2.0
78,22.81,,22.81,22.8,3.0
79,23.1,23.1,23.11,23.11,4.0
80,23.39,23.46,23.39,23.39,1.0
81,23.68,23.68,,23.69,2.0
82,23.96,24.02,23.95,23.96,3.0
83,24.25,24.23,24.26,24.26,4.0
84,24.52,,24.53,24.52,1.0
85,24.81,24.82,24.82,,2.0
86,25.08,25.09,25.09,25.08,3.0
87,25.37,25.37,25.37,25.37,4.0
88,25.66,25.68,25.67,25.66,1.0
89,25.96,25.96,25.97,25.96,2.0
90,26.25,26.28,26.26,26.25,3.0
91,26.54,26.54,26.55,26.53,4.0
92,26.82,26.79,26.81,26.83,1.0
93,27.13,27.14,,27.12,2.0
94,27.41,27.42,,27.41,3.0
95,27.68,27.69,27.68,27.7,4.0
96,27.98,,27.99,27.98,1.0
