,beats,piano,bass,drums,metre_auto
0,0.06,0.11,,0.07,2.0
1,0.43,0.5,0.43,0.44,3.0
2,0.82,0.88,,0.83,4.0
3,1.23,1.26,1.23,1.23,1.0
4,1.6,1.68,1.61,1.61,2.0
5,1.97,1.94,1.99,1.97,3.0
6,2.37,,2.37,2.37,4.0
7,2.74,2.7,2.74,2.74,1.0
8,3.13,3.2,3.15,3.13,2.0
9,3.53,,3.53,3.53,3.0
10,3.88,3.95,,3.88,4.0
11,4.28,4.33,4.26,4.28,1.0
12,4.65,4.7,4.66,4.65,2.0
13,5.02,5.1,5.02,5.02,3.0
14,5.4,5.4,5.41,5.41,4.0
15,5.78,,5.77,5.79,1.0
16,6.15,6.23,6.15,6.15,2.0
17,6.54,6.61,6.54,6.54,3.0
18,6.93,6.89,,6.93,4.0
19,7.32,7.4,7.32,7.32,1.0
20,7.7,7.74,7.7,7.7,2.0
21,8.09,8.15,8.09,8.09,3.0
22,8.47,8.53,8.47,8.47,4.0
23,8.85,8.83,8.83,8.86,1.0
24,9.23,9.27,9.2,9.23,2.0
25,9.61,,9.61,9.61,3.0
26,9.98,9.99,9.99,9.99,4.0
27,10.35,10.37,10.38,10.35,1.0
28,10.76,10.73,10.73,10.76,2.0
29,11.13,,,11.13,3.0
30,11.51,11.55,11.51,,4.0
31,11.87,,11.87,,1.0
32,12.23,,12.26,12.23,2.0
33,12.6,12.66,12.62,12.6,3.0
34,12.98,13.07,12.99,12.99,4.0
35,13.36,,,13.37,1.0
36,13.74,13.81,,13.74,2.0
37,14.12,14.2,14.15,14.12,3.0
38,14.5,14.57,14.5,14.5,4.0
39,14.88,14.94,14.88,14.88,1.0
40,15.25,15.24,15.25,15.25,2.0
41,15.64,15.69,15.65,15.64,3.0
42,16.01,16.0,16.01,16.02,4.0
43,16.39,16.41,16.41,16.39,1.0
44,16.78,16.81,16.81,16.79,2.0
45,17.17,17.17,17.16,17.17,3.0
46,17.54,,,17.54,4.0
47,17.9,,17.92,17.9,1.0
48,18.28,18.34,,18.29,2.0
49,18.65,,18.65,18.65,3.0
50,19.04,19.08,,19.04,4.0
51,19.42,19.45,19.43,19.42,1.0
52,19.8,19.86,19.82,19.79,2.0
53,20.17,,,20.17,3.0
54,20.54,,,20.55,4.0
55,20.93,,20.93,20.93,1.0
56,21.31,21.32,21.32,21.31,2.0
57,21.68,21.73,21.7,21.68,3.0
58,22.06,22.12,22.09,22.06,4.0
59,22.45,,22.46,22.45,1.0
60,22.83,22.89,,22.84,2.0
61,23.22,,,23.22,3.0
62,23.6,,,23.6,4.0
63,23.98,24.02,,23.98,1.0
64,24.34,,24.36,24.34,2.0
65,24.73,,24.73,24.73,3.0
66,25.1,,25.1,,4.0
67,25.49,25.48,25.5,25.49,1.0
68,25.85,,25.87,25.85,2.0
69,26.23,26.26,,26.23,3.0
70,26.61,26.65,,26.61,4.0
71,27.02,,27.01,,1.0
72,27.41,27.41,,27.4,2.0
73,27.78,,,27.78,3.0
74,28.17,28.17,28.19,,4.0
75,28.56,,,28.52,1.0
76,28.91,,,28.92,2.0
77,29.3,29.32,29.36,29.3,3.0
78,29.67,,,29.67,4.0
79,30.05,,,30.06,1.0
80,30.41,30.49,30.41,,2.0
81,30.8,,,30.8,3.0
82,31.19,31.19,,31.19,4.0
83,31.57,,31.58,31.58,1.0
84,31.93,31.91,,31.93,2.0
85,32.31,32.39,,,3.0
86,32.66,,32.7,32.66,4.0
87,33.05,,,33.06,1.0
88,33.41,33.43,33.48,33.41,2.0
89,33.77,,33.76,,3.0
90,34.17,34.22,,34.16,4.0
91,34.56,,,34.56,1.0
92,34.95,34.94,34.91,34.95,2.0
93,35.34,35.35,,35.34,3.0
94,35.73,,,,4.0
95,36.1,,,,1.0
96,36.46,36.44,36.46,36.45,2.0
97,36.82,36.89,,36.82,3.0
98,37.22,37.22,37.23,37.22,4.0
99,37.6,,,37.6,1.0
100,37.97,,,37.98,2.0
101,38.36,,,38.37,3.0
102,38.77,,,,4.0
103,39.16,39.2,,39.12,1.0
104,39.53,39.54,39.54,39.5,2.0
105,39.94,39.95,40.0,,3.0
