,beats,piano,bass,drums,metre_auto
0,0.04,0.01,0.02,0.04,4.0
1,0.45,0.44,,0.45,1.0
2,0.86,,0.87,0.84,2.0
3,1.25,,1.25,,3.0
4,1.66,1.73,1.66,1.66,4.0
5,2.08,2.1,2.08,2.08,1.0
6,2.49,,2.47,2.49,2.0
7,2.89,2.96,2.89,2.89,3.0
8,3.31,3.36,3.33,3.3,4.0
9,3.69,3.76,3.72,3.69,1.0
10,4.1,4.18,4.11,4.08,2.0
11,4.52,,4.52,4.52,3.0
12,4.92,,4.92,4.92,4.0
13,5.33,5.35,5.33,5.33,1.0
14,5.75,5.79,5.77,5.74,2.0
15,6.15,6.18,,6.14,3.0
16,6.54,6.6,6.55,6.53,4.0
17,6.94,7.01,6.93,6.94,1.0
18,7.37,7.41,7.38,7.35,2.0
19,7.76,7.79,7.77,7.75,3.0
20,8.17,8.21,8.17,8.17,4.0
21,8.57,8.6,8.57,8.57,1.0
22,8.98,8.99,8.98,8.95,2.0
23,9.38,9.41,9.38,9.36,3.0
24,9.8,9.84,9.81,9.79,4.0
25,10.21,10.23,10.21,10.18,1.0
26,10.6,10.6,10.6,10.57,2.0
27,10.98,,11.01,10.98,3.0
28,11.39,,11.35,11.39,4.0
29,11.77,11.81,11.77,11.78,1.0
30,12.18,12.22,12.18,12.18,2.0
31,12.58,12.62,,12.58,3.0
32,12.96,12.99,12.95,12.98,4.0
33,13.38,13.4,13.38,13.38,1.0
34,13.77,13.78,13.77,13.77,2.0
35,14.17,14.2,14.17,14.2,3.0
36,14.58,14.62,14.58,14.59,4.0
37,14.99,15.01,15.0,14.99,1.0
38,15.4,15.42,15.39,15.4,2.0
39,15.8,,15.8,15.81,3.0
40,16.21,16.22,16.21,16.23,4.0
41,16.63,16.62,16.64,16.64,1.0
42,17.03,17.07,17.05,17.03,2.0
43,17.43,,,17.43,3.0
44,17.84,,17.84,17.84,4.0
45,18.23,18.25,18.23,18.23,1.0
46,18.62,18.62,18.65,18.62,2.0
47,19.02,19.01,,19.03,3.0
48,19.42,19.43,19.42,19.42,4.0
49,19.83,19.84,19.83,19.82,1.0
50,20.21,20.29,20.21,20.21,2.0
51,20.63,20.64,20.64,20.63,3.0
52,21.03,,21.04,21.02,4.0
53,21.43,,21.45,21.43,1.0
54,21.81,21.86,21.8,21.83,2.0
55,22.21,22.23,22.2,22.21,3.0
56,22.62,22.65,22.62,22.62,4.0
57,23.02,23.06,,23.02,1.0
58,23.41,23.43,23.41,23.41,2.0
59,23.83,23.82,23.79,23.83,3.0
60,24.22,24.27,24.22,24.22,4.0
61,24.63,24.62,24.63,24.64,1.0
62,25.03,25.06,25.03,25.03,2.0
63,25.46,25.48,25.47,25.46,3.0
64,25.83,25.83,25.83,25.88,4.0
65,26.22,26.23,26.22,26.23,1.0
66,26.63,,26.63,26.63,2.0
67,27.0,27.03,27.0,27.0,3.0
68,27.41,27.48,27.42,27.41,4.0
69,27.81,,27.82,27.8,1.0
70,28.21,,28.22,28.2,2.0
71,28.62,28.68,28.61,28.61,3.0
72,29.03,29.07,29.04,29.03,4.0
73,29.42,29.47,29.42,29.41,1.0
74,29.81,,29.8,29.81,2.0
75,30.21,30.21,30.24,30.21,3.0
76,30.6,30.66,30.59,30.62,4.0
77,30.99,31.01,30.99,31.0,1.0
78,31.39,31.42,31.39,31.39,2.0
79,31.81,31.82,31.83,31.81,3.0
80,32.2,32.24,32.26,32.2,4.0
81,32.61,32.62,32.63,32.6,1.0
82,33.03,33.0,33.04,33.04,2.0
83,33.42,33.42,,,3.0
84,33.82,33.85,,33.82,4.0
85,34.2,34.24,34.19,34.23,1.0
86,34.61,34.63,,34.61,2.0
87,35.0,35.02,35.0,34.99,3.0
88,35.39,35.45,,35.39,4.0
89,35.8,35.84,,35.79,1.0
90,36.19,36.24,36.19,36.19,2.0
91,36.61,36.64,,36.61,3.0
92,37.01,37.07,37.01,37.01,4.0
93,37.42,37.43,,37.42,1.0
94,37.8,37.84,37.79,37.79,2.0
95,38.2,38.25,,38.2,3.0
96,38.62,38.67,38.63,,4.0
97,39.01,39.04,,39.01,1.0
98,39.42,39.47,,39.43,2.0
99,39.82,39.87,39.88,39.82,3.0
100,40.21,40.27,40.25,40.2,4.0
101,40.61,40.67,40.68,40.61,1.0
102,41.03,,41.04,,2.0
103,41.44,41.48,,,3.0
104,41.84,41.88,41.85,,4.0
105,42.22,42.25,42.23,42.19,1.0
106,42.6,42.66,42.58,42.6,2.0
107,43.0,43.06,43.0,43.0,3.0
108,43.39,,43.4,43.39,4.0
109,43.77,43.73,43.78,43.77,1.0
110,44.18,44.26,44.19,44.15,2.0
111,44.57,44.58,44.57,44.56,3.0
112,44.96,,44.96,44.96,4.0
113,45.35,45.38,,45.34,1.0
114,45.72,45.81,45.71,,2.0
115,46.12,46.2,46.12,,3.0
116,46.5,,46.5,,4.0
117,46.89,46.96,46.89,46.93,1.0
118,47.31,,47.3,47.32,2.0
