,beats,piano,bass,drums,metre_auto
0,0.17,0.17,,,2.0
1,0.53,0.54,0.51,0.52,3.0
2,0.87,,,0.86,4.0
3,1.21,,1.2,,1.0
4,1.57,1.58,1.57,1.57,2.0
5,1.93,1.94,1.91,1.92,3.0
6,2.27,,2.27,,4.0
7,2.63,,2.63,2.63,1.0
8,2.99,3.04,2.99,,2.0
9,3.37,3.38,3.35,,3.0
10,3.73,3.73,3.71,3.72,4.0
11,4.09,,,4.06,1.0
12,4.45,4.46,,4.44,2.0
13,4.8,4.81,4.8,4.84,3.0
14,5.17,5.17,5.16,5.17,4.0
15,5.53,5.53,,5.58,1.0
16,5.87,5.88,5.85,5.87,2.0
17,6.23,6.23,,6.24,3.0
18,6.57,6.58,6.58,6.55,4.0
19,6.92,6.92,,6.92,1.0
20,7.28,7.28,7.31,7.26,2.0
21,7.64,7.65,7.64,7.7,3.0
22,7.99,7.99,7.99,7.99,4.0
23,8.35,8.36,,8.35,1.0
24,8.69,8.69,,8.68,2.0
25,9.06,9.06,9.08,,3.0
26,9.41,9.4,9.4,9.41,4.0
27,9.77,9.77,9.77,,1.0
28,10.14,10.13,,10.14,2.0
29,10.51,10.49,10.52,,3.0
30,10.86,10.85,10.86,10.86,4.0
31,11.22,11.22,11.22,11.23,1.0
32,11.59,11.58,11.6,11.57,2.0
33,11.94,11.93,11.97,11.95,3.0
34,12.31,12.3,12.31,12.29,4.0
35,12.65,12.66,,12.63,1.0
36,12.99,13.0,,12.96,2.0
37,13.35,13.35,,13.31,3.0
38,13.69,13.7,13.69,13.66,4.0
39,14.05,,14.05,14.03,1.0
40,14.4,14.41,,14.4,2.0
41,14.75,14.76,14.76,,3.0
42,15.11,,,15.1,4.0
43,15.48,,15.48,15.46,1.0
44,15.82,15.88,15.82,,2.0
45,16.19,16.19,16.17,16.18,3.0
46,16.56,,16.55,16.57,4.0
47,16.92,,16.92,,1.0
48,17.26,,,17.25,2.0
49,17.62,17.62,,,3.0
50,17.98,,,17.95,4.0
51,18.34,,18.34,,1.0
52,18.69,18.72,18.68,18.65,2.0
53,19.04,19.05,19.05,19.05,3.0
54,19.41,19.42,,19.39,4.0
55,19.75,19.75,19.74,19.75,1.0
56,20.11,20.1,,20.1,2.0
57,20.47,20.48,20.46,20.48,3.0
58,20.83,20.83,,20.83,4.0
59,21.2,21.2,21.2,21.2,1.0
60,21.55,21.55,,21.56,2.0
61,21.91,21.9,,21.9,3.0
62,22.25,22.25,22.24,22.25,4.0
63,22.61,22.61,,,1.0
64,22.96,22.96,,22.97,2.0
65,23.31,23.31,,23.32,3.0
66,23.65,23.65,23.68,,4.0
67,24.01,24.01,,,1.0
68,24.34,24.33,,,2.0
69,24.69,24.69,24.74,24.74,3.0
70,25.05,25.03,25.05,25.04,4.0
71,25.41,25.4,25.42,,1.0
72,25.78,,25.79,25.77,2.0
73,26.15,26.16,,,3.0
74,26.49,26.51,,26.49,4.0
75,26.87,,,26.89,1.0
76,27.22,27.21,,27.21,2.0
77,27.59,,27.6,27.59,3.0
78,27.93,27.92,27.96,28.01,4.0
79,28.29,,28.29,28.29,1.0
80,28.66,,,28.64,2.0
81,29.0,29.0,29.0,,3.0
82,29.35,29.36,29.35,29.35,4.0
83,29.72,29.72,,29.72,1.0
84,30.08,30.09,,,2.0
85,30.43,30.42,30.41,30.44,3.0
86,30.79,30.76,,30.79,4.0
87,31.14,,,31.13,1.0
88,31.49,,,31.47,2.0
89,31.84,31.84,31.84,31.85,3.0
90,32.19,32.19,32.21,32.2,4.0
91,32.57,,32.58,32.58,1.0
92,32.92,,32.93,32.9,2.0
93,33.26,33.26,,,3.0
94,33.64,33.63,33.65,33.65,4.0
95,33.99,33.97,,,1.0
96,34.34,34.35,34.35,34.33,2.0
97,34.69,34.68,,,3.0
98,35.04,35.03,35.05,35.03,4.0
