,beats,piano,bass,drums,metre_auto
0,0.02,0.02,0.04,,3.0
1,0.29,0.29,0.31,0.29,1.0
2,0.55,,0.57,0.54,2.0
3,0.81,,0.81,0.78,3.0
4,1.04,1.05,1.06,1.04,1.0
5,1.31,1.34,,1.28,2.0
6,1.55,1.57,1.55,1.55,3.0
7,1.81,1.81,1.81,1.8,1.0
8,2.06,,2.07,2.06,2.0
9,2.32,,2.32,,3.0
10,2.57,2.56,2.57,2.57,1.0
11,2.82,2.81,,2.83,2.0
12,3.07,3.08,3.07,3.07,3.0
13,3.34,3.33,3.35,3.34,1.0
14,3.6,3.65,3.61,3.61,2.0
15,3.85,3.87,3.84,,3.0
16,4.11,,4.12,4.1,1.0
17,4.37,,4.37,4.36,2.0
18,4.63,4.6,,4.63,3.0
19,4.87,4.87,4.88,4.88,1.0
20,5.13,5.14,5.14,5.13,2.0
21,5.38,5.37,5.4,5.38,3.0
22,5.63,5.63,5.63,5.63,1.0
23,5.88,5.87,5.88,5.89,2.0
24,6.13,6.13,,6.14,3.0
25,6.38,6.4,6.38,6.36,1.0
26,6.63,6.63,,6.62,2.0
27,6.88,6.88,6.89,,3.0
28,7.12,7.12,7.13,7.11,1.0
29,7.35,7.33,,7.36,2.0
30,7.61,7.61,,7.6,3.0
31,7.85,7.83,7.85,7.88,1.0
32,8.1,,8.09,8.12,2.0
33,8.35,,,8.34,3.0
34,8.59,,8.61,8.59,1.0
35,8.84,,,8.85,2.0
36,9.08,,,,3.0
37,9.32,,9.35,9.32,1.0
38,9.58,,9.59,,2.0
39,9.83,9.87,9.83,9.82,3.0
40,10.06,10.05,10.09,,1.0
41,10.31,,10.31,,2.0
42,10.55,,10.56,,3.0
43,10.81,10.81,10.83,10.81,1.0
44,11.07,,11.07,11.08,2.0
45,11.31,,11.31,,3.0
46,11.56,11.57,11.59,11.57,1.0
47,11.83,,,11.83,2.0
48,12.08,,12.08,12.05,3.0
49,12.32,,12.32,12.31,1.0
50,12.56,12.55,12.56,12.57,2.0
51,12.8,12.81,12.81,,3.0
52,13.05,13.04,13.06,13.03,1.0
53,13.29,,13.28,13.3,2.0
54,13.52,,13.52,13.53,3.0
55,13.78,13.79,,13.76,1.0
56,14.02,14.04,14.01,14.02,2.0
57,14.27,14.3,14.29,14.26,3.0
58,14.52,14.53,14.54,14.51,1.0
59,14.78,14.79,14.78,14.77,2.0
60,15.02,15.02,15.01,15.02,3.0
61,15.27,,15.27,15.27,1.0
62,15.52,,15.52,15.51,2.0
63,15.76,15.77,15.77,15.75,3.0
64,15.99,16.02,16.02,15.99,1.0
65,16.25,16.26,16.28,16.24,2.0
66,16.51,,16.52,16.5,3.0
67,16.74,16.74,16.74,16.76,1.0
68,17.0,,17.0,17.01,2.0
69,17.24,17.24,17.24,17.25,3.0
70,17.47,17.5,17.49,17.45,1.0
71,17.73,17.76,17.73,17.71,2.0
72,17.97,18.01,17.97,17.97,3.0
73,18.23,18.27,18.24,18.22,1.0
74,18.47,18.5,18.47,18.47,2.0
75,18.74,18.78,18.74,,3.0
76,19.0,19.01,19.02,18.98,1.0
77,19.25,19.25,19.26,19.25,2.0
78,19.5,19.51,19.51,19.49,3.0
79,19.75,,19.76,19.75,1.0
80,20.0,20.0,20.0,20.0,2.0
81,20.25,20.26,20.25,,3.0
82,20.48,20.5,20.48,20.47,1.0
83,20.74,20.77,,20.74,2.0
84,20.99,21.01,20.97,20.99,3.0
85,21.23,21.24,21.25,21.22,1.0
86,21.49,,21.47,21.48,2.0
87,21.73,21.74,21.73,,3.0
88,21.98,,22.0,21.98,1.0
89,22.23,,22.23,22.23,2.0
90,22.46,22.43,22.47,22.44,3.0
91,22.7,22.7,,22.7,1.0
92,22.94,22.93,22.92,,2.0
93,23.2,,,,3.0
94,23.44,23.44,,23.45,1.0
95,23.69,,,23.69,2.0
96,23.95,23.93,23.95,,3.0
97,24.19,24.19,,24.18,1.0
98,24.45,,24.44,24.45,2.0
99,24.69,24.69,24.69,,3.0
100,24.95,24.95,24.95,24.94,1.0
101,25.2,,25.2,25.19,2.0
102,25.44,,25.44,,3.0
103,25.7,25.7,25.69,25.67,1.0
104,25.96,,,,2.0
105,26.2,26.2,,,3.0
106,26.45,26.45,26.45,26.44,1.0
107,26.69,26.68,26.71,26.72,2.0
108,26.96,26.98,26.96,,3.0
109,27.21,27.2,27.22,27.22,1.0
110,27.45,27.47,27.45,27.48,2.0
111,27.69,27.71,27.68,,3.0
112,27.93,27.92,,27.96,1.0
113,28.17,28.2,28.17,28.17,2.0
114,28.41,28.4,28.42,,3.0
115,28.66,28.71,,28.66,1.0
116,28.89,28.89,28.88,,2.0
117,29.15,29.17,,,3.0
118,29.39,29.38,29.42,29.42,1.0
119,29.64,,29.7,29.64,2.0
120,29.87,29.86,,29.91,3.0
121,30.14,30.18,30.16,,1.0
122,30.37,30.36,,30.42,2.0
123,30.64,30.62,30.65,30.67,3.0
124,30.88,30.86,30.92,30.88,1.0
125,31.14,31.15,31.16,31.14,2.0
126,31.4,31.39,31.41,,3.0
127,31.63,31.63,,31.64,1.0
128,31.88,,31.89,31.89,2.0
129,32.12,,32.14,,3.0
130,32.35,32.34,32.38,32.37,1.0
131,32.6,,32.6,32.62,2.0
132,32.85,,32.85,,3.0
133,33.09,33.1,33.09,33.11,1.0
134,33.34,,33.33,33.36,2.0
135,33.6,,33.59,33.6,3.0
136,33.86,33.85,33.86,33.86,1.0
137,34.09,,34.09,34.11,2.0
138,34.34,34.34,34.33,34.34,3.0
139,34.59,34.61,34.6,34.57,1.0
140,34.84,,34.84,,2.0
141,35.07,35.06,,,3.0
142,35.34,35.33,35.35,35.35,1.0
143,35.58,35.58,,35.6,2.0
144,35.84,,35.85,,3.0
145,36.09,36.1,36.11,36.08,1.0
146,36.32,36.29,,,2.0
147,36.58,36.58,36.59,,3.0
148,36.84,36.81,,36.85,1.0
149,37.08,37.08,37.07,37.11,2.0
150,37.32,,37.32,,3.0
151,37.57,37.59,37.59,,1.0
152,37.81,,,37.8,2.0
153,38.07,38.07,,,3.0
154,38.31,38.32,,38.32,1.0
155,38.56,38.57,,,2.0
156,38.81,38.81,,38.81,3.0
157,39.08,39.07,39.11,,1.0
158,39.32,39.32,39.36,39.32,2.0
159,39.57,39.57,39.58,,3.0
160,39.82,39.82,39.79,39.81,1.0
