,beats,piano,bass,drums,metre_auto
0,0.3,0.32,0.3,0.3,1.0
1,0.74,0.73,0.72,0.75,2.0
2,1.16,1.2,1.15,1.16,3.0
3,1.58,1.58,1.6,1.59,4.0
4,2.02,2.03,2.03,2.01,1.0
5,2.44,2.45,2.46,2.44,2.0
6,2.88,2.89,2.89,2.89,3.0
7,3.33,3.33,3.33,,4.0
8,3.76,3.75,3.76,3.76,1.0
9,4.18,4.14,4.19,4.19,2.0
10,4.62,4.62,4.6,4.64,3.0
11,5.05,5.06,5.05,5.06,4.0
12,5.46,5.48,5.49,5.45,1.0
13,5.89,,5.96,5.9,2.0
14,6.35,6.35,6.37,6.35,3.0
15,6.77,,,6.77,4.0
16,7.21,7.22,7.17,7.18,1.0
17,7.62,,,7.62,2.0
18,8.06,8.07,8.08,8.03,3.0
19,8.5,8.5,,8.47,4.0
20,8.93,8.94,8.95,8.93,1.0
21,9.37,9.38,,,2.0
22,9.79,9.79,9.82,9.78,3.0
23,10.22,10.22,10.22,10.19,4.0
24,10.68,10.68,,,1.0
25,11.09,11.11,11.08,11.06,2.0
26,11.54,11.54,,11.5,3.0
27,11.96,11.96,11.98,12.02,4.0
28,12.41,12.42,12.41,12.4,1.0
29,12.83,12.84,12.82,12.8,2.0
30,13.27,13.27,13.27,13.27,3.0
31,13.72,13.73,13.74,13.72,4.0
32,14.15,14.15,14.17,14.16,1.0
33,14.59,14.6,14.6,14.58,2.0
34,15.02,15.02,15.02,15.0,3.0
35,15.45,15.45,15.48,15.45,4.0
36,15.9,,15.88,15.9,1.0
37,16.33,,16.33,16.33,2.0
38,16.76,16.76,16.78,16.77,3.0
39,17.21,17.21,17.22,17.21,4.0
40,17.63,17.62,17.63,17.63,1.0
41,18.07,18.07,18.07,,2.0
42,18.5,18.48,18.5,18.55,3.0
43,18.96,18.91,18.96,18.96,4.0
44,19.38,19.37,19.37,19.37,1.0
45,19.78,,19.8,19.77,2.0
46,20.23,20.24,20.24,20.23,3.0
47,20.66,20.67,20.66,20.61,4.0
48,21.09,21.09,21.08,21.09,1.0
49,21.53,21.53,21.53,21.54,2.0
50,21.97,21.97,21.97,21.96,3.0
51,22.38,22.4,22.4,22.38,4.0
52,22.82,22.82,22.82,22.83,1.0
53,23.26,23.25,23.25,23.27,2.0
54,23.69,23.68,23.71,23.69,3.0
55,24.11,24.06,,24.11,4.0
56,24.56,24.56,24.55,24.57,1.0
57,24.98,,24.97,24.99,2.0
58,25.43,25.45,25.4,25.44,3.0
59,25.87,25.88,25.87,25.86,4.0
60,26.28,26.29,26.32,26.26,1.0
61,26.7,26.71,26.73,26.68,2.0
62,27.12,27.12,27.13,27.13,3.0
63,27.55,27.55,27.54,27.55,4.0
64,27.98,27.99,27.97,27.95,1.0
65,28.41,28.41,28.39,,2.0
66,28.83,28.83,28.82,28.88,3.0
67,29.26,29.27,29.26,29.28,4.0
68,29.69,29.7,29.68,29.69,1.0
69,30.1,30.15,30.07,30.1,2.0
70,30.54,30.56,,30.53,3.0
71,30.99,31.0,,31.06,4.0
72,31.4,31.41,31.41,31.37,1.0
73,31.85,31.81,31.86,31.81,2.0
74,32.26,32.26,32.28,32.26,3.0
75,32.7,32.7,32.71,32.7,4.0
76,33.14,33.14,33.12,33.15,1.0
77,33.59,,33.6,33.59,2.0
78,34.04,,34.03,34.03,3.0
79,34.48,,,34.48,4.0
80,34.92,,,34.93,1.0
81,35.35,,,35.45,2.0
82,35.76,,35.73,35.76,3.0
83,36.19,,,36.18,4.0
84,36.59,,,36.58,1.0
85,37.02,37.03,37.02,37.0,2.0
86,37.45,,37.44,,3.0
87,37.89,,37.84,37.85,4.0
88,38.32,,,38.33,1.0
89,38.72,38.72,,38.74,2.0
90,39.15,39.16,,39.16,3.0
91,39.58,39.58,,39.55,4.0
92,40.02,40.02,40.01,40.01,1.0
93,40.45,40.45,40.45,40.43,2.0
94,40.88,40.88,40.89,40.88,3.0
95,41.32,41.32,41.32,41.33,4.0
96,41.75,,41.75,41.75,1.0
97,42.16,42.2,42.11,42.17,2.0
98,42.6,42.61,,42.58,3.0
99,43.03,43.05,43.04,43.03,4.0
100,43.43,43.44,43.43,,1.0
101,43.87,43.88,43.88,43.86,2.0
102,44.31,44.31,44.31,44.3,3.0
103,44.73,44.71,44.74,44.73,4.0
104,45.16,45.16,45.17,,1.0
105,45.59,45.59,45.6,45.59,2.0
106,46.0,46.0,46.02,,3.0
107,46.45,46.45,46.45,46.45,4.0
108,46.88,46.88,46.87,46.88,1.0
109,47.3,47.29,47.31,47.31,2.0
110,47.72,47.71,47.72,47.72,3.0
111,48.16,48.17,48.17,48.16,4.0
112,48.58,48.6,48.62,48.56,1.0
113,49.03,49.03,49.05,48.98,2.0
114,49.45,49.45,49.5,49.46,3.0
115,49.89,49.89,49.95,49.89,4.0
116,50.35,50.35,,50.39,1.0
117,50.78,,50.83,50.78,2.0
118,51.23,51.26,,51.28,3.0
119,51.67,51.69,51.7,51.67,4.0
120,52.11,52.14,,52.13,1.0
121,52.53,52.53,52.56,52.59,2.0
122,52.93,52.89,53.03,52.93,3.0
123,53.37,53.47,53.42,53.4,4.0
124,53.77,53.77,,53.79,1.0
125,54.2,54.2,54.23,54.17,2.0
126,54.63,54.65,54.65,,3.0
127,55.05,55.11,,55.05,4.0
128,55.46,55.54,,,1.0
129,55.87,,,,2.0
130,56.29,,,56.39,3.0
131,56.73,,,,4.0
132,57.15,57.2,57.21,,1.0
133,57.57,,,,2.0
134,57.97,,57.99,,3.0
135,58.39,58.35,58.4,58.38,4.0
136,58.81,58.81,,58.81,1.0
137,59.25,59.23,59.28,59.26,2.0
