,beats,piano,bass,drums,metre_auto
0,0.03,,,0.02,2.0
1,0.31,,0.28,0.3,3.0
2,0.59,0.56,,0.59,4.0
3,0.87,0.88,,0.87,1.0
4,1.15,1.15,,1.14,2.0
5,1.43,1.43,1.41,1.4,3.0
6,1.72,1.72,,1.72,4.0
7,2.0,2.0,2.0,2.0,1.0
8,2.28,2.33,2.3,2.28,2.0
9,2.56,2.57,2.59,2.57,3.0
10,2.83,2.88,2.88,2.87,4.0
11,3.1,,,3.15,1.0
12,3.36,,,3.34,2.0
13,3.64,3.64,,3.65,3.0
14,3.91,3.91,,3.92,4.0
15,4.17,4.18,,,1.0
16,4.44,4.49,,,2.0
17,4.71,,,,3.0
18,4.98,,,,4.0
19,5.25,,,,1.0
20,5.53,,,,2.0
21,5.8,,,,3.0
22,6.06,,,,4.0
23,6.33,,6.3,,1.0
24,6.6,6.62,6.57,6.57,2.0
25,6.88,6.88,,6.85,3.0
26,7.16,7.14,7.13,7.13,4.0
27,7.44,,7.43,7.42,1.0
28,7.72,,7.71,7.7,2.0
29,8.0,7.98,8.01,7.98,3.0
30,8.28,,8.28,8.25,4.0
31,8.56,8.61,8.57,8.54,1.0
32,8.84,,8.82,8.82,2.0
33,9.12,9.11,9.12,9.1,3.0
34,9.4,9.4,9.4,9.38,4.0
35,9.68,,9.69,9.68,1.0
36,9.96,9.98,9.97,9.96,2.0
37,10.25,10.27,10.26,10.24,3.0
38,10.53,,10.54,10.53,4.0
39,10.81,10.81,10.82,10.81,1.0
40,11.09,,11.09,11.08,2.0
41,11.37,11.36,11.38,11.37,3.0
42,11.64,11.67,11.66,11.64,4.0
43,11.93,11.98,11.94,11.93,1.0
44,12.21,12.24,12.22,12.21,2.0
45,12.49,12.5,12.5,12.51,3.0
46,12.77,12.77,12.78,12.79,4.0
47,13.05,13.06,13.08,13.07,1.0
48,13.33,13.35,13.34,13.34,2.0
49,13.61,13.62,13.6,13.62,3.0
50,13.88,13.87,13.87,13.89,4.0
51,14.16,,14.15,14.18,1.0
52,14.44,14.45,14.43,14.44,2.0
53,14.72,14.73,14.7,14.73,3.0
54,15.0,15.01,15.0,14.99,4.0
55,15.28,15.26,15.29,15.29,1.0
56,15.57,,15.58,15.57,2.0
57,15.85,15.84,15.85,15.85,3.0
58,16.12,16.12,16.12,16.12,4.0
59,16.4,16.4,16.41,16.41,1.0
60,16.68,,16.7,16.67,2.0
61,16.96,16.95,16.96,16.96,3.0
62,17.24,17.24,17.25,17.23,4.0
63,17.52,17.53,17.53,17.52,1.0
64,17.8,17.81,17.78,17.79,2.0
65,18.08,18.06,18.07,18.07,3.0
66,18.36,18.34,18.36,18.35,4.0
67,18.64,18.64,18.64,18.63,1.0
68,18.92,18.92,18.92,18.9,2.0
69,19.2,19.2,19.21,19.19,3.0
70,19.48,,19.48,19.46,4.0
71,19.76,19.75,19.76,19.75,1.0
72,20.04,20.06,20.04,20.02,2.0
73,20.32,20.34,20.31,20.31,3.0
74,20.6,20.59,20.58,20.58,4.0
75,20.88,,,20.87,1.0
76,21.16,21.15,21.13,21.14,2.0
77,21.44,21.44,21.43,21.44,3.0
78,21.72,21.71,21.71,21.71,4.0
79,22.0,22.02,22.0,22.0,1.0
80,22.28,22.28,22.28,22.27,2.0
81,22.57,22.58,22.57,22.57,3.0
82,22.84,22.85,22.85,22.83,4.0
83,23.13,,23.14,23.13,1.0
84,23.4,23.41,23.42,23.4,2.0
85,23.69,23.7,23.69,23.69,3.0
86,23.96,23.96,23.97,23.96,4.0
87,24.25,,24.28,24.23,1.0
88,24.53,,24.55,24.52,2.0
89,24.81,24.83,24.85,24.82,3.0
90,25.09,,25.11,25.12,4.0
91,25.37,25.39,25.38,25.4,1.0
92,25.64,25.67,25.64,25.67,2.0
93,25.93,25.93,25.92,25.96,3.0
94,26.21,26.24,26.22,26.23,4.0
95,26.49,26.51,26.51,26.52,1.0
96,26.77,26.8,26.78,26.78,2.0
97,27.05,27.09,27.06,27.07,3.0
98,27.33,27.34,27.34,27.34,4.0
99,27.61,27.62,27.63,27.63,1.0
100,27.89,27.91,27.91,27.91,2.0
101,28.17,,28.18,28.19,3.0
102,28.44,28.41,28.44,28.46,4.0
103,28.73,28.77,28.73,28.75,1.0
104,29.01,,29.01,29.02,2.0
105,29.29,29.33,29.31,29.31,3.0
106,29.57,29.59,29.58,29.58,4.0
107,29.85,,29.86,29.87,1.0
108,30.13,30.14,30.15,30.13,2.0
109,30.41,30.42,30.42,30.41,3.0
110,30.68,30.68,30.69,30.68,4.0
111,30.97,30.96,30.97,30.97,1.0
112,31.24,31.24,31.24,31.25,2.0
113,31.52,31.52,31.54,31.54,3.0
114,31.8,31.8,31.82,31.81,4.0
115,32.09,,32.1,32.09,1.0
116,32.37,32.38,32.36,32.36,2.0
117,32.65,32.66,32.65,32.65,3.0
118,32.92,32.95,32.92,32.93,4.0
119,33.2,33.21,33.19,33.21,1.0
120,33.48,33.47,33.46,33.48,2.0
121,33.76,33.78,33.76,33.77,3.0
122,34.04,34.04,34.03,34.05,4.0
123,34.32,34.32,34.32,34.33,1.0
124,34.6,34.61,34.61,34.6,2.0
125,34.89,34.9,34.89,34.89,3.0
126,35.15,35.15,35.17,35.16,4.0
127,35.43,35.42,35.45,35.44,1.0
128,35.71,35.7,,35.72,2.0
129,35.99,36.01,36.0,36.0,3.0
130,36.28,36.26,36.29,36.27,4.0
131,36.55,36.54,36.55,36.55,1.0
132,36.82,36.84,36.82,36.82,2.0
133,37.1,37.14,37.11,37.1,3.0
134,37.39,37.4,37.4,37.37,4.0
135,37.67,37.71,37.68,37.66,1.0
136,37.94,37.98,37.94,37.93,2.0
137,38.22,,38.23,38.22,3.0
138,38.49,38.54,38.49,38.49,4.0
139,38.78,38.8,38.79,38.78,1.0
140,39.05,39.06,39.02,39.04,2.0
141,39.34,39.35,39.32,39.34,3.0
142,39.61,,39.65,39.61,4.0
143,39.9,39.9,39.91,39.9,1.0
144,40.18,,40.19,40.18,2.0
145,40.46,40.45,40.46,40.47,3.0
146,40.74,40.73,,40.74,4.0
147,41.02,41.06,41.03,41.03,1.0
148,41.3,41.32,41.32,41.3,2.0
149,41.58,41.59,41.57,41.58,3.0
150,41.85,41.86,41.86,41.85,4.0
151,42.13,,42.14,42.13,1.0
152,42.4,,42.39,42.4,2.0
153,42.66,42.67,42.65,42.68,3.0
154,42.94,42.94,42.94,42.95,4.0
155,43.23,43.23,43.21,43.24,1.0
156,43.5,43.5,43.5,43.51,2.0
157,43.79,43.77,43.78,43.8,3.0
158,44.07,44.06,44.06,44.08,4.0
159,44.33,,44.33,44.35,1.0
160,44.62,,44.61,44.62,2.0
161,44.9,44.9,44.9,44.91,3.0
162,45.16,45.16,45.18,45.16,4.0
163,45.44,45.43,45.46,45.44,1.0
164,45.72,45.72,45.72,45.72,2.0
165,45.99,,45.99,45.99,3.0
166,46.26,,46.26,46.27,4.0
167,46.55,46.58,46.54,46.55,1.0
168,46.82,46.83,46.79,46.83,2.0
169,47.11,47.1,,47.12,3.0
170,47.37,47.38,47.36,47.38,4.0
171,47.65,,47.64,47.66,1.0
172,47.93,47.99,47.92,47.93,2.0
173,48.22,48.27,48.22,48.22,3.0
174,48.49,,48.5,48.5,4.0
175,48.78,,48.79,48.78,1.0
176,49.06,49.07,49.06,49.05,2.0
177,49.34,49.34,49.35,49.33,3.0
178,49.61,,49.61,49.6,4.0
179,49.89,,49.89,,1.0
180,50.15,50.14,50.16,50.15,2.0
181,50.44,50.44,50.45,50.44,3.0
182,50.71,50.71,50.71,50.71,4.0
183,51.0,,51.02,51.0,1.0
184,51.28,51.29,,51.29,2.0
185,51.56,,51.57,51.55,3.0
186,51.84,51.83,51.85,51.84,4.0
187,52.11,52.12,52.11,52.1,1.0
188,52.39,52.39,52.4,52.39,2.0
189,52.67,52.67,52.68,52.67,3.0
190,52.96,,52.97,52.96,4.0
191,53.23,53.25,53.23,53.22,1.0
192,53.51,53.52,53.53,53.5,2.0
193,53.79,53.83,53.8,53.79,3.0
194,54.06,,54.07,54.06,4.0
195,54.35,,54.36,54.35,1.0
196,54.62,,54.62,54.62,2.0
197,54.9,54.92,54.91,54.9,3.0
198,55.17,55.19,55.16,55.17,4.0
199,55.44,55.47,55.44,55.44,1.0
200,55.71,55.73,55.71,55.7,2.0
201,55.98,56.02,55.99,55.98,3.0
202,56.25,56.28,56.26,56.25,4.0
203,56.53,56.56,56.53,56.53,1.0
204,56.79,56.81,56.79,56.8,2.0
205,57.07,57.11,57.06,57.08,3.0
206,57.35,57.37,57.34,57.35,4.0
207,57.62,57.63,57.61,57.64,1.0
208,57.89,57.91,57.89,57.89,2.0
209,58.17,58.23,58.16,58.19,3.0
210,58.45,58.46,58.42,58.46,4.0
211,58.72,,58.72,58.74,1.0
212,59.0,,59.0,59.01,2.0
213,59.29,59.3,59.28,59.29,3.0
214,59.56,59.57,59.56,59.57,4.0
215,59.82,59.84,59.82,59.85,1.0
216,60.1,60.1,60.1,60.12,2.0
217,60.38,,60.38,60.4,3.0
218,60.66,60.68,60.65,60.67,4.0
219,60.94,60.95,60.94,60.96,1.0
220,61.23,,61.24,61.24,2.0
221,61.51,61.5,61.53,61.53,3.0
222,61.79,61.78,61.8,61.79,4.0
223,62.07,62.07,62.07,62.09,1.0
224,62.34,62.34,62.34,62.35,2.0
225,62.63,62.62,62.63,62.64,3.0
226,62.91,,62.9,62.91,4.0
227,63.17,,63.15,63.2,1.0
228,63.44,63.41,63.44,63.46,2.0
229,63.72,63.69,63.72,63.74,3.0
230,64.0,63.98,64.0,64.0,4.0
231,64.29,,64.29,64.29,1.0
232,64.57,,64.58,64.56,2.0
233,64.85,64.86,64.87,64.85,3.0
234,65.12,65.15,65.12,65.12,4.0
235,65.41,65.44,65.44,65.42,1.0
236,65.69,65.67,65.68,65.69,2.0
237,65.97,65.97,65.97,65.99,3.0
238,66.25,66.25,66.25,66.24,4.0
239,66.53,66.57,66.55,66.53,1.0
240,66.81,66.86,66.82,66.79,2.0
241,67.08,67.12,67.08,67.08,3.0
242,67.35,67.4,67.35,67.35,4.0
243,67.64,67.69,67.63,67.65,1.0
244,67.91,67.94,67.9,67.92,2.0
245,68.18,68.19,68.18,68.21,3.0
246,68.46,68.48,68.46,68.47,4.0
247,68.74,,68.74,68.75,1.0
248,69.01,69.01,69.01,69.0,2.0
249,69.29,,69.29,69.29,3.0
250,69.55,69.56,69.55,69.54,4.0
251,69.83,,69.83,69.83,1.0
252,70.1,70.11,70.11,70.1,2.0
253,70.38,70.39,70.38,70.37,3.0
254,70.64,,70.65,70.64,4.0
255,70.93,70.96,70.94,70.94,1.0
256,71.2,71.21,71.21,71.2,2.0
