,beats,piano,bass,drums,metre_auto
0,0.04,0.09,0.04,0.04,4.0
1,0.28,0.3,0.28,0.29,1.0
2,0.51,0.55,0.52,0.51,2.0
3,0.76,0.79,0.76,0.76,3.0
4,1.0,1.0,1.0,0.99,4.0
5,1.24,,1.24,1.23,1.0
6,1.47,1.51,1.48,1.47,2.0
7,1.72,,1.72,1.72,3.0
8,1.96,1.97,1.97,1.95,4.0
9,2.2,2.21,2.21,2.2,1.0
10,2.44,2.43,2.45,2.43,2.0
11,2.68,2.7,2.7,2.68,3.0
12,2.92,2.94,2.93,2.91,4.0
13,3.16,3.18,3.17,3.16,1.0
14,3.4,3.4,3.39,3.39,2.0
15,3.64,3.65,3.64,3.64,3.0
16,3.87,3.87,3.87,3.87,4.0
17,4.12,4.14,4.12,4.12,1.0
18,4.35,4.34,4.35,4.35,2.0
19,4.59,4.62,4.58,4.58,3.0
20,4.82,4.85,4.82,4.82,4.0
21,5.07,5.1,5.08,5.07,1.0
22,5.31,5.32,5.29,5.31,2.0
23,5.54,5.56,5.53,5.55,3.0
24,5.77,5.77,5.77,5.78,4.0
25,6.0,6.05,6.0,6.02,1.0
26,6.24,6.29,6.24,6.24,2.0
27,6.49,6.53,6.49,6.49,3.0
28,6.72,6.72,6.72,6.71,4.0
29,6.95,,6.95,6.96,1.0
30,7.19,7.21,7.18,7.19,2.0
31,7.43,7.45,7.43,7.43,3.0
32,7.66,7.69,7.66,7.66,4.0
33,7.91,7.96,7.91,7.9,1.0
34,8.13,8.16,8.13,8.14,2.0
35,8.38,8.39,8.37,8.37,3.0
36,8.61,8.61,8.61,8.61,4.0
37,8.84,8.85,8.84,8.85,1.0
38,9.08,9.08,9.07,9.08,2.0
39,9.31,9.31,9.31,9.33,3.0
40,9.55,9.55,9.56,9.54,4.0
41,9.79,,9.8,,1.0
42,10.01,10.02,10.01,10.02,2.0
43,10.25,10.26,10.25,10.26,3.0
44,10.48,10.49,10.47,10.49,4.0
45,10.71,,10.71,10.73,1.0
46,10.95,10.96,10.95,10.95,2.0
47,11.19,,11.18,11.19,3.0
48,11.41,11.43,11.41,11.42,4.0
49,11.65,11.65,11.66,11.66,1.0
50,11.88,11.89,11.88,11.89,2.0
51,12.12,,12.12,12.13,3.0
52,12.36,12.37,12.36,12.35,4.0
53,12.59,12.61,12.59,12.6,1.0
54,12.82,12.83,12.82,12.82,2.0
55,13.05,13.04,13.05,13.07,3.0
56,13.29,13.31,13.28,13.29,4.0
57,13.52,13.53,13.52,13.54,1.0
58,13.76,13.77,13.75,13.76,2.0
59,13.98,,13.98,14.01,3.0
60,14.22,14.27,14.23,14.23,4.0
61,14.47,14.48,14.46,14.48,1.0
62,14.7,14.71,14.69,14.7,2.0
63,14.93,14.94,14.93,14.94,3.0
64,15.16,15.16,15.16,15.17,4.0
65,15.4,15.4,15.4,15.41,1.0
66,15.64,15.66,15.63,15.64,2.0
67,15.88,15.88,15.87,15.89,3.0
68,16.1,16.11,16.09,16.1,4.0
69,16.34,16.35,16.34,16.35,1.0
70,16.58,16.59,16.57,16.57,2.0
71,16.8,16.82,16.8,16.82,3.0
72,17.02,17.06,17.02,17.03,4.0
73,17.27,17.27,17.27,17.28,1.0
74,17.5,,17.49,17.51,2.0
75,17.73,17.78,17.73,17.75,3.0
76,17.96,18.0,17.97,17.97,4.0
77,18.21,18.26,18.22,18.21,1.0
78,18.44,18.44,18.43,18.43,2.0
79,18.68,18.69,18.68,18.68,3.0
80,18.9,18.91,18.9,18.9,4.0
81,19.14,19.16,19.13,19.15,1.0
82,19.37,19.38,19.36,19.38,2.0
