,beats,piano,bass,drums,metre_auto
0,0.07,0.08,0.08,0.07,4.0
1,0.33,0.32,0.37,,1.0
2,0.58,0.6,0.6,0.58,2.0
3,0.81,,0.83,0.81,3.0
4,1.03,1.05,1.08,1.03,4.0
5,1.29,1.26,1.31,1.3,1.0
6,1.54,,1.55,1.54,2.0
7,1.77,1.77,1.81,1.77,3.0
8,2.01,2.02,2.02,2.02,4.0
9,2.25,2.29,2.25,2.26,1.0
10,2.5,2.55,2.53,,2.0
11,2.73,,2.7,2.73,3.0
12,2.96,2.96,2.98,2.96,4.0
13,3.2,3.2,3.2,,1.0
14,3.44,,3.41,3.45,2.0
15,3.69,3.71,3.7,3.69,3.0
16,3.93,3.93,3.91,3.93,4.0
17,4.18,4.19,4.17,4.18,1.0
18,4.42,4.42,4.42,,2.0
19,4.65,4.66,4.67,4.65,3.0
20,4.88,4.92,4.89,4.88,4.0
21,5.13,5.18,5.14,5.12,1.0
22,5.37,,5.39,5.36,2.0
23,5.62,5.63,5.62,5.62,3.0
24,5.85,5.86,5.86,5.85,4.0
25,6.09,6.1,6.1,6.08,1.0
26,6.32,,6.33,6.32,2.0
27,6.57,6.58,6.58,6.57,3.0
28,6.8,,6.82,6.8,4.0
29,7.04,7.05,7.05,7.04,1.0
30,7.27,,7.27,7.27,2.0
31,7.53,7.55,7.55,7.53,3.0
32,7.76,7.8,7.77,7.76,4.0
33,8.0,8.03,8.0,8.0,1.0
34,8.24,,8.25,8.24,2.0
35,8.49,8.53,8.52,8.49,3.0
36,8.72,8.78,8.73,8.72,4.0
37,8.97,9.01,8.97,8.96,1.0
38,9.21,9.25,9.22,9.2,2.0
39,9.45,9.43,9.46,9.45,3.0
40,9.69,,9.71,9.68,4.0
41,9.93,9.96,9.95,9.94,1.0
42,10.16,,10.17,10.16,2.0
43,10.4,10.39,10.42,10.4,3.0
44,10.63,10.66,10.63,10.63,4.0
45,10.88,10.91,10.88,10.88,1.0
46,11.11,11.12,11.12,11.11,2.0
47,11.36,11.37,11.38,11.36,3.0
48,11.6,,11.62,11.59,4.0
49,11.85,,11.87,11.85,1.0
50,12.08,12.13,12.09,12.09,2.0
51,12.32,12.36,12.35,12.32,3.0
52,12.56,,12.59,12.56,4.0
53,12.81,12.83,12.81,12.8,1.0
54,13.03,13.06,13.03,13.03,2.0
55,13.29,13.33,13.31,13.29,3.0
56,13.53,13.55,13.53,13.52,4.0
57,13.76,13.8,13.78,13.75,1.0
58,14.0,14.04,14.01,14.0,2.0
59,14.24,14.28,14.25,14.24,3.0
60,14.47,14.48,14.48,14.47,4.0
61,14.71,,14.72,14.71,1.0
62,14.94,,14.95,14.94,2.0
63,15.19,15.22,15.21,15.19,3.0
64,15.43,15.41,15.42,15.43,4.0
65,15.67,15.66,15.67,15.66,1.0
66,15.9,15.91,15.92,15.9,2.0
67,16.14,,16.15,16.15,3.0
68,16.38,,16.38,16.38,4.0
69,16.62,16.64,16.63,16.62,1.0
70,16.86,,16.86,16.86,2.0
71,17.11,17.15,17.13,17.1,3.0
72,17.34,17.39,17.34,17.34,4.0
73,17.59,17.61,17.6,17.58,1.0
74,17.82,17.88,17.82,17.82,2.0
75,18.07,18.1,18.08,18.06,3.0
76,18.29,18.32,18.26,18.29,4.0
77,18.54,18.57,18.54,18.54,1.0
78,18.77,18.77,18.78,18.77,2.0
79,19.01,19.0,19.03,19.02,3.0
80,19.25,19.23,19.26,19.26,4.0
81,19.5,19.52,19.51,19.5,1.0
82,19.73,,19.74,19.73,2.0
83,19.97,,19.98,19.98,3.0
84,20.22,,20.22,20.22,4.0
85,20.46,,20.47,20.45,1.0
