,beats,piano,bass,drums,metre_auto
0,0.09,0.1,,,3.0
1,0.31,0.31,0.31,0.32,4.0
2,0.53,0.54,0.53,0.55,1.0
3,0.76,0.77,0.75,0.77,2.0
4,0.99,1.0,0.98,,3.0
5,1.22,,,1.23,4.0
6,1.45,1.45,1.46,,1.0
7,1.68,1.67,1.69,1.69,2.0
8,1.91,,1.91,1.93,3.0
9,2.14,2.13,2.14,2.15,4.0
10,2.38,2.38,2.38,,1.0
11,2.6,2.64,2.59,2.6,2.0
12,2.81,2.85,2.81,,3.0
13,3.06,3.08,3.04,3.05,4.0
14,3.29,3.31,,3.29,1.0
15,3.52,3.53,3.52,3.52,2.0
16,3.73,3.73,3.74,3.76,3.0
17,3.96,3.96,3.97,3.99,4.0
18,4.19,,4.19,,1.0
19,4.43,4.43,4.43,4.44,2.0
20,4.66,,4.66,,3.0
21,4.89,,4.88,4.89,4.0
22,5.12,5.12,5.12,,1.0
23,5.35,5.36,5.34,5.35,2.0
24,5.58,5.59,5.58,5.59,3.0
25,5.81,5.8,5.8,5.81,4.0
26,6.03,6.06,6.02,6.06,1.0
27,6.26,6.27,6.25,6.27,2.0
28,6.51,6.51,6.5,,3.0
29,6.73,6.76,,6.73,4.0
30,6.96,6.97,,6.97,1.0
31,7.18,,,7.18,2.0
32,7.43,7.43,,,3.0
33,7.64,,7.63,7.65,4.0
34,7.86,,7.85,7.89,1.0
35,8.1,8.13,8.1,8.1,2.0
36,8.33,,,8.34,3.0
37,8.55,8.57,8.53,8.55,4.0
38,8.78,8.8,8.77,8.79,1.0
39,9.0,9.03,9.0,9.01,2.0
40,9.23,9.24,9.23,9.26,3.0
41,9.47,,9.47,9.47,4.0
42,9.68,9.67,9.67,9.71,1.0
43,9.92,,9.92,9.92,2.0
44,10.14,,10.14,10.15,3.0
45,10.37,10.37,10.37,10.39,4.0
46,10.61,10.64,10.59,10.61,1.0
47,10.83,10.86,10.83,10.83,2.0
48,11.05,11.05,11.05,,3.0
49,11.28,11.3,11.27,11.28,4.0
50,11.51,11.54,11.5,11.54,1.0
51,11.73,11.77,11.72,11.73,2.0
52,11.97,11.98,11.96,,3.0
53,12.19,,,12.19,4.0
54,12.43,12.44,,,1.0
55,12.64,12.67,12.63,12.64,2.0
56,12.87,,12.85,12.87,3.0
57,13.09,13.12,13.09,13.09,4.0
58,13.32,13.36,13.31,13.33,1.0
59,13.55,13.59,,13.55,2.0
60,13.77,13.81,,,3.0
61,14.0,14.01,,14.01,4.0
62,14.24,14.27,,14.24,1.0
63,14.45,14.47,14.43,14.48,2.0
64,14.68,14.68,14.67,14.71,3.0
65,14.93,,14.91,14.93,4.0
66,15.16,15.17,15.16,,1.0
67,15.38,15.4,15.38,15.38,2.0
68,15.63,15.64,15.64,15.61,3.0
69,15.84,15.88,15.83,15.84,4.0
70,16.07,16.09,16.06,,1.0
71,16.31,16.34,16.31,16.31,2.0
72,16.53,16.53,16.52,16.54,3.0
73,16.77,16.77,16.76,16.78,4.0
74,16.99,17.0,16.98,16.99,1.0
75,17.21,17.22,17.19,17.24,2.0
76,17.46,17.48,17.46,17.49,3.0
