,beats,piano,bass,drums,metre_auto
0,0.24,,0.25,0.23,1.0
1,0.54,,0.54,0.53,2.0
2,0.83,,0.84,0.8,3.0
3,1.12,1.12,1.14,,4.0
4,1.42,,1.42,1.39,1.0
5,1.72,,1.72,1.71,2.0
6,2.01,,2.02,1.99,3.0
7,2.32,,2.33,2.3,4.0
8,2.6,,2.61,2.57,1.0
9,2.91,,2.91,2.9,2.0
10,3.2,,3.21,3.18,3.0
11,3.48,3.48,3.5,,4.0
12,3.79,,3.79,3.77,1.0
13,4.09,4.11,4.1,4.08,2.0
14,4.39,,4.4,4.37,3.0
15,4.69,,4.69,4.68,4.0
16,4.98,,4.99,4.96,1.0
17,5.27,,5.28,5.28,2.0
18,5.56,,5.56,5.54,3.0
19,5.85,,5.87,5.83,4.0
20,6.14,,6.16,6.12,1.0
21,6.43,,6.43,6.42,2.0
22,6.71,6.7,6.74,6.7,3.0
23,7.0,6.99,7.03,,4.0
24,7.3,,7.31,7.28,1.0
25,7.59,,7.6,7.58,2.0
26,7.9,7.9,7.91,7.87,3.0
27,8.2,8.2,8.2,8.18,4.0
28,8.49,8.48,8.51,8.48,1.0
29,8.8,8.78,8.81,8.79,2.0
30,9.09,,9.1,9.08,3.0
31,9.39,,9.39,9.39,4.0
32,9.7,,9.7,9.67,1.0
33,9.99,,9.99,9.98,2.0
34,10.28,,10.29,10.27,3.0
35,10.57,10.64,10.58,10.56,4.0
36,10.85,,10.85,10.84,1.0
37,11.14,,11.14,11.18,2.0
38,11.43,,11.44,11.41,3.0
39,11.73,,11.73,,4.0
40,12.01,,12.01,11.99,1.0
41,12.3,,12.31,12.29,2.0
42,12.6,12.61,12.6,12.57,3.0
43,12.88,,12.88,12.88,4.0
44,13.17,,13.17,13.16,1.0
45,13.47,,13.47,13.45,2.0
46,13.76,,13.77,13.75,3.0
47,14.05,14.03,14.05,,4.0
48,14.34,14.33,14.33,14.33,1.0
49,14.64,14.63,14.65,14.68,2.0
50,14.93,14.93,14.94,14.91,3.0
51,15.23,15.23,15.23,,4.0
52,15.52,15.53,15.52,15.51,1.0
53,15.82,15.83,15.83,,2.0
54,16.11,,16.11,16.09,3.0
55,16.4,16.42,16.41,16.38,4.0
56,16.7,16.7,16.69,16.67,1.0
57,16.98,,16.99,16.97,2.0
58,17.27,17.28,17.28,17.24,3.0
59,17.57,17.57,17.56,17.54,4.0
60,17.85,,17.85,17.83,1.0
61,18.15,18.15,18.13,18.16,2.0
62,18.43,,18.43,18.41,3.0
63,18.73,18.78,18.73,18.8,4.0
64,19.02,,19.02,19.01,1.0
65,19.31,,19.31,19.31,2.0
66,19.61,,19.61,19.59,3.0
67,19.9,19.89,19.91,19.88,4.0
68,20.2,20.22,20.2,20.17,1.0
69,20.49,,20.49,20.48,2.0
70,20.78,,20.79,20.75,3.0
71,21.08,21.09,21.08,,4.0
72,21.36,,21.36,21.35,1.0
73,21.66,21.68,21.66,21.65,2.0
74,21.95,,21.96,21.94,3.0
75,22.26,22.27,22.26,22.25,4.0
76,22.55,,22.56,22.53,1.0
77,22.85,22.85,22.85,,2.0
78,23.13,23.13,23.13,23.11,3.0
79,23.42,23.45,23.42,23.4,4.0
80,23.71,,23.71,23.69,1.0
81,24.0,,24.01,23.99,2.0
82,24.29,24.32,24.28,24.27,3.0
83,24.58,24.62,24.58,24.57,4.0
84,24.87,24.87,24.87,24.86,1.0
85,25.18,25.18,25.17,,2.0
86,25.47,,25.48,25.46,3.0
87,25.78,25.78,25.78,,4.0
88,26.07,,26.07,26.05,1.0
89,26.36,,26.36,26.35,2.0
90,26.65,,26.66,26.63,3.0
91,26.95,26.96,26.94,26.93,4.0
92,27.25,27.22,27.24,27.22,1.0
93,27.55,27.54,27.53,27.61,2.0
94,27.85,,27.84,,3.0
95,28.15,,28.12,28.18,4.0
96,28.46,28.49,,,1.0
97,28.75,,,28.81,2.0
98,29.06,29.07,,29.13,3.0
99,29.36,29.41,,,4.0
100,29.65,29.65,,29.67,1.0
101,29.96,30.0,,29.96,2.0
102,30.25,,,30.29,3.0
103,30.55,30.55,,,4.0
104,30.86,,30.92,30.83,1.0
105,31.16,,31.22,31.2,2.0
106,31.46,31.51,31.52,31.49,3.0
107,31.76,,31.78,31.77,4.0
108,32.06,32.11,32.06,32.06,1.0
109,32.36,,32.37,32.36,2.0
110,32.66,32.66,32.67,32.65,3.0
111,32.94,,32.95,32.93,4.0
112,33.24,33.25,33.25,33.22,1.0
113,33.53,,33.53,33.53,2.0
114,33.83,33.83,33.84,33.82,3.0
115,34.12,34.13,34.12,34.1,4.0
116,34.41,34.47,34.4,34.39,1.0
117,34.7,34.75,34.7,34.69,2.0
118,34.98,35.05,34.95,,3.0
119,35.27,,35.28,35.26,4.0
120,35.56,35.57,35.55,,1.0
121,35.86,,35.87,,2.0
122,36.14,36.15,36.14,36.13,3.0
123,36.43,36.44,36.43,36.41,4.0
124,36.74,36.74,36.74,36.74,1.0
125,37.03,,37.04,37.03,2.0
126,37.34,37.36,37.34,37.32,3.0
127,37.62,,37.63,37.61,4.0
128,37.91,37.94,37.93,37.91,1.0
129,38.21,,38.22,38.21,2.0
130,38.51,38.54,38.52,38.5,3.0
131,38.8,,38.8,38.8,4.0
132,39.11,39.12,39.11,39.09,1.0
133,39.4,,39.41,39.39,2.0
