,beats,piano,bass,drums,metre_auto
0,0.4,0.44,0.41,0.41,4.0
1,0.81,0.84,0.82,0.81,1.0
2,1.22,1.27,1.23,1.23,2.0
3,1.63,1.65,1.63,1.64,3.0
4,2.04,2.08,2.07,2.06,4.0
5,2.45,,2.48,2.46,1.0
6,2.86,2.89,2.89,2.86,2.0
7,3.27,,3.28,3.28,3.0
8,3.68,,3.7,3.68,4.0
9,4.09,4.13,4.1,4.09,1.0
10,4.5,4.53,4.51,4.51,2.0
11,4.91,4.96,4.92,4.91,3.0
12,5.32,,5.31,5.32,4.0
13,5.73,,5.74,5.74,1.0
14,6.14,6.15,6.15,6.15,2.0
15,6.55,,6.57,6.56,3.0
16,6.96,,6.98,6.98,4.0
17,7.37,7.43,7.38,7.38,1.0
18,7.77,,7.79,7.77,2.0
19,8.19,8.23,8.19,8.19,3.0
20,8.59,8.63,8.6,8.59,4.0
21,8.99,9.09,9.0,9.0,1.0
22,9.41,,9.4,9.41,2.0
23,9.82,,9.82,9.82,3.0
24,10.23,10.25,10.24,10.23,4.0
25,10.63,10.66,10.63,10.64,1.0
26,11.04,11.06,11.04,11.04,2.0
27,11.45,11.47,11.45,11.45,3.0
28,11.86,,11.84,11.86,4.0
29,12.27,12.29,,12.26,1.0
30,12.68,12.68,12.67,12.66,2.0
31,13.09,13.07,13.08,13.07,3.0
32,13.5,13.5,13.48,13.49,4.0
33,13.91,13.94,13.9,13.9,1.0
34,14.32,,14.32,14.32,2.0
35,14.74,14.75,14.75,14.74,3.0
36,15.16,15.17,15.18,15.17,4.0
37,15.57,,15.6,15.59,1.0
38,15.98,16.06,16.02,16.02,2.0
39,16.39,16.4,16.44,16.39,3.0
40,16.8,16.87,16.82,16.79,4.0
41,17.21,17.27,17.22,17.21,1.0
42,17.62,17.7,17.63,17.62,2.0
43,18.03,18.07,18.04,18.03,3.0
44,18.44,,18.45,18.44,4.0
45,18.84,18.91,18.85,18.84,1.0
46,19.24,,19.25,19.24,2.0
47,19.65,19.7,19.65,19.65,3.0
48,20.06,20.09,20.06,20.06,4.0
49,20.47,20.51,20.46,20.46,1.0
50,20.88,20.88,20.86,20.86,2.0
51,21.29,21.3,21.25,21.26,3.0
52,21.7,21.68,21.66,21.66,4.0
53,22.11,22.08,22.06,22.07,1.0
54,22.52,22.5,22.47,22.48,2.0
55,22.93,22.91,22.89,22.89,3.0
56,23.34,23.35,23.32,23.31,4.0
57,23.75,,23.73,23.73,1.0
58,24.16,,24.14,24.14,2.0
59,24.57,24.56,24.55,24.56,3.0
60,24.98,24.96,24.95,24.96,4.0
61,25.39,,25.37,25.37,1.0
62,25.8,25.9,25.79,25.78,2.0
63,26.21,26.26,26.19,26.19,3.0
64,26.62,26.66,26.6,26.61,4.0
65,27.03,27.04,27.01,27.02,1.0
66,27.44,27.48,27.41,27.42,2.0
67,27.85,,27.84,27.84,3.0
68,28.26,,28.25,28.25,4.0
69,28.68,,28.67,28.68,1.0
70,29.1,29.11,29.09,29.1,2.0
71,29.51,,29.52,29.52,3.0
72,29.93,29.93,29.93,29.93,4.0
73,30.35,30.45,30.35,30.35,1.0
74,30.76,30.72,30.76,30.76,2.0
75,31.17,,31.16,31.17,3.0
76,31.59,31.64,31.57,31.58,4.0
77,31.99,,31.99,31.99,1.0
78,32.4,32.41,32.4,32.41,2.0
79,32.82,32.88,32.82,32.82,3.0
80,33.24,,33.24,33.24,4.0
81,33.64,,33.65,33.65,1.0
82,34.06,34.09,34.06,34.06,2.0
83,34.48,,34.48,34.48,3.0
84,34.89,,34.89,34.89,4.0
85,35.3,35.29,35.3,35.3,1.0
86,35.72,35.73,35.72,35.72,2.0
87,36.13,,36.15,36.13,3.0
88,36.55,36.56,36.56,36.55,4.0
89,36.96,,36.97,36.97,1.0
90,37.37,37.46,37.39,37.37,2.0
91,37.79,37.83,37.79,37.79,3.0
92,38.21,,38.2,38.2,4.0
93,38.63,38.65,38.63,38.63,1.0
94,39.04,39.07,39.04,39.04,2.0
95,39.45,39.49,39.45,39.45,3.0
96,39.87,39.91,39.86,39.87,4.0
97,40.28,,40.29,40.28,1.0
98,40.71,40.71,40.7,40.7,2.0
99,41.13,41.14,41.13,41.13,3.0
100,41.55,41.6,41.55,41.55,4.0
101,41.97,41.98,41.96,41.97,1.0
102,42.37,42.4,42.37,42.38,2.0
103,42.8,,42.8,42.8,3.0
104,43.2,43.22,43.21,43.2,4.0
105,43.61,43.65,43.62,43.61,1.0
