,beats,piano,bass,drums,metre_auto
0,0.38,0.49,0.37,0.37,1.0
1,0.82,0.87,0.85,0.8,2.0
2,1.27,,,1.25,3.0
3,1.69,,1.7,1.66,4.0
4,2.12,2.11,2.13,2.12,1.0
5,2.55,,2.56,2.55,2.0
6,2.99,2.94,2.98,2.99,3.0
7,3.42,3.41,3.44,3.42,4.0
8,3.88,3.92,,3.87,1.0
9,4.3,4.35,4.32,4.29,2.0
10,4.72,4.68,4.72,4.73,3.0
11,5.16,5.27,5.17,5.16,4.0
12,5.59,5.61,5.61,5.59,1.0
13,6.03,6.01,6.04,6.03,2.0
14,6.45,6.44,6.46,6.46,3.0
15,6.88,6.97,6.9,6.88,4.0
16,7.31,7.31,7.3,7.32,1.0
17,7.75,7.76,7.76,7.74,2.0
18,8.18,8.2,8.16,8.18,3.0
19,8.6,8.6,8.58,8.6,4.0
20,9.04,,9.05,9.04,1.0
21,9.46,9.41,9.46,9.46,2.0
22,9.89,,9.89,9.9,3.0
23,10.32,10.33,10.32,10.32,4.0
24,10.77,10.76,10.75,10.76,1.0
25,11.19,11.19,11.2,11.19,2.0
26,11.65,11.69,11.65,11.64,3.0
27,12.1,12.1,12.1,12.08,4.0
28,12.55,,12.55,,1.0
29,12.99,,13.0,12.96,2.0
30,13.43,13.43,,13.45,3.0
31,13.89,,13.9,13.87,4.0
32,14.35,14.37,14.34,14.34,1.0
33,14.78,,14.79,14.76,2.0
34,15.23,,15.24,15.23,3.0
35,15.65,15.68,15.64,15.63,4.0
36,16.11,16.13,16.11,16.08,1.0
37,16.52,16.56,16.55,16.52,2.0
38,16.98,,16.94,16.99,3.0
39,17.41,17.42,17.41,17.41,4.0
40,17.85,,17.85,17.86,1.0
41,18.29,,18.29,18.29,2.0
42,18.74,,18.74,18.74,3.0
43,19.17,,19.19,19.16,4.0
44,19.61,,19.61,19.61,1.0
45,20.03,20.06,20.05,20.03,2.0
46,20.49,20.53,20.48,20.52,3.0
47,20.93,21.04,20.94,20.9,4.0
48,21.37,21.37,21.38,21.35,1.0
49,21.79,21.84,21.8,21.77,2.0
50,22.25,22.3,22.25,22.22,3.0
51,22.66,22.73,22.67,22.65,4.0
52,23.1,23.14,23.11,23.1,1.0
53,23.54,,23.55,23.52,2.0
54,23.97,23.96,23.97,23.97,3.0
55,24.42,,24.43,24.4,4.0
56,24.87,24.87,24.86,24.87,1.0
57,25.31,25.31,25.37,25.28,2.0
58,25.78,25.79,25.78,,3.0
59,26.19,26.21,,26.18,4.0
60,26.65,,,26.65,1.0
61,27.07,27.07,,27.06,2.0
62,27.53,27.52,27.53,,3.0
63,27.96,27.95,,27.97,4.0
64,28.41,28.41,28.46,28.41,1.0
65,28.85,28.85,28.87,28.84,2.0
66,29.3,,29.3,29.32,3.0
67,29.74,,29.79,29.73,4.0
68,30.19,30.2,30.2,30.18,1.0
69,30.61,,30.63,30.61,2.0
70,31.06,31.16,31.06,31.08,3.0
71,31.5,31.58,31.5,31.49,4.0
72,31.94,,31.93,31.95,1.0
73,32.37,32.34,32.38,32.37,2.0
74,32.84,32.89,32.84,32.82,3.0
75,33.26,,33.28,33.25,4.0
76,33.68,33.68,,33.69,1.0
77,34.13,34.21,34.14,34.11,2.0
78,34.58,34.65,34.57,34.57,3.0
79,35.01,,35.01,35.01,4.0
80,35.46,35.48,35.44,35.46,1.0
81,35.89,35.9,35.9,35.88,2.0
82,36.35,36.42,36.35,36.35,3.0
83,36.79,36.84,36.79,36.79,4.0
84,37.24,37.23,37.24,37.24,1.0
85,37.67,,37.67,37.65,2.0
86,38.1,38.11,38.11,38.1,3.0
87,38.54,38.55,38.54,38.53,4.0
88,38.98,38.98,38.97,38.98,1.0
89,39.42,39.44,39.42,39.41,2.0
90,39.87,,39.86,39.86,3.0
91,40.31,40.4,40.31,40.3,4.0
92,40.75,40.86,40.74,40.74,1.0
93,41.22,41.22,41.21,41.17,2.0
94,41.67,41.68,41.68,41.64,3.0
95,42.1,42.07,42.11,42.07,4.0
96,42.56,42.63,42.56,42.55,1.0
97,42.98,42.98,42.98,42.98,2.0
98,43.44,43.45,43.44,43.43,3.0
99,43.88,,43.91,43.87,4.0
100,44.34,,44.34,44.36,1.0
101,44.78,44.73,44.79,44.77,2.0
102,45.23,45.32,45.23,45.23,3.0
103,45.66,45.75,45.66,45.64,4.0
104,46.12,46.2,46.12,46.1,1.0
105,46.55,,46.56,46.52,2.0
106,47.0,46.99,47.0,46.99,3.0
107,47.43,,47.46,47.42,4.0
108,47.87,47.98,,47.87,1.0
109,48.32,48.35,48.31,48.31,2.0
110,48.79,48.8,48.79,48.76,3.0
111,49.22,49.25,49.22,49.21,4.0
112,49.69,,49.71,49.66,1.0
113,50.1,50.07,50.11,50.09,2.0
114,50.55,50.64,50.55,50.55,3.0
115,50.99,51.09,51.0,50.98,4.0
116,51.41,,51.44,51.4,1.0
117,51.87,,51.88,51.85,2.0
118,52.3,52.28,52.35,52.32,3.0
119,52.76,52.74,52.77,52.74,4.0
120,53.21,53.2,53.24,53.2,1.0
121,53.63,,53.68,53.63,2.0
122,54.09,54.19,54.08,54.09,3.0
123,54.52,,54.56,54.52,4.0
124,54.97,55.0,,54.97,1.0
125,55.42,55.42,55.45,55.42,2.0
126,55.88,,55.9,55.88,3.0
127,56.33,56.36,56.36,56.32,4.0
128,56.78,56.85,,56.77,1.0
129,57.21,57.25,57.22,57.2,2.0
130,57.67,57.75,,57.65,3.0
131,58.1,58.1,58.11,58.08,4.0
132,58.54,58.54,,58.52,1.0
133,58.96,58.97,,58.96,2.0
134,59.42,59.46,,59.41,3.0
135,59.86,59.83,,59.86,4.0
136,60.31,60.29,,60.32,1.0
137,60.74,60.74,60.75,60.74,2.0
138,61.19,61.27,61.18,61.19,3.0
139,61.63,61.64,61.63,61.61,4.0
140,62.08,62.09,62.08,62.05,1.0
141,62.49,62.55,62.51,62.49,2.0
142,62.96,63.05,62.96,62.97,3.0
143,63.38,63.39,,63.38,4.0
144,63.84,,63.84,63.84,1.0
145,64.27,,64.3,64.26,2.0
146,64.71,,64.7,64.72,3.0
147,65.15,65.18,65.15,65.15,4.0
148,65.59,,65.59,65.6,1.0
149,66.02,66.12,66.03,66.02,2.0
150,66.46,,66.45,66.48,3.0
151,66.91,66.92,66.91,66.91,4.0
152,67.37,67.37,,67.36,1.0
153,67.8,,67.83,67.79,2.0
154,68.27,68.37,68.27,68.26,3.0
155,68.7,68.69,68.69,68.69,4.0
156,69.17,69.21,69.13,69.15,1.0
157,69.59,,69.58,69.58,2.0
158,70.06,70.06,70.01,70.04,3.0
159,70.49,70.51,70.49,70.48,4.0
160,70.96,70.96,70.94,,1.0
161,71.39,71.38,71.4,71.36,2.0
162,71.85,,71.85,,3.0
163,72.31,72.34,72.31,72.27,4.0
