,beats,piano,bass,drums,metre_auto
0,0.34,0.35,0.34,0.35,3.0
1,0.77,0.77,0.77,0.77,4.0
2,1.19,1.22,1.21,1.19,1.0
3,1.62,,,1.62,2.0
4,2.05,2.15,2.04,2.05,3.0
5,2.46,2.56,2.46,2.46,4.0
6,2.89,2.9,2.88,2.89,1.0
7,3.31,3.31,3.35,3.31,2.0
8,3.74,3.75,3.74,3.75,3.0
9,4.17,4.17,4.17,4.17,4.0
10,4.6,4.62,4.61,4.6,1.0
11,5.02,,5.02,5.02,2.0
12,5.44,5.53,5.44,5.45,3.0
13,5.85,5.92,5.87,5.85,4.0
14,6.28,6.29,6.29,6.29,1.0
15,6.71,6.75,6.7,6.71,2.0
16,7.13,7.13,7.13,7.14,3.0
17,7.56,7.56,7.57,7.56,4.0
18,7.99,8.0,8.0,8.0,1.0
19,8.41,8.39,8.41,8.41,2.0
20,8.84,8.93,8.84,8.85,3.0
21,9.26,9.28,9.26,9.27,4.0
22,9.69,9.72,9.68,9.69,1.0
23,10.12,10.11,10.13,10.12,2.0
24,10.55,10.55,10.58,10.55,3.0
25,10.98,10.98,10.98,10.98,4.0
26,11.42,11.43,11.41,11.42,1.0
27,11.85,,11.85,11.85,2.0
28,12.28,12.27,12.29,12.28,3.0
29,12.71,12.7,12.71,12.72,4.0
30,13.14,13.14,,13.14,1.0
31,13.57,,13.58,13.57,2.0
32,14.0,13.99,14.02,14.02,3.0
33,14.42,14.44,14.42,14.42,4.0
34,14.86,,,14.86,1.0
35,15.3,15.36,15.35,15.31,2.0
36,15.73,15.74,15.76,15.76,3.0
37,16.16,16.18,16.16,16.18,4.0
38,16.59,,16.6,16.61,1.0
39,17.02,17.07,,17.03,2.0
40,17.45,17.45,17.45,17.46,3.0
41,17.87,,,17.88,4.0
42,18.31,18.38,18.36,18.32,1.0
43,18.73,18.78,18.76,18.73,2.0
44,19.16,19.2,19.16,19.16,3.0
45,19.58,19.58,19.59,19.57,4.0
46,20.01,,19.99,20.01,1.0
47,20.44,,20.42,20.43,2.0
48,20.87,20.86,20.88,20.85,3.0
49,21.3,21.29,21.29,21.29,4.0
50,21.73,21.74,21.72,21.72,1.0
51,22.16,,22.18,22.15,2.0
52,22.59,22.58,22.59,22.59,3.0
53,23.02,23.05,23.01,23.02,4.0
54,23.45,23.54,23.44,23.45,1.0
55,23.88,23.93,23.89,23.89,2.0
56,24.33,24.34,24.33,24.33,3.0
57,24.75,,24.75,24.75,4.0
58,25.19,25.21,25.2,25.19,1.0
59,25.62,25.64,25.65,25.62,2.0
60,26.04,26.07,26.07,26.05,3.0
61,26.48,26.48,26.51,26.48,4.0
62,26.91,26.94,26.92,26.91,1.0
63,27.34,27.38,27.42,27.35,2.0
64,27.77,27.81,27.8,27.79,3.0
65,28.2,28.26,28.22,28.23,4.0
66,28.63,,28.68,28.67,1.0
67,29.06,,29.12,29.09,2.0
68,29.49,,29.52,29.51,3.0
69,29.92,29.94,29.94,29.94,4.0
70,30.35,30.38,30.36,30.37,1.0
71,30.78,,30.81,30.79,2.0
72,31.21,31.24,31.23,31.23,3.0
73,31.64,,31.66,31.66,4.0
74,32.07,,32.09,32.05,1.0
75,32.5,,32.51,32.5,2.0
76,32.93,,32.95,32.93,3.0
77,33.34,,33.37,33.34,4.0
78,33.77,,33.79,33.77,1.0
79,34.2,,34.22,34.2,2.0
80,34.63,,34.64,34.63,3.0
81,35.04,35.02,35.05,35.04,4.0
82,35.47,,35.51,35.47,1.0
83,35.88,,35.9,35.89,2.0
84,36.32,,36.35,36.33,3.0
85,36.74,,36.77,36.74,4.0
86,37.17,37.17,37.18,37.17,1.0
87,37.6,,37.62,37.6,2.0
88,38.03,,38.04,38.03,3.0
89,38.44,,38.48,38.44,4.0
90,38.87,38.87,38.88,38.87,1.0
91,39.29,,39.32,39.29,2.0
92,39.72,,39.73,39.72,3.0
93,40.14,40.14,40.15,40.14,4.0
94,40.56,,40.58,40.56,1.0
95,40.98,40.99,40.98,40.98,2.0
96,41.41,,41.44,41.41,3.0
97,41.83,41.84,41.83,41.83,4.0
98,42.28,42.3,42.29,42.27,1.0
99,42.7,42.71,42.71,42.7,2.0
100,43.13,43.13,43.13,43.13,3.0
101,43.54,,43.57,43.54,4.0
102,43.97,,43.98,43.97,1.0
103,44.4,,44.42,44.4,2.0
104,44.83,,44.86,44.83,3.0
105,45.24,45.25,45.25,45.25,4.0
106,45.67,45.69,45.69,45.67,1.0
107,46.1,,46.12,46.11,2.0
108,46.53,,46.55,46.53,3.0
109,46.94,,46.95,46.95,4.0
110,47.37,47.4,47.4,47.37,1.0
111,47.8,47.8,,47.8,2.0
112,48.23,,48.24,48.23,3.0
113,48.65,48.67,48.65,48.65,4.0
114,49.08,49.1,49.08,49.07,1.0
115,49.5,49.52,49.5,49.5,2.0
116,49.92,49.96,49.92,49.92,3.0
117,50.34,,50.37,50.34,4.0
118,50.77,,50.76,50.76,1.0
119,51.2,51.22,51.22,51.18,2.0
120,51.63,51.6,51.61,51.62,3.0
121,52.06,52.02,52.03,52.02,4.0
122,52.49,52.46,52.47,52.46,1.0
123,52.92,,52.9,52.88,2.0
124,53.35,53.37,53.33,53.31,3.0
125,53.78,,53.77,,4.0
126,54.21,54.17,54.18,54.16,1.0
127,54.64,,54.6,54.59,2.0
128,55.07,,55.04,55.03,3.0
129,55.5,,55.46,55.45,4.0
130,55.93,,,55.89,1.0
131,56.36,,56.32,56.33,2.0
132,56.79,56.76,56.77,56.77,3.0
133,57.22,57.21,57.29,57.19,4.0
134,57.65,,,57.64,1.0
135,58.08,,,58.07,2.0
136,58.51,58.47,58.51,58.51,3.0
137,58.94,58.95,58.93,58.93,4.0
138,59.38,,,59.37,1.0
139,59.82,59.84,59.82,59.82,2.0
140,60.24,60.23,60.26,60.25,3.0
141,60.67,60.67,,60.67,4.0
142,61.1,,61.11,61.1,1.0
143,61.54,61.61,61.56,61.54,2.0
144,61.97,,61.98,61.98,3.0
145,62.4,,62.44,62.41,4.0
146,62.83,62.83,62.83,62.84,1.0
147,63.26,,,63.26,2.0
148,63.69,63.7,63.69,63.69,3.0
149,64.11,64.14,64.12,64.12,4.0
150,64.54,64.61,64.55,64.54,1.0
151,64.98,64.99,65.01,64.98,2.0
152,65.4,65.45,65.41,65.4,3.0
153,65.83,65.87,65.86,65.83,4.0
154,66.27,66.31,66.28,66.27,1.0
155,66.7,66.71,66.73,66.7,2.0
156,67.13,,67.14,67.13,3.0
157,67.55,,,67.55,4.0
158,67.99,,68.0,68.01,1.0
159,68.42,68.39,68.44,68.42,2.0
160,68.84,68.8,68.85,68.86,3.0
161,69.28,,69.28,69.28,4.0
162,69.7,69.7,69.71,69.72,1.0
163,70.14,70.14,70.14,70.14,2.0
164,70.57,70.58,70.56,70.56,3.0
165,70.99,,71.0,70.99,4.0
166,71.41,71.47,71.41,71.43,1.0
167,71.84,71.8,71.84,71.85,2.0
168,72.26,72.27,72.26,72.27,3.0
169,72.69,72.64,72.66,72.69,4.0
170,73.11,73.1,73.11,73.13,1.0
171,73.54,73.6,73.51,73.55,2.0
172,73.98,74.02,73.97,73.97,3.0
173,74.4,,74.39,74.4,4.0
174,74.83,74.89,74.82,74.83,1.0
175,75.26,,75.26,75.26,2.0
176,75.69,75.71,75.69,75.69,3.0
177,76.13,,76.12,76.13,4.0
178,76.56,76.58,76.56,76.55,1.0
179,76.99,77.03,76.99,76.99,2.0
180,77.42,77.46,77.42,77.42,3.0
181,77.85,77.91,77.85,77.85,4.0
182,78.28,78.34,78.29,78.28,1.0
183,78.71,,78.74,78.71,2.0
184,79.14,79.15,79.16,79.14,3.0
185,79.57,79.59,79.58,79.57,4.0
186,80.01,80.03,80.01,80.01,1.0
187,80.42,80.49,80.45,80.42,2.0
188,80.85,80.89,80.86,80.85,3.0
189,81.27,,81.31,81.28,4.0
190,81.71,,81.7,81.72,1.0
191,82.13,82.17,82.14,82.13,2.0
192,82.56,82.6,82.56,82.57,3.0
193,82.99,83.01,83.02,82.99,4.0
194,83.43,83.48,83.43,83.42,1.0
195,83.85,,83.86,83.85,2.0
196,84.28,,84.28,84.28,3.0
197,84.7,,84.71,84.71,4.0
198,85.14,85.14,85.15,85.14,1.0
199,85.57,,85.57,85.57,2.0
200,86.0,86.02,86.0,86.0,3.0
201,86.42,86.46,86.42,86.43,4.0
202,86.86,86.86,86.87,86.87,1.0
203,87.28,87.32,87.32,87.28,2.0
204,87.71,87.68,87.72,87.71,3.0
205,88.13,88.13,88.13,88.13,4.0
206,88.55,,88.56,88.55,1.0
207,88.98,,89.02,88.98,2.0
208,89.41,89.46,89.42,89.41,3.0
209,89.83,89.84,89.85,89.83,4.0
210,90.27,,90.27,90.27,1.0
211,90.7,,90.73,90.7,2.0
212,91.13,91.08,91.14,91.13,3.0
213,91.57,,91.57,91.56,4.0
214,92.0,92.01,92.0,92.0,1.0
215,92.42,,92.43,92.42,2.0
216,92.86,92.88,92.86,92.86,3.0
217,93.29,93.3,93.3,93.29,4.0
218,93.72,,93.73,93.72,1.0
219,94.14,,94.17,94.14,2.0
220,94.57,,94.58,94.58,3.0
