,beats,piano,bass,drums,metre_auto
0,0.14,,,0.15,4.0
1,0.48,0.49,,,1.0
2,0.8,0.81,,,2.0
3,1.13,1.14,,,3.0
4,1.48,,1.47,1.48,4.0
5,1.79,1.82,1.79,,1.0
6,2.11,2.18,2.12,2.15,2.0
7,2.47,,2.45,2.5,3.0
8,2.79,,2.77,,4.0
9,3.14,,,,1.0
10,3.47,3.49,,,2.0
11,3.79,3.79,3.78,,3.0
12,4.14,4.12,4.13,4.14,4.0
13,4.47,,,4.47,1.0
14,4.8,,4.81,,2.0
15,5.14,5.18,5.14,,3.0
16,5.5,5.52,,,4.0
17,5.82,5.84,5.83,5.82,1.0
18,6.15,6.16,6.16,6.15,2.0
19,6.49,,,,3.0
20,6.82,6.86,6.8,6.82,4.0
21,7.18,,7.22,7.18,1.0
22,7.52,,7.53,,2.0
23,7.84,,7.84,7.84,3.0
24,8.16,8.17,,8.2,4.0
25,8.51,8.52,8.51,,1.0
26,8.85,8.89,8.82,8.85,2.0
27,9.2,,9.16,9.22,3.0
28,9.54,9.55,9.5,,4.0
29,9.88,,,9.85,1.0
30,10.21,,,,2.0
31,10.53,,,,3.0
32,10.84,10.87,10.81,10.84,4.0
33,11.17,,,11.17,1.0
34,11.51,11.54,11.53,11.51,2.0
35,11.82,,11.85,11.82,3.0
36,12.16,,,,4.0
37,12.5,,12.51,,1.0
38,12.86,12.88,,,2.0
39,13.2,,13.16,13.21,3.0
40,13.53,13.55,,13.52,4.0
41,13.86,,,13.85,1.0
42,14.18,14.19,14.19,14.19,2.0
43,14.52,,14.53,14.52,3.0
44,14.85,14.87,,,4.0
45,15.19,,,15.19,1.0
46,15.51,,,,2.0
47,15.82,15.82,15.82,15.88,3.0
48,16.18,,,16.17,4.0
49,16.51,,,,1.0
50,16.82,16.88,16.81,,2.0
51,17.17,17.24,,17.17,3.0
52,17.52,,,17.52,4.0
53,17.86,,17.85,17.86,1.0
54,18.19,,18.15,18.22,2.0
55,18.5,,18.5,18.52,3.0
56,18.83,,,18.83,4.0
57,19.18,19.21,19.15,19.18,1.0
58,19.51,,,,2.0
59,19.85,19.89,19.86,,3.0
60,20.2,20.25,20.21,20.2,4.0
61,20.53,,,,1.0
62,20.86,,,,2.0
63,21.19,,,,3.0
64,21.51,21.53,21.51,21.55,4.0
65,21.87,,,21.87,1.0
66,22.19,,,,2.0
67,22.54,22.54,,22.55,3.0
68,22.86,,,22.86,4.0
69,23.18,,,23.22,1.0
70,23.5,23.5,,23.55,2.0
71,23.81,23.85,,23.8,3.0
72,24.13,,24.1,24.13,4.0
73,24.47,,24.47,24.47,1.0
74,24.81,,,24.82,2.0
75,25.14,25.17,25.12,25.15,3.0
76,25.45,25.48,,25.45,4.0
77,25.8,25.84,25.8,25.88,1.0
78,26.13,26.16,26.13,26.13,2.0
79,26.46,26.47,26.46,26.44,3.0
80,26.78,26.79,26.76,26.77,4.0
81,27.12,,,,1.0
82,27.45,,,27.45,2.0
83,27.77,27.79,27.77,27.76,3.0
84,28.09,,28.11,28.09,4.0
85,28.43,,,28.47,1.0
86,28.74,28.8,28.74,,2.0
87,29.09,,,29.1,3.0
88,29.41,,,29.41,4.0
89,29.73,29.69,29.73,29.74,1.0
90,30.06,,,30.06,2.0
91,30.39,30.42,,30.39,3.0
92,30.71,30.71,30.7,30.71,4.0
93,31.04,31.07,31.04,,1.0
94,31.4,31.41,31.36,,2.0
95,31.74,31.81,,31.76,3.0
96,32.06,32.07,32.05,,4.0
97,32.4,32.42,,32.39,1.0
98,32.73,32.74,32.7,32.73,2.0
99,33.07,,,,3.0
100,33.4,33.44,33.44,33.41,4.0
101,33.73,33.79,33.79,33.73,1.0
102,34.06,,,,2.0
103,34.38,34.39,34.37,,3.0
104,34.69,34.7,,,4.0
105,35.02,,35.02,35.02,1.0
106,35.37,35.39,35.36,35.37,2.0
107,35.7,,35.69,35.7,3.0
108,36.05,36.05,,,4.0
109,36.36,,36.34,36.37,1.0
110,36.7,36.74,,,2.0
111,37.03,37.11,37.01,37.03,3.0
112,37.38,37.43,,37.38,4.0
113,37.71,,37.72,37.71,1.0
114,38.05,,,38.04,2.0
115,38.4,38.41,38.36,38.39,3.0
116,38.72,38.75,,38.78,4.0
117,39.03,,39.02,39.0,1.0
118,39.36,,,39.37,2.0
119,39.69,,39.7,39.67,3.0
120,40.03,40.0,,40.03,4.0
121,40.35,40.31,40.36,40.35,1.0
122,40.69,,,40.69,2.0
123,41.03,41.04,41.03,41.02,3.0
124,41.35,41.37,,41.35,4.0
125,41.69,,41.71,41.68,1.0
126,42.02,,42.02,42.02,2.0
127,42.36,,,42.36,3.0
128,42.71,42.72,42.71,42.68,4.0
129,43.03,,43.03,43.03,1.0
130,43.38,,,,2.0
131,43.71,,43.72,43.7,3.0
132,44.03,,,44.03,4.0
133,44.38,,,44.38,1.0
134,44.71,44.72,,44.71,2.0
135,45.04,45.04,45.02,45.07,3.0
136,45.39,45.39,,45.4,4.0
137,45.73,45.74,45.69,45.72,1.0
138,46.06,46.07,46.04,46.05,2.0
139,46.39,,46.39,46.39,3.0
140,46.73,,46.71,46.71,4.0
141,47.04,,,47.04,1.0
142,47.4,47.41,,47.38,2.0
143,47.71,,47.71,47.7,3.0
144,48.06,48.06,,,4.0
145,48.4,48.41,,48.4,1.0
146,48.74,48.75,,48.72,2.0
147,49.07,,49.03,,3.0
148,49.43,49.44,,49.39,4.0
149,49.75,,49.73,49.72,1.0
150,50.09,,,,2.0
151,50.43,,,50.43,3.0
152,50.75,50.72,50.72,50.76,4.0
153,51.07,51.09,,51.06,1.0
154,51.4,51.41,51.39,51.4,2.0
155,51.73,51.74,,51.71,3.0
156,52.05,52.05,52.06,52.05,4.0
157,52.39,,52.36,,1.0
158,52.73,,52.71,52.73,2.0
159,53.07,53.07,53.12,,3.0
160,53.4,53.39,53.4,,4.0
161,53.76,53.79,,53.76,1.0
162,54.1,,54.1,54.11,2.0
163,54.42,,,54.41,3.0
164,54.78,54.81,,,4.0
165,55.1,,,55.11,1.0
166,55.43,,55.42,55.42,2.0
167,55.79,55.79,,55.79,3.0
168,56.12,,56.08,,4.0
169,56.45,,,56.45,1.0
170,56.79,,56.75,56.79,2.0
171,57.11,,,57.12,3.0
172,57.46,57.48,,,4.0
173,57.8,57.82,,57.8,1.0
174,58.13,,58.09,58.1,2.0
175,58.47,58.5,,58.46,3.0
176,58.79,,58.76,,4.0
177,59.14,59.16,,59.14,1.0
178,59.46,59.47,59.48,59.46,2.0
179,59.81,,,59.81,3.0
180,60.12,,60.11,,4.0
181,60.48,,,60.48,1.0
182,60.81,,,60.8,2.0
183,61.15,61.17,,61.15,3.0
184,61.49,61.49,61.45,,4.0
185,61.81,61.83,,61.81,1.0
186,62.15,62.15,,62.13,2.0
187,62.48,62.49,,62.47,3.0
188,62.82,62.81,,62.81,4.0
189,63.16,63.2,,,1.0
190,63.48,63.49,,63.47,2.0
191,63.81,63.83,63.78,63.8,3.0
192,64.13,,64.13,64.13,4.0
193,64.47,64.54,64.46,64.48,1.0
194,64.78,64.83,64.77,64.79,2.0
195,65.14,65.17,65.11,65.14,3.0
196,65.46,65.49,65.46,65.46,4.0
197,65.8,,65.79,65.82,1.0
198,66.13,,66.12,66.14,2.0
199,66.47,,66.47,66.48,3.0
200,66.82,66.85,66.8,66.82,4.0
201,67.17,67.24,67.14,67.17,1.0
202,67.5,67.55,67.5,67.5,2.0
203,67.85,67.81,67.85,67.85,3.0
204,68.17,,68.16,68.17,4.0
205,68.5,68.46,68.51,68.5,1.0
206,68.84,68.86,68.86,68.83,2.0
207,69.19,69.26,69.19,69.16,3.0
208,69.51,69.57,69.52,69.5,4.0
209,69.85,69.93,69.86,69.84,1.0
210,70.17,,70.18,70.17,2.0
211,70.51,70.57,70.52,70.52,3.0
212,70.85,70.92,70.85,70.85,4.0
213,71.18,,71.18,71.19,1.0
214,71.51,71.57,71.51,71.52,2.0
215,71.85,71.89,71.85,71.85,3.0
216,72.18,72.22,72.18,72.17,4.0
217,72.53,72.57,72.53,72.51,1.0
218,72.85,72.87,72.85,72.84,2.0
219,73.19,73.19,73.19,73.18,3.0
220,73.51,73.52,73.52,73.51,4.0
221,73.85,73.81,73.85,73.85,1.0
222,74.18,74.22,74.19,74.18,2.0
223,74.51,74.55,74.52,74.5,3.0
224,74.83,74.87,74.86,74.83,4.0
225,75.18,75.19,75.19,75.17,1.0
226,75.51,75.52,75.53,75.49,2.0
227,75.83,,75.8,75.83,3.0
228,76.18,76.19,76.2,76.18,4.0
229,76.52,76.48,76.52,76.53,1.0
230,76.87,76.91,76.83,76.87,2.0
231,77.19,77.25,77.19,77.2,3.0
232,77.52,77.57,77.51,77.51,4.0
233,77.88,77.9,77.88,77.86,1.0
234,78.2,78.21,78.22,78.2,2.0
235,78.52,,78.53,78.52,3.0
236,78.86,78.85,78.87,78.85,4.0
237,79.19,,79.19,79.19,1.0
238,79.52,79.48,79.53,79.52,2.0
239,79.86,79.93,79.86,79.86,3.0
240,80.18,80.25,80.18,80.19,4.0
241,80.52,,80.53,80.53,1.0
242,80.86,80.93,80.85,80.86,2.0
243,81.2,81.27,81.2,81.2,3.0
244,81.54,81.58,81.54,81.53,4.0
245,81.88,81.94,81.88,81.88,1.0
246,82.21,82.23,82.22,82.2,2.0
247,82.54,82.57,82.53,82.54,3.0
248,82.86,82.9,82.86,82.86,4.0
249,83.21,,83.2,83.21,1.0
250,83.54,83.59,83.55,83.54,2.0
251,83.9,83.92,83.91,83.88,3.0
252,84.24,84.26,84.24,84.22,4.0
253,84.58,,84.61,84.59,1.0
254,84.92,84.92,84.93,84.91,2.0
255,85.26,85.34,85.26,85.27,3.0
256,85.57,85.65,85.58,85.57,4.0
257,85.93,85.95,85.91,85.92,1.0
