,beats,piano,bass,drums,metre_auto
0,0.14,0.14,0.14,0.15,1.0
1,0.44,,0.44,0.44,2.0
2,0.76,0.78,0.76,0.77,3.0
3,1.07,1.07,1.07,,4.0
4,1.38,1.39,1.37,1.37,1.0
5,1.7,1.76,1.68,1.68,2.0
6,1.99,1.98,1.99,2.0,3.0
7,2.32,2.35,2.31,2.32,4.0
8,2.62,2.65,2.61,2.62,1.0
9,2.93,,2.93,,2.0
10,3.22,3.26,3.22,3.24,3.0
11,3.54,3.59,3.53,3.54,4.0
12,3.84,,3.82,,1.0
13,4.16,,,4.16,2.0
14,4.46,4.48,4.46,4.46,3.0
15,4.77,,4.74,,4.0
16,5.08,5.12,5.06,5.06,1.0
17,5.39,5.43,,5.37,2.0
18,5.71,5.72,,,3.0
19,6.02,6.03,,6.0,4.0
20,6.31,6.36,6.31,6.33,1.0
21,6.64,6.7,,,2.0
22,6.94,,6.94,6.94,3.0
23,7.23,,7.22,7.25,4.0
24,7.53,,7.53,7.56,1.0
25,7.83,,7.83,7.87,2.0
26,8.16,,,8.16,3.0
27,8.45,,8.45,,4.0
28,8.76,8.75,8.76,8.76,1.0
29,9.09,9.09,9.08,,2.0
30,9.4,9.4,,,3.0
31,9.69,9.69,9.66,9.67,4.0
32,9.99,10.04,9.98,9.97,1.0
33,10.31,10.35,,10.28,2.0
34,10.61,,,,3.0
35,10.91,10.95,10.89,10.91,4.0
36,11.2,,11.18,11.21,1.0
37,11.51,,11.52,11.52,2.0
38,11.81,,11.8,,3.0
39,12.13,,12.12,12.14,4.0
40,12.46,12.47,,,1.0
41,12.78,12.79,,12.76,2.0
42,13.1,13.14,,,3.0
43,13.41,13.44,,13.4,4.0
44,13.74,13.75,13.72,,1.0
45,14.04,14.05,,14.03,2.0
46,14.33,,14.33,14.33,3.0
47,14.64,,,,4.0
48,14.93,,14.94,14.94,1.0
49,15.25,,15.24,15.24,2.0
50,15.58,15.62,15.56,,3.0
51,15.89,15.92,15.87,,4.0
52,16.18,16.24,16.15,16.17,1.0
53,16.49,,16.47,,2.0
54,16.79,,16.76,16.8,3.0
55,17.08,17.14,,17.08,4.0
56,17.4,,,,1.0
57,17.7,,,17.7,2.0
58,18.0,18.06,17.99,17.98,3.0
