,beats,piano,bass,drums,metre_auto
0,0.3,,0.32,0.29,4.0
1,0.71,0.77,0.67,0.71,1.0
2,1.14,1.18,1.16,1.21,2.0
3,1.55,1.58,1.57,1.54,3.0
4,1.96,1.99,1.95,2.03,4.0
5,2.37,2.39,,,1.0
6,2.77,2.81,2.76,2.77,2.0
7,3.18,3.2,3.17,3.19,3.0
8,3.59,3.62,3.59,3.58,4.0
9,3.99,,3.99,3.99,1.0
10,4.4,,4.43,4.4,2.0
11,4.82,,4.79,4.83,3.0
12,5.24,,5.25,,4.0
13,5.63,5.68,5.64,5.64,1.0
14,6.04,6.1,6.03,6.05,2.0
15,6.47,6.49,6.47,6.47,3.0
16,6.87,6.92,6.87,6.89,4.0
17,7.28,,7.28,7.29,1.0
18,7.68,7.66,7.67,7.71,2.0
19,8.09,8.13,8.09,8.09,3.0
20,8.5,8.57,8.5,8.5,4.0
21,8.91,8.89,8.9,8.89,1.0
22,9.32,9.36,9.3,9.3,2.0
23,9.73,9.72,9.69,9.69,3.0
24,10.14,10.16,10.09,10.1,4.0
25,10.57,10.55,,,1.0
26,11.02,,,,2.0
27,11.43,,,,3.0
28,11.86,,,,4.0
29,12.29,,,,1.0
30,12.74,,,12.78,2.0
31,13.17,13.18,13.27,13.16,3.0
32,13.6,,13.67,13.7,4.0
33,14.0,14.0,14.07,13.99,1.0
34,14.43,,14.48,14.49,2.0
35,14.84,,14.86,14.9,3.0
36,15.25,15.26,15.26,15.3,4.0
37,15.66,,15.64,15.68,1.0
38,16.07,,16.07,16.06,2.0
39,16.48,16.51,,16.48,3.0
40,16.89,16.91,16.9,16.87,4.0
41,17.3,17.33,,17.29,1.0
42,17.71,17.73,17.66,17.71,2.0
43,18.11,18.16,18.08,18.11,3.0
44,18.51,18.61,18.5,18.5,4.0
45,18.93,,18.93,18.93,1.0
46,19.33,,19.33,19.33,2.0
47,19.74,,19.73,19.75,3.0
48,20.15,,20.16,20.14,4.0
49,20.56,20.62,20.53,20.56,1.0
50,20.99,21.01,20.95,20.96,2.0
51,21.42,21.39,,,3.0
52,21.87,,,,4.0
53,22.28,,,,1.0
54,22.71,,,,2.0
55,23.14,,23.15,,3.0
56,23.57,,23.62,,4.0
57,24.0,,,,1.0
58,24.45,24.47,,24.47,2.0
59,24.88,,24.97,24.88,3.0
60,25.31,25.29,25.36,25.37,4.0
61,25.74,25.78,25.77,25.77,1.0
62,26.15,26.25,26.16,26.17,2.0
63,26.56,,26.54,26.56,3.0
64,26.97,27.0,26.92,26.97,4.0
65,27.36,27.39,27.34,27.37,1.0
66,27.79,27.82,27.79,,2.0
67,28.18,,,28.18,3.0
68,28.59,28.63,28.57,,4.0
69,29.01,29.03,29.01,29.01,1.0
70,29.43,29.48,29.43,29.43,2.0
71,29.82,29.88,29.81,29.82,3.0
72,30.25,30.3,30.25,30.25,4.0
73,30.66,30.68,30.67,30.67,1.0
74,31.07,31.16,31.08,31.07,2.0
75,31.48,31.43,,31.48,3.0
76,31.89,31.93,31.88,31.89,4.0
77,32.3,,32.3,32.29,1.0
78,32.71,,32.72,32.7,2.0
79,33.11,33.18,33.11,33.12,3.0
80,33.52,33.61,33.52,33.53,4.0
81,33.92,33.98,33.93,33.93,1.0
82,34.33,34.39,34.31,34.33,2.0
83,34.74,,34.73,34.75,3.0
84,35.15,35.14,35.14,35.16,4.0
85,35.56,35.62,35.56,35.55,1.0
86,35.98,,35.98,,2.0
87,36.39,36.47,36.41,36.38,3.0
88,36.8,36.76,36.83,36.8,4.0
89,37.23,37.29,37.24,37.22,1.0
90,37.65,37.73,37.61,37.65,2.0
91,38.05,38.13,38.06,38.05,3.0
92,38.46,38.54,38.44,38.48,4.0
93,38.88,38.93,38.86,38.89,1.0
94,39.29,39.38,39.29,39.28,2.0
95,39.69,39.76,39.68,39.7,3.0
96,40.11,,40.11,40.11,4.0
97,40.52,40.51,40.52,40.53,1.0
98,40.92,40.98,40.92,40.93,2.0
99,41.33,41.39,41.31,41.29,3.0
100,41.74,41.78,41.76,41.74,4.0
101,42.16,42.21,42.16,42.16,1.0
102,42.59,,42.54,42.59,2.0
103,42.98,42.97,42.98,43.0,3.0
104,43.42,43.46,43.45,43.42,4.0
105,43.83,,43.84,43.81,1.0
106,44.23,44.22,44.23,44.23,2.0
107,44.66,44.68,44.66,44.64,3.0
108,45.06,45.09,45.05,45.06,4.0
109,45.48,45.5,45.47,45.48,1.0
110,45.89,,45.87,45.9,2.0
111,46.31,46.34,46.31,46.31,3.0
112,46.73,46.77,46.73,46.73,4.0
113,47.14,47.2,47.12,47.15,1.0
114,47.56,47.59,47.55,47.56,2.0
115,47.99,48.0,,47.97,3.0
116,48.39,,48.39,48.39,4.0
117,48.81,48.83,48.81,48.81,1.0
118,49.23,,49.19,49.23,2.0
119,49.64,49.7,49.62,49.65,3.0
120,50.06,50.12,50.05,50.04,4.0
121,50.49,50.51,50.49,50.44,1.0
122,50.88,50.95,50.9,50.88,2.0
123,51.3,51.37,51.31,51.3,3.0
124,51.72,51.69,51.7,51.73,4.0
125,52.16,52.17,52.11,52.16,1.0
126,52.56,,52.55,52.56,2.0
127,52.97,53.04,52.97,52.95,3.0
128,53.39,53.46,53.39,53.4,4.0
129,53.79,53.86,53.77,53.77,1.0
130,54.21,54.25,54.18,54.21,2.0
131,54.61,54.7,54.6,,3.0
132,55.05,55.14,55.03,55.06,4.0
133,55.46,55.51,55.45,55.47,1.0
134,55.87,,55.87,,2.0
135,56.29,56.37,56.27,56.3,3.0
136,56.71,56.76,56.71,56.7,4.0
137,57.13,57.19,57.12,57.13,1.0
138,57.56,57.63,57.56,57.54,2.0
139,57.97,58.06,57.98,57.97,3.0
140,58.37,,,58.37,4.0
141,58.78,58.86,58.79,58.76,1.0
142,59.18,,59.2,59.18,2.0
143,59.59,,59.59,59.6,3.0
144,60.02,60.05,59.98,60.02,4.0
145,60.41,60.49,60.4,60.41,1.0
146,60.85,60.9,60.83,60.85,2.0
147,61.26,,61.26,61.27,3.0
148,61.69,,61.68,61.69,4.0
149,62.1,,62.11,62.1,1.0
150,62.53,,62.51,62.54,2.0
151,62.93,62.98,62.93,62.93,3.0
152,63.35,63.42,63.35,63.36,4.0
153,63.76,63.81,63.73,63.76,1.0
154,64.17,64.24,64.18,64.16,2.0
155,64.57,64.64,64.57,64.55,3.0
156,64.97,,64.97,65.0,4.0
157,65.39,65.45,65.38,65.39,1.0
158,65.8,65.87,65.8,65.8,2.0
159,66.21,66.27,66.21,66.25,3.0
160,66.63,66.68,66.64,66.62,4.0
161,67.05,67.1,67.06,67.05,1.0
162,67.46,67.54,67.45,67.48,2.0
163,67.85,67.94,67.84,67.87,3.0
164,68.27,68.3,68.27,68.27,4.0
165,68.68,,68.69,68.66,1.0
166,69.08,69.03,69.07,69.09,2.0
167,69.5,69.52,69.5,69.5,3.0
168,69.92,69.99,69.91,69.92,4.0
169,70.34,70.3,70.34,70.34,1.0
170,70.75,,70.76,70.76,2.0
171,71.16,,71.17,71.17,3.0
172,71.59,71.61,71.6,71.57,4.0
173,71.98,71.94,71.95,71.95,1.0
174,72.39,,72.35,,2.0
175,72.82,72.83,72.81,72.82,3.0
176,73.24,73.33,73.23,73.25,4.0
177,73.66,73.71,73.67,73.66,1.0
178,74.06,,74.06,74.09,2.0
179,74.48,,74.47,74.49,3.0
180,74.9,74.85,74.87,74.91,4.0
181,75.31,75.39,,75.31,1.0
182,75.72,75.78,75.7,75.72,2.0
183,76.12,,76.12,76.12,3.0
184,76.55,76.65,76.53,76.56,4.0
185,76.95,,76.95,76.95,1.0
186,77.35,77.31,77.34,77.36,2.0
187,77.78,,77.76,77.78,3.0
188,78.17,,78.18,78.17,4.0
189,78.59,78.69,78.61,78.59,1.0
190,79.02,,78.98,79.02,2.0
191,79.42,,79.4,79.43,3.0
192,79.85,,79.84,79.86,4.0
193,80.24,,80.23,80.29,1.0
194,80.67,80.72,80.66,80.67,2.0
195,81.08,81.11,81.08,81.08,3.0
196,81.49,81.54,81.48,81.49,4.0
197,81.9,81.94,81.89,81.92,1.0
198,82.3,,82.3,82.34,2.0
199,82.72,,82.72,82.75,3.0
200,83.12,83.11,83.13,83.19,4.0
201,83.52,83.6,83.51,83.54,1.0
202,83.95,,84.01,84.0,2.0
203,84.36,84.32,84.34,84.39,3.0
204,84.77,84.75,,84.78,4.0
205,85.18,85.16,85.15,85.21,1.0
206,85.59,85.65,85.56,85.64,2.0
207,86.0,86.0,85.98,86.01,3.0
208,86.41,86.41,86.39,86.44,4.0
209,86.8,86.86,86.79,86.84,1.0
210,87.21,87.19,87.2,87.23,2.0
211,87.62,87.62,87.61,87.63,3.0
212,88.03,,88.02,88.05,4.0
213,88.45,,88.41,88.46,1.0
214,88.85,88.81,88.83,88.84,2.0
215,89.28,,89.3,89.28,3.0
216,89.69,89.7,89.7,89.7,4.0
217,90.09,90.13,90.1,90.09,1.0
218,90.51,90.54,90.51,90.51,2.0
219,90.9,90.86,90.9,90.91,3.0
220,91.32,91.29,91.31,91.34,4.0
221,91.73,91.73,91.71,91.74,1.0
222,92.13,92.12,92.12,92.13,2.0
223,92.54,92.51,92.52,92.53,3.0
224,92.95,,92.94,92.96,4.0
225,93.36,93.33,93.34,93.37,1.0
226,93.79,93.87,93.77,93.8,2.0
227,94.19,94.24,94.19,94.18,3.0
228,94.6,94.64,94.59,94.6,4.0
229,95.02,95.07,95.0,95.03,1.0
230,95.44,95.52,95.42,95.45,2.0
231,95.86,,95.86,95.86,3.0
232,96.28,96.38,96.28,96.28,4.0
233,96.7,,96.7,96.7,1.0
234,97.12,97.07,97.11,97.12,2.0
