,beats,piano,bass,drums,metre_auto
0,0.02,0.04,0.02,0.01,2.0
1,0.58,0.59,0.6,0.59,3.0
2,1.13,1.14,,1.15,4.0
3,1.68,1.67,,1.68,1.0
4,2.22,2.23,2.23,2.22,2.0
5,2.77,2.78,2.77,2.76,3.0
6,3.34,3.35,,3.33,4.0
7,3.91,3.91,3.87,3.87,1.0
8,4.47,4.48,,4.44,2.0
9,5.01,5.01,5.01,5.02,3.0
10,5.61,5.62,5.57,5.59,4.0
11,6.15,6.13,6.14,6.15,1.0
12,6.7,6.7,,6.72,2.0
13,7.27,7.25,7.27,7.27,3.0
14,7.82,7.81,7.83,7.83,4.0
15,8.37,8.38,,8.37,1.0
16,8.91,8.91,,8.93,2.0
17,9.47,9.47,9.47,9.47,3.0
18,10.02,10.02,10.03,10.03,4.0
19,10.57,10.56,10.57,10.57,1.0
20,11.14,11.15,11.15,11.14,2.0
21,11.69,11.69,11.69,11.69,3.0
22,12.24,12.24,12.25,12.24,4.0
23,12.78,12.79,12.79,12.78,1.0
24,13.34,13.35,13.35,13.33,2.0
25,13.87,13.86,13.88,13.89,3.0
26,14.43,14.43,14.44,14.44,4.0
27,14.98,14.97,14.98,14.99,1.0
28,15.54,15.54,,15.55,2.0
29,16.11,16.12,16.11,16.1,3.0
30,16.69,,,16.68,4.0
31,17.23,17.24,17.24,17.23,1.0
32,17.78,17.8,17.79,17.79,2.0
33,18.34,18.33,18.35,18.35,3.0
34,18.93,18.94,,18.91,4.0
35,19.5,19.52,19.49,19.49,1.0
36,20.05,20.05,20.06,20.05,2.0
37,20.61,20.61,20.61,20.6,3.0
38,21.19,21.19,21.2,21.15,4.0
39,21.75,21.77,21.71,21.7,1.0
40,22.28,22.28,22.29,22.28,2.0
41,22.83,22.83,22.84,22.83,3.0
42,23.42,23.43,,23.4,4.0
43,23.96,23.97,23.97,23.96,1.0
44,24.52,24.51,24.52,24.53,2.0
45,25.08,25.09,25.09,25.07,3.0
46,25.65,25.66,25.66,25.65,4.0
47,26.21,26.21,26.21,26.21,1.0
48,26.81,26.82,26.83,26.79,2.0
49,27.36,27.36,27.37,27.35,3.0
50,27.95,27.96,27.96,27.91,4.0
51,28.48,28.48,28.48,28.48,1.0
52,29.04,29.04,29.05,29.05,2.0
53,29.62,29.62,29.62,29.61,3.0
54,30.15,30.15,,30.17,4.0
55,30.74,30.73,30.73,30.73,1.0
56,31.29,31.3,31.31,31.3,2.0
57,31.84,31.84,31.84,31.86,3.0
58,32.39,32.39,32.4,32.41,4.0
59,32.97,32.98,32.96,32.96,1.0
60,33.52,33.52,33.53,33.52,2.0
61,34.06,34.04,34.06,34.07,3.0
62,34.61,34.61,34.63,34.63,4.0
63,35.19,35.2,35.19,35.18,1.0
64,35.75,35.74,,35.75,2.0
65,36.3,36.33,36.3,36.29,3.0
66,36.86,36.86,36.89,36.87,4.0
67,37.41,37.41,37.41,37.41,1.0
68,37.98,37.98,37.99,37.99,2.0
69,38.53,38.46,38.54,38.53,3.0
