,beats,piano,bass,drums,metre_auto
0,0.14,0.18,0.14,0.14,3.0
1,0.44,,0.45,0.43,4.0
2,0.76,,0.77,0.74,1.0
3,1.07,1.08,1.07,1.05,2.0
4,1.37,1.39,1.37,1.36,3.0
5,1.67,1.66,1.68,1.65,4.0
6,1.97,1.96,1.97,1.96,1.0
7,2.27,2.27,2.27,2.27,2.0
8,2.59,2.63,2.6,2.58,3.0
9,2.88,,2.89,2.86,4.0
10,3.19,,3.19,3.18,1.0
11,3.48,3.51,3.49,3.48,2.0
12,3.79,3.79,3.8,3.79,3.0
13,4.09,,4.09,4.09,4.0
14,4.4,4.4,,4.4,1.0
15,4.7,,4.71,4.7,2.0
16,5.02,5.02,5.01,5.01,3.0
17,5.31,5.36,5.31,5.31,4.0
18,5.63,5.65,5.62,5.61,1.0
19,5.93,5.93,5.92,5.92,2.0
20,6.24,6.24,6.24,6.23,3.0
21,6.53,6.54,6.53,6.53,4.0
22,6.84,6.88,6.84,6.83,1.0
23,7.13,7.16,7.13,7.13,2.0
24,7.44,7.44,7.45,7.44,3.0
25,7.74,7.76,7.74,7.73,4.0
26,8.04,8.11,8.05,8.04,1.0
27,8.34,8.4,8.34,8.33,2.0
28,8.64,8.7,8.65,8.63,3.0
29,8.96,8.98,8.96,,4.0
30,9.25,9.27,9.26,,1.0
31,9.55,,9.55,9.54,2.0
32,9.85,9.86,9.86,9.84,3.0
33,10.15,10.15,10.15,10.13,4.0
34,10.46,10.48,10.46,10.43,1.0
35,10.75,10.79,10.75,10.72,2.0
36,11.04,11.07,11.05,11.04,3.0
37,11.33,11.37,11.33,11.31,4.0
38,11.63,11.67,11.62,11.63,1.0
39,11.92,11.95,11.93,11.91,2.0
40,12.22,12.26,12.23,12.21,3.0
41,12.52,,12.51,12.51,4.0
42,12.83,12.84,12.82,12.81,1.0
43,13.11,13.13,13.12,13.1,2.0
44,13.42,13.44,13.43,13.42,3.0
45,13.71,,13.71,13.7,4.0
46,14.01,,14.01,14.0,1.0
47,14.3,14.3,14.3,14.3,2.0
48,14.61,14.61,14.61,14.6,3.0
49,14.9,14.94,14.9,14.89,4.0
50,15.21,15.23,15.19,15.21,1.0
51,15.49,,15.49,15.49,2.0
52,15.81,15.82,15.8,15.8,3.0
53,16.1,16.11,16.1,16.09,4.0
54,16.4,16.41,16.41,16.39,1.0
55,16.69,16.71,16.7,16.68,2.0
56,17.0,17.05,17.01,16.98,3.0
57,17.3,17.35,17.3,17.28,4.0
58,17.59,17.63,17.59,17.58,1.0
59,17.88,17.94,17.89,17.87,2.0
60,18.19,18.2,18.19,18.18,3.0
61,18.48,18.49,18.48,18.48,4.0
62,18.78,18.83,18.78,18.77,1.0
63,19.08,19.11,19.09,19.08,2.0
64,19.38,19.42,19.39,19.37,3.0
65,19.68,19.69,19.68,19.67,4.0
66,19.98,,19.99,19.97,1.0
67,20.27,20.29,20.27,20.27,2.0
68,20.58,20.62,20.59,20.58,3.0
69,20.88,20.93,20.89,20.87,4.0
70,21.18,21.24,21.19,21.17,1.0
71,21.47,,21.48,21.46,2.0
72,21.78,21.79,21.78,21.77,3.0
73,22.07,22.11,22.07,22.05,4.0
74,22.36,,22.36,22.36,1.0
75,22.65,,22.65,22.65,2.0
76,22.96,23.01,22.96,22.96,3.0
77,23.25,23.29,23.25,23.25,4.0
78,23.56,23.58,23.56,23.55,1.0
79,23.84,,23.86,23.84,2.0
80,24.15,24.2,24.15,24.14,3.0
81,24.44,24.48,24.45,,4.0
82,24.74,24.75,24.74,24.73,1.0
83,25.02,25.04,25.03,25.0,2.0
84,25.32,25.35,25.32,25.31,3.0
85,25.61,25.62,25.62,25.59,4.0
86,25.9,25.9,25.91,25.9,1.0
87,26.19,,26.19,26.19,2.0
88,26.49,26.49,26.47,26.49,3.0
89,26.78,,26.77,26.78,4.0
90,27.09,,27.07,27.09,1.0
91,27.37,,27.38,27.37,2.0
92,27.68,27.7,27.68,27.68,3.0
93,27.99,28.0,27.96,27.97,4.0
94,28.29,,28.26,28.28,1.0
95,28.57,,28.56,28.56,2.0
96,28.87,28.88,28.87,28.86,3.0
97,29.16,,29.16,29.16,4.0
98,29.46,,,,1.0
99,29.76,29.76,29.73,29.75,2.0
100,30.07,30.08,,30.05,3.0
101,30.35,30.38,30.36,30.33,4.0
102,30.65,30.67,,30.64,1.0
103,30.93,,30.95,30.93,2.0
104,31.25,31.27,,31.24,3.0
