,beats,piano,bass,drums,metre_auto
0,0.01,0.01,,0.01,3.0
1,0.33,0.31,0.31,0.3,4.0
2,0.66,,,,1.0
3,0.98,0.97,0.98,0.99,2.0
4,1.32,1.31,1.33,,3.0
5,1.64,1.64,1.66,1.64,4.0
6,1.96,1.93,1.99,1.93,1.0
7,2.28,2.28,2.32,2.31,2.0
8,2.6,,2.66,2.57,3.0
9,2.92,,3.0,2.92,4.0
10,3.24,3.25,,3.24,1.0
11,3.56,3.61,,,2.0
12,3.88,3.95,,3.92,3.0
13,4.19,,,,4.0
14,4.51,,,,1.0
15,4.83,,,,2.0
16,5.15,,5.23,,3.0
17,5.47,,,,4.0
18,5.79,,,,1.0
19,6.11,,,,2.0
20,6.43,,,,3.0
21,6.75,,,,4.0
22,7.07,,,,1.0
23,7.39,,,,2.0
24,7.71,7.67,7.68,,3.0
25,8.03,8.01,8.01,,4.0
26,8.36,8.39,8.33,8.33,1.0
27,8.69,8.72,8.67,8.67,2.0
28,9.02,9.05,8.98,8.98,3.0
29,9.35,9.35,9.31,9.34,4.0
30,9.68,9.64,9.65,9.67,1.0
31,10.01,9.98,9.98,10.0,2.0
32,10.34,10.32,10.33,10.32,3.0
33,10.67,10.71,10.65,10.65,4.0
34,11.0,11.04,10.99,10.98,1.0
35,11.33,,11.32,11.34,2.0
36,11.66,11.67,11.65,11.65,3.0
37,11.99,12.0,12.0,11.99,4.0
38,12.32,12.34,12.33,12.32,1.0
39,12.67,,12.64,12.67,2.0
40,13.0,13.03,13.0,,3.0
41,13.32,13.38,13.33,13.32,4.0
42,13.66,13.7,13.67,13.64,1.0
43,13.99,14.06,14.03,13.98,2.0
44,14.31,,14.32,14.3,3.0
45,14.63,14.64,14.64,14.64,4.0
46,14.96,14.97,14.98,14.96,1.0
47,15.3,15.31,15.32,15.31,2.0
48,15.62,15.63,15.64,15.62,3.0
49,15.96,15.96,15.97,,4.0
50,16.28,16.27,16.29,16.27,1.0
51,16.63,16.7,16.6,,2.0
52,16.95,16.95,16.96,16.95,3.0
53,17.29,17.3,17.3,17.29,4.0
54,17.6,17.61,,17.6,1.0
55,17.95,17.97,17.98,17.94,2.0
56,18.27,18.27,18.3,18.27,3.0
57,18.6,18.64,,18.61,4.0
58,18.94,18.97,18.98,18.92,1.0
59,19.27,19.29,,,2.0
60,19.6,19.6,,19.6,3.0
61,19.93,19.94,19.95,,4.0
62,20.26,20.27,20.28,20.27,1.0
63,20.59,20.61,20.6,20.6,2.0
64,20.92,20.93,20.92,20.93,3.0
65,21.25,21.23,,21.26,4.0
66,21.58,21.63,,21.58,1.0
67,21.91,21.87,,,2.0
68,22.24,22.3,,22.24,3.0
69,22.57,22.57,22.58,22.57,4.0
70,22.9,22.98,22.95,22.9,1.0
71,23.22,,23.24,23.23,2.0
72,23.55,23.56,23.58,23.55,3.0
73,23.88,23.89,23.89,23.88,4.0
74,24.2,24.2,24.2,24.2,1.0
75,24.52,24.48,24.52,24.54,2.0
76,24.85,24.85,24.86,,3.0
77,25.18,25.19,25.18,25.18,4.0
78,25.5,25.51,25.52,25.5,1.0
79,25.83,25.84,25.84,25.82,2.0
80,26.14,26.15,26.17,26.13,3.0
81,26.47,26.47,26.48,26.47,4.0
82,26.78,26.79,26.8,26.77,1.0
83,27.1,27.11,27.11,,2.0
84,27.43,27.43,27.44,27.43,3.0
85,27.76,27.78,27.77,27.75,4.0
86,28.07,,,28.07,1.0
87,28.4,28.4,28.4,28.41,2.0
88,28.73,28.73,28.74,28.72,3.0
89,29.06,29.07,29.07,,4.0
90,29.37,29.38,29.39,29.37,1.0
91,29.7,29.72,29.72,29.69,2.0
92,30.01,29.97,30.04,30.01,3.0
93,30.35,30.37,30.36,30.35,4.0
94,30.67,30.67,30.68,30.67,1.0
95,31.0,31.0,31.01,31.01,2.0
96,31.32,31.33,,31.32,3.0
97,31.65,31.67,31.65,31.65,4.0
98,31.98,31.95,32.01,31.94,1.0
99,32.31,32.32,32.31,32.31,2.0
100,32.64,32.64,32.64,32.63,3.0
101,32.97,32.98,32.98,,4.0
102,33.3,33.3,,33.3,1.0
103,33.64,33.64,33.64,,2.0
104,33.96,33.97,33.96,33.97,3.0
105,34.31,34.31,34.31,,4.0
106,34.64,34.63,34.64,34.65,1.0
107,34.97,34.97,34.98,,2.0
108,35.3,35.31,,35.3,3.0
109,35.63,35.65,35.65,35.62,4.0
110,35.96,35.96,35.96,35.95,1.0
111,36.28,36.29,36.28,36.28,2.0
112,36.6,36.6,36.62,36.6,3.0
113,36.95,36.96,36.97,36.94,4.0
114,37.26,37.26,37.29,37.26,1.0
115,37.6,37.6,37.61,,2.0
116,37.93,37.93,37.93,37.94,3.0
117,38.26,38.3,38.27,,4.0
118,38.59,38.58,38.59,,1.0
119,38.92,38.92,38.92,38.93,2.0
120,39.25,39.25,39.26,39.25,3.0
121,39.58,39.59,39.6,39.58,4.0
122,39.89,39.91,39.92,39.89,1.0
123,40.23,,40.23,40.24,2.0
124,40.56,40.54,40.56,40.55,3.0
125,40.89,40.9,40.9,40.89,4.0
126,41.2,41.21,41.21,41.2,1.0
127,41.54,,41.55,41.54,2.0
128,41.85,41.86,41.87,41.86,3.0
129,42.2,42.2,42.21,42.19,4.0
130,42.51,42.53,42.54,42.5,1.0
131,42.84,42.86,42.85,,2.0
132,43.16,43.17,43.18,43.16,3.0
133,43.48,43.48,43.47,43.48,4.0
134,43.8,43.81,43.81,43.81,1.0
135,44.13,,44.13,44.13,2.0
136,44.44,44.42,44.45,44.44,3.0
137,44.78,44.78,44.79,44.76,4.0
138,45.09,45.12,45.12,45.08,1.0
139,45.42,45.47,,45.42,2.0
140,45.73,45.75,45.76,45.72,3.0
141,46.06,46.06,,46.06,4.0
142,46.38,46.38,,46.38,1.0
143,46.7,46.69,46.7,46.71,2.0
144,47.03,47.01,47.03,47.02,3.0
145,47.36,47.36,47.4,47.36,4.0
146,47.69,47.68,,47.67,1.0
147,48.03,48.07,,,2.0
148,48.35,48.34,48.35,48.35,3.0
149,48.68,48.68,48.74,48.68,4.0
150,49.01,49.0,49.03,48.99,1.0
151,49.34,49.38,49.35,49.35,2.0
152,49.67,49.68,,49.67,3.0
153,50.01,50.03,,50.01,4.0
154,50.35,50.35,50.36,50.32,1.0
155,50.68,50.7,50.69,,2.0
156,51.0,50.99,,51.01,3.0
157,51.34,51.35,,51.33,4.0
158,51.65,51.64,,51.65,1.0
159,52.0,52.01,,,2.0
160,52.33,52.33,,52.32,3.0
161,52.66,52.66,,52.68,4.0
162,52.97,52.96,,52.96,1.0
163,53.32,53.33,,53.31,2.0
164,53.63,53.62,53.66,53.62,3.0
165,53.97,53.97,,53.97,4.0
166,54.3,54.31,54.32,54.3,1.0
167,54.64,54.64,,54.64,2.0
168,54.96,54.96,54.96,54.95,3.0
169,55.29,55.3,55.31,55.29,4.0
170,55.62,55.63,55.63,55.61,1.0
171,55.95,55.96,,55.95,2.0
172,56.27,56.27,56.27,56.27,3.0
173,56.59,56.59,56.59,56.62,4.0
174,56.93,56.94,56.94,56.93,1.0
175,57.26,57.27,57.28,57.25,2.0
176,57.58,57.6,57.61,57.57,3.0
177,57.91,,,57.91,4.0
178,58.25,58.26,58.25,58.23,1.0
179,58.57,58.62,58.59,,2.0
180,58.89,58.9,,58.89,3.0
181,59.22,59.23,59.23,,4.0
182,59.54,59.56,59.56,59.54,1.0
183,59.88,59.89,59.89,59.88,2.0
184,60.2,60.18,60.21,60.2,3.0
185,60.53,60.54,60.55,60.54,4.0
186,60.85,60.85,60.87,60.84,1.0
187,61.18,61.22,,61.17,2.0
188,61.5,61.51,61.52,61.49,3.0
189,61.83,61.88,61.86,61.83,4.0
190,62.14,62.15,62.18,62.13,1.0
191,62.48,,62.49,62.47,2.0
192,62.8,62.8,62.81,,3.0
193,63.11,63.12,63.13,63.11,4.0
194,63.43,63.41,63.42,63.41,1.0
195,63.76,63.76,63.77,,2.0
196,64.08,64.09,64.08,,3.0
197,64.41,64.46,64.4,64.42,4.0
198,64.73,64.73,64.74,64.73,1.0
199,65.06,65.07,65.08,65.06,2.0
200,65.39,65.39,65.4,65.38,3.0
201,65.72,65.76,65.73,65.72,4.0
202,66.05,66.01,66.06,66.05,1.0
203,66.39,66.39,66.39,66.39,2.0
204,66.71,66.72,66.73,66.72,3.0
205,67.05,67.06,67.05,,4.0
206,67.38,67.38,67.39,67.38,1.0
207,67.7,67.68,67.72,67.71,2.0
208,68.01,68.02,68.04,68.02,3.0
209,68.35,68.4,68.36,68.35,4.0
210,68.66,68.64,68.69,68.65,1.0
211,68.99,69.06,69.02,,2.0
212,69.31,69.31,69.32,69.31,3.0
213,69.65,69.65,69.66,,4.0
214,69.96,69.99,70.0,69.96,1.0
215,70.3,70.33,70.32,70.3,2.0
216,70.62,70.62,70.65,70.61,3.0
217,70.94,,70.97,70.95,4.0
218,71.26,71.23,71.26,71.23,1.0
219,71.58,,71.6,71.57,2.0
220,71.89,71.89,71.9,71.88,3.0
221,72.22,72.28,72.25,72.21,4.0
