,beats,piano,bass,drums,metre_auto
0,0.4,0.44,0.41,0.4,4.0
1,0.92,0.92,0.92,0.92,1.0
2,1.45,,1.44,1.45,2.0
3,1.96,2.0,1.97,1.97,3.0
4,2.49,2.51,2.49,2.48,4.0
5,3.01,3.07,3.02,3.01,1.0
6,3.53,3.54,,3.53,2.0
7,4.05,4.06,4.04,4.06,3.0
8,4.57,4.57,4.56,4.57,4.0
9,5.09,,5.08,5.09,1.0
10,5.6,5.61,5.59,5.61,2.0
11,6.13,6.15,6.12,6.13,3.0
12,6.65,6.65,6.64,6.65,4.0
13,7.17,7.18,7.15,7.17,1.0
14,7.68,7.7,7.65,7.68,2.0
15,8.19,8.2,8.17,8.19,3.0
16,8.71,8.71,8.67,8.7,4.0
17,9.21,,9.21,9.2,1.0
18,9.74,9.76,,9.74,2.0
19,10.24,,10.23,10.25,3.0
20,10.76,10.77,10.74,10.75,4.0
21,11.28,11.27,,11.28,1.0
22,11.79,11.8,11.76,11.79,2.0
23,12.3,,12.28,12.3,3.0
24,12.79,,12.79,12.79,4.0
25,13.3,13.35,13.31,13.3,1.0
26,13.81,13.83,13.81,13.81,2.0
27,14.33,14.33,14.33,14.32,3.0
28,14.83,14.84,14.83,14.83,4.0
29,15.34,15.35,15.34,15.34,1.0
30,15.85,15.85,15.84,15.85,2.0
31,16.37,16.36,16.36,16.37,3.0
32,16.87,16.88,16.87,16.87,4.0
33,17.39,17.4,17.38,17.38,1.0
34,17.89,,17.91,17.89,2.0
35,18.4,,18.41,18.39,3.0
36,18.91,18.93,18.93,18.9,4.0
37,19.43,19.44,19.44,19.42,1.0
38,19.93,19.98,19.95,19.93,2.0
39,20.45,20.49,20.46,20.45,3.0
40,20.96,20.97,20.97,20.95,4.0
41,21.47,21.47,21.49,21.48,1.0
42,21.99,,21.98,22.0,2.0
43,22.5,22.5,22.5,22.51,3.0
44,23.0,23.01,23.01,23.0,4.0
45,23.52,23.53,23.53,23.52,1.0
46,24.03,24.05,24.02,24.03,2.0
47,24.54,24.55,24.53,24.54,3.0
48,25.04,25.06,25.04,25.04,4.0
49,25.54,,25.55,25.54,1.0
50,26.05,26.03,26.08,26.05,2.0
51,26.56,26.6,,26.56,3.0
52,27.07,27.12,27.08,27.06,4.0
53,27.6,27.61,27.61,27.58,1.0
54,28.1,28.13,28.11,28.1,2.0
55,28.62,28.69,28.63,28.62,3.0
56,29.13,29.13,29.14,29.13,4.0
57,29.65,29.65,29.65,29.63,1.0
58,30.15,30.16,30.16,30.15,2.0
59,30.67,,30.67,30.67,3.0
60,31.17,31.17,31.19,31.18,4.0
61,31.71,,31.72,31.71,1.0
62,32.22,32.34,32.22,32.22,2.0
63,32.73,32.75,32.75,32.73,3.0
64,33.23,33.24,33.25,33.23,4.0
65,33.75,33.77,33.74,33.74,1.0
66,34.26,,34.27,34.26,2.0
67,34.79,34.79,34.78,34.76,3.0
68,35.29,35.3,35.29,35.29,4.0
69,35.78,35.8,35.8,35.78,1.0
70,36.31,36.28,36.3,36.32,2.0
71,36.82,36.84,36.81,36.82,3.0
72,37.32,37.33,37.33,37.31,4.0
73,37.81,37.84,37.81,37.81,1.0
74,38.32,38.34,38.32,38.32,2.0
75,38.82,38.85,38.84,38.81,3.0
76,39.32,39.34,39.34,39.32,4.0
77,39.84,,39.83,39.84,1.0
78,40.35,40.34,40.34,40.36,2.0
79,40.88,,,40.88,3.0
80,41.38,,,41.38,4.0
81,41.89,41.91,41.89,41.88,1.0
82,42.39,42.42,42.4,42.39,2.0
83,42.91,42.94,42.9,42.9,3.0
84,43.42,43.42,43.42,43.42,4.0
85,43.94,,43.94,43.94,1.0
86,44.46,44.48,44.45,44.46,2.0
87,44.98,44.99,44.98,44.97,3.0
88,45.48,45.51,45.49,45.47,4.0
89,46.0,46.02,46.0,45.99,1.0
90,46.52,,46.51,46.52,2.0
91,47.04,47.04,47.04,47.04,3.0
92,47.54,47.56,47.53,47.53,4.0
93,48.06,48.05,48.07,48.06,1.0
94,48.57,48.59,48.57,48.56,2.0
95,49.1,49.09,49.11,49.1,3.0
96,49.6,49.61,49.62,49.6,4.0
97,50.1,50.1,50.11,50.1,1.0
98,50.62,50.62,50.62,50.62,2.0
99,51.13,,51.15,51.13,3.0
100,51.64,51.66,51.66,51.63,4.0
101,52.15,52.17,52.17,52.16,1.0
102,52.66,,52.68,52.66,2.0
103,53.18,,53.19,53.18,3.0
104,53.68,53.69,53.69,53.68,4.0
105,54.18,54.19,54.2,54.18,1.0
106,54.69,54.7,54.7,54.69,2.0
107,55.21,,55.22,55.2,3.0
108,55.7,55.72,55.72,55.7,4.0
109,56.2,56.2,56.23,56.21,1.0
110,56.71,56.72,56.73,56.7,2.0
111,57.22,57.23,57.22,57.22,3.0
112,57.72,57.74,57.72,57.72,4.0
113,58.24,58.26,58.25,58.23,1.0
114,58.75,58.78,58.75,58.74,2.0
115,59.26,59.3,59.26,59.26,3.0
116,59.76,59.79,59.76,59.76,4.0
117,60.29,60.3,60.27,60.28,1.0
118,60.8,60.9,60.77,60.8,2.0
119,61.31,,61.29,61.31,3.0
120,61.82,,61.8,61.82,4.0
121,62.34,,62.34,62.33,1.0
122,62.84,62.88,62.85,62.84,2.0
123,63.36,63.39,63.36,63.36,3.0
124,63.86,63.87,63.87,63.86,4.0
125,64.38,64.38,64.39,64.38,1.0
126,64.89,,64.9,64.89,2.0
127,65.41,,65.41,65.41,3.0
128,65.91,,65.93,65.91,4.0
129,66.43,66.43,66.44,66.44,1.0
130,66.94,66.95,66.95,66.95,2.0
131,67.45,67.45,67.45,67.45,3.0
132,67.95,67.95,67.96,67.95,4.0
133,68.47,68.49,68.47,68.46,1.0
134,68.98,69.0,68.97,68.98,2.0
135,69.49,69.49,69.49,69.5,3.0
136,69.99,70.01,70.01,69.99,4.0
137,70.51,70.53,70.51,70.5,1.0
138,71.02,71.04,71.02,71.02,2.0
139,71.54,71.55,71.54,71.54,3.0
140,72.05,72.08,72.04,72.05,4.0
141,72.56,72.57,72.56,72.56,1.0
142,73.07,73.09,73.08,73.07,2.0
143,73.58,73.59,73.6,73.57,3.0
144,74.07,74.02,74.08,74.07,4.0
145,74.57,74.62,74.57,74.57,1.0
146,75.09,75.09,75.08,75.09,2.0
147,75.6,,75.6,75.6,3.0
148,76.1,76.11,76.1,76.1,4.0
149,76.61,76.61,76.62,76.61,1.0
150,77.11,77.11,,77.1,2.0
151,77.62,77.67,77.64,77.61,3.0
152,78.12,78.13,78.13,78.12,4.0
153,78.62,78.59,78.6,78.62,1.0
154,79.12,79.14,79.14,79.12,2.0
155,79.62,79.66,79.63,79.62,3.0
156,80.11,80.09,80.11,80.11,4.0
157,80.61,80.62,80.63,80.6,1.0
158,81.1,81.21,81.12,81.09,2.0
159,81.61,81.62,,81.59,3.0
160,82.09,82.09,82.11,82.08,4.0
161,82.59,82.63,82.6,82.57,1.0
