,beats,piano,bass,drums,metre_auto
0,0.3,0.33,,,1.0
1,0.51,,,,2.0
2,0.73,,,,3.0
3,0.95,,0.94,0.94,4.0
4,1.17,,,1.15,1.0
5,1.39,1.38,1.39,1.39,2.0
6,1.62,1.63,1.62,,3.0
7,1.84,,1.84,1.84,4.0
8,2.06,2.07,2.08,2.07,1.0
9,2.28,2.32,2.33,2.29,2.0
10,2.5,,2.55,2.52,3.0
11,2.72,2.74,,2.77,4.0
12,2.93,,,2.97,1.0
13,3.14,,,,2.0
14,3.34,3.34,,,3.0
15,3.55,,,,4.0
16,3.77,,,,1.0
17,3.97,,3.95,,2.0
18,4.18,4.17,,,3.0
19,4.4,4.41,4.38,,4.0
20,4.62,,4.61,4.61,1.0
21,4.84,,4.83,4.83,2.0
22,5.06,5.09,5.06,5.06,3.0
23,5.29,5.31,5.28,5.28,4.0
24,5.51,5.53,5.52,5.51,1.0
25,5.73,5.77,5.76,5.73,2.0
26,5.95,,5.98,5.97,3.0
27,6.16,,6.2,6.2,4.0
28,6.37,,,6.42,1.0
29,6.58,6.58,,6.63,2.0
30,6.79,6.79,,,3.0
31,7.0,7.02,,,4.0
32,7.2,,,7.24,1.0
33,7.41,,,,2.0
34,7.62,,,,3.0
35,7.83,,,,4.0
36,8.04,8.03,8.02,,1.0
37,8.26,8.27,8.26,8.26,2.0
38,8.48,8.48,8.46,8.47,3.0
39,8.7,8.71,8.68,8.68,4.0
40,8.92,8.94,8.92,8.91,1.0
41,9.15,9.16,9.17,9.16,2.0
42,9.36,9.34,9.38,9.37,3.0
43,9.59,9.64,9.6,9.59,4.0
44,9.8,9.79,9.82,9.8,1.0
45,10.03,10.03,10.07,10.06,2.0
46,10.25,10.23,10.29,10.26,3.0
47,10.47,10.48,10.52,10.51,4.0
48,10.69,10.7,10.73,10.71,1.0
49,10.91,10.92,10.96,10.94,2.0
50,11.13,,11.17,11.14,3.0
51,11.35,,11.39,11.37,4.0
52,11.56,11.56,,11.6,1.0
53,11.77,11.78,,,2.0
54,11.98,11.99,,,3.0
55,12.19,12.19,,,4.0
56,12.39,12.4,,,1.0
57,12.61,12.64,,,2.0
58,12.81,,,,3.0
59,13.02,,,,4.0
60,13.23,13.23,,13.21,1.0
61,13.44,13.44,,13.43,2.0
62,13.66,13.66,13.66,13.68,3.0
63,13.88,,13.87,13.88,4.0
64,14.1,,14.08,14.1,1.0
65,14.32,14.32,14.32,14.33,2.0
66,14.55,14.56,14.58,14.56,3.0
67,14.77,,14.8,14.77,4.0
68,14.99,15.01,15.03,15.01,1.0
69,15.2,15.25,15.24,15.24,2.0
70,15.41,,15.46,,3.0
71,15.61,15.6,,15.62,4.0
72,15.83,15.83,,,1.0
73,16.03,,,,2.0
74,16.24,,,16.29,3.0
75,16.45,,,,4.0
76,16.66,,,,1.0
77,16.87,,,,2.0
78,17.08,17.06,17.07,,3.0
79,17.3,,,,4.0
80,17.52,,,,1.0
81,17.74,,,17.72,2.0
82,17.96,17.96,17.94,17.94,3.0
83,18.18,18.17,18.2,18.2,4.0
84,18.4,,,18.41,1.0
85,18.63,18.63,18.62,18.64,2.0
86,18.84,,18.82,18.85,3.0
87,19.07,,19.08,19.11,4.0
88,19.29,19.31,19.3,19.3,1.0
89,19.51,19.51,19.56,19.51,2.0
90,19.72,19.72,,19.73,3.0
91,19.95,19.94,,19.98,4.0
92,20.17,20.16,20.2,20.18,1.0
93,20.39,20.38,20.42,20.4,2.0
94,20.61,20.61,20.63,20.59,3.0
95,20.83,20.84,20.85,20.82,4.0
96,21.05,21.05,21.07,21.06,1.0
97,21.27,21.27,,21.26,2.0
98,21.49,21.49,,21.49,3.0
99,21.71,21.74,,21.75,4.0
100,21.93,,21.98,21.96,1.0
101,22.15,,22.15,22.19,2.0
102,22.36,,,22.4,3.0
103,22.57,22.59,,22.55,4.0
104,22.78,,,22.78,1.0
105,22.98,,,,2.0
106,23.2,,,,3.0
107,23.41,23.44,,,4.0
108,23.61,,,,1.0
109,23.82,,,,2.0
110,24.03,24.01,,,3.0
111,24.24,,24.25,,4.0
112,24.47,24.48,24.46,,1.0
113,24.68,24.71,24.68,,2.0
114,24.9,24.92,24.92,24.88,3.0
115,25.13,25.15,25.13,,4.0
116,25.35,25.34,25.35,25.36,1.0
117,25.56,25.54,25.54,25.57,2.0
118,25.79,25.81,25.8,25.78,3.0
119,26.0,,26.01,26.0,4.0
120,26.22,26.22,26.24,26.25,1.0
121,26.44,26.47,26.44,26.45,2.0
122,26.66,26.64,26.67,26.68,3.0
123,26.89,26.9,26.9,26.89,4.0
124,27.11,27.12,27.13,27.12,1.0
125,27.33,27.33,27.34,27.35,2.0
126,27.55,27.57,27.56,,3.0
127,27.77,27.78,27.78,27.79,4.0
128,27.98,28.0,28.01,28.0,1.0
129,28.19,28.17,28.21,28.22,2.0
130,28.39,28.39,,,3.0
131,28.61,28.64,,,4.0
132,28.81,28.79,,,1.0
133,29.03,29.03,,,2.0
134,29.24,29.25,,,3.0
135,29.45,29.5,,29.46,4.0
136,29.66,,,,1.0
137,29.86,,,,2.0
138,30.07,,,,3.0
139,30.28,,,,4.0
140,30.49,30.51,,,1.0
141,30.7,30.71,30.69,,2.0
142,30.91,,30.91,,3.0
143,31.12,,31.13,31.1,4.0
144,31.34,31.32,31.33,31.33,1.0
145,31.56,31.57,31.6,31.57,2.0
146,31.78,,31.79,31.77,3.0
147,32.01,,32.01,32.01,4.0
148,32.23,,32.21,32.23,1.0
149,32.44,32.45,32.44,32.45,2.0
150,32.66,32.68,32.66,32.65,3.0
151,32.89,32.88,,32.9,4.0
152,33.11,,33.09,33.13,1.0
153,33.33,,33.34,33.34,2.0
154,33.54,,33.57,33.54,3.0
155,33.77,33.79,33.79,33.78,4.0
156,33.98,33.97,34.01,33.99,1.0
157,34.18,34.18,,,2.0
158,34.4,34.41,,,3.0
159,34.61,34.66,,,4.0
160,34.82,,,34.87,1.0
161,35.02,,,,2.0
162,35.24,,,35.24,3.0
163,35.44,,,,4.0
164,35.65,,,,1.0
165,35.86,,,,2.0
166,36.07,,,,3.0
167,36.28,36.31,,,4.0
168,36.49,36.47,,36.47,1.0
169,36.7,36.69,36.69,36.68,2.0
170,36.92,36.91,36.93,36.92,3.0
171,37.14,37.18,37.14,37.13,4.0
172,37.36,37.36,37.37,37.37,1.0
173,37.58,37.58,37.59,37.58,2.0
174,37.81,37.85,37.83,37.81,3.0
175,38.03,38.02,38.05,38.03,4.0
176,38.25,38.24,38.28,38.27,1.0
177,38.47,38.46,38.49,38.47,2.0
178,38.69,38.69,38.71,38.7,3.0
179,38.91,38.91,38.93,38.92,4.0
180,39.13,,39.14,39.13,1.0
181,39.35,,39.36,39.35,2.0
182,39.56,39.55,39.61,,3.0
183,39.78,39.78,39.81,39.78,4.0
184,40.0,39.98,40.04,40.0,1.0
185,40.23,40.23,40.24,40.21,2.0
186,40.45,,40.47,40.46,3.0
187,40.66,40.67,40.69,40.65,4.0
188,40.88,,40.92,40.86,1.0
189,41.1,,41.13,41.08,2.0
190,41.33,41.33,41.36,,3.0
191,41.54,41.54,41.55,,4.0
192,41.76,,41.77,,1.0
193,41.98,,41.97,,2.0
194,42.2,42.21,42.18,,3.0
195,42.42,,,42.4,4.0
196,42.64,42.62,,,1.0
197,42.86,42.87,42.85,,2.0
198,43.08,43.06,43.09,43.08,3.0
199,43.3,43.28,43.31,43.28,4.0
200,43.53,43.54,43.53,43.52,1.0
201,43.74,,43.76,43.72,2.0
202,43.97,43.98,,43.97,3.0
203,44.18,44.18,44.19,44.16,4.0
204,44.4,44.39,44.42,44.39,1.0
205,44.63,,44.64,44.61,2.0
206,44.85,,44.87,44.86,3.0
207,45.07,,45.09,45.07,4.0
208,45.29,45.34,45.29,45.31,1.0
209,45.51,45.53,45.52,45.49,2.0
210,45.73,45.74,45.73,45.73,3.0
211,45.94,45.97,45.95,45.93,4.0
212,46.16,46.18,46.17,46.16,1.0
213,46.38,,46.4,46.37,2.0
214,46.6,46.59,46.63,46.6,3.0
215,46.82,,46.83,46.82,4.0
216,47.05,47.05,47.07,47.05,1.0
217,47.26,47.27,47.29,47.24,2.0
218,47.48,,47.51,47.48,3.0
219,47.71,47.71,47.72,47.7,4.0
220,47.93,47.93,47.96,47.93,1.0
221,48.15,48.14,48.17,48.16,2.0
222,48.37,48.37,48.38,48.41,3.0
223,48.59,48.6,48.61,48.59,4.0
224,48.8,48.79,,48.81,1.0
225,49.02,49.01,49.05,49.02,2.0
226,49.24,49.24,49.27,49.25,3.0
227,49.46,49.45,49.47,49.45,4.0
228,49.68,49.71,49.69,49.67,1.0
229,49.9,49.93,49.9,49.89,2.0
230,50.12,50.14,50.15,50.12,3.0
231,50.34,50.38,50.36,50.34,4.0
232,50.57,50.6,50.6,50.59,1.0
233,50.79,50.82,50.81,50.79,2.0
234,51.01,51.05,51.03,51.03,3.0
235,51.23,51.28,51.24,51.26,4.0
236,51.45,51.47,51.44,51.46,1.0
237,51.67,51.68,51.7,51.69,2.0
238,51.88,51.88,51.9,,3.0
239,52.11,,52.14,52.13,4.0
240,52.33,52.33,52.37,52.35,1.0
241,52.55,,52.57,52.56,2.0
242,52.77,52.78,52.81,,3.0
243,52.99,53.0,52.99,53.01,4.0
244,53.21,53.22,53.24,53.23,1.0
245,53.43,53.44,53.46,53.43,2.0
246,53.65,53.69,53.67,53.66,3.0
247,53.87,53.87,53.9,53.88,4.0
248,54.09,54.09,54.12,54.09,1.0
249,54.31,54.32,54.33,54.3,2.0
250,54.53,54.54,54.55,54.53,3.0
251,54.75,54.76,54.75,,4.0
252,54.96,55.0,54.98,54.96,1.0
253,55.18,55.18,55.19,55.17,2.0
254,55.4,55.41,55.42,55.4,3.0
255,55.6,55.64,55.61,55.59,4.0
256,55.83,55.85,55.83,55.82,1.0
257,56.04,56.05,56.04,56.02,2.0
258,56.25,,56.26,56.25,3.0
259,56.47,56.51,,56.47,4.0
260,56.7,56.71,,56.7,1.0
261,56.91,56.94,,56.91,2.0
262,57.12,57.12,,57.14,3.0
263,57.34,57.35,57.35,57.34,4.0
264,57.57,57.6,,57.57,1.0
265,57.78,57.8,57.76,57.77,2.0
266,58.01,58.02,58.01,58.04,3.0
267,58.23,58.25,58.23,58.23,4.0
268,58.43,58.43,,58.47,1.0
269,58.66,58.64,58.65,58.67,2.0
270,58.88,,58.9,58.88,3.0
271,59.09,,59.1,59.09,4.0
272,59.32,59.33,59.32,59.32,1.0
273,59.53,,59.54,59.53,2.0
274,59.76,,59.78,59.77,3.0
275,59.98,,59.97,59.99,4.0
276,60.2,60.2,60.22,60.22,1.0
277,60.41,60.41,60.43,60.41,2.0
278,60.63,60.63,60.64,60.63,3.0
279,60.86,60.88,60.86,60.86,4.0
280,61.08,61.09,61.1,61.09,1.0
281,61.3,61.31,61.32,61.29,2.0
282,61.52,,61.53,61.54,3.0
283,61.74,61.77,61.74,61.74,4.0
284,61.95,61.99,61.97,61.95,1.0
285,62.17,62.19,62.19,62.17,2.0
286,62.38,62.4,62.38,62.38,3.0
287,62.6,62.6,62.63,62.6,4.0
288,62.83,62.84,62.85,62.83,1.0
289,63.04,63.04,63.07,63.04,2.0
290,63.26,63.27,63.28,63.27,3.0
291,63.48,63.49,63.49,63.47,4.0
292,63.7,63.72,,63.69,1.0
293,63.92,63.95,,63.91,2.0
294,64.14,64.16,,64.13,3.0
295,64.36,64.35,64.39,64.36,4.0
296,64.59,64.61,64.61,64.6,1.0
297,64.8,64.8,64.82,64.81,2.0
298,65.03,65.04,65.03,65.03,3.0
299,65.25,,,65.26,4.0
300,65.46,65.44,,65.51,1.0
301,65.68,,65.68,65.68,2.0
302,65.9,,65.93,65.9,3.0
303,66.12,,66.14,66.11,4.0
304,66.34,,66.37,66.33,1.0
305,66.57,66.57,66.61,,2.0
306,66.79,66.82,66.81,66.78,3.0
307,67.01,67.01,67.04,,4.0
308,67.21,67.22,67.23,67.21,1.0
309,67.42,,67.42,67.42,2.0
310,67.65,,67.65,67.65,3.0
311,67.85,,67.87,67.84,4.0
312,68.07,68.07,68.08,68.07,1.0
313,68.29,68.32,68.31,68.29,2.0
314,68.52,68.52,68.53,68.5,3.0
315,68.73,68.76,68.74,68.72,4.0
316,68.95,68.96,68.96,68.96,1.0
317,69.17,69.19,69.17,69.16,2.0
318,69.39,69.43,69.41,69.39,3.0
319,69.61,69.64,69.63,69.6,4.0
320,69.84,,69.86,69.84,1.0
321,70.04,,70.07,70.04,2.0
322,70.26,70.25,70.28,70.27,3.0
323,70.49,,70.5,70.49,4.0
324,70.69,,70.7,70.69,1.0
325,70.92,70.91,70.92,70.92,2.0
326,71.13,,71.14,71.13,3.0
327,71.35,71.35,71.36,71.35,4.0
