,beats,piano,bass,drums,metre_auto
0,0.32,,0.31,0.33,1.0
1,0.73,0.72,0.71,0.74,2.0
2,1.12,,1.11,1.15,3.0
3,1.54,,1.53,1.54,4.0
4,1.95,1.95,1.92,1.97,1.0
5,2.34,2.34,2.31,2.35,2.0
6,2.74,2.74,2.73,2.77,3.0
7,3.15,3.16,3.13,3.14,4.0
8,3.57,3.59,,3.57,1.0
9,3.95,,3.93,3.95,2.0
10,4.34,4.34,4.3,4.37,3.0
11,4.73,4.74,4.71,4.73,4.0
12,5.14,5.14,5.1,5.18,1.0
13,5.53,5.53,5.53,5.54,2.0
14,5.96,5.97,,5.96,3.0
15,6.37,6.37,6.33,6.35,4.0
16,6.75,6.75,6.74,6.76,1.0
17,7.16,,7.15,7.16,2.0
18,7.54,7.63,7.53,7.57,3.0
19,7.97,7.94,7.93,7.97,4.0
20,8.36,8.37,8.34,8.39,1.0
21,8.77,8.77,8.73,8.78,2.0
22,9.17,9.17,9.15,9.18,3.0
23,9.55,9.54,9.54,9.56,4.0
24,9.95,,9.95,,1.0
25,10.35,10.36,10.35,10.36,2.0
26,10.75,10.78,10.74,10.75,3.0
27,11.14,11.18,11.14,11.14,4.0
28,11.54,11.5,11.53,11.55,1.0
29,11.93,11.93,11.92,11.93,2.0
30,12.31,12.3,12.31,12.35,3.0
31,12.72,12.69,12.71,12.73,4.0
32,13.13,,13.12,13.15,1.0
33,13.53,,13.5,13.53,2.0
34,13.91,14.0,13.91,13.94,3.0
35,14.31,14.31,14.3,14.32,4.0
36,14.7,,14.71,14.71,1.0
37,15.09,15.09,15.09,15.11,2.0
38,15.5,15.54,15.5,15.51,3.0
39,15.91,15.92,15.92,15.9,4.0
40,16.31,16.32,16.3,16.32,1.0
41,16.7,16.74,16.69,16.69,2.0
42,17.1,17.1,17.1,,3.0
43,17.49,17.51,17.49,17.49,4.0
44,17.89,17.89,17.89,,1.0
45,18.28,18.29,18.27,18.27,2.0
46,18.68,18.71,18.65,18.68,3.0
47,19.07,,19.07,19.07,4.0
48,19.48,,19.47,19.49,1.0
49,19.86,19.91,19.86,19.86,2.0
50,20.27,20.28,20.26,20.27,3.0
51,20.66,20.66,20.65,20.66,4.0
52,21.06,,21.05,21.08,1.0
53,21.46,21.46,21.45,21.46,2.0
54,21.85,,21.86,,3.0
55,22.24,22.24,22.24,22.25,4.0
56,22.64,,22.61,,1.0
57,23.04,,23.02,23.05,2.0
58,23.43,23.44,23.42,23.46,3.0
59,23.83,23.84,23.82,23.86,4.0
60,24.21,24.22,24.22,24.21,1.0
61,24.62,24.61,24.62,24.65,2.0
62,25.02,25.02,25.02,25.06,3.0
63,25.44,,25.42,25.44,4.0
64,25.82,,25.82,25.85,1.0
65,26.24,,26.21,26.24,2.0
66,26.65,26.65,26.64,26.67,3.0
67,27.04,27.04,27.03,27.04,4.0
68,27.44,27.52,27.43,27.45,1.0
69,27.83,27.84,27.83,27.84,2.0
70,28.26,,28.26,28.27,3.0
71,28.65,28.69,28.64,28.64,4.0
72,29.05,,29.02,29.07,1.0
73,29.43,29.46,29.43,29.42,2.0
74,29.81,29.86,29.81,29.85,3.0
75,30.22,30.22,30.22,30.22,4.0
76,30.62,30.62,30.6,30.63,1.0
77,31.0,31.05,31.0,31.0,2.0
78,31.43,31.45,31.39,31.41,3.0
79,31.81,,31.8,31.8,4.0
80,32.2,32.21,32.2,32.24,1.0
81,32.63,32.63,32.6,32.63,2.0
82,33.03,33.03,,33.05,3.0
83,33.43,,33.51,33.43,4.0
84,33.83,33.82,33.85,33.83,1.0
85,34.23,34.26,34.24,34.23,2.0
86,34.65,34.66,34.64,34.63,3.0
87,35.03,35.01,35.03,35.04,4.0
88,35.46,35.51,35.45,35.46,1.0
89,35.86,35.85,35.84,35.88,2.0
90,36.24,36.26,36.22,36.28,3.0
91,36.67,36.67,,36.67,4.0
92,37.05,37.05,37.04,,1.0
93,37.46,37.47,37.43,37.46,2.0
94,37.84,,37.84,37.87,3.0
95,38.25,,38.23,38.26,4.0
96,38.64,38.64,38.64,38.67,1.0
97,39.05,39.06,39.03,39.05,2.0
98,39.45,39.45,39.44,39.45,3.0
99,39.84,,39.83,39.84,4.0
100,40.24,40.28,40.24,40.25,1.0
101,40.63,40.67,40.63,40.64,2.0
102,41.04,,41.05,41.05,3.0
103,41.43,41.44,41.45,41.43,4.0
104,41.83,41.82,41.84,41.85,1.0
105,42.24,42.25,42.23,42.24,2.0
106,42.63,42.63,42.62,42.67,3.0
107,43.03,43.05,43.0,43.04,4.0
108,43.44,43.45,43.42,43.45,1.0
109,43.83,,43.83,43.86,2.0
110,44.23,44.3,44.22,,3.0
111,44.66,44.67,44.63,44.67,4.0
112,45.05,45.06,45.03,45.1,1.0
113,45.44,45.46,45.43,,2.0
114,45.86,45.84,45.85,45.88,3.0
115,46.24,46.24,46.23,,4.0
116,46.64,46.65,46.63,46.64,1.0
117,47.03,47.04,47.02,47.06,2.0
118,47.42,47.42,47.41,,3.0
119,47.8,47.8,47.81,,4.0
120,48.2,48.2,48.2,48.25,1.0
121,48.59,48.57,48.59,,2.0
122,48.98,48.97,48.98,,3.0
123,49.36,49.37,49.35,49.42,4.0
124,49.76,49.76,49.74,49.79,1.0
