,beats,piano,bass,drums,metre_auto
0,0.22,0.22,0.23,,3.0
1,0.56,0.55,0.55,,4.0
2,0.88,0.89,0.88,,1.0
3,1.21,1.22,1.21,1.2,2.0
4,1.54,1.54,1.54,,3.0
5,1.86,1.85,1.86,1.85,4.0
6,2.18,2.18,2.18,,1.0
7,2.5,2.49,2.5,,2.0
8,2.82,,2.82,,3.0
9,3.13,3.14,3.13,3.11,4.0
10,3.45,3.45,3.45,,1.0
11,3.78,3.78,3.77,3.75,2.0
12,4.09,4.09,4.09,,3.0
13,4.4,4.4,4.4,4.4,4.0
14,4.73,4.74,4.72,,1.0
15,5.04,5.04,5.04,5.03,2.0
16,5.37,5.36,5.37,5.35,3.0
17,5.67,5.67,5.67,5.67,4.0
18,5.99,5.98,5.98,,1.0
19,6.29,6.29,6.3,6.29,2.0
20,6.62,6.63,6.62,,3.0
21,6.94,6.95,6.94,6.91,4.0
22,7.26,7.27,7.26,,1.0
23,7.58,7.61,7.57,7.56,2.0
24,7.9,7.94,7.9,7.89,3.0
25,8.22,8.24,8.21,8.19,4.0
26,8.53,8.53,8.52,8.53,1.0
27,8.84,8.84,8.84,8.85,2.0
28,9.16,9.16,9.16,9.16,3.0
29,9.47,9.46,9.48,9.47,4.0
30,9.79,9.78,9.79,9.79,1.0
31,10.11,10.11,10.12,10.16,2.0
32,10.46,10.46,10.44,10.44,3.0
33,10.78,10.78,10.78,10.78,4.0
34,11.1,11.09,11.1,11.1,1.0
35,11.44,11.45,11.43,11.41,2.0
36,11.76,,11.76,11.76,3.0
37,12.09,12.09,12.07,12.08,4.0
38,12.4,12.4,12.39,12.41,1.0
39,12.71,12.71,12.71,,2.0
40,13.06,13.06,13.04,,3.0
41,13.37,13.36,13.36,13.37,4.0
42,13.7,13.7,13.67,13.71,1.0
43,14.01,14.01,14.01,14.01,2.0
44,14.34,,14.33,,3.0
45,14.66,14.66,14.66,14.66,4.0
46,14.98,14.98,14.97,14.99,1.0
47,15.3,15.29,15.29,15.31,2.0
48,15.61,15.6,15.62,15.61,3.0
49,15.94,15.94,15.94,,4.0
50,16.25,16.26,16.25,16.26,1.0
51,16.56,16.55,16.56,16.56,2.0
52,16.88,16.88,16.88,16.94,3.0
53,17.19,17.18,17.18,17.19,4.0
54,17.5,17.5,17.5,,1.0
55,17.83,17.83,17.83,17.84,2.0
56,18.16,18.16,18.16,18.15,3.0
57,18.47,18.49,18.46,18.47,4.0
58,18.79,,18.79,18.78,1.0
59,19.1,19.07,19.1,19.1,2.0
60,19.41,19.41,19.41,19.43,3.0
61,19.74,19.75,19.74,19.74,4.0
62,20.07,20.09,20.06,20.06,1.0
63,20.4,20.44,20.39,20.47,2.0
64,20.73,20.74,20.7,20.71,3.0
65,21.04,21.04,21.04,21.04,4.0
66,21.36,,21.36,21.36,1.0
67,21.67,21.68,21.66,21.66,2.0
68,22.0,,22.0,22.02,3.0
69,22.32,22.33,22.31,22.32,4.0
70,22.62,22.64,22.61,22.61,1.0
71,22.96,22.96,22.94,22.94,2.0
72,23.29,23.29,23.27,23.33,3.0
73,23.59,23.6,23.6,23.6,4.0
74,23.91,23.9,23.91,23.9,1.0
75,24.22,24.23,24.22,24.24,2.0
76,24.55,24.55,24.55,,3.0
77,24.86,,24.86,24.85,4.0
78,25.18,25.18,25.17,25.25,1.0
79,25.5,25.51,25.48,25.55,2.0
80,25.83,25.83,25.82,25.88,3.0
81,26.13,26.13,26.14,26.17,4.0
82,26.45,,26.45,,1.0
83,26.78,26.81,26.76,,2.0
84,27.08,,27.07,27.08,3.0
85,27.4,27.41,27.39,27.46,4.0
86,27.72,27.72,27.71,,1.0
87,28.04,28.05,28.03,28.03,2.0
88,28.36,28.37,28.36,,3.0
89,28.7,28.7,28.68,,4.0
90,29.02,29.02,29.0,,1.0
91,29.33,29.32,29.32,,2.0
92,29.64,29.64,29.64,,3.0
93,29.95,29.96,29.95,29.94,4.0
94,30.27,30.27,30.27,,1.0
95,30.59,30.6,30.58,,2.0
96,30.92,30.93,30.91,30.96,3.0
97,31.23,31.25,31.22,31.21,4.0
98,31.56,31.56,31.54,31.54,1.0
99,31.87,,31.86,31.94,2.0
100,32.18,,32.19,32.17,3.0
101,32.5,32.5,32.51,,4.0
102,32.82,,32.82,32.82,1.0
103,33.14,,33.14,33.12,2.0
104,33.45,33.45,33.45,33.46,3.0
105,33.77,33.77,33.77,33.76,4.0
106,34.09,34.09,34.08,34.08,1.0
107,34.41,34.42,34.41,34.4,2.0
108,34.72,34.73,34.73,34.72,3.0
109,35.04,35.03,35.05,,4.0
110,35.36,,35.37,35.36,1.0
111,35.67,,35.67,35.67,2.0
112,36.0,,36.0,36.0,3.0
113,36.31,36.32,36.31,,4.0
114,36.64,36.64,36.62,36.61,1.0
115,36.95,36.94,36.96,36.93,2.0
116,37.26,37.26,37.26,37.25,3.0
117,37.57,,37.57,37.57,4.0
118,37.88,,37.87,37.9,1.0
119,38.21,38.22,38.21,38.2,2.0
120,38.52,,38.52,38.52,3.0
121,38.83,38.83,38.83,38.83,4.0
122,39.16,39.17,39.15,39.15,1.0
123,39.47,39.47,39.48,39.47,2.0
124,39.79,39.78,39.79,39.79,3.0
125,40.11,40.1,40.12,40.11,4.0
126,40.44,40.43,,40.43,1.0
127,40.76,40.78,40.75,40.74,2.0
128,41.08,41.08,41.09,41.07,3.0
129,41.39,41.4,41.4,41.39,4.0
130,41.71,41.72,41.71,41.71,1.0
131,42.04,42.04,42.04,42.03,2.0
132,42.36,42.37,42.36,42.36,3.0
133,42.67,42.67,42.68,42.67,4.0
134,42.99,42.98,42.99,42.99,1.0
135,43.3,43.3,43.31,43.3,2.0
136,43.63,43.63,43.63,43.63,3.0
137,43.94,43.93,43.95,43.94,4.0
138,44.25,44.25,44.26,44.25,1.0
139,44.58,44.57,44.58,44.58,2.0
140,44.91,44.9,44.91,44.91,3.0
