,beats,piano,bass,drums,metre_auto
0,0.06,0.06,0.06,,3.0
1,0.3,0.31,0.32,0.28,4.0
2,0.54,0.54,0.54,,1.0
3,0.77,0.82,0.79,0.76,2.0
4,1.02,1.07,1.03,,3.0
5,1.24,1.26,1.25,1.23,4.0
6,1.49,1.52,1.49,,1.0
7,1.73,1.75,1.74,,2.0
8,1.97,2.0,1.97,,3.0
9,2.2,2.23,2.22,,4.0
10,2.43,,2.45,,1.0
11,2.65,,2.66,2.63,2.0
12,2.89,2.9,2.9,2.93,3.0
13,3.11,,3.11,3.11,4.0
14,3.35,,3.35,3.35,1.0
15,3.59,3.63,3.6,3.58,2.0
16,3.84,3.85,3.84,,3.0
17,4.06,4.09,4.07,4.05,4.0
18,4.31,4.32,4.31,,1.0
19,4.54,4.55,4.56,4.52,2.0
20,4.78,,4.79,4.76,3.0
21,5.01,,5.02,5.0,4.0
22,5.25,,5.25,5.24,1.0
23,5.49,,5.48,5.49,2.0
24,5.72,5.72,5.72,5.71,3.0
25,5.96,5.96,5.96,5.97,4.0
26,6.2,,6.2,,1.0
27,6.44,,6.44,6.45,2.0
28,6.69,,6.69,6.68,3.0
29,6.92,6.95,6.92,6.92,4.0
30,7.16,7.18,7.15,7.17,1.0
31,7.4,,7.4,7.39,2.0
32,7.64,7.65,7.64,7.62,3.0
33,7.87,7.9,7.88,7.86,4.0
34,8.11,8.14,8.11,8.11,1.0
35,8.34,8.36,8.36,8.33,2.0
36,8.59,8.6,8.59,8.57,3.0
37,8.81,,8.83,8.81,4.0
38,9.05,,9.06,9.05,1.0
39,9.29,9.3,9.3,9.28,2.0
40,9.53,,9.53,9.51,3.0
41,9.76,9.77,9.77,9.74,4.0
42,10.0,10.01,10.01,9.99,1.0
43,10.23,,10.24,10.23,2.0
44,10.48,,10.48,10.46,3.0
45,10.72,,10.72,10.7,4.0
46,10.95,,10.96,,1.0
47,11.18,11.18,11.18,11.17,2.0
48,11.42,,11.43,11.42,3.0
49,11.65,,11.67,11.64,4.0
50,11.9,,11.89,11.88,1.0
51,12.12,,12.14,12.12,2.0
52,12.35,12.36,12.36,12.35,3.0
53,12.59,,12.61,12.58,4.0
54,12.83,,12.84,,1.0
55,13.06,,13.07,13.06,2.0
56,13.3,13.31,13.31,13.29,3.0
57,13.53,13.52,13.53,13.53,4.0
58,13.76,13.76,13.78,13.78,1.0
59,14.0,,14.01,14.0,2.0
60,14.24,,14.23,,3.0
61,14.47,14.46,14.49,14.47,4.0
62,14.71,14.71,14.71,,1.0
63,14.95,,14.95,14.94,2.0
64,15.19,15.17,15.19,,3.0
65,15.42,15.42,15.42,15.42,4.0
66,15.67,15.67,15.66,,1.0
67,15.9,,15.9,15.91,2.0
68,16.14,,,16.14,3.0
69,16.38,,16.38,16.38,4.0
70,16.63,16.63,16.61,,1.0
71,16.85,16.85,16.86,16.85,2.0
72,17.09,17.11,17.1,,3.0
73,17.32,17.3,17.33,17.32,4.0
74,17.56,17.56,17.57,17.55,1.0
75,17.79,,17.8,17.79,2.0
76,18.03,18.04,18.03,,3.0
77,18.26,18.28,18.27,18.26,4.0
78,18.49,,18.49,,1.0
79,18.73,18.73,18.73,18.73,2.0
80,18.96,18.95,18.96,,3.0
81,19.2,,19.2,19.2,4.0
82,19.45,,19.46,,1.0
83,19.69,19.69,19.68,19.67,2.0
84,19.92,,19.92,,3.0
85,20.16,20.16,20.17,20.15,4.0
86,20.4,20.41,20.39,,1.0
87,20.62,20.64,20.62,20.62,2.0
88,20.85,,20.86,,3.0
89,21.09,,21.1,21.09,4.0
90,21.33,,21.35,,1.0
91,21.57,,21.56,21.57,2.0
92,21.81,21.82,21.81,,3.0
93,22.05,22.05,22.05,22.04,4.0
94,22.28,22.27,22.29,,1.0
95,22.52,,22.53,22.52,2.0
96,22.77,,22.79,,3.0
97,23.0,23.01,22.99,22.99,4.0
98,23.24,23.25,23.24,,1.0
99,23.47,,23.47,23.47,2.0
100,23.71,23.75,23.72,23.7,3.0
101,23.94,23.96,23.94,23.94,4.0
102,24.19,24.21,24.18,24.18,1.0
103,24.42,,24.43,24.41,2.0
104,24.65,24.66,24.65,24.66,3.0
105,24.87,24.9,24.89,24.87,4.0
106,25.12,,25.12,25.1,1.0
107,25.35,,25.36,25.35,2.0
108,25.58,25.59,25.59,,3.0
109,25.82,25.85,25.82,25.81,4.0
110,26.04,,26.06,26.03,1.0
111,26.28,26.29,26.3,26.27,2.0
112,26.5,,26.52,26.49,3.0
113,26.73,,26.75,26.72,4.0
114,26.97,26.98,26.98,,1.0
115,27.2,,27.22,27.19,2.0
116,27.43,,27.43,,3.0
117,27.67,27.69,27.68,27.66,4.0
118,27.9,,27.91,27.9,1.0
119,28.14,28.16,28.15,28.12,2.0
120,28.38,28.38,,,3.0
121,28.6,,28.6,28.59,4.0
122,28.85,,28.84,28.87,1.0
123,29.08,,29.08,,2.0
124,29.32,29.32,29.31,,3.0
125,29.54,29.55,29.54,29.55,4.0
126,29.78,29.79,29.78,,1.0
127,30.01,30.01,30.02,30.01,2.0
128,30.25,,30.26,,3.0
129,30.48,,30.48,30.48,4.0
130,30.71,30.72,30.71,,1.0
131,30.94,30.98,30.96,30.94,2.0
132,31.19,31.2,31.18,,3.0
133,31.43,,31.42,31.43,4.0
134,31.66,31.69,31.66,31.67,1.0
135,31.9,31.9,31.91,31.92,2.0
136,32.14,,32.13,,3.0
137,32.38,32.39,32.39,32.38,4.0
138,32.63,32.63,32.63,32.61,1.0
139,32.86,32.87,32.86,32.85,2.0
140,33.11,33.11,33.11,,3.0
141,33.33,33.33,33.34,33.32,4.0
142,33.57,33.61,33.57,,1.0
143,33.81,,33.82,33.8,2.0
144,34.05,,34.07,,3.0
145,34.27,34.27,34.29,34.27,4.0
146,34.52,,34.54,34.51,1.0
147,34.75,,34.76,34.74,2.0
148,34.99,34.99,35.0,,3.0
149,35.22,35.23,35.22,35.21,4.0
150,35.47,35.47,35.46,,1.0
151,35.71,35.74,35.72,35.7,2.0
152,35.95,,35.96,,3.0
153,36.19,36.21,36.18,,4.0
154,36.41,,36.42,,1.0
155,36.64,36.64,36.66,36.63,2.0
156,36.88,36.91,36.9,,3.0
157,37.11,37.16,37.11,37.1,4.0
158,37.35,37.36,37.34,37.33,1.0
159,37.58,,37.6,37.58,2.0
160,37.83,,37.84,37.84,3.0
161,38.06,,38.06,38.06,4.0
162,38.3,38.3,38.31,,1.0
163,38.53,38.56,38.54,38.52,2.0
164,38.77,38.78,38.8,,3.0
165,38.99,,39.02,38.99,4.0
166,39.22,39.22,39.25,,1.0
167,39.46,,39.47,39.46,2.0
168,39.69,,39.71,39.7,3.0
169,39.92,39.92,39.91,39.91,4.0
170,40.16,,40.17,40.16,1.0
171,40.38,40.38,40.39,40.38,2.0
172,40.62,,40.63,40.64,3.0
173,40.85,,40.86,40.85,4.0
174,41.1,41.09,41.11,,1.0
175,41.33,41.38,41.33,41.32,2.0
176,41.57,41.57,41.58,41.59,3.0
177,41.8,,41.8,41.78,4.0
178,42.03,42.02,42.05,42.03,1.0
179,42.25,42.25,42.26,42.25,2.0
180,42.49,42.47,42.5,,3.0
181,42.73,42.71,42.74,42.73,4.0
182,42.96,42.97,42.96,,1.0
183,43.19,,43.19,43.19,2.0
184,43.43,43.43,43.43,,3.0
185,43.67,43.66,43.67,43.67,4.0
186,43.91,43.9,43.92,,1.0
187,44.13,,44.14,44.12,2.0
188,44.38,,44.39,44.36,3.0
189,44.61,44.6,44.63,,4.0
190,44.84,44.85,44.85,44.82,1.0
191,45.06,45.06,45.07,45.05,2.0
192,45.3,45.31,45.29,45.28,3.0
193,45.52,,45.53,45.52,4.0
194,45.76,45.76,45.76,,1.0
195,45.99,,46.01,45.99,2.0
196,46.23,,46.24,,3.0
197,46.45,46.44,46.47,46.45,4.0
198,46.7,,46.7,,1.0
199,46.93,46.95,46.93,46.93,2.0
200,47.17,,47.18,,3.0
201,47.4,,47.4,47.4,4.0
202,47.64,47.64,47.65,,1.0
203,47.88,47.9,47.88,47.86,2.0
204,48.11,48.14,48.12,48.11,3.0
205,48.34,48.36,48.34,48.33,4.0
206,48.57,48.58,48.58,,1.0
