,beats,piano,bass,drums,metre_auto
0,0.11,0.15,0.1,,1.0
1,0.35,,0.35,0.34,2.0
2,0.58,,0.58,0.58,3.0
3,0.81,0.83,0.82,0.79,4.0
4,1.02,1.02,1.03,1.02,1.0
5,1.25,,1.25,1.24,2.0
6,1.47,,1.47,1.47,3.0
7,1.7,,1.7,1.7,4.0
8,1.92,1.96,1.93,1.94,1.0
9,2.15,,2.15,2.15,2.0
10,2.37,2.41,2.37,2.38,3.0
11,2.59,2.59,2.59,2.59,4.0
12,2.82,,2.82,2.83,1.0
13,3.05,3.08,3.05,3.05,2.0
14,3.27,3.27,3.27,,3.0
15,3.5,,3.51,3.49,4.0
16,3.73,,3.73,3.72,1.0
17,3.95,,3.96,3.94,2.0
18,4.17,4.2,4.15,4.16,3.0
19,4.39,4.44,4.39,4.39,4.0
20,4.62,4.67,4.62,4.62,1.0
21,4.85,4.87,4.85,4.83,2.0
22,5.07,5.08,5.08,5.07,3.0
23,5.3,5.35,5.3,5.29,4.0
24,5.52,5.52,5.51,5.52,1.0
25,5.76,,5.76,5.74,2.0
26,5.97,,5.96,,3.0
27,6.2,,6.2,6.2,4.0
28,6.42,6.42,6.41,6.43,1.0
29,6.64,,6.64,6.64,2.0
30,6.87,6.89,6.86,6.87,3.0
31,7.09,7.12,7.11,7.09,4.0
32,7.3,,7.3,7.32,1.0
33,7.54,,7.54,7.54,2.0
34,7.77,7.78,7.76,,3.0
35,8.0,,8.0,7.99,4.0
36,8.22,8.23,8.22,8.22,1.0
37,8.44,,8.44,8.45,2.0
38,8.68,,8.68,8.68,3.0
39,8.9,,8.9,8.9,4.0
40,9.12,,9.12,9.13,1.0
41,9.34,,9.34,9.35,2.0
42,9.57,9.58,9.56,9.57,3.0
43,9.79,,9.79,9.79,4.0
44,10.03,,10.03,10.02,1.0
45,10.24,,10.25,10.24,2.0
46,10.47,10.48,10.46,10.46,3.0
47,10.69,10.7,10.7,10.67,4.0
48,10.92,,10.92,10.94,1.0
49,11.13,,11.13,11.11,2.0
50,11.37,11.38,11.36,,3.0
51,11.58,,11.58,11.57,4.0
52,11.81,,11.81,11.81,1.0
53,12.03,,12.03,12.01,2.0
54,12.26,,12.26,,3.0
55,12.48,12.5,12.48,12.47,4.0
56,12.71,,12.71,12.71,1.0
57,12.93,,12.94,12.92,2.0
58,13.17,13.17,,13.18,3.0
59,13.38,13.39,13.36,13.38,4.0
60,13.62,13.62,,13.63,1.0
61,13.83,,13.83,13.83,2.0
