,beats,piano,bass,drums,metre_auto
0,0.05,0.08,0.05,0.01,2.0
1,0.42,0.42,0.43,,3.0
2,0.75,,0.76,0.72,4.0
3,1.11,,1.13,1.08,1.0
4,1.44,,1.45,1.43,2.0
5,1.79,,1.79,1.78,3.0
6,2.14,,2.15,2.13,4.0
7,2.48,,2.48,2.49,1.0
8,2.83,2.86,2.84,2.82,2.0
9,3.19,3.23,3.18,,3.0
10,3.53,3.58,3.53,3.53,4.0
11,3.9,,3.9,3.88,1.0
12,4.23,,4.24,4.23,2.0
13,4.59,4.6,4.58,4.6,3.0
14,4.93,4.95,4.92,4.93,4.0
15,5.28,5.31,5.28,5.27,1.0
16,5.63,5.68,5.63,5.63,2.0
17,5.99,6.0,5.99,5.97,3.0
18,6.33,,6.34,6.32,4.0
19,6.67,,6.68,6.67,1.0
20,7.01,7.05,7.01,7.02,2.0
21,7.37,7.39,7.39,7.36,3.0
22,7.71,7.78,7.73,7.7,4.0
23,8.06,8.1,8.05,8.05,1.0
24,8.41,,8.42,8.39,2.0
25,8.77,8.81,8.77,8.75,3.0
26,9.11,9.16,9.11,9.1,4.0
27,9.47,9.53,9.47,9.45,1.0
28,9.83,9.85,9.83,,2.0
29,10.18,10.2,10.18,10.15,3.0
30,10.51,10.54,10.5,10.49,4.0
31,10.88,10.88,10.88,,1.0
32,11.22,11.22,11.22,11.18,2.0
33,11.57,11.58,11.57,11.53,3.0
34,11.89,,11.91,11.88,4.0
35,12.24,,12.25,12.23,1.0
36,12.59,12.59,12.6,12.58,2.0
37,12.93,12.98,12.93,12.94,3.0
38,13.28,,13.28,13.27,4.0
39,13.62,13.66,13.62,13.62,1.0
40,13.97,,13.96,13.97,2.0
41,14.32,14.35,14.33,14.32,3.0
42,14.67,14.65,14.67,14.67,4.0
43,15.02,,15.03,15.01,1.0
44,15.36,15.35,15.37,15.36,2.0
45,15.71,15.72,15.72,15.71,3.0
46,16.06,16.11,16.07,16.05,4.0
47,16.41,16.38,16.42,16.41,1.0
48,16.75,16.73,16.76,16.74,2.0
49,17.1,17.12,17.1,17.09,3.0
50,17.45,17.45,17.45,17.45,4.0
51,17.79,,17.8,17.8,1.0
52,18.15,,18.15,18.15,2.0
53,18.5,18.5,18.5,18.51,3.0
54,18.85,,18.85,18.85,4.0
55,19.21,,19.21,19.2,1.0
56,19.56,19.57,19.55,19.55,2.0
57,19.91,19.93,19.91,19.9,3.0
58,20.26,20.27,20.26,20.25,4.0
59,20.61,,20.61,20.61,1.0
60,20.96,20.94,20.98,20.95,2.0
61,21.31,21.33,21.32,21.31,3.0
62,21.65,,21.66,21.65,4.0
63,22.0,22.05,22.0,22.0,1.0
64,22.35,22.39,22.36,22.34,2.0
65,22.7,,22.71,22.7,3.0
66,23.04,23.06,23.05,23.04,4.0
67,23.39,23.39,23.39,23.39,1.0
68,23.73,23.72,23.74,23.73,2.0
69,24.08,24.04,24.07,24.08,3.0
70,24.43,24.39,24.43,24.42,4.0
71,24.77,,24.76,24.77,1.0
72,25.11,25.1,25.11,25.11,2.0
73,25.47,25.48,25.46,25.46,3.0
74,25.8,25.85,25.8,25.8,4.0
75,26.16,26.19,26.16,26.15,1.0
76,26.5,26.56,26.51,26.49,2.0
77,26.86,26.91,26.86,26.84,3.0
78,27.21,27.25,27.21,27.18,4.0
79,27.57,27.58,27.58,27.53,1.0
80,27.92,,27.92,27.88,2.0
81,28.27,,28.27,28.23,3.0
82,28.62,28.62,28.61,28.58,4.0
83,28.95,28.97,28.96,28.93,1.0
84,29.29,29.33,29.29,29.28,2.0
85,29.64,29.68,29.65,29.64,3.0
86,29.99,30.05,29.99,29.99,4.0
87,30.34,,30.35,30.34,1.0
88,30.68,,30.7,30.68,2.0
89,31.04,31.08,31.05,31.04,3.0
90,31.39,,31.39,31.38,4.0
91,31.74,31.76,31.74,31.73,1.0
92,32.08,32.13,32.08,32.08,2.0
93,32.43,,32.43,32.43,3.0
94,32.78,,32.79,32.78,4.0
95,33.13,,33.13,33.13,1.0
96,33.47,,33.48,33.48,2.0
97,33.82,33.89,33.82,33.82,3.0
98,34.17,34.21,34.17,34.17,4.0
99,34.53,,34.53,34.53,1.0
100,34.87,34.93,34.88,34.87,2.0
101,35.22,35.29,35.22,35.22,3.0
102,35.56,35.62,35.56,35.55,4.0
103,35.9,,35.9,35.91,1.0
104,36.24,36.28,36.23,36.23,2.0
105,36.59,36.62,36.6,36.58,3.0
106,36.94,36.94,36.95,36.93,4.0
107,37.29,,37.3,37.29,1.0
108,37.64,,37.66,37.63,2.0
109,37.99,38.04,37.99,37.99,3.0
110,38.33,38.31,38.34,38.33,4.0
111,38.68,,38.69,38.68,1.0
112,39.03,39.05,39.03,39.03,2.0
113,39.38,39.4,39.37,39.38,3.0
114,39.73,,39.74,39.72,4.0
115,40.09,40.11,40.08,40.07,1.0
116,40.43,40.44,40.43,40.42,2.0
117,40.79,,40.8,40.76,3.0
118,41.12,,41.12,41.12,4.0
119,41.46,,41.46,41.46,1.0
120,41.81,41.82,41.81,41.8,2.0
121,42.17,42.17,42.15,42.14,3.0
122,42.5,42.53,42.5,42.49,4.0
123,42.85,42.86,42.85,42.84,1.0
124,43.21,43.22,43.21,43.17,2.0
125,43.54,,43.55,43.52,3.0
126,43.89,43.9,43.89,43.86,4.0
127,44.22,,44.23,44.21,1.0
128,44.57,,44.59,44.56,2.0
129,44.92,44.96,44.93,44.91,3.0
130,45.26,,45.29,45.25,4.0
131,45.63,45.64,45.63,45.61,1.0
132,45.96,,45.97,45.95,2.0
133,46.31,,46.32,46.3,3.0
134,46.64,,46.65,46.64,4.0
135,46.99,,47.0,46.98,1.0
136,47.34,47.35,47.35,47.32,2.0
137,47.7,47.7,47.71,47.67,3.0
138,48.03,48.07,48.03,48.02,4.0
139,48.37,48.36,48.38,48.37,1.0
140,48.72,48.74,48.73,48.72,2.0
141,49.08,,49.08,49.07,3.0
142,49.41,,49.42,49.41,4.0
143,49.76,49.78,49.76,49.76,1.0
144,50.11,50.14,50.1,50.1,2.0
145,50.46,50.49,50.46,50.46,3.0
146,50.81,50.83,50.8,50.81,4.0
147,51.16,,51.16,51.16,1.0
148,51.5,,51.51,51.5,2.0
149,51.85,51.86,51.85,51.85,3.0
150,52.21,52.22,52.21,52.2,4.0
151,52.54,52.59,52.54,52.54,1.0
152,52.89,52.94,52.89,52.88,2.0
153,53.25,53.28,53.25,53.22,3.0
154,53.58,,53.59,53.57,4.0
155,53.93,53.93,53.95,53.93,1.0
156,54.28,,54.29,54.27,2.0
157,54.62,,54.63,54.62,3.0
158,54.96,,54.96,54.95,4.0
159,55.32,,55.33,55.31,1.0
160,55.65,55.66,55.66,55.64,2.0
161,56.0,56.02,56.0,55.98,3.0
162,56.35,56.38,56.35,56.33,4.0
163,56.7,56.72,56.7,56.7,1.0
164,57.04,57.08,57.04,57.04,2.0
165,57.4,57.44,57.39,57.39,3.0
166,57.73,,57.74,57.72,4.0
167,58.08,58.09,58.08,58.07,1.0
168,58.42,58.45,58.43,58.41,2.0
169,58.77,58.79,58.77,58.77,3.0
170,59.12,59.13,59.12,59.1,4.0
171,59.45,,59.46,59.45,1.0
172,59.79,,59.79,59.79,2.0
173,60.14,,60.14,60.14,3.0
174,60.48,,60.47,60.48,4.0
175,60.83,,60.84,60.83,1.0
176,61.16,,61.18,61.16,2.0
177,61.51,61.51,61.52,61.51,3.0
178,61.85,61.86,61.86,61.84,4.0
179,62.2,,62.2,62.2,1.0
180,62.53,,62.55,62.52,2.0
181,62.88,62.92,62.88,62.88,3.0
182,63.21,63.24,63.2,63.21,4.0
183,63.57,63.6,63.55,63.56,1.0
184,63.9,,63.9,63.9,2.0
185,64.25,64.26,64.25,64.25,3.0
186,64.59,,64.58,64.58,4.0
187,64.94,64.98,64.93,64.95,1.0
188,65.26,65.3,65.27,65.26,2.0
189,65.62,,65.63,65.62,3.0
190,65.96,65.96,65.97,65.93,4.0
191,66.28,66.3,66.28,66.27,1.0
192,66.62,66.64,66.61,66.62,2.0
193,66.97,67.0,66.96,66.97,3.0
194,67.31,67.34,67.31,67.31,4.0
195,67.67,,67.67,67.67,1.0
196,68.0,,68.03,68.0,2.0
197,68.35,,68.36,68.35,3.0
198,68.68,68.71,68.68,68.68,4.0
199,69.04,69.05,69.03,69.04,1.0
200,69.38,,69.4,69.37,2.0
201,69.74,69.79,69.73,69.74,3.0
202,70.07,70.13,70.08,70.06,4.0
203,70.43,70.45,70.43,70.43,1.0
204,70.76,,70.77,70.75,2.0
205,71.12,71.17,71.12,71.1,3.0
206,71.45,71.5,71.45,71.44,4.0
207,71.79,71.84,71.79,71.79,1.0
208,72.13,72.18,72.14,72.13,2.0
209,72.49,72.52,72.49,72.48,3.0
210,72.84,72.85,72.84,72.81,4.0
211,73.18,73.2,73.18,73.17,1.0
212,73.51,73.56,73.52,73.5,2.0
213,73.86,73.9,73.86,73.85,3.0
214,74.19,74.21,74.21,74.18,4.0
215,74.56,74.57,74.55,74.54,1.0
216,74.89,74.93,74.89,74.89,2.0
217,75.26,75.27,75.25,75.24,3.0
218,75.59,75.62,75.59,75.58,4.0
219,75.94,75.98,75.96,75.92,1.0
220,76.27,76.32,76.29,76.27,2.0
221,76.62,76.64,76.62,76.6,3.0
222,76.95,76.91,76.96,76.95,4.0
