,beats,piano,bass,drums,metre_auto
0,0.33,0.34,0.32,0.31,4.0
1,0.67,,,0.66,1.0
2,1.04,1.04,1.04,1.03,2.0
3,1.41,1.41,,1.41,3.0
4,1.77,1.79,1.76,1.76,4.0
5,2.13,2.14,2.15,2.13,1.0
6,2.49,2.57,2.49,2.48,2.0
7,2.85,2.87,,2.84,3.0
8,3.21,3.23,3.21,3.21,4.0
9,3.57,3.58,,3.57,1.0
10,3.92,3.94,3.92,3.92,2.0
11,4.28,,4.28,4.28,3.0
12,4.65,4.65,4.63,4.65,4.0
13,5.0,4.99,4.97,5.02,1.0
14,5.37,5.37,5.35,5.36,2.0
15,5.72,5.72,,5.72,3.0
16,6.08,6.1,6.08,6.07,4.0
17,6.43,6.46,,6.43,1.0
18,6.8,6.8,6.78,6.78,2.0
19,7.15,7.16,7.12,7.15,3.0
20,7.51,7.58,7.48,7.51,4.0
21,7.87,7.88,,7.86,1.0
22,8.23,8.23,8.22,8.2,2.0
23,8.59,8.59,,8.57,3.0
24,8.95,8.96,8.95,8.94,4.0
25,9.31,,,9.29,1.0
26,9.67,9.76,9.66,9.67,2.0
27,10.03,10.04,10.04,10.02,3.0
28,10.39,10.39,,10.39,4.0
29,10.75,10.77,10.73,10.75,1.0
30,11.12,11.1,11.1,11.1,2.0
31,11.49,11.51,,11.46,3.0
32,11.86,11.82,,11.83,4.0
33,12.23,12.21,12.32,,1.0
34,12.6,12.6,12.57,,2.0
35,12.97,12.93,,,3.0
36,13.34,,,,4.0
37,13.72,,,,1.0
38,14.1,,,,2.0
39,14.47,,14.47,,3.0
40,14.83,,,,4.0
41,15.19,,15.18,,1.0
42,15.56,,,,2.0
43,15.93,,,,3.0
44,16.3,16.28,,,4.0
45,16.67,16.7,16.76,16.72,1.0
46,17.04,17.08,,,2.0
47,17.43,17.43,,,3.0
48,17.79,17.79,,,4.0
49,18.15,18.15,18.15,18.15,1.0
50,18.54,18.51,,18.61,2.0
51,18.91,18.87,18.88,18.98,3.0
52,19.28,19.35,19.24,19.33,4.0
53,19.65,19.71,19.68,19.68,1.0
54,20.02,20.08,,20.03,2.0
55,20.39,20.41,20.4,20.41,3.0
56,20.76,,,20.76,4.0
57,21.13,21.13,21.15,21.14,1.0
58,21.48,21.5,,21.47,2.0
59,21.85,,,,3.0
60,22.23,22.22,,22.23,4.0
61,22.59,,22.59,22.57,1.0
62,22.94,22.94,,22.93,2.0
63,23.3,23.3,23.3,23.3,3.0
64,23.66,23.72,,23.66,4.0
65,24.03,24.05,24.04,24.01,1.0
66,24.38,24.4,,24.38,2.0
67,24.74,,24.74,24.74,3.0
68,25.1,25.11,25.1,25.1,4.0
69,25.47,25.47,25.46,25.48,1.0
70,25.82,25.84,,25.82,2.0
71,26.19,,26.2,26.18,3.0
72,26.55,26.56,,26.54,4.0
73,26.91,,26.91,26.9,1.0
74,27.27,27.28,,27.26,2.0
75,27.63,27.64,27.64,27.63,3.0
76,27.99,28.02,27.98,27.98,4.0
77,28.35,28.37,28.34,28.34,1.0
78,28.71,28.74,,28.7,2.0
79,29.07,,29.06,29.08,3.0
80,29.43,29.44,,29.43,4.0
81,29.79,29.81,29.79,29.8,1.0
82,30.15,30.15,30.16,30.15,2.0
83,30.51,30.59,30.51,30.52,3.0
84,30.87,30.89,30.88,30.87,4.0
85,31.23,31.27,31.23,31.23,1.0
86,31.59,31.62,31.66,31.59,2.0
87,31.95,31.95,31.91,31.95,3.0
88,32.31,32.37,,32.3,4.0
89,32.66,,32.66,32.68,1.0
90,33.01,,33.01,33.01,2.0
91,33.37,33.38,33.36,33.37,3.0
92,33.73,,33.7,33.71,4.0
93,34.09,34.09,34.07,34.09,1.0
94,34.45,34.46,,34.44,2.0
95,34.81,34.8,34.82,34.81,3.0
96,35.17,,,35.16,4.0
97,35.53,35.56,35.5,35.53,1.0
98,35.9,35.91,,35.89,2.0
99,36.25,36.29,36.23,36.25,3.0
