,beats,piano,bass,drums,metre_auto
0,0.0,0.01,,0.02,2.0
1,0.24,,0.24,,3.0
2,0.52,0.54,0.52,0.51,4.0
3,0.78,0.79,0.77,0.76,1.0
4,1.04,1.05,1.02,1.04,2.0
5,1.28,1.3,1.28,1.27,3.0
6,1.55,1.57,1.54,1.54,4.0
7,1.79,1.78,1.81,1.78,1.0
8,2.06,2.08,2.06,2.05,2.0
9,2.3,2.33,2.3,2.3,3.0
10,2.57,2.6,2.56,2.57,4.0
11,2.82,2.82,2.82,2.81,1.0
12,3.09,3.1,3.08,3.09,2.0
13,3.33,3.34,3.32,3.33,3.0
14,3.59,3.62,3.59,3.59,4.0
15,3.85,3.87,3.85,3.84,1.0
16,4.1,4.14,4.09,4.11,2.0
17,4.36,4.36,4.36,4.35,3.0
18,4.62,4.63,4.61,4.61,4.0
19,4.88,4.89,4.85,4.85,1.0
20,5.13,5.13,5.12,5.13,2.0
21,5.37,,5.37,5.37,3.0
22,5.62,5.64,5.62,5.64,4.0
23,5.88,5.86,5.87,5.88,1.0
24,6.15,6.15,6.15,6.14,2.0
25,6.39,6.41,6.39,6.39,3.0
26,6.66,6.68,6.64,6.65,4.0
27,6.9,6.94,6.91,6.9,1.0
28,7.17,7.21,7.16,7.17,2.0
29,7.42,7.46,7.41,7.41,3.0
30,7.69,7.72,7.68,7.69,4.0
31,7.93,7.9,7.93,7.93,1.0
32,8.21,8.23,8.18,8.2,2.0
33,8.45,,8.43,8.45,3.0
34,8.71,8.71,8.71,8.71,4.0
35,8.96,8.97,8.96,8.95,1.0
36,9.23,9.24,9.23,9.21,2.0
37,9.47,9.47,9.46,9.45,3.0
38,9.73,9.73,9.72,9.73,4.0
39,9.98,9.98,9.98,9.97,1.0
40,10.24,10.25,10.23,10.26,2.0
41,10.5,10.5,10.48,10.5,3.0
42,10.76,10.77,10.75,10.77,4.0
43,11.01,11.03,11.0,11.0,1.0
44,11.28,11.3,11.26,11.28,2.0
45,11.53,11.54,11.52,11.52,3.0
46,11.78,11.78,11.78,11.79,4.0
47,12.03,12.02,12.03,12.03,1.0
48,12.3,12.3,12.29,12.31,2.0
49,12.55,12.61,12.54,12.55,3.0
50,12.82,12.82,12.8,12.82,4.0
51,13.07,13.07,13.06,13.07,1.0
52,13.33,13.32,13.31,13.33,2.0
53,13.58,,13.57,13.58,3.0
54,13.83,,13.82,13.83,4.0
55,14.09,14.1,14.09,14.08,1.0
56,14.34,14.34,14.33,14.35,2.0
57,14.59,14.61,14.59,14.59,3.0
58,14.86,14.87,14.85,14.87,4.0
59,15.11,,15.11,15.11,1.0
60,15.38,15.39,15.38,15.39,2.0
61,15.63,,15.64,15.63,3.0
62,15.9,15.91,15.9,15.9,4.0
63,16.16,16.16,16.16,16.15,1.0
64,16.42,16.42,16.41,16.43,2.0
65,16.67,16.68,16.67,16.67,3.0
66,16.95,16.95,16.94,16.94,4.0
67,17.19,,17.19,17.19,1.0
68,17.45,17.47,17.44,17.45,2.0
69,17.7,,17.69,17.7,3.0
70,17.96,18.0,17.96,17.96,4.0
