,beats,piano,bass,drums,metre_auto
0,0.46,,,0.43,2.0
1,0.73,0.72,,0.73,3.0
2,1.0,1.01,0.97,0.98,4.0
3,1.27,1.29,1.25,1.27,1.0
4,1.54,1.56,1.53,1.53,2.0
5,1.82,1.82,1.8,1.82,3.0
6,2.08,,2.08,2.07,4.0
7,2.36,,2.37,2.36,1.0
8,2.62,2.63,2.63,2.62,2.0
9,2.9,2.92,2.91,2.91,3.0
10,3.17,3.2,3.18,3.16,4.0
11,3.44,,3.45,3.45,1.0
12,3.71,3.76,3.72,3.71,2.0
13,3.98,4.03,3.97,4.0,3.0
14,4.25,4.28,,4.24,4.0
15,4.52,4.55,4.53,4.53,1.0
16,4.79,4.83,4.79,4.78,2.0
17,5.06,5.11,5.05,5.07,3.0
18,5.32,5.29,5.33,5.32,4.0
19,5.6,5.65,5.6,5.61,1.0
20,5.87,5.9,5.86,5.86,2.0
21,6.14,,6.15,6.15,3.0
22,6.41,,6.41,6.4,4.0
23,6.68,6.67,6.67,6.7,1.0
24,6.95,,6.94,6.95,2.0
25,7.22,,7.22,7.23,3.0
26,7.49,,7.49,7.49,4.0
27,7.76,7.78,7.75,7.77,1.0
28,8.03,,8.02,8.02,2.0
29,8.3,8.32,8.3,8.29,3.0
30,8.56,,8.57,8.56,4.0
31,8.84,8.85,8.84,8.86,1.0
32,9.11,,9.11,9.11,2.0
33,9.38,9.4,9.39,9.39,3.0
34,9.65,9.66,9.65,9.65,4.0
35,9.92,,9.92,9.92,1.0
36,10.18,10.22,10.17,10.17,2.0
37,10.46,10.48,,10.46,3.0
38,10.7,10.75,10.71,10.7,4.0
39,10.98,11.0,10.99,10.98,1.0
40,11.24,11.26,11.25,11.23,2.0
41,11.51,11.53,11.52,11.5,3.0
42,11.77,,11.78,11.76,4.0
43,12.05,12.05,,12.04,1.0
44,12.29,12.33,12.28,12.29,2.0
45,12.55,12.6,12.55,12.56,3.0
46,12.81,,12.82,12.81,4.0
47,13.09,13.15,13.08,13.1,1.0
48,13.35,,13.35,13.34,2.0
49,13.63,13.63,13.62,13.62,3.0
50,13.89,13.94,13.9,13.89,4.0
51,14.17,14.19,14.16,14.18,1.0
52,14.43,14.45,14.42,14.42,2.0
53,14.7,,14.68,14.71,3.0
54,14.96,,14.96,14.95,4.0
55,15.23,15.23,15.23,15.25,1.0
56,15.49,,15.48,15.49,2.0
57,15.77,15.8,15.76,15.77,3.0
58,16.04,16.09,16.03,16.03,4.0
59,16.31,16.34,16.31,16.31,1.0
60,16.57,16.61,16.58,16.56,2.0
61,16.85,,16.85,16.86,3.0
62,17.1,,17.12,17.09,4.0
63,17.38,17.39,17.38,17.38,1.0
64,17.64,17.69,17.64,17.64,2.0
65,17.91,17.95,17.91,17.93,3.0
66,18.17,18.21,18.18,18.17,4.0
67,18.45,,18.45,18.46,1.0
68,18.71,18.73,18.7,18.7,2.0
69,18.99,19.01,18.97,19.0,3.0
70,19.24,19.27,19.25,19.24,4.0
71,19.52,19.56,19.52,19.53,1.0
72,19.78,19.82,19.76,19.77,2.0
73,20.06,20.07,20.04,20.06,3.0
74,20.32,,20.31,20.31,4.0
75,20.58,20.58,20.58,20.59,1.0
76,20.84,,,20.84,2.0
77,21.12,21.13,21.13,21.12,3.0
78,21.36,21.39,21.37,21.36,4.0
79,21.64,21.66,21.63,21.64,1.0
80,21.89,21.91,21.89,21.88,2.0
81,22.17,22.19,,22.16,3.0
82,22.43,22.46,22.41,22.42,4.0
83,22.7,22.72,22.68,22.71,1.0
84,22.95,22.99,22.93,22.94,2.0
85,23.23,23.27,23.22,23.23,3.0
86,23.47,23.5,23.49,23.46,4.0
87,23.75,23.78,23.74,23.74,1.0
88,24.0,24.04,24.01,24.0,2.0
89,24.28,24.32,24.27,24.29,3.0
90,24.53,,24.53,24.53,4.0
91,24.81,24.83,24.78,24.81,1.0
92,25.06,,25.05,25.06,2.0
93,25.33,,25.32,25.34,3.0
94,25.59,25.61,25.6,25.59,4.0
95,25.87,25.89,25.86,25.87,1.0
96,26.12,,26.13,26.11,2.0
97,26.39,26.41,26.39,26.39,3.0
98,26.64,26.65,26.65,26.64,4.0
99,26.91,26.96,26.91,26.92,1.0
100,27.18,27.23,27.18,27.17,2.0
101,27.45,27.47,27.45,27.45,3.0
102,27.71,27.73,27.71,27.7,4.0
103,27.98,27.99,27.98,27.98,1.0
104,28.23,28.24,28.24,28.23,2.0
105,28.51,28.53,28.5,28.52,3.0
106,28.75,28.8,28.75,28.75,4.0
107,29.03,29.05,29.02,29.04,1.0
108,29.29,29.31,29.29,29.28,2.0
109,29.56,29.56,29.56,29.57,3.0
110,29.81,29.85,29.83,29.81,4.0
111,30.09,30.12,30.09,30.1,1.0
112,30.34,30.39,30.34,30.34,2.0
113,30.61,30.64,30.59,30.62,3.0
114,30.87,,30.88,30.86,4.0
115,31.13,,31.14,31.14,1.0
116,31.39,31.4,31.38,31.39,2.0
117,31.67,31.69,31.66,31.67,3.0
118,31.93,31.94,31.92,31.92,4.0
119,32.2,32.23,32.2,32.2,1.0
120,32.46,32.47,32.45,32.45,2.0
121,32.73,32.75,32.72,32.72,3.0
122,32.99,33.02,32.98,32.98,4.0
123,33.25,33.28,33.25,33.25,1.0
124,33.51,33.55,33.52,33.5,2.0
125,33.79,33.8,33.77,33.78,3.0
126,34.04,,34.03,34.04,4.0
127,34.31,34.33,34.3,34.32,1.0
128,34.57,34.58,34.57,34.56,2.0
129,34.84,,34.85,34.84,3.0
130,35.1,35.11,35.12,35.1,4.0
131,35.37,35.38,35.35,35.37,1.0
132,35.62,35.66,35.62,35.62,2.0
133,35.9,35.91,35.89,35.91,3.0
134,36.15,36.18,36.14,36.14,4.0
135,36.42,36.46,36.41,36.42,1.0
136,36.67,36.73,36.68,36.67,2.0
137,36.95,36.98,36.95,36.94,3.0
138,37.19,37.25,37.2,37.19,4.0
139,37.47,37.49,37.46,,1.0
140,37.73,37.75,37.72,37.73,2.0
141,37.99,38.02,37.98,38.01,3.0
142,38.24,38.29,38.23,38.24,4.0
143,38.52,38.54,38.5,38.52,1.0
144,38.78,38.81,38.77,38.78,2.0
145,39.04,,39.02,39.07,3.0
146,39.3,39.3,39.3,39.31,4.0
147,39.58,39.59,39.57,39.59,1.0
148,39.83,39.84,39.84,39.83,2.0
149,40.11,40.11,40.09,40.1,3.0
150,40.35,,40.35,40.35,4.0
151,40.63,,40.6,40.63,1.0
152,40.89,40.89,40.89,40.88,2.0
153,41.16,41.17,41.15,41.16,3.0
154,41.42,41.43,41.42,41.4,4.0
155,41.69,,41.68,41.68,1.0
156,41.94,41.95,41.95,41.93,2.0
157,42.2,42.23,42.2,42.2,3.0
158,42.46,,42.45,42.45,4.0
159,42.73,42.76,42.71,42.73,1.0
160,42.99,43.01,42.99,42.98,2.0
161,43.24,,43.24,,3.0
162,43.5,43.5,43.5,43.49,4.0
163,43.78,43.81,43.77,43.78,1.0
164,44.03,44.07,44.03,44.03,2.0
165,44.3,44.33,44.29,44.31,3.0
166,44.55,44.6,44.56,44.55,4.0
167,44.82,44.85,44.82,44.82,1.0
168,45.07,45.1,45.07,45.06,2.0
169,45.35,45.35,45.35,45.34,3.0
170,45.6,45.62,45.6,45.6,4.0
171,45.87,45.88,45.86,45.88,1.0
172,46.12,46.14,46.12,46.11,2.0
173,46.39,,46.39,46.4,3.0
174,46.65,46.66,46.65,46.63,4.0
175,46.92,46.91,46.9,46.91,1.0
176,47.16,,47.15,47.16,2.0
177,47.44,47.44,47.45,47.44,3.0
178,47.69,47.69,47.68,47.69,4.0
179,47.96,47.97,47.95,47.97,1.0
180,48.22,48.23,48.21,48.21,2.0
181,48.49,48.49,48.48,48.49,3.0
182,48.74,48.76,48.72,48.73,4.0
183,49.0,,48.99,49.0,1.0
184,49.26,49.32,49.26,49.26,2.0
185,49.52,,49.51,,3.0
