,beats,piano,bass,drums,metre_auto
0,0.19,0.2,0.19,0.18,1.0
1,0.61,0.65,0.65,0.59,2.0
2,1.0,,0.99,0.98,3.0
3,1.39,1.38,1.4,1.39,4.0
4,1.78,1.77,1.81,1.78,1.0
5,2.17,2.17,2.19,2.17,2.0
6,2.58,2.59,2.57,2.58,3.0
7,2.97,3.01,2.97,2.96,4.0
8,3.37,3.36,3.36,3.36,1.0
9,3.76,3.78,3.76,3.75,2.0
10,4.16,,4.15,4.16,3.0
11,4.55,,4.55,4.55,4.0
12,4.95,4.96,4.95,4.94,1.0
13,5.32,5.31,5.32,5.32,2.0
14,5.72,5.76,5.72,5.73,3.0
15,6.12,6.16,6.11,6.11,4.0
16,6.51,6.54,6.5,6.51,1.0
17,6.9,6.93,6.9,6.9,2.0
18,7.3,7.3,7.3,7.3,3.0
19,7.69,,7.69,7.68,4.0
20,8.07,8.1,8.06,8.1,1.0
21,8.47,8.44,8.48,8.46,2.0
22,8.85,,8.85,8.86,3.0
23,9.24,9.27,9.23,9.24,4.0
24,9.63,9.67,9.61,9.65,1.0
25,10.02,10.05,10.0,10.01,2.0
26,10.42,10.42,10.39,10.42,3.0
27,10.8,,10.79,10.8,4.0
28,11.2,,11.17,11.2,1.0
29,11.58,11.59,11.56,11.57,2.0
30,11.96,11.92,11.94,11.98,3.0
31,12.35,12.41,12.34,12.33,4.0
32,12.74,,12.74,12.74,1.0
33,13.13,13.18,13.12,13.11,2.0
34,13.53,13.56,13.53,13.52,3.0
35,13.92,13.92,13.91,13.91,4.0
36,14.32,14.32,14.31,14.33,1.0
37,14.71,14.72,14.71,14.71,2.0
38,15.1,15.19,15.09,15.11,3.0
39,15.5,15.51,15.48,15.49,4.0
40,15.89,,15.88,15.91,1.0
41,16.28,16.33,16.28,16.27,2.0
42,16.67,16.69,16.65,16.68,3.0
43,17.05,17.08,17.05,17.04,4.0
44,17.43,17.4,17.43,17.45,1.0
45,17.82,17.86,17.81,17.82,2.0
46,18.23,18.24,18.22,18.22,3.0
47,18.62,18.63,18.62,18.62,4.0
48,19.01,19.04,19.0,19.0,1.0
49,19.38,19.41,19.38,19.38,2.0
50,19.79,19.8,19.76,19.79,3.0
51,20.16,20.19,20.16,20.16,4.0
52,20.55,20.56,20.54,20.57,1.0
53,20.94,21.03,20.94,20.95,2.0
54,21.34,21.37,21.33,21.35,3.0
55,21.74,21.77,21.73,21.73,4.0
56,22.14,22.14,22.14,22.13,1.0
57,22.52,22.52,22.52,22.52,2.0
58,22.92,22.96,22.91,22.93,3.0
59,23.32,,23.3,23.32,4.0
60,23.72,,23.71,23.73,1.0
61,24.12,,24.1,24.12,2.0
62,24.5,24.56,24.49,24.52,3.0
63,24.91,24.92,24.9,24.9,4.0
64,25.32,,25.32,25.31,1.0
65,25.71,25.72,25.72,25.7,2.0
66,26.11,26.11,26.1,26.11,3.0
67,26.52,26.52,26.51,26.49,4.0
68,26.91,26.91,26.9,26.92,1.0
69,27.3,27.31,27.29,27.29,2.0
70,27.71,27.71,27.69,27.71,3.0
71,28.1,28.1,28.09,28.1,4.0
72,28.5,,28.49,28.51,1.0
73,28.9,28.9,28.88,28.91,2.0
74,29.3,29.3,29.28,29.31,3.0
75,29.68,29.68,29.68,29.67,4.0
76,30.08,,30.08,30.09,1.0
77,30.48,30.5,30.47,30.47,2.0
78,30.88,,30.87,30.89,3.0
79,31.28,31.28,31.27,31.27,4.0
80,31.67,31.75,31.66,31.68,1.0
81,32.07,32.08,32.07,32.06,2.0
82,32.48,32.48,32.46,32.46,3.0
83,32.85,32.93,32.84,32.85,4.0
84,33.26,,33.24,33.26,1.0
85,33.64,,33.64,33.64,2.0
86,34.04,34.04,34.04,34.05,3.0
87,34.43,34.44,34.43,34.43,4.0
88,34.84,34.85,34.82,34.83,1.0
89,35.22,,35.21,35.22,2.0
90,35.62,35.69,35.61,35.63,3.0
91,36.0,36.04,36.0,36.0,4.0
92,36.4,36.4,36.39,36.41,1.0
93,36.79,36.82,36.78,36.77,2.0
94,37.19,37.25,37.18,37.19,3.0
95,37.58,37.66,37.57,37.58,4.0
96,37.99,38.04,37.98,37.98,1.0
97,38.39,38.39,38.38,38.38,2.0
98,38.79,38.8,38.77,38.79,3.0
99,39.19,,39.17,39.19,4.0
100,39.58,,39.58,39.6,1.0
101,39.97,40.0,39.98,39.98,2.0
102,40.36,40.33,40.36,40.38,3.0
103,40.75,40.77,40.74,40.76,4.0
104,41.14,41.18,41.13,41.15,1.0
105,41.53,41.53,41.53,41.53,2.0
106,41.92,41.97,41.92,41.93,3.0
107,42.3,42.34,42.3,42.3,4.0
108,42.69,42.72,42.69,42.71,1.0
109,43.07,43.04,43.08,43.07,2.0
110,43.47,,43.47,43.48,3.0
111,43.85,43.9,43.86,43.85,4.0
112,44.25,44.28,44.24,44.25,1.0
113,44.63,44.64,44.63,44.61,2.0
