,beats,piano,bass,drums,metre_auto
0,0.04,0.04,0.05,0.14,3.0
1,0.55,,,0.55,4.0
2,1.05,1.05,1.11,1.07,1.0
3,1.59,,,1.6,2.0
4,2.11,,2.12,2.12,3.0
5,2.63,2.65,2.62,2.63,4.0
6,3.16,3.17,3.14,,1.0
7,3.65,,,3.65,2.0
8,4.18,4.19,4.17,4.16,3.0
9,4.68,4.68,4.68,4.68,4.0
10,5.2,,,5.19,1.0
11,5.71,5.72,5.7,5.7,2.0
12,6.19,6.26,6.2,6.21,3.0
13,6.74,6.77,6.71,6.73,4.0
14,7.23,,7.22,7.24,1.0
15,7.76,7.76,7.73,7.73,2.0
16,8.28,8.29,8.27,8.25,3.0
17,8.76,8.76,8.76,8.75,4.0
18,9.26,9.31,9.26,9.28,1.0
19,9.79,9.86,9.78,9.78,2.0
20,10.32,10.33,10.31,10.33,3.0
21,10.8,10.83,10.8,10.8,4.0
22,11.31,11.32,11.31,11.34,1.0
23,11.86,11.87,,11.83,2.0
24,12.37,12.4,12.37,12.35,3.0
25,12.9,12.91,,12.86,4.0
26,13.4,13.4,13.4,13.48,1.0
27,13.92,13.97,,13.92,2.0
28,14.45,14.46,14.44,14.43,3.0
29,14.98,15.0,14.92,14.96,4.0
30,15.49,15.5,15.45,,1.0
31,15.99,,,15.98,2.0
32,16.5,16.55,16.5,16.51,3.0
33,17.02,16.98,,17.02,4.0
34,17.52,,17.52,17.57,1.0
35,18.07,18.01,,18.07,2.0
36,18.58,,18.58,18.6,3.0
37,19.1,19.1,19.1,19.13,4.0
38,19.6,19.61,19.6,19.65,1.0
39,20.13,20.07,,20.13,2.0
40,20.61,20.62,20.61,20.65,3.0
41,21.11,21.11,,21.14,4.0
42,21.62,21.63,21.61,21.64,1.0
43,22.14,,,22.14,2.0
44,22.65,,,22.66,3.0
45,23.16,23.17,23.13,23.16,4.0
46,23.67,23.69,23.64,23.69,1.0
47,24.18,24.21,,24.16,2.0
48,24.68,24.7,24.67,,3.0
49,25.19,25.19,,25.18,4.0
50,25.68,25.69,25.66,25.71,1.0
51,26.18,,26.18,26.18,2.0
52,26.7,,26.69,26.73,3.0
53,27.22,,27.22,27.22,4.0
54,27.74,,27.75,27.74,1.0
55,28.25,28.2,,28.26,2.0
56,28.77,28.82,28.77,28.77,3.0
57,29.29,29.25,,29.29,4.0
58,29.81,29.79,29.81,29.8,1.0
59,30.35,30.38,,30.34,2.0
60,30.84,30.9,30.83,30.85,3.0
61,31.36,,,31.37,4.0
62,31.89,,31.9,31.9,1.0
63,32.41,,,32.41,2.0
64,32.94,32.97,32.93,32.95,3.0
65,33.47,,,33.47,4.0
66,33.98,,33.98,33.99,1.0
67,34.49,34.59,,34.49,2.0
68,35.0,35.02,35.02,35.0,3.0
69,35.55,35.59,,35.5,4.0
70,36.06,36.07,36.0,36.02,1.0
71,36.58,36.59,,36.53,2.0
72,37.09,37.1,37.06,37.06,3.0
73,37.59,37.59,,37.59,4.0
74,38.08,38.08,38.09,38.13,1.0
75,38.63,38.69,38.6,38.64,2.0
76,39.13,39.14,39.11,39.16,3.0
77,39.65,,39.64,39.64,4.0
78,40.19,40.22,40.16,,1.0
79,40.69,,,40.69,2.0
80,41.21,41.23,41.19,,3.0
81,41.74,41.77,,41.73,4.0
82,42.26,42.28,42.24,42.27,1.0
83,42.78,42.79,,42.78,2.0
84,43.3,43.3,43.29,,3.0
85,43.79,43.79,43.8,43.81,4.0
86,44.31,44.32,44.3,,1.0
87,44.84,44.85,,44.83,2.0
88,45.34,45.37,45.32,45.33,3.0
89,45.82,45.77,,45.82,4.0
90,46.33,46.37,46.33,46.33,1.0
91,46.85,46.86,,46.85,2.0
92,47.36,,47.35,,3.0
93,47.86,47.86,47.86,47.85,4.0
94,48.37,48.39,48.37,48.38,1.0
95,48.87,48.88,,48.88,2.0
96,49.4,49.41,49.4,49.4,3.0
97,49.9,49.9,,49.89,4.0
98,50.41,50.42,50.42,50.42,1.0
99,50.9,50.9,,50.91,2.0
100,51.41,51.39,51.42,51.44,3.0
101,51.91,51.91,,51.93,4.0
102,52.42,52.42,52.46,52.43,1.0
103,52.93,52.93,,52.94,2.0
104,53.45,53.47,53.43,53.49,3.0
105,53.91,53.92,,53.97,4.0
106,54.45,54.45,54.47,54.46,1.0
107,54.96,54.97,,54.96,2.0
108,55.47,55.48,55.46,55.48,3.0
109,55.97,55.99,,55.96,4.0
110,56.44,56.44,56.44,56.47,1.0
111,56.97,56.98,,56.97,2.0
112,57.48,57.5,57.48,57.5,3.0
113,58.01,58.02,,57.99,4.0
114,58.53,58.54,58.5,,1.0
115,59.03,59.04,59.02,59.01,2.0
116,59.53,59.54,59.54,59.54,3.0
117,60.04,60.06,60.04,60.03,4.0
118,60.54,60.55,60.54,60.56,1.0
119,61.07,61.06,,61.07,2.0
120,61.58,61.58,61.59,61.6,3.0
121,62.11,62.07,62.07,62.11,4.0
122,62.63,62.63,62.62,62.65,1.0
123,63.16,63.17,63.15,63.17,2.0
124,63.68,,63.67,,3.0
125,64.22,64.25,64.22,64.22,4.0
126,64.77,64.78,64.74,,1.0
127,65.3,65.31,,65.27,2.0
128,65.82,65.83,65.82,,3.0
129,66.34,66.35,,66.32,4.0
130,66.86,66.87,66.86,,1.0
131,67.4,67.41,,67.39,2.0
132,67.9,67.89,67.9,,3.0
133,68.44,68.45,,68.43,4.0
134,68.97,68.95,68.97,,1.0
135,69.51,69.53,,69.48,2.0
136,70.02,70.02,70.04,70.03,3.0
137,70.53,70.54,,70.54,4.0
138,71.02,70.98,71.03,,1.0
139,71.57,71.58,,,2.0
140,72.08,72.09,72.1,,3.0
141,72.6,72.6,,,4.0
142,73.14,,73.14,,1.0
143,73.61,73.62,,,2.0
144,74.14,74.14,74.16,,3.0
145,74.65,74.66,74.66,74.66,4.0
146,75.16,75.17,75.18,75.17,1.0
147,75.68,75.69,,75.67,2.0
148,76.18,,76.19,,3.0
149,76.69,76.7,,76.69,4.0
150,77.19,77.18,77.21,77.2,1.0
151,77.68,77.69,,77.7,2.0
152,78.23,78.25,78.21,,3.0
153,78.74,78.77,78.72,78.73,4.0
154,79.26,79.31,79.27,79.27,1.0
155,79.79,79.8,,79.78,2.0
156,80.33,80.34,80.28,,3.0
157,80.86,80.87,80.82,,4.0
158,81.38,,81.36,,1.0
159,81.9,,,81.91,2.0
160,82.41,82.42,82.42,,3.0
161,82.95,82.96,,82.94,4.0
162,83.46,83.53,83.46,,1.0
163,84.01,84.02,,84.02,2.0
164,84.53,84.55,84.52,,3.0
165,85.07,85.08,,85.07,4.0
166,85.58,85.59,,85.6,1.0
167,86.11,86.11,,86.11,2.0
168,86.65,86.65,,86.67,3.0
169,87.2,87.21,,87.2,4.0
170,87.73,87.78,87.73,87.72,1.0
171,88.26,,,88.26,2.0
172,88.79,88.79,88.79,88.81,3.0
173,89.32,89.33,,89.33,4.0
174,89.85,89.85,89.84,89.86,1.0
175,90.38,90.39,,90.37,2.0
176,90.9,90.9,90.89,90.9,3.0
177,91.42,91.43,,91.42,4.0
178,91.95,91.96,91.93,91.94,1.0
179,92.45,92.45,,92.44,2.0
180,92.97,92.98,93.0,92.97,3.0
181,93.5,93.5,93.53,93.5,4.0
182,93.99,94.0,94.01,94.01,1.0
183,94.5,94.51,,94.51,2.0
184,95.01,95.02,95.03,,3.0
185,95.55,95.55,95.51,95.55,4.0
186,96.05,96.06,96.06,96.05,1.0
187,96.56,96.57,96.55,96.57,2.0
188,97.07,97.04,97.07,,3.0
189,97.61,97.63,,97.6,4.0
190,98.13,98.14,98.14,,1.0
191,98.6,98.6,,98.63,2.0
192,99.13,99.13,99.15,99.14,3.0
193,99.65,99.65,,99.67,4.0
194,100.19,100.21,100.19,,1.0
195,100.71,100.71,,100.7,2.0
196,101.26,101.27,101.22,,3.0
197,101.77,101.74,101.76,101.76,4.0
198,102.29,102.31,102.28,,1.0
199,102.83,102.81,102.82,102.83,2.0
200,103.38,103.39,103.38,,3.0
201,103.91,103.96,103.88,103.91,4.0
202,104.44,104.46,104.43,104.44,1.0
203,104.96,,104.94,104.96,2.0
204,105.48,,105.47,105.52,3.0
205,106.03,106.06,106.0,106.06,4.0
206,106.55,106.62,106.55,106.59,1.0
207,106.98,106.98,,106.98,2.0
208,107.46,107.51,107.46,,3.0
209,107.89,107.9,,,4.0
210,108.35,108.38,,,1.0
211,108.75,108.76,108.7,108.74,2.0
212,109.28,109.3,109.25,109.25,3.0
213,109.81,109.82,109.8,109.82,4.0
214,110.36,110.36,110.32,110.36,1.0
215,110.9,110.9,110.9,,2.0
216,111.41,111.44,,111.41,3.0
217,111.95,111.96,111.94,111.96,4.0
218,112.48,112.48,,112.5,1.0
219,113.01,113.03,113.01,113.04,2.0
220,113.54,113.54,113.53,113.56,3.0
221,114.07,114.1,114.08,114.11,4.0
222,114.47,114.47,114.44,,1.0
223,114.97,114.98,114.98,,2.0
224,115.37,,,,3.0
225,115.86,115.88,,,4.0
226,116.26,116.26,116.24,116.25,1.0
227,116.79,,116.77,116.78,2.0
228,117.33,,117.34,117.33,3.0
229,117.86,117.89,117.85,117.87,4.0
230,118.41,118.42,118.4,118.42,1.0
231,118.93,118.92,118.93,118.94,2.0
232,119.46,119.48,119.45,119.47,3.0
233,120.0,120.01,,120.01,4.0
234,120.52,120.53,120.49,120.55,1.0
235,121.06,,121.05,121.06,2.0
236,121.56,121.62,121.56,121.61,3.0
237,122.12,,,122.14,4.0
238,122.65,,122.64,122.67,1.0
239,123.17,123.2,123.15,123.17,2.0
240,123.7,123.71,123.66,123.7,3.0
241,124.21,124.21,,124.23,4.0
242,124.75,124.82,124.74,124.75,1.0
243,125.27,125.32,125.26,125.28,2.0
244,125.8,125.86,125.79,125.81,3.0
245,126.22,126.22,126.3,,4.0
246,126.71,126.74,126.72,,1.0
247,127.15,127.16,,,2.0
248,127.57,,,,3.0
249,127.99,127.99,,127.95,4.0
250,128.48,128.56,,128.47,1.0
251,129.03,129.04,129.03,129.03,2.0
252,129.55,,,129.55,3.0
253,130.08,,130.07,130.09,4.0
254,130.61,130.61,130.63,130.63,1.0
255,131.12,131.12,131.13,131.14,2.0
256,131.63,131.63,131.63,131.65,3.0
257,132.14,132.12,132.15,132.15,4.0
258,132.66,,,132.67,1.0
259,133.06,133.06,,,2.0
260,133.48,,,133.47,3.0
261,133.92,,,,4.0
262,134.34,134.35,134.3,134.3,1.0
263,134.87,,,134.87,2.0
264,135.41,,,135.41,3.0
265,135.93,,,135.94,4.0
266,136.43,,136.44,136.42,1.0
267,136.96,,,136.96,2.0
268,137.49,137.5,137.49,137.5,3.0
269,138.01,138.03,137.98,138.01,4.0
270,138.55,138.56,138.52,138.51,1.0
271,139.06,,,139.05,2.0
272,139.58,,,139.59,3.0
273,140.1,140.14,140.11,140.1,4.0
274,140.59,,140.6,140.59,1.0
275,141.12,,,141.12,2.0
276,141.67,141.68,141.63,141.61,3.0
277,142.18,,,142.18,4.0
278,142.72,142.73,142.69,142.72,1.0
279,143.26,,,143.26,2.0
280,143.8,,,143.78,3.0
281,144.33,,,144.33,4.0
