,beats,piano,bass,drums,metre_auto
0,0.27,0.31,0.3,0.27,4.0
1,0.55,,0.56,0.55,1.0
2,0.83,0.86,0.84,0.82,2.0
3,1.11,1.14,1.12,1.1,3.0
4,1.36,,1.4,1.36,4.0
5,1.65,1.7,1.67,1.64,1.0
6,1.91,,1.94,1.9,2.0
7,2.19,,2.2,2.18,3.0
8,2.45,2.5,2.48,2.45,4.0
9,2.74,,2.74,2.73,1.0
10,3.0,,3.01,2.99,2.0
11,3.28,3.32,3.28,3.27,3.0
12,3.54,,3.57,3.53,4.0
13,3.82,3.86,3.82,3.81,1.0
14,4.08,4.09,4.09,4.08,2.0
15,4.36,4.38,4.36,4.36,3.0
16,4.62,4.65,4.64,4.62,4.0
17,4.9,4.95,4.91,4.89,1.0
18,5.17,5.2,5.18,5.17,2.0
19,5.46,5.48,5.46,5.44,3.0
20,5.73,,5.74,5.71,4.0
21,6.02,6.04,6.0,5.99,1.0
22,6.29,6.32,6.28,,2.0
23,6.58,6.58,6.57,,3.0
24,6.85,6.85,6.85,,4.0
25,7.11,7.15,7.11,,1.0
26,7.39,7.39,7.37,,2.0
27,7.64,7.66,7.64,7.61,3.0
28,7.9,7.94,7.91,7.88,4.0
29,8.17,8.2,8.16,,1.0
30,8.42,8.45,8.45,8.41,2.0
31,8.69,8.73,8.72,8.68,3.0
32,8.95,,8.98,8.94,4.0
33,9.23,,9.26,9.22,1.0
34,9.5,,9.52,9.49,2.0
35,9.79,9.79,9.79,9.79,3.0
36,10.04,10.06,10.05,10.03,4.0
37,10.32,,10.33,10.3,1.0
38,10.58,,10.6,10.57,2.0
39,10.85,,10.86,10.84,3.0
40,11.11,11.14,11.13,11.1,4.0
41,11.39,11.43,11.39,11.39,1.0
42,11.65,11.71,,11.65,2.0
43,11.94,11.98,11.94,,3.0
44,12.19,12.21,12.21,12.19,4.0
45,12.48,12.5,12.48,12.47,1.0
46,12.73,12.78,12.75,12.73,2.0
47,13.02,13.03,13.0,13.01,3.0
48,13.27,13.31,,13.26,4.0
49,13.55,13.58,,13.54,1.0
50,13.81,,13.84,13.81,2.0
51,14.09,14.15,14.11,14.08,3.0
52,14.35,,14.37,14.35,4.0
53,14.62,,14.62,14.62,1.0
54,14.89,14.88,14.89,14.89,2.0
55,15.17,15.2,15.17,15.16,3.0
56,15.43,,15.43,15.43,4.0
57,15.71,15.73,15.71,15.71,1.0
58,15.98,16.01,15.99,15.97,2.0
59,16.27,16.28,16.27,16.25,3.0
60,16.52,16.57,16.55,16.51,4.0
61,16.81,16.83,16.81,,1.0
62,17.07,,17.08,17.07,2.0
63,17.36,,17.37,17.34,3.0
64,17.62,,17.64,17.61,4.0
65,17.9,,17.91,17.88,1.0
66,18.18,18.19,18.18,18.15,2.0
67,18.44,,18.45,18.42,3.0
68,18.73,,18.73,18.7,4.0
69,19.01,19.03,19.01,,1.0
70,19.29,,19.29,,2.0
71,19.55,,19.55,,3.0
72,19.82,19.88,19.82,,4.0
73,20.1,20.09,20.1,20.07,1.0
74,20.35,20.39,20.38,20.34,2.0
75,20.63,,20.62,20.61,3.0
76,20.89,20.87,20.92,20.88,4.0
77,21.17,21.22,21.19,21.15,1.0
78,21.44,,21.45,21.42,2.0
79,21.73,21.75,21.72,,3.0
80,22.01,22.02,22.01,,4.0
81,22.28,22.28,22.29,22.25,1.0
82,22.53,22.57,22.56,22.51,2.0
83,22.8,22.85,22.82,22.79,3.0
84,23.06,23.03,23.08,23.06,4.0
85,23.34,,23.35,23.33,1.0
86,23.6,23.57,23.61,23.59,2.0
87,23.88,23.93,23.89,23.87,3.0
88,24.14,,24.15,24.14,4.0
89,24.42,24.46,24.43,24.42,1.0
90,24.68,,24.7,24.68,2.0
91,24.97,24.98,24.98,24.95,3.0
92,25.23,25.26,25.24,25.23,4.0
93,25.49,,25.49,25.48,1.0
94,25.78,,25.8,25.78,2.0
95,26.06,26.08,26.06,26.05,3.0
96,26.34,26.34,26.34,26.32,4.0
97,26.62,,26.62,26.61,1.0
98,26.88,,26.9,26.87,2.0
99,27.16,27.2,27.18,27.14,3.0
100,27.41,27.46,27.45,27.41,4.0
101,27.69,27.74,27.71,27.68,1.0
102,27.96,28.02,27.98,27.95,2.0
103,28.24,,28.25,28.22,3.0
104,28.49,,28.53,28.48,4.0
105,28.77,,28.79,28.76,1.0
106,29.03,,29.06,29.03,2.0
107,29.31,,29.32,29.3,3.0
108,29.57,,29.59,29.56,4.0
109,29.85,,29.85,29.84,1.0
110,30.11,30.08,30.13,30.11,2.0
111,30.39,30.37,30.39,30.39,3.0
112,30.66,,30.67,30.65,4.0
113,30.94,30.98,30.94,30.93,1.0
114,31.2,,31.2,31.2,2.0
115,31.49,31.54,31.49,31.48,3.0
116,31.75,,31.76,31.74,4.0
117,32.03,32.04,32.02,32.02,1.0
118,32.29,32.34,32.3,32.28,2.0
119,32.58,32.6,32.59,32.56,3.0
120,32.83,32.86,32.86,32.82,4.0
121,33.12,33.15,33.12,33.1,1.0
122,33.37,33.42,33.4,33.37,2.0
123,33.66,33.69,33.67,33.65,3.0
124,33.92,,33.94,33.91,4.0
125,34.17,,34.17,34.16,1.0
126,34.45,,34.46,34.44,2.0
127,34.72,34.75,34.75,34.71,3.0
128,34.98,,34.98,34.98,4.0
129,35.26,35.26,35.26,35.26,1.0
130,35.52,35.52,35.54,35.52,2.0
131,35.81,,35.82,35.8,3.0
132,36.06,36.09,36.08,36.06,4.0
