,beats,piano,bass,drums,metre_auto
0,0.22,,0.23,0.22,1.0
1,0.51,0.54,0.52,0.51,2.0
2,0.79,0.82,,0.79,3.0
3,1.08,1.14,,1.08,4.0
4,1.37,1.4,,1.37,1.0
5,1.66,,,1.65,2.0
6,1.94,2.0,,1.94,3.0
7,2.23,2.26,,2.23,4.0
8,2.52,2.53,,2.51,1.0
9,2.8,,2.83,2.8,2.0
10,3.09,3.14,3.1,3.08,3.0
11,3.37,3.43,3.38,3.37,4.0
12,3.68,3.72,3.69,3.66,1.0
13,3.96,4.01,3.97,3.95,2.0
14,4.26,4.32,4.27,4.25,3.0
15,4.53,,4.56,4.53,4.0
16,4.83,4.86,4.83,4.82,1.0
17,5.11,5.11,5.13,5.11,2.0
18,5.4,5.38,5.41,5.39,3.0
19,5.68,5.73,5.71,5.68,4.0
20,5.97,,5.98,5.95,1.0
21,6.25,6.3,6.27,6.24,2.0
22,6.55,6.58,6.55,6.53,3.0
23,6.82,6.89,6.83,6.81,4.0
24,7.1,7.17,7.11,7.1,1.0
25,7.38,7.43,7.4,7.38,2.0
26,7.69,7.72,7.7,7.67,3.0
27,7.98,7.99,7.99,7.95,4.0
28,8.25,,8.26,8.24,1.0
29,8.53,,8.56,8.53,2.0
30,8.83,,8.83,8.83,3.0
31,9.1,9.15,9.1,9.1,4.0
32,9.4,9.45,9.39,9.4,1.0
33,9.69,9.71,9.68,9.69,2.0
34,9.97,10.01,9.97,9.97,3.0
35,10.26,,10.28,10.25,4.0
36,10.55,10.6,10.55,10.54,1.0
37,10.83,10.87,10.85,10.83,2.0
38,11.13,11.2,11.14,11.12,3.0
39,11.41,11.47,11.42,11.41,4.0
40,11.7,,11.71,11.7,1.0
41,11.98,11.96,12.0,11.98,2.0
42,12.28,12.25,12.29,12.27,3.0
43,12.56,12.6,12.58,12.56,4.0
44,12.85,12.9,12.86,12.85,1.0
45,13.14,13.19,13.16,13.13,2.0
46,13.43,,13.46,13.42,3.0
47,13.71,13.69,13.74,13.71,4.0
48,13.99,,14.01,13.99,1.0
49,14.28,14.29,14.3,14.27,2.0
50,14.57,14.6,14.59,14.56,3.0
51,14.84,,14.87,14.84,4.0
52,15.14,15.17,15.13,15.13,1.0
53,15.42,,15.43,15.42,2.0
54,15.73,15.74,15.72,15.71,3.0
55,16.0,16.03,16.01,15.99,4.0
56,16.3,16.34,16.3,16.28,1.0
57,16.57,,16.58,16.56,2.0
58,16.86,16.92,16.86,16.86,3.0
59,17.14,17.2,17.14,17.14,4.0
60,17.43,17.47,17.43,17.44,1.0
61,17.72,,17.73,17.72,2.0
62,18.03,18.06,18.01,18.04,3.0
63,18.31,18.37,18.3,18.32,4.0
64,18.61,18.61,18.6,18.62,1.0
65,18.89,18.91,18.89,18.89,2.0
66,19.18,19.21,19.18,19.18,3.0
67,19.47,,19.48,19.47,4.0
68,19.77,19.81,19.77,19.77,1.0
69,20.05,20.12,20.06,20.05,2.0
70,20.34,20.33,20.34,20.34,3.0
71,20.63,,20.64,20.63,4.0
72,20.93,20.95,20.94,20.92,1.0
73,21.22,,21.22,21.21,2.0
74,21.51,21.54,21.51,21.51,3.0
75,21.79,21.86,21.8,21.79,4.0
76,22.09,22.07,22.1,22.08,1.0
77,22.37,22.4,22.39,22.37,2.0
78,22.67,22.67,22.67,22.66,3.0
79,22.95,23.01,22.95,22.95,4.0
80,23.22,23.27,23.23,23.21,1.0
81,23.52,23.57,23.54,23.53,2.0
82,23.81,23.81,23.81,23.81,3.0
83,24.09,24.15,24.1,24.09,4.0
84,24.39,,24.38,24.4,1.0
85,24.68,24.72,24.68,24.69,2.0
86,24.97,25.01,24.96,24.98,3.0
87,25.26,25.29,25.24,25.26,4.0
88,25.54,25.58,25.55,25.55,1.0
89,25.83,25.88,25.84,25.83,2.0
90,26.13,26.17,26.13,26.13,3.0
91,26.42,26.41,26.41,26.42,4.0
92,26.71,26.75,26.7,26.71,1.0
93,27.0,,26.99,27.01,2.0
94,27.29,27.34,27.29,27.31,3.0
95,27.59,,27.58,27.6,4.0
96,27.88,27.93,27.87,27.89,1.0
97,28.17,28.23,28.18,28.18,2.0
98,28.47,28.51,28.47,28.47,3.0
99,28.75,28.81,28.76,28.75,4.0
100,29.04,29.01,29.05,29.04,1.0
101,29.33,29.3,29.33,29.33,2.0
102,29.63,,29.63,29.62,3.0
103,29.91,29.95,29.92,29.91,4.0
104,30.2,30.22,30.2,30.19,1.0
105,30.48,30.54,30.49,30.48,2.0
106,30.77,,30.78,30.77,3.0
107,31.07,,31.07,31.07,4.0
