,beats,piano,bass,drums,metre_auto
0,0.33,,,0.32,1.0
1,0.9,0.98,0.89,0.9,2.0
2,1.45,1.56,1.43,1.45,3.0
3,1.99,1.95,1.96,1.99,4.0
4,2.53,,2.53,2.53,1.0
5,3.08,,3.08,3.09,2.0
6,3.63,3.61,3.63,3.63,3.0
7,4.19,,4.19,4.19,4.0
8,4.73,,4.72,4.73,1.0
9,5.29,5.25,5.27,5.29,2.0
10,5.84,,5.83,5.84,3.0
11,6.39,6.35,6.36,6.39,4.0
12,6.94,6.93,6.92,6.95,1.0
13,7.49,7.47,7.47,7.49,2.0
14,8.03,8.01,8.01,8.04,3.0
15,8.58,8.56,8.56,8.58,4.0
16,9.11,9.07,9.11,9.12,1.0
17,9.66,,9.61,9.67,2.0
18,10.22,10.2,10.21,10.23,3.0
19,10.77,10.73,10.74,10.77,4.0
20,11.31,11.38,11.3,11.32,1.0
21,11.86,11.93,11.86,11.86,2.0
22,12.42,,,12.42,3.0
23,12.97,13.05,12.99,12.97,4.0
24,13.51,13.58,13.51,13.51,1.0
25,14.06,,,14.06,2.0
26,14.61,14.74,14.61,14.61,3.0
27,15.16,15.25,15.16,15.16,4.0
28,15.69,15.76,15.69,15.69,1.0
29,16.25,,16.22,16.25,2.0
30,16.78,,16.76,16.79,3.0
31,17.32,17.42,17.31,17.32,4.0
32,17.84,17.93,17.84,17.84,1.0
33,18.39,18.48,18.39,18.39,2.0
34,18.94,19.04,18.95,18.94,3.0
35,19.48,19.49,19.5,19.48,4.0
36,20.03,,20.02,20.04,1.0
37,20.57,20.56,20.57,20.57,2.0
38,21.11,21.1,21.12,21.11,3.0
39,21.66,21.72,21.65,21.66,4.0
40,22.21,22.24,22.2,22.21,1.0
41,22.75,22.75,22.75,22.75,2.0
42,23.29,23.24,23.28,23.3,3.0
43,23.84,23.91,23.83,23.84,4.0
44,24.39,24.35,24.36,24.39,1.0
45,24.94,,24.92,24.95,2.0
46,25.48,25.58,25.47,25.48,3.0
47,26.02,26.0,26.0,26.02,4.0
48,26.58,26.55,26.55,26.58,1.0
49,27.13,,27.12,27.13,2.0
50,27.67,,27.68,27.67,3.0
51,28.23,,28.18,28.22,4.0
52,28.77,,28.77,28.77,1.0
53,29.31,29.26,29.29,29.31,2.0
54,29.85,29.98,29.85,29.85,3.0
55,30.39,30.44,30.42,30.4,4.0
56,30.95,,30.91,30.95,1.0
57,31.51,,31.5,31.51,2.0
58,32.05,32.02,32.06,32.05,3.0
59,32.59,32.68,32.59,32.59,4.0
60,33.12,33.2,33.13,33.12,1.0
61,33.67,,33.67,33.67,2.0
62,34.21,34.21,34.22,34.22,3.0
63,34.75,34.81,34.77,34.75,4.0
64,35.28,35.32,35.32,35.27,1.0
65,35.83,35.82,35.83,35.83,2.0
66,36.39,36.41,36.39,36.39,3.0
67,36.94,36.98,36.94,36.94,4.0
68,37.49,,37.5,37.49,1.0
