,beats,piano,bass,drums,metre_auto
0,0.16,0.13,0.13,0.15,3.0
1,0.44,0.49,,0.45,4.0
2,0.72,0.72,0.72,0.72,1.0
3,1.01,,1.01,1.02,2.0
4,1.29,,1.28,1.3,3.0
5,1.57,1.57,1.57,1.6,4.0
6,1.83,1.83,1.86,1.88,1.0
7,2.08,2.08,,2.05,2.0
8,2.35,2.36,,,3.0
9,2.61,2.64,,2.65,4.0
10,2.86,,,,1.0
11,3.12,3.09,,,2.0
12,3.38,3.37,,3.35,3.0
13,3.64,,3.61,3.62,4.0
14,3.92,3.97,3.9,3.92,1.0
15,4.2,4.2,,4.2,2.0
16,4.49,4.49,4.49,4.51,3.0
17,4.77,4.76,4.77,4.77,4.0
18,5.03,5.06,5.07,5.06,1.0
19,5.29,5.28,5.34,5.35,2.0
20,5.54,,,5.53,3.0
21,5.8,5.86,,5.83,4.0
22,6.06,,,6.12,1.0
23,6.32,,,,2.0
24,6.58,6.57,,,3.0
25,6.84,6.86,,6.81,4.0
26,7.1,7.16,7.09,7.08,1.0
27,7.38,,,7.38,2.0
28,7.66,7.72,7.65,7.65,3.0
29,7.95,,,7.95,4.0
30,8.22,,8.23,8.22,1.0
31,8.51,8.49,8.51,8.52,2.0
32,8.79,,8.8,8.8,3.0
33,9.07,,9.09,9.11,4.0
34,9.33,,9.37,9.37,1.0
35,9.58,9.6,,9.57,2.0
36,9.84,,,,3.0
37,10.11,10.17,,10.13,4.0
38,10.36,,,,1.0
39,10.62,,,,2.0
40,10.89,10.89,,,3.0
41,11.14,11.14,,,4.0
42,11.41,11.44,,11.39,1.0
43,11.69,,,11.67,2.0
44,11.97,12.0,,11.97,3.0
45,12.25,,12.22,12.23,4.0
46,12.53,12.57,12.59,12.52,1.0
47,12.81,12.84,12.79,12.81,2.0
48,13.1,13.13,13.08,13.12,3.0
49,13.38,13.41,13.36,13.38,4.0
50,13.66,13.71,13.65,13.67,1.0
51,13.94,,13.94,13.95,2.0
52,14.22,14.2,14.24,14.26,3.0
53,14.5,14.56,14.52,14.52,4.0
54,14.76,14.73,14.8,14.81,1.0
55,15.02,15.02,,,2.0
56,15.27,15.33,,15.29,3.0
57,15.53,,,15.56,4.0
58,15.8,15.82,,15.86,1.0
59,16.05,16.02,,,2.0
60,16.31,16.29,,,3.0
61,16.57,16.59,,16.57,4.0
62,16.85,16.89,,16.83,1.0
63,17.13,,17.1,17.14,2.0
64,17.41,,17.39,17.41,3.0
65,17.7,,17.67,17.71,4.0
66,17.98,17.96,17.96,17.98,1.0
