,beats,piano,bass,drums,metre_auto
0,0.41,0.48,,,3.0
1,0.73,,,,4.0
2,1.06,,,,1.0
3,1.37,,,,2.0
4,1.7,,,,3.0
5,2.02,2.01,,,4.0
6,2.33,,2.29,,1.0
7,2.66,,2.67,,2.0
8,2.98,3.02,2.97,2.97,3.0
9,3.31,3.34,3.29,3.3,4.0
10,3.66,3.68,3.62,3.66,1.0
11,3.97,,3.96,3.98,2.0
12,4.32,4.34,4.32,4.32,3.0
13,4.65,,4.66,4.65,4.0
14,4.98,,4.98,4.99,1.0
15,5.31,5.31,5.3,5.31,2.0
16,5.64,5.66,5.63,5.65,3.0
17,5.95,5.97,5.95,5.95,4.0
18,6.29,,6.29,6.29,1.0
19,6.6,6.62,6.6,6.6,2.0
20,6.94,6.95,6.91,6.95,3.0
21,7.24,7.27,7.23,7.26,4.0
22,7.57,7.59,7.56,7.6,1.0
23,7.9,7.9,7.9,7.9,2.0
24,8.21,8.21,8.2,8.24,3.0
25,8.54,8.54,8.51,8.55,4.0
26,8.88,,8.85,8.89,1.0
27,9.19,,,9.19,2.0
28,9.53,9.56,9.51,9.53,3.0
29,9.84,9.86,9.81,9.84,4.0
30,10.16,10.23,10.15,10.16,1.0
31,10.48,10.48,10.48,10.48,2.0
32,10.81,10.87,10.81,10.81,3.0
33,11.12,11.18,11.13,11.12,4.0
34,11.45,11.49,11.45,11.46,1.0
35,11.77,11.77,11.77,11.77,2.0
36,12.08,12.08,12.09,12.12,3.0
37,12.41,12.39,12.39,12.42,4.0
38,12.75,12.76,,12.75,1.0
39,13.05,13.05,13.05,13.06,2.0
40,13.4,13.39,13.39,13.41,3.0
41,13.71,,,13.7,4.0
42,14.05,14.06,14.05,14.04,1.0
43,14.35,14.37,14.36,14.35,2.0
44,14.69,14.68,14.68,14.71,3.0
45,15.01,15.06,15.0,15.01,4.0
46,15.35,15.37,15.33,15.35,1.0
47,15.67,15.67,15.67,15.67,2.0
48,16.0,16.03,16.01,16.01,3.0
49,16.32,16.3,16.31,16.32,4.0
50,16.66,16.68,16.67,16.66,1.0
51,16.97,17.04,16.97,16.97,2.0
52,17.32,17.32,17.31,17.32,3.0
53,17.64,17.64,17.63,17.64,4.0
54,17.98,18.03,,17.99,1.0
55,18.3,18.35,18.28,18.3,2.0
56,18.63,18.66,18.61,18.64,3.0
57,18.93,18.99,18.93,18.93,4.0
58,19.28,19.34,19.27,19.3,1.0
59,19.59,19.65,19.59,19.6,2.0
60,19.94,19.96,19.91,19.95,3.0
61,20.26,20.29,20.24,20.26,4.0
62,20.59,,20.58,20.6,1.0
63,20.92,,,20.93,2.0
64,21.25,21.27,21.24,21.26,3.0
65,21.56,,21.55,21.56,4.0
66,21.89,21.94,21.87,21.89,1.0
67,22.21,22.25,22.2,22.22,2.0
68,22.54,22.6,22.53,22.55,3.0
69,22.87,22.88,22.85,22.88,4.0
70,23.2,23.21,23.17,23.21,1.0
71,23.51,23.48,23.49,23.52,2.0
72,23.82,23.81,23.81,23.86,3.0
73,24.12,24.16,24.11,24.16,4.0
74,24.46,24.51,24.45,24.48,1.0
75,24.78,24.78,24.77,24.77,2.0
76,25.11,,25.09,25.11,3.0
77,25.42,25.48,25.42,25.42,4.0
78,25.75,25.77,,25.75,1.0
79,26.07,,26.03,26.06,2.0
80,26.39,26.46,26.39,26.39,3.0
81,26.69,26.77,26.68,26.7,4.0
82,27.03,27.06,27.04,27.03,1.0
83,27.34,27.35,27.33,27.35,2.0
84,27.66,27.67,27.67,27.67,3.0
85,27.98,27.99,27.98,27.98,4.0
86,28.31,28.31,,28.31,1.0
87,28.61,28.61,28.62,28.61,2.0
88,28.94,,28.93,28.95,3.0
89,29.25,29.3,29.24,29.26,4.0
90,29.58,,29.57,29.59,1.0
91,29.89,29.89,29.89,29.9,2.0
92,30.23,30.24,30.21,30.22,3.0
93,30.54,,30.51,30.54,4.0
94,30.87,30.92,30.85,30.89,1.0
95,31.22,31.22,31.18,31.22,2.0
96,31.54,31.53,,31.53,3.0
97,31.85,31.87,,31.84,4.0
98,32.18,32.2,32.15,32.18,1.0
99,32.49,32.51,32.46,32.49,2.0
100,32.82,32.85,32.81,32.81,3.0
101,33.13,33.18,33.13,33.13,4.0
102,33.48,33.48,33.48,33.49,1.0
103,33.8,33.82,33.8,33.79,2.0
104,34.12,34.16,,34.13,3.0
105,34.43,34.49,34.43,34.43,4.0
106,34.76,34.79,34.75,34.78,1.0
107,35.07,35.11,35.07,35.08,2.0
108,35.41,35.42,35.4,35.41,3.0
109,35.72,,35.71,35.73,4.0
110,36.06,36.07,36.03,36.07,1.0
111,36.38,36.4,36.36,36.39,2.0
112,36.7,36.7,36.69,36.71,3.0
113,37.0,37.04,37.0,37.0,4.0
114,37.32,37.35,37.32,37.35,1.0
115,37.64,37.68,37.63,37.65,2.0
116,37.94,37.94,37.94,37.98,3.0
117,38.27,38.31,38.26,38.29,4.0
118,38.59,38.57,38.57,38.61,1.0
119,38.92,38.91,38.92,38.93,2.0
120,39.25,39.29,39.24,39.25,3.0
121,39.56,39.55,39.55,39.57,4.0
122,39.89,39.85,,39.89,1.0
123,40.19,40.22,40.19,40.19,2.0
124,40.5,,40.49,40.53,3.0
