,beats,piano,bass,drums,metre_auto
0,0.31,0.38,,0.28,2.0
1,0.61,,0.59,0.58,3.0
2,0.91,0.91,0.9,0.9,4.0
3,1.22,1.24,1.21,1.22,1.0
4,1.52,1.54,1.54,1.52,2.0
5,1.82,1.86,1.81,1.83,3.0
6,2.12,2.19,2.12,2.15,4.0
7,2.4,2.45,,2.45,1.0
8,2.67,2.67,2.65,,2.0
9,2.96,2.95,2.97,,3.0
10,3.24,3.26,,,4.0
11,3.52,3.58,3.59,,1.0
12,3.79,,,,2.0
13,4.08,,,,3.0
14,4.35,,,,4.0
15,4.63,4.61,4.61,4.62,1.0
16,4.93,,,4.93,2.0
17,5.23,5.24,5.22,5.23,3.0
18,5.53,5.53,5.52,5.53,4.0
19,5.84,5.85,,5.84,1.0
20,6.13,6.13,,6.13,2.0
21,6.43,,6.42,6.43,3.0
22,6.73,,6.72,6.73,4.0
23,7.04,7.08,7.03,7.04,1.0
24,7.33,7.4,7.32,7.33,2.0
25,7.64,7.68,7.64,7.65,3.0
26,7.94,,7.94,7.96,4.0
27,8.24,,8.26,8.27,1.0
28,8.54,,8.56,8.55,2.0
29,8.84,,8.87,8.87,3.0
30,9.14,,9.15,9.18,4.0
31,9.44,9.5,9.47,9.49,1.0
32,9.73,,9.72,9.78,2.0
33,10.0,9.99,10.05,9.98,3.0
34,10.3,10.3,10.32,,4.0
35,10.6,10.59,,10.61,1.0
36,10.88,10.91,10.88,10.91,2.0
37,11.16,11.18,,,3.0
38,11.44,,,,4.0
39,11.72,,,,1.0
40,11.99,,,,2.0
41,12.27,,,12.25,3.0
42,12.57,12.6,,12.55,4.0
43,12.87,12.91,12.84,12.84,1.0
44,13.17,13.21,,13.17,2.0
45,13.47,,13.46,13.47,3.0
46,13.77,13.8,13.75,13.77,4.0
47,14.07,14.11,14.04,14.07,1.0
48,14.38,14.39,14.36,14.39,2.0
49,14.67,14.69,14.65,14.68,3.0
50,14.98,15.0,,15.0,4.0
51,15.28,15.32,15.28,15.28,1.0
52,15.58,15.6,15.6,15.57,2.0
53,15.87,15.91,15.85,15.85,3.0
54,16.18,16.18,,16.18,4.0
55,16.47,16.49,,16.46,1.0
56,16.77,16.8,16.78,16.77,2.0
57,17.06,17.08,17.03,17.06,3.0
58,17.37,17.38,17.38,17.39,4.0
59,17.66,17.65,17.65,17.66,1.0
60,17.97,17.97,17.98,17.98,2.0
61,18.26,18.23,18.26,18.26,3.0
62,18.54,18.52,18.58,18.6,4.0
63,18.82,18.81,18.87,18.86,1.0
64,19.1,19.1,19.1,19.07,2.0
65,19.38,,19.38,19.37,3.0
66,19.66,19.65,19.65,19.67,4.0
67,19.93,,,,1.0
68,20.21,20.27,,,2.0
69,20.49,,,,3.0
70,20.78,,,,4.0
71,21.06,,,21.07,1.0
72,21.33,21.33,,,2.0
73,21.61,21.61,21.61,21.61,3.0
74,21.91,21.9,21.9,21.9,4.0
75,22.21,22.21,,,1.0
76,22.51,,,22.51,2.0
77,22.81,,22.8,22.81,3.0
78,23.11,23.1,23.09,23.12,4.0
79,23.41,,23.39,23.43,1.0
80,23.71,,23.71,23.7,2.0
81,24.02,24.07,24.01,24.02,3.0
82,24.31,24.36,24.29,24.31,4.0
83,24.62,24.64,,24.64,1.0
84,24.91,24.96,24.89,24.91,2.0
85,25.22,25.23,25.19,25.24,3.0
86,25.52,25.55,25.5,25.52,4.0
87,25.81,25.85,25.8,25.85,1.0
88,26.11,26.09,26.1,26.11,2.0
89,26.42,26.48,26.41,26.44,3.0
90,26.71,26.71,26.7,26.7,4.0
91,27.01,27.04,27.0,27.04,1.0
92,27.31,27.36,27.33,27.31,2.0
93,27.62,27.64,,27.62,3.0
94,27.91,27.9,27.91,27.92,4.0
95,28.22,28.28,,28.25,1.0
96,28.52,28.57,28.52,28.52,2.0
97,28.82,,28.84,28.86,3.0
98,29.12,29.14,29.1,29.13,4.0
99,29.42,,29.42,29.44,1.0
100,29.72,29.75,,29.72,2.0
101,30.02,,30.03,30.03,3.0
102,30.32,30.37,,30.32,4.0
103,30.62,30.63,30.62,30.64,1.0
104,30.92,,30.89,30.93,2.0
105,31.22,31.24,,31.25,3.0
106,31.52,,31.5,31.52,4.0
107,31.82,31.86,31.79,31.84,1.0
108,32.12,32.15,32.12,,2.0
109,32.42,32.47,32.41,32.42,3.0
110,32.72,32.76,32.73,32.72,4.0
111,33.02,33.05,33.0,33.03,1.0
112,33.3,33.32,33.28,33.3,2.0
113,33.6,33.62,,33.62,3.0
114,33.89,33.9,33.9,33.89,4.0
115,34.19,34.19,34.18,34.2,1.0
116,34.47,34.48,34.46,34.47,2.0
117,34.78,34.84,34.79,34.78,3.0
118,35.07,35.07,35.07,35.07,4.0
119,35.38,,35.38,35.39,1.0
120,35.67,,35.67,35.66,2.0
121,35.98,36.01,35.99,35.96,3.0
122,36.27,36.3,36.27,36.25,4.0
123,36.58,,36.58,36.59,1.0
124,36.87,,36.86,36.87,2.0
125,37.18,37.22,37.18,37.19,3.0
126,37.47,,37.47,,4.0
127,37.78,,37.79,37.78,1.0
128,38.08,38.11,38.06,38.1,2.0
129,38.38,,38.4,38.4,3.0
130,38.68,,38.7,38.67,4.0
131,38.98,38.99,38.98,39.0,1.0
132,39.27,,,39.27,2.0
133,39.58,39.58,39.59,39.59,3.0
134,39.87,,39.85,39.86,4.0
135,40.17,40.17,,40.16,1.0
136,40.47,,40.48,40.47,2.0
137,40.78,40.78,40.76,40.78,3.0
138,41.07,41.06,41.06,41.06,4.0
139,41.38,,41.38,41.39,1.0
140,41.68,,41.69,41.68,2.0
141,41.98,,42.01,42.0,3.0
142,42.26,42.29,42.27,42.26,4.0
143,42.56,,42.56,42.59,1.0
144,42.85,42.91,42.83,42.85,2.0
145,43.16,43.18,43.15,43.17,3.0
146,43.43,,43.4,43.43,4.0
147,43.74,43.76,43.76,43.75,1.0
148,44.01,44.07,44.02,44.01,2.0
149,44.32,,44.31,44.32,3.0
150,44.59,44.64,44.59,44.59,4.0
151,44.88,,44.88,44.9,1.0
152,45.18,,45.18,45.19,2.0
153,45.49,,,45.52,3.0
154,45.79,,45.8,45.79,4.0
155,46.09,,46.09,,1.0
156,46.37,46.42,46.37,46.37,2.0
157,46.66,46.71,46.66,46.69,3.0
158,46.95,47.0,,46.95,4.0
159,47.26,47.26,47.27,47.27,1.0
160,47.53,47.56,47.55,47.52,2.0
161,47.84,47.86,47.85,47.85,3.0
162,48.13,48.18,,48.12,4.0
163,48.43,48.5,,48.46,1.0
164,48.72,48.77,,48.72,2.0
165,49.03,49.05,49.04,49.03,3.0
166,49.3,49.35,49.29,49.29,4.0
167,49.61,49.65,49.59,49.63,1.0
168,49.89,49.96,49.89,49.89,2.0
169,50.19,50.26,50.16,50.21,3.0
170,50.49,50.55,50.48,50.49,4.0
171,50.79,50.83,,50.82,1.0
172,51.08,51.14,51.07,51.09,2.0
173,51.38,51.45,,51.41,3.0
174,51.67,51.7,51.66,51.68,4.0
175,51.98,51.99,51.95,51.99,1.0
176,52.26,52.33,52.24,52.27,2.0
177,52.57,52.59,,52.59,3.0
178,52.85,52.87,52.85,52.86,4.0
179,53.16,53.17,53.13,53.16,1.0
180,53.43,53.46,53.42,53.44,2.0
181,53.74,53.74,53.72,,3.0
182,54.02,54.07,54.0,54.03,4.0
183,54.33,54.36,54.31,54.34,1.0
184,54.63,,,54.64,2.0
185,54.92,54.92,54.91,54.92,3.0
186,55.2,55.21,55.19,55.2,4.0
187,55.49,55.54,55.47,55.52,1.0
188,55.79,,,55.79,2.0
189,56.09,56.09,56.06,56.1,3.0
190,56.38,,,,4.0
191,56.67,56.69,56.67,56.67,1.0
192,56.98,56.95,56.96,56.98,2.0
193,57.28,,,57.28,3.0
194,57.57,,57.54,57.57,4.0
195,57.88,57.92,,,1.0
196,58.18,58.21,,58.16,2.0
197,58.48,58.49,58.48,58.49,3.0
198,58.77,58.77,58.75,58.77,4.0
199,59.08,59.15,,59.08,1.0
200,59.36,59.39,59.36,59.36,2.0
201,59.67,,59.67,59.66,3.0
202,59.96,59.99,59.95,59.95,4.0
203,60.27,60.28,60.27,60.27,1.0
204,60.54,60.58,60.54,60.53,2.0
205,60.85,60.86,60.85,60.84,3.0
206,61.13,61.15,61.1,61.12,4.0
207,61.44,,,61.45,1.0
208,61.73,,61.75,61.73,2.0
209,62.04,62.04,62.05,62.05,3.0
210,62.32,,62.31,62.33,4.0
211,62.63,,62.61,62.64,1.0
212,62.91,62.98,62.9,62.91,2.0
213,63.2,63.24,63.21,63.2,3.0
214,63.49,63.56,63.49,63.49,4.0
215,63.79,,63.79,63.8,1.0
216,64.07,,64.06,64.07,2.0
217,64.38,64.44,64.38,64.38,3.0
218,64.65,64.71,64.67,64.65,4.0
219,64.96,64.99,64.95,64.98,1.0
220,65.25,65.3,65.25,65.25,2.0
221,65.55,65.58,65.55,65.58,3.0
222,65.82,65.88,65.82,65.82,4.0
223,66.13,66.15,,66.14,1.0
224,66.42,,66.42,,2.0
225,66.71,66.72,,66.71,3.0
226,66.99,,66.97,67.0,4.0
227,67.27,67.32,67.27,,1.0
228,67.54,67.56,67.53,67.55,2.0
229,67.85,67.83,67.86,67.86,3.0
230,68.12,68.1,68.11,68.12,4.0
231,68.43,68.45,68.4,68.43,1.0
232,68.72,,68.7,68.71,2.0
233,69.03,69.09,69.0,69.03,3.0
234,69.32,69.35,,69.32,4.0
235,69.63,69.65,,,1.0
236,69.91,,69.9,69.9,2.0
237,70.21,70.27,70.2,70.22,3.0
238,70.51,,70.51,70.51,4.0
239,70.81,,70.81,70.83,1.0
240,71.11,,71.09,71.11,2.0
241,71.42,71.45,71.42,71.42,3.0
242,71.71,,71.71,71.71,4.0
243,72.02,72.05,72.03,72.04,1.0
244,72.32,72.33,72.31,72.31,2.0
245,72.62,72.67,72.63,72.63,3.0
246,72.91,72.96,72.91,72.91,4.0
247,73.21,73.27,73.21,73.23,1.0
248,73.5,73.55,73.48,,2.0
249,73.8,73.83,73.8,73.81,3.0
250,74.09,74.1,74.08,74.1,4.0
251,74.38,74.43,74.37,74.42,1.0
252,74.68,74.69,74.66,74.68,2.0
253,74.98,74.98,,75.01,3.0
254,75.29,,,,4.0
255,75.59,75.6,75.6,75.59,1.0
256,75.89,,,75.89,2.0
257,76.19,76.17,,76.19,3.0
258,76.48,76.47,76.49,76.49,4.0
259,76.78,,76.77,76.82,1.0
260,77.08,,77.07,77.08,2.0
261,77.38,77.39,77.35,77.41,3.0
262,77.68,77.68,,77.68,4.0
263,77.99,77.99,77.99,77.99,1.0
264,78.28,78.29,78.29,78.28,2.0
265,78.59,78.59,78.61,78.6,3.0
266,78.88,78.87,78.87,78.89,4.0
267,79.19,,79.19,79.21,1.0
268,79.47,79.52,79.47,79.47,2.0
269,79.78,79.78,79.79,79.79,3.0
270,80.07,80.08,80.06,80.08,4.0
271,80.37,80.38,80.37,80.41,1.0
272,80.67,80.67,80.64,80.67,2.0
273,80.97,81.03,80.97,80.99,3.0
274,81.26,,81.25,81.27,4.0
275,81.55,,81.55,81.58,1.0
276,81.85,81.89,81.83,81.86,2.0
277,82.14,,82.14,82.17,3.0
278,82.42,,82.42,82.42,4.0
279,82.73,82.77,82.72,82.74,1.0
280,83.01,83.07,83.0,83.01,2.0
281,83.3,83.34,83.29,83.34,3.0
282,83.6,83.64,83.59,83.62,4.0
283,83.91,83.91,,83.95,1.0
284,84.2,84.22,84.19,84.21,2.0
285,84.5,84.51,84.49,84.5,3.0
286,84.79,84.83,84.77,84.79,4.0
