Tap Time,ITI,Asynchornies,Tone Time,IOI
0.81,0.36,0.09,0.72,0.3199999999999999
,,,1.07,0.3500000000000001
,,,1.41,0.3399999999999998
1.8,,0.06,1.74,0.33
,,,2.09,0.3499999999999998
,,,2.44,0.3500000000000001
2.77,,0.0299999999999998,2.74,0.3000000000000002
3.11,0.3399999999999998,0.02,3.09,0.3499999999999996
,,,3.42,0.33
3.8,,0.0299999999999998,3.77,0.3500000000000001
,,,4.12,0.3500000000000001
4.48,,0.0200000000000004,4.46,0.3399999999999998
,,,4.8,0.3399999999999998
,,,5.17,0.3700000000000001
5.53,,0.04,5.49,0.3200000000000003
5.88,0.3499999999999996,0.0499999999999998,5.83,0.3399999999999998
6.18,0.2999999999999998,0.0,6.18,0.3499999999999996
6.55,0.3700000000000001,0.04,6.51,0.33
,,,6.84,0.33
7.22,,0.0199999999999995,7.2,0.3600000000000003
,,,7.54,0.3399999999999998
7.89,,0.0199999999999995,7.87,0.33
,,,8.23,0.3600000000000003
,,,8.55,0.3200000000000003
8.96,,0.0700000000000002,8.89,0.3399999999999998
9.29,0.3299999999999983,0.0499999999999989,9.24,0.3499999999999996
9.6,0.3100000000000005,,,
9.96,0.3600000000000012,,,
,,,,
,,,,
,,,,
,,,,
11.79,,,,
12.13,0.3400000000000016,,,
12.44,0.3099999999999987,,,
12.77,0.33,,,
13.11,0.3399999999999998,,,
,,,,
13.92,,0.0099999999999997,13.91,
,,,14.23,0.3200000000000003
,,,14.59,0.3599999999999994
,,,14.92,0.33
15.27,,0.0,15.27,0.3499999999999996
,,,15.6,0.33
,,,15.93,0.33
16.31,,0.0199999999999995,16.29,0.3599999999999994
16.71,0.4000000000000021,0.0899999999999998,16.62,0.3300000000000018
17.01,0.3000000000000007,0.0400000000000027,16.97,0.3499999999999978
,,,17.31,0.3399999999999998
17.69,,0.0199999999999995,17.67,0.360000000000003
18.03,0.3399999999999998,0.0400000000000027,17.99,0.3199999999999967
18.36,0.3299999999999983,0.0300000000000011,18.33,0.3399999999999998
18.73,0.370000000000001,0.0500000000000007,18.68,0.3500000000000014
,,,19.02,0.3399999999999998
19.42,,0.0500000000000007,19.37,0.3500000000000014
19.76,0.3399999999999998,0.0500000000000007,19.71,0.3399999999999998
20.12,0.3599999999999994,0.0700000000000002,20.05,0.3399999999999998
20.34,0.2199999999999988,-0.0399999999999991,20.38,0.3299999999999983
20.77,0.4299999999999997,0.0500000000000007,20.72,0.3399999999999998
21.1,0.3300000000000018,0.0400000000000027,21.06,0.3399999999999998
,,,21.42,0.360000000000003
,,,21.75,0.3299999999999983
22.12,,0.0199999999999995,22.1,0.3500000000000014
22.47,0.3499999999999978,0.0299999999999975,22.44,0.3399999999999998
22.82,0.3500000000000014,0.0199999999999995,22.8,0.3599999999999994
23.12,0.3000000000000007,-0.009999999999998,23.13,0.3299999999999983
,,,23.47,0.3399999999999998
23.8,,0.0,23.8,0.3300000000000018
24.2,0.3999999999999986,0.0599999999999987,24.14,0.3399999999999998
24.49,0.2899999999999991,0.0199999999999995,24.47,0.3299999999999983
24.82,0.3300000000000018,0.0,24.82,0.3500000000000014
25.16,0.3399999999999998,0.0100000000000015,25.15,0.3299999999999983
,,,25.49,0.3399999999999998
,,,25.83,0.3399999999999998
26.23,,0.0500000000000007,26.18,0.3500000000000014
,,,26.53,0.3500000000000014
26.91,,0.0500000000000007,26.86,0.3299999999999983
,,,27.21,0.3500000000000014
27.61,,0.0500000000000007,27.56,0.3499999999999978
,,,27.9,0.3399999999999998
,,,28.24,0.3399999999999998
,,,28.57,0.3300000000000018
28.97,,0.0599999999999987,28.91,0.3399999999999998
,,,29.27,0.3599999999999994
29.66,,0.0399999999999991,29.62,0.3500000000000014
29.91,0.25,,,
,,,30.31,
30.61,,-0.0300000000000011,30.64,0.3300000000000018
30.96,0.3500000000000014,0.0,30.96,0.3200000000000003
,,,31.3,0.3399999999999998
31.66,,0.0300000000000011,31.63,0.3299999999999983
31.97,0.3099999999999987,0.0,31.97,0.3399999999999998
,,,32.3,0.3299999999999983
32.65,,0.0,32.65,0.3500000000000014
32.99,0.3400000000000034,0.0100000000000051,32.98,0.3299999999999983
33.33,0.3399999999999963,0.0300000000000011,33.3,0.3200000000000003
33.71,0.3800000000000025,0.0500000000000042,33.66,0.3599999999999994
,,,33.99,0.3300000000000054
34.37,,0.019999999999996,34.35,0.3599999999999994
34.71,0.3400000000000034,,,
35.05,0.3399999999999963,0.029999999999994,35.02,
35.35,0.3000000000000042,0.0,35.35,0.3299999999999983
35.76,0.4099999999999966,0.0700000000000002,35.69,0.3399999999999963
36.03,0.2700000000000031,-0.019999999999996,36.05,0.3599999999999994
,,,36.38,0.3300000000000054
36.76,,0.0499999999999971,36.71,0.3299999999999983
,,,37.07,0.3599999999999994
37.41,,-0.0100000000000051,37.42,0.3500000000000014
37.75,0.3400000000000034,-0.009999999999998,37.76,0.3399999999999963
,,,38.09,0.3300000000000054
38.46,,0.0300000000000011,38.43,0.3399999999999963
,,,38.77,0.3400000000000034
39.13,,-0.009999999999998,39.14,0.3699999999999974
,,,39.47,0.3299999999999983
39.84,,0.0100000000000051,39.83,0.3599999999999994
40.2,0.3599999999999994,0.0400000000000062,40.16,0.3299999999999983
40.55,0.3499999999999943,0.0499999999999971,40.5,0.3400000000000034
40.84,0.2900000000000062,0.0,40.84,0.3400000000000034
,,,41.17,0.3299999999999983
41.52,,0.0100000000000051,41.51,0.3399999999999963
41.87,0.3499999999999943,0.019999999999996,41.85,0.3400000000000034
42.17,0.3000000000000042,-0.019999999999996,42.19,0.3399999999999963
,,,42.52,0.3300000000000054
,,,42.84,0.3200000000000003
43.25,,0.0700000000000002,43.18,0.3399999999999963
43.58,0.3299999999999983,0.0700000000000002,43.51,0.3299999999999983
43.89,0.3100000000000023,0.009999999999998,43.88,0.3700000000000045
44.24,0.3500000000000014,0.0300000000000011,44.21,0.3299999999999983
,,,44.55,0.3399999999999963
44.89,,0.0300000000000011,44.86,0.3100000000000023
,,,45.24,0.3800000000000025
