Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.79,0.41
1.23,,0.01,1.22,0.4299999999999999
1.66,0.4299999999999999,0.02,1.64,0.4199999999999999
2.1,0.4400000000000001,0.0500000000000002,2.05,0.4099999999999999
2.46,0.3599999999999999,0.0,2.46,0.4100000000000001
2.94,0.48,0.0499999999999998,2.89,0.4300000000000001
3.32,0.3799999999999999,0.0299999999999998,3.29,0.3999999999999999
,,,3.7,0.4100000000000001
,,,4.13,0.4299999999999997
4.55,,0.0,4.55,0.4199999999999999
4.98,0.4300000000000006,0.0100000000000006,4.97,0.4199999999999999
5.46,0.4799999999999995,0.0899999999999998,5.37,0.4000000000000003
5.83,0.3700000000000001,0.0499999999999998,5.78,0.4100000000000001
6.24,0.4100000000000001,0.04,6.2,0.4199999999999999
6.66,0.4199999999999999,0.0499999999999998,6.61,0.4100000000000001
,,,,
,,,,
7.86,,0.0,7.86,
8.27,0.4099999999999992,0.0299999999999993,8.24,0.3799999999999999
8.71,0.4400000000000013,0.0500000000000007,8.66,0.4199999999999999
9.08,0.3699999999999992,0.0,9.08,0.4199999999999999
9.52,0.4399999999999995,0.0299999999999993,9.49,0.4100000000000001
9.93,0.4100000000000001,,,
10.26,0.33,-0.0500000000000007,10.31,
,,,10.71,0.4000000000000003
11.16,,0.0299999999999993,11.13,0.4199999999999999
11.62,0.4599999999999991,0.0899999999999998,11.53,0.3999999999999986
12.01,0.3900000000000005,0.0700000000000002,11.94,0.4100000000000001
12.41,0.4000000000000003,0.0400000000000009,12.37,0.4299999999999997
12.78,0.3699999999999992,-0.0099999999999997,12.79,0.4199999999999999
13.21,0.4300000000000015,0.0200000000000013,13.19,0.4000000000000003
13.63,0.4199999999999999,0.0300000000000011,13.6,0.4100000000000001
14.04,0.4099999999999983,0.0299999999999993,14.01,0.4100000000000001
14.44,0.4000000000000003,0.0,14.44,0.4299999999999997
14.86,0.4199999999999999,0.0299999999999993,14.83,0.3900000000000005
15.26,0.4000000000000003,0.0399999999999991,15.22,0.3900000000000005
15.74,0.4800000000000004,0.1099999999999994,15.63,0.4100000000000001
16.07,0.33,0.0300000000000011,16.04,0.4099999999999983
,,,16.46,0.4200000000000017
,,,16.86,0.3999999999999986
17.33,,0.0399999999999991,17.29,0.4299999999999997
17.73,0.4000000000000021,0.0199999999999995,17.71,0.4200000000000017
18.13,0.3999999999999986,0.0399999999999991,18.09,0.379999999999999
,,,18.51,0.4200000000000017
18.92,,0.0200000000000031,18.9,0.389999999999997
19.32,0.3999999999999986,0.0399999999999991,19.28,0.3800000000000025
19.76,0.4400000000000013,0.0600000000000022,19.7,0.4199999999999981
20.13,0.3699999999999974,,,
,,,,
21.0,,0.1000000000000014,20.9,
21.38,0.379999999999999,0.0799999999999983,21.3,0.4000000000000021
21.73,0.3500000000000014,0.0399999999999991,21.69,0.3900000000000005
,,,22.08,0.389999999999997
22.52,,,,
22.97,0.4499999999999993,0.0599999999999987,22.91,
23.35,0.3800000000000025,0.0100000000000015,23.34,0.4299999999999997
23.76,0.4100000000000001,0.0,23.76,0.4200000000000017
24.18,0.4199999999999981,0.0399999999999991,24.14,0.379999999999999
24.59,0.4100000000000001,,,
24.99,0.3999999999999986,0.0199999999999995,24.97,
25.41,0.4200000000000017,0.0300000000000011,25.38,0.4100000000000001
25.83,0.4199999999999981,0.0199999999999995,25.81,0.4299999999999997
,,,26.21,0.4000000000000021
26.69,,,,
27.09,0.3999999999999986,0.0799999999999983,27.01,
27.45,0.3599999999999994,0.0599999999999987,27.39,0.379999999999999
27.86,0.4100000000000001,0.0599999999999987,27.8,0.4100000000000001
28.24,0.379999999999999,,,
28.65,0.4100000000000001,,,
29.04,0.3900000000000005,0.0500000000000007,28.99,
29.41,0.370000000000001,0.0100000000000015,29.4,0.4100000000000001
29.83,0.4199999999999981,0.009999999999998,29.82,0.4200000000000017
30.22,0.3900000000000005,,,
30.62,0.4000000000000021,,,
31.04,0.4199999999999981,0.0299999999999975,31.01,
