Tap Time,ITI,Asynchornies,Tone Time,IOI
0.48,0.26,,,
0.71,0.2299999999999999,0.01,0.7,
0.96,0.25,0.0299999999999999,0.93,0.2300000000000001
1.2,0.24,0.03,1.17,0.2399999999999998
1.41,0.2099999999999999,0.0,1.41,0.24
1.65,0.24,0.0,1.65,0.24
,,,1.88,0.2299999999999999
2.13,,-0.0100000000000002,2.14,0.2600000000000002
2.38,0.25,0.0,2.38,0.2399999999999997
2.64,0.2600000000000002,0.0100000000000002,2.63,0.25
2.86,0.2199999999999997,0.0,2.86,0.2299999999999999
3.11,0.25,0.0099999999999997,3.1,0.2400000000000002
3.34,0.2299999999999999,0.0,3.34,0.2399999999999997
3.6,0.2600000000000002,0.02,3.58,0.2400000000000002
3.84,0.2399999999999997,0.02,3.82,0.2399999999999997
4.07,0.2300000000000004,0.0100000000000006,4.06,0.2399999999999997
4.31,0.2399999999999993,0.0099999999999997,4.3,0.2400000000000002
4.55,0.2400000000000002,0.0,4.55,0.25
4.78,0.2300000000000004,0.0,4.78,0.2300000000000004
5.02,0.2399999999999993,-0.0100000000000006,5.03,0.25
5.25,0.2300000000000004,0.0,5.25,0.2199999999999997
5.5,0.25,0.0,5.5,0.25
,,,5.73,0.2300000000000004
5.97,,-0.0200000000000004,5.99,0.2599999999999998
6.2,0.2300000000000004,0.0,6.2,0.2099999999999999
6.47,0.2699999999999996,0.0099999999999997,6.46,0.2599999999999998
6.7,0.2300000000000004,,,
,,,6.92,
7.17,,0.0199999999999995,7.15,0.2300000000000004
7.4,0.2300000000000004,0.0100000000000006,7.39,0.2399999999999993
,,,7.62,0.2300000000000004
7.86,,0.0,7.86,0.2400000000000002
8.11,0.2499999999999991,0.0,8.11,0.2499999999999991
8.35,0.2400000000000002,-0.0099999999999997,8.36,0.25
8.58,0.2300000000000004,0.0,8.58,0.2200000000000006
8.83,0.25,0.0099999999999997,8.82,0.2400000000000002
9.05,0.2200000000000006,0.0,9.05,0.2300000000000004
9.3,0.25,0.0,9.3,0.25
9.56,0.2599999999999998,0.0400000000000009,9.52,0.2199999999999988
9.77,0.209999999999999,-0.0099999999999997,9.78,0.2599999999999998
10.0,0.2300000000000004,0.0,10.0,0.2200000000000006
10.25,0.25,0.0199999999999995,10.23,0.2300000000000004
10.5,0.25,0.0399999999999991,10.46,0.2300000000000004
10.66,0.1600000000000001,-0.0299999999999993,10.69,0.2299999999999986
10.92,0.2599999999999998,0.0,10.92,0.2300000000000004
11.19,0.2699999999999996,0.0099999999999997,11.18,0.2599999999999998
,,,11.4,0.2200000000000006
11.64,,0.0,11.64,0.2400000000000002
11.88,0.2400000000000002,0.0100000000000015,11.87,0.2299999999999986
12.14,0.2599999999999998,0.0300000000000011,12.11,0.2400000000000002
12.34,0.1999999999999993,-0.0099999999999997,12.35,0.2400000000000002
12.6,0.2599999999999998,0.0199999999999995,12.58,0.2300000000000004
12.82,0.2200000000000006,0.0099999999999997,12.81,0.2300000000000004
13.04,0.2199999999999988,-0.0200000000000013,13.06,0.25
13.28,0.2400000000000002,-0.0099999999999997,13.29,0.2299999999999986
13.51,0.2300000000000004,-0.0099999999999997,13.52,0.2300000000000004
,,,13.75,0.2300000000000004
13.99,,0.0,13.99,0.2400000000000002
14.21,0.2200000000000006,0.0,14.21,0.2200000000000006
14.44,0.2299999999999986,0.0,14.44,0.2299999999999986
14.68,0.2400000000000002,-0.0199999999999995,14.7,0.2599999999999998
14.94,0.2599999999999998,0.0,14.94,0.2400000000000002
15.18,0.2400000000000002,0.0,15.18,0.2400000000000002
15.42,0.2400000000000002,0.0099999999999997,15.41,0.2300000000000004
,,,15.67,0.2599999999999998
,,,15.91,0.2400000000000002
,,,16.13,0.2199999999999988
16.39,,,,
16.62,0.2300000000000004,0.0100000000000015,16.61,
16.86,0.2399999999999984,0.0,16.86,0.25
17.09,0.2300000000000004,0.0100000000000015,17.08,0.2199999999999988
17.34,0.25,0.0100000000000015,17.33,0.25
17.58,0.2399999999999984,0.009999999999998,17.57,0.240000000000002
17.82,0.240000000000002,0.0199999999999995,17.8,0.2300000000000004
,,,18.04,0.2399999999999984
,,,18.28,0.240000000000002
18.51,,0.0,18.51,0.2300000000000004
18.75,0.2399999999999984,-0.0100000000000015,18.76,0.25
18.99,0.2399999999999984,-0.0200000000000031,19.01,0.25
19.24,0.25,0.0,19.24,0.2299999999999968
19.46,0.2200000000000024,0.0,19.46,0.2200000000000024
,,,19.72,0.259999999999998
19.93,,-0.0100000000000015,19.94,0.2200000000000024
20.18,0.25,-0.0100000000000015,20.19,0.25
20.41,0.2300000000000004,0.0,20.41,0.2199999999999988
20.65,0.2399999999999984,-0.0100000000000015,20.66,0.25
20.89,0.240000000000002,0.0100000000000015,20.88,0.2199999999999988
21.15,0.259999999999998,0.0199999999999995,21.13,0.25
21.37,0.2200000000000024,0.0100000000000015,21.36,0.2300000000000004
21.61,0.2399999999999984,0.0199999999999995,21.59,0.2300000000000004
21.86,0.25,0.0199999999999995,21.84,0.25
,,,22.06,0.2199999999999988
22.32,,0.0,22.32,0.2600000000000015
22.56,0.2399999999999984,0.009999999999998,22.55,0.2300000000000004
22.82,0.2600000000000015,0.0300000000000011,22.79,0.2399999999999984
23.04,0.2199999999999988,0.009999999999998,23.03,0.240000000000002
23.26,0.2200000000000024,-0.009999999999998,23.27,0.2399999999999984
23.52,0.259999999999998,0.009999999999998,23.51,0.240000000000002
23.75,0.2300000000000004,0.0,23.75,0.2399999999999984
23.99,0.2399999999999984,0.0199999999999995,23.97,0.2199999999999988
24.21,0.2200000000000024,0.0,24.21,0.240000000000002
24.46,0.25,0.0,24.46,0.25
,,,24.7,0.2399999999999984
24.92,,0.0,24.92,0.2200000000000024
25.15,0.2299999999999968,0.009999999999998,25.14,0.2199999999999988
25.41,0.2600000000000015,0.0100000000000015,25.4,0.259999999999998
25.65,0.2399999999999984,0.009999999999998,25.64,0.240000000000002
25.89,0.240000000000002,0.0100000000000015,25.88,0.2399999999999984
26.12,0.2300000000000004,0.0,26.12,0.240000000000002
26.37,0.25,0.0199999999999995,26.35,0.2300000000000004
26.62,0.25,0.0400000000000027,26.58,0.2299999999999968
26.86,0.2399999999999984,0.0300000000000011,26.83,0.25
,,,27.07,0.240000000000002
27.34,,0.0500000000000007,27.29,0.2199999999999988
,,,27.54,0.25
27.8,,0.0199999999999995,27.78,0.240000000000002
,,,28.01,0.2300000000000004
28.26,,0.0,28.26,0.25
,,,28.48,0.2199999999999988
28.75,,0.0199999999999995,28.73,0.25
28.97,0.2199999999999988,0.009999999999998,28.96,0.2300000000000004
29.2,0.2300000000000004,-0.0100000000000015,29.21,0.25
,,,29.44,0.2300000000000004
29.68,,0.0,29.68,0.2399999999999984
29.92,0.240000000000002,0.0100000000000015,29.91,0.2300000000000004
30.17,0.25,-0.009999999999998,30.18,0.2699999999999996
30.4,0.2299999999999968,0.009999999999998,30.39,0.2100000000000008
30.64,0.240000000000002,-0.0199999999999995,30.66,0.2699999999999996
30.88,0.2399999999999984,0.009999999999998,30.87,0.2100000000000008
31.13,0.25,0.0199999999999995,31.11,0.2399999999999984
31.38,0.25,0.0399999999999991,31.34,0.2300000000000004
31.59,0.2100000000000008,,,
31.82,0.2300000000000004,0.0199999999999995,31.8,
32.05,0.2299999999999968,0.0,32.05,0.2499999999999964
,,,32.28,0.2300000000000039
32.51,,-0.0100000000000051,32.52,0.240000000000002
32.74,0.2300000000000039,-0.0300000000000011,32.77,0.25
33.0,0.259999999999998,0.009999999999998,32.99,0.2199999999999988
33.23,0.2299999999999968,0.029999999999994,33.2,0.2100000000000008
33.44,0.2100000000000008,0.0,33.44,0.2399999999999948
33.69,0.25,0.0,33.69,0.25
