Tap Time,ITI,Asynchornies,Tone Time,IOI
0.54,,0.02,0.52,0.29
0.82,0.2799999999999999,,,
1.14,0.3199999999999999,,,
1.4,0.26,,,
,,,,
2.0,,,,
2.26,0.2599999999999998,,,
2.53,0.27,,,
,,,2.83,
3.14,,0.04,3.1,0.27
3.43,0.29,0.0500000000000002,3.38,0.2799999999999998
3.72,0.29,0.0300000000000002,3.69,0.31
4.01,0.2899999999999996,0.0399999999999995,3.97,0.2800000000000002
4.32,0.3100000000000005,0.0500000000000007,4.27,0.2999999999999994
,,,4.56,0.29
4.86,,0.0300000000000002,4.83,0.2700000000000004
5.11,0.25,-0.0199999999999995,5.13,0.2999999999999998
5.38,0.2699999999999996,-0.0300000000000002,5.41,0.2800000000000002
5.73,0.3500000000000005,0.0200000000000004,5.71,0.2999999999999998
,,,5.98,0.2700000000000004
6.3,,0.0300000000000002,6.27,0.2899999999999991
6.58,0.2800000000000002,0.0300000000000002,6.55,0.2800000000000002
6.89,0.3099999999999996,0.0599999999999996,6.83,0.2800000000000002
7.17,0.2800000000000002,0.0599999999999996,7.11,0.2800000000000002
7.43,0.2599999999999998,0.0299999999999993,7.4,0.29
7.72,0.29,0.0199999999999995,7.7,0.2999999999999998
7.99,0.2700000000000004,0.0,7.99,0.29
,,,8.26,0.2699999999999996
,,,8.56,0.3000000000000007
,,,8.83,0.2699999999999996
9.15,,0.0500000000000007,9.1,0.2699999999999996
9.45,0.2999999999999989,0.0599999999999987,9.39,0.2900000000000009
9.71,0.2600000000000015,0.0300000000000011,9.68,0.2899999999999991
10.01,0.2999999999999989,0.0399999999999991,9.97,0.2900000000000009
,,,10.28,0.3099999999999987
10.6,,0.0499999999999989,10.55,0.2700000000000013
10.87,0.2699999999999996,0.0199999999999995,10.85,0.2999999999999989
11.2,0.33,0.0599999999999987,11.14,0.2900000000000009
11.47,0.2700000000000013,0.0500000000000007,11.42,0.2799999999999993
,,,11.71,0.2900000000000009
11.96,,-0.0399999999999991,12.0,0.2899999999999991
12.25,0.2899999999999991,-0.0399999999999991,12.29,0.2899999999999991
12.6,0.3499999999999996,0.0199999999999995,12.58,0.2900000000000009
12.9,0.3000000000000007,0.0400000000000009,12.86,0.2799999999999993
13.19,0.2899999999999991,0.0299999999999993,13.16,0.3000000000000007
,,,13.46,0.3000000000000007
13.69,,-0.0500000000000007,13.74,0.2799999999999993
,,,14.01,0.2699999999999996
14.29,,-0.0100000000000015,14.3,0.2900000000000009
14.6,0.3100000000000005,0.0099999999999997,14.59,0.2899999999999991
,,,14.87,0.2799999999999993
15.17,,0.0399999999999991,15.13,0.2600000000000015
,,,15.43,0.2999999999999989
15.74,,0.0199999999999995,15.72,0.2900000000000009
16.03,0.2900000000000009,0.0199999999999995,16.01,0.2900000000000009
16.34,0.3099999999999987,0.0399999999999991,16.3,0.2899999999999991
,,,16.58,0.2799999999999976
16.92,,0.0600000000000022,16.86,0.2800000000000011
17.2,0.2799999999999976,0.0599999999999987,17.14,0.2800000000000011
17.47,0.2699999999999996,0.0399999999999991,17.43,0.2899999999999991
,,,17.73,0.3000000000000007
18.06,,0.0499999999999971,18.01,0.2800000000000011
18.37,0.3100000000000023,0.0700000000000002,18.3,0.2899999999999991
18.61,0.2399999999999984,0.009999999999998,18.6,0.3000000000000007
18.91,0.3000000000000007,0.0199999999999995,18.89,0.2899999999999991
19.21,0.3000000000000007,0.0300000000000011,19.18,0.2899999999999991
,,,19.48,0.3000000000000007
19.81,,0.0399999999999991,19.77,0.2899999999999991
20.12,0.3100000000000023,0.0600000000000022,20.06,0.2899999999999991
20.33,0.2099999999999973,-0.0100000000000015,20.34,0.2800000000000011
,,,20.64,0.3000000000000007
20.95,,0.009999999999998,20.94,0.3000000000000007
,,,21.22,0.2799999999999976
21.54,,0.0299999999999975,21.51,0.2900000000000027
21.86,0.3200000000000003,0.0599999999999987,21.8,0.2899999999999991
22.07,0.2100000000000008,-0.0300000000000011,22.1,0.3000000000000007
22.4,0.3299999999999983,0.009999999999998,22.39,0.2899999999999991
22.67,0.2700000000000031,0.0,22.67,0.2800000000000011
23.01,0.3399999999999998,0.0600000000000022,22.95,0.2799999999999976
23.27,0.259999999999998,0.0399999999999991,23.23,0.2800000000000011
23.57,0.3000000000000007,0.0300000000000011,23.54,0.3099999999999987
23.81,0.2399999999999984,0.0,23.81,0.2699999999999996
24.15,0.3399999999999998,0.0499999999999971,24.1,0.2900000000000027
,,,24.38,0.2799999999999976
24.72,,0.0399999999999991,24.68,0.3000000000000007
25.01,0.2900000000000027,0.0500000000000007,24.96,0.2800000000000011
25.29,0.2799999999999976,0.0500000000000007,25.24,0.2799999999999976
25.58,0.2899999999999991,0.0299999999999975,25.55,0.3100000000000023
25.88,0.3000000000000007,0.0399999999999991,25.84,0.2899999999999991
26.17,0.2900000000000027,0.0400000000000027,26.13,0.2899999999999991
26.41,0.2399999999999984,0.0,26.41,0.2800000000000011
26.75,0.3399999999999998,0.0500000000000007,26.7,0.2899999999999991
,,,26.99,0.2899999999999991
27.34,,0.0500000000000007,27.29,0.3000000000000007
,,,27.58,0.2899999999999991
27.93,,0.0599999999999987,27.87,0.2900000000000027
28.23,0.3000000000000007,0.0500000000000007,28.18,0.3099999999999987
28.51,0.2800000000000011,0.0400000000000027,28.47,0.2899999999999991
28.81,0.2999999999999971,0.0499999999999971,28.76,0.2900000000000027
29.01,0.2000000000000028,-0.0399999999999991,29.05,0.2899999999999991
29.3,0.2899999999999991,-0.0299999999999975,29.33,0.2799999999999976
,,,29.63,0.3000000000000007
29.95,,0.0299999999999975,29.92,0.2900000000000027
30.22,0.2699999999999996,0.0199999999999995,30.2,0.2799999999999976
30.54,0.3200000000000003,0.0500000000000007,30.49,0.2899999999999991
,,,30.78,0.2900000000000027
,,,31.07,0.2899999999999991
31.41,,0.0500000000000007,31.36,0.2899999999999991
31.69,0.2800000000000011,0.0300000000000011,31.66,0.3000000000000007
31.98,0.2899999999999991,0.0199999999999995,31.96,0.3000000000000007
32.3,0.3199999999999967,0.0599999999999951,32.24,0.2800000000000011
32.5,0.2000000000000028,0.0,32.5,0.259999999999998
,,,32.81,0.3100000000000023
33.11,,0.009999999999998,33.1,0.2899999999999991
33.41,0.2999999999999971,0.009999999999998,33.4,0.2999999999999971
33.7,0.2900000000000062,0.0100000000000051,33.69,0.2899999999999991
,,,33.97,0.2800000000000011
34.28,,0.009999999999998,34.27,0.3000000000000042
,,,34.56,0.2899999999999991
34.86,,0.019999999999996,34.84,0.2800000000000011
35.16,0.2999999999999971,0.029999999999994,35.13,0.2899999999999991
35.42,0.2600000000000051,0.0,35.42,0.2899999999999991
35.72,0.2999999999999971,0.009999999999998,35.71,0.2899999999999991
,,,36.01,0.2999999999999971
,,,36.31,0.3000000000000042
36.62,,0.029999999999994,36.59,0.2800000000000011
36.93,0.3100000000000023,0.0399999999999991,36.89,0.2999999999999971
37.2,0.2700000000000031,0.0500000000000042,37.15,0.259999999999998
,,,37.43,0.2800000000000011
37.71,,-0.019999999999996,37.73,0.2999999999999971
38.1,0.3900000000000005,0.0799999999999983,38.02,0.2900000000000062
,,,38.31,0.2899999999999991
,,,,
38.96,,0.0399999999999991,38.92,
39.27,0.3100000000000023,0.0500000000000042,39.22,0.2999999999999971
39.57,0.2999999999999971,0.0600000000000022,39.51,0.2899999999999991
