Tap Time,ITI,Asynchornies,Tone Time,IOI
0.41,0.3,0.06,0.35,0.2799999999999999
0.69,0.2799999999999999,0.0599999999999999,0.63,0.28
0.95,0.26,0.0399999999999999,0.91,0.28
1.23,0.28,0.04,1.19,0.2799999999999999
,,,1.46,0.27
1.75,,0.02,1.73,0.27
1.99,0.24,0.0,1.99,0.26
2.29,0.3,0.0100000000000002,2.28,0.2899999999999998
2.55,0.2599999999999998,-0.0100000000000002,2.56,0.2800000000000002
2.86,0.31,0.04,2.82,0.2599999999999998
3.1,0.2400000000000002,0.0100000000000002,3.09,0.27
3.38,0.2799999999999998,0.02,3.36,0.27
3.67,0.29,0.04,3.63,0.27
3.93,0.2600000000000002,0.02,3.91,0.2800000000000002
,,,4.18,0.2699999999999996
4.47,,0.0299999999999993,4.44,0.2600000000000007
4.75,0.2800000000000002,0.04,4.71,0.2699999999999996
5.03,0.2800000000000002,0.04,4.99,0.2800000000000002
,,,5.27,0.2799999999999993
5.57,,0.0300000000000002,5.54,0.2700000000000004
5.78,0.2099999999999999,-0.0199999999999995,5.8,0.2599999999999998
6.08,0.2999999999999998,0.0200000000000004,6.06,0.2599999999999998
6.35,0.2699999999999996,0.0099999999999997,6.34,0.2800000000000002
6.63,0.2800000000000002,0.0099999999999997,6.62,0.2800000000000002
,,,6.88,0.2599999999999998
,,,7.16,0.2800000000000002
,,,7.43,0.2699999999999996
7.71,,0.0099999999999997,7.7,0.2700000000000004
7.96,0.25,0.0099999999999997,7.95,0.25
8.24,0.2800000000000002,,,
8.52,0.2799999999999993,0.0,8.52,
8.79,0.2699999999999996,0.0099999999999997,8.78,0.2599999999999998
9.08,0.2900000000000009,0.0199999999999995,9.06,0.2800000000000011
9.34,0.2599999999999998,0.0099999999999997,9.33,0.2699999999999996
,,,9.59,0.2599999999999998
,,,9.86,0.2699999999999996
10.16,,0.0299999999999993,10.13,0.2700000000000013
,,,10.4,0.2699999999999996
10.65,,-0.0099999999999997,10.66,0.2599999999999998
10.94,0.2899999999999991,0.0,10.94,0.2799999999999993
11.21,0.2700000000000013,0.0200000000000013,11.19,0.25
11.46,0.25,0.0100000000000015,11.45,0.2599999999999998
,,,11.72,0.2700000000000013
,,,11.98,0.2599999999999998
,,,12.26,0.2799999999999993
12.53,,0.0099999999999997,12.52,0.2599999999999998
12.78,0.25,-0.0099999999999997,12.79,0.2699999999999996
13.09,0.3100000000000005,0.0299999999999993,13.06,0.2700000000000013
13.32,0.2300000000000004,0.0099999999999997,13.31,0.25
13.59,0.2699999999999996,0.0,13.59,0.2799999999999993
13.85,0.2599999999999998,-0.0099999999999997,13.86,0.2699999999999996
,,,14.13,0.2700000000000013
14.39,,-0.0099999999999997,14.4,0.2699999999999996
14.69,0.2999999999999989,0.0399999999999991,14.65,0.25
14.93,0.2400000000000002,0.0099999999999997,14.92,0.2699999999999996
15.21,0.2800000000000011,0.0200000000000013,15.19,0.2699999999999996
15.49,0.2799999999999993,0.0299999999999993,15.46,0.2700000000000013
15.74,0.25,0.0099999999999997,15.73,0.2699999999999996
,,,15.99,0.2599999999999998
16.26,,0.0,16.26,0.2700000000000013
16.53,0.2699999999999996,0.0100000000000015,16.52,0.259999999999998
16.81,0.2799999999999976,0.0199999999999995,16.79,0.2699999999999996
17.09,0.2800000000000011,0.0300000000000011,17.06,0.2699999999999996
17.35,0.2600000000000015,0.0100000000000015,17.34,0.2800000000000011
17.61,0.259999999999998,0.009999999999998,17.6,0.2600000000000015
17.86,0.25,-0.0100000000000015,17.87,0.2699999999999996
18.15,0.2899999999999991,0.009999999999998,18.14,0.2699999999999996
,,,18.4,0.259999999999998
18.7,,0.0199999999999995,18.68,0.2800000000000011
18.96,0.2600000000000015,0.0199999999999995,18.94,0.2600000000000015
19.23,0.2699999999999996,0.0199999999999995,19.21,0.2699999999999996
19.52,0.2899999999999991,0.0300000000000011,19.49,0.2799999999999976
19.77,0.25,0.0199999999999995,19.75,0.2600000000000015
