Tap Time,ITI,Asynchornies,Tone Time,IOI
0.32,0.24,-0.0499999999999999,0.37,0.29
0.6,0.2799999999999999,0.0,0.6,0.2299999999999999
,,,0.83,0.2299999999999999
1.05,,-0.03,1.08,0.2500000000000001
1.26,0.2099999999999999,-0.05,1.31,0.2299999999999999
,,,1.55,0.24
1.77,,-0.04,1.81,0.26
2.02,0.25,0.0,2.02,0.2099999999999999
2.29,0.27,0.04,2.25,0.2299999999999999
2.55,0.2599999999999998,0.02,2.53,0.2799999999999998
,,,2.7,0.1700000000000003
2.96,,-0.02,2.98,0.2799999999999998
3.2,0.2400000000000002,0.0,3.2,0.2200000000000002
,,,3.41,0.2099999999999999
3.71,,0.0099999999999997,3.7,0.29
3.93,0.2200000000000002,0.02,3.91,0.2099999999999999
4.19,0.2600000000000002,0.0200000000000004,4.17,0.2599999999999998
4.42,0.2299999999999995,0.0,4.42,0.25
4.66,0.2400000000000002,-0.0099999999999997,4.67,0.25
4.92,0.2599999999999998,0.0300000000000002,4.89,0.2199999999999997
5.18,0.2599999999999998,0.04,5.14,0.25
,,,5.39,0.25
5.63,,0.0099999999999997,5.62,0.2300000000000004
5.86,0.2300000000000004,0.0,5.86,0.2400000000000002
6.1,0.2399999999999993,0.0,6.1,0.2399999999999993
,,,6.33,0.2300000000000004
6.58,,0.0,6.58,0.25
,,,6.82,0.2400000000000002
7.05,,0.0,7.05,0.2299999999999995
,,,7.27,0.2199999999999997
7.55,,0.0,7.55,0.2800000000000002
7.8,0.25,0.0300000000000002,7.77,0.2199999999999997
8.03,0.2299999999999995,0.0299999999999993,8.0,0.2300000000000004
,,,8.25,0.25
8.53,,0.0099999999999997,8.52,0.2699999999999996
8.78,0.25,0.0499999999999989,8.73,0.2100000000000008
9.01,0.2300000000000004,0.0399999999999991,8.97,0.2400000000000002
9.25,0.2400000000000002,0.0299999999999993,9.22,0.25
9.43,0.1799999999999997,-0.0300000000000011,9.46,0.2400000000000002
,,,9.71,0.25
9.96,,0.0100000000000015,9.95,0.2399999999999984
,,,10.17,0.2200000000000006
10.39,,-0.0299999999999993,10.42,0.25
10.66,0.2699999999999996,0.0299999999999993,10.63,0.2100000000000008
10.91,0.25,0.0299999999999993,10.88,0.25
11.12,0.209999999999999,0.0,11.12,0.2399999999999984
11.37,0.25,-0.0100000000000015,11.38,0.2600000000000015
,,,11.62,0.2399999999999984
,,,11.87,0.25
12.13,,0.0400000000000009,12.09,0.2200000000000006
12.36,0.2299999999999986,0.0099999999999997,12.35,0.2599999999999998
,,,12.59,0.2400000000000002
12.83,,0.0199999999999995,12.81,0.2200000000000006
13.06,0.2300000000000004,0.0300000000000011,13.03,0.2199999999999988
13.33,0.2699999999999996,0.0199999999999995,13.31,0.2800000000000011
13.55,0.2200000000000006,0.0200000000000013,13.53,0.2199999999999988
13.8,0.25,0.0200000000000013,13.78,0.25
14.04,0.2399999999999984,0.0299999999999993,14.01,0.2300000000000004
14.28,0.2400000000000002,0.0299999999999993,14.25,0.2400000000000002
14.48,0.200000000000001,0.0,14.48,0.2300000000000004
,,,14.72,0.2400000000000002
,,,14.95,0.2299999999999986
15.22,,0.0099999999999997,15.21,0.2600000000000015
15.41,0.1899999999999995,-0.0099999999999997,15.42,0.209999999999999
15.66,0.25,-0.0099999999999997,15.67,0.25
15.91,0.25,-0.0099999999999997,15.92,0.25
,,,16.15,0.2299999999999986
,,,16.38,0.2300000000000004
16.64,,0.0100000000000015,16.63,0.25
,,,16.86,0.2300000000000004
17.15,,0.0199999999999995,17.13,0.2699999999999996
17.39,0.240000000000002,0.0500000000000007,17.34,0.2100000000000008
17.61,0.2199999999999988,0.009999999999998,17.6,0.2600000000000015
17.88,0.2699999999999996,0.0599999999999987,17.82,0.2199999999999988
18.1,0.2200000000000024,0.0200000000000031,18.08,0.259999999999998
18.32,0.2199999999999988,0.0599999999999987,18.26,0.1800000000000032
18.57,0.25,0.0300000000000011,18.54,0.2799999999999976
18.77,0.1999999999999993,-0.0100000000000015,18.78,0.240000000000002
19.0,0.2300000000000004,-0.0300000000000011,19.03,0.25
19.23,0.2300000000000004,-0.0300000000000011,19.26,0.2300000000000004
19.52,0.2899999999999991,0.009999999999998,19.51,0.25
,,,19.74,0.2299999999999968
,,,19.98,0.240000000000002
,,,20.22,0.2399999999999984
,,,20.47,0.25
,,,20.71,0.240000000000002
20.96,,0.0,20.96,0.25
,,,21.18,0.2199999999999988
21.42,,-0.0299999999999975,21.45,0.2699999999999996
21.67,0.25,0.0,21.67,0.2200000000000024
21.89,0.2199999999999988,-0.009999999999998,21.9,0.2299999999999968
22.13,0.2399999999999984,0.0199999999999995,22.11,0.2100000000000008
22.4,0.2699999999999996,0.0399999999999991,22.36,0.25
22.63,0.2300000000000004,0.0299999999999975,22.6,0.240000000000002
22.83,0.1999999999999993,-0.0100000000000015,22.84,0.2399999999999984
23.09,0.2600000000000015,0.0599999999999987,23.03,0.1900000000000012
23.29,0.1999999999999993,-0.0300000000000011,23.32,0.2899999999999991
,,,23.55,0.2300000000000004
,,,23.81,0.259999999999998
,,,24.03,0.2200000000000024
24.27,,0.0,24.27,0.2399999999999984
24.54,0.2699999999999996,0.0299999999999975,24.51,0.240000000000002
,,,24.76,0.25
25.01,,0.0200000000000031,24.99,0.2299999999999968
,,,25.24,0.25
,,,25.47,0.2300000000000004
,,,25.73,0.2600000000000015
,,,25.95,0.2199999999999988
26.19,,0.0,26.19,0.240000000000002
26.44,0.25,0.0,26.44,0.25
26.65,0.2099999999999973,-0.0600000000000022,26.71,0.2699999999999996
26.93,0.2800000000000011,0.0199999999999995,26.91,0.1999999999999993
27.17,0.240000000000002,0.0200000000000031,27.15,0.2399999999999984
27.44,0.2699999999999996,0.0300000000000011,27.41,0.2600000000000015
,,,27.65,0.2399999999999984
,,,27.88,0.2300000000000004
28.14,,0.0199999999999995,28.12,0.240000000000002
28.39,0.25,0.0300000000000011,28.36,0.2399999999999984
28.62,0.2300000000000004,0.0100000000000015,28.61,0.25
28.85,0.2300000000000004,0.0100000000000015,28.84,0.2300000000000004
29.1,0.25,0.0200000000000031,29.08,0.2399999999999984
29.29,0.1899999999999977,-0.0199999999999995,29.31,0.2300000000000004
29.59,0.3000000000000007,0.0199999999999995,29.57,0.2600000000000015
29.81,0.2199999999999988,0.009999999999998,29.8,0.2300000000000004
,,,30.04,0.2399999999999984
30.27,,0.0,30.27,0.2300000000000004
30.52,0.25,0.0,30.52,0.25
30.77,0.25,0.009999999999998,30.76,0.240000000000002
31.01,0.240000000000002,0.0200000000000031,30.99,0.2299999999999968
31.21,0.1999999999999993,-0.009999999999998,31.22,0.2300000000000004
31.46,0.25,0.0,31.46,0.240000000000002
,,,31.69,0.2300000000000004
31.96,,0.0300000000000011,31.93,0.2399999999999984
32.16,0.1999999999999957,-0.0100000000000051,32.17,0.240000000000002
32.43,0.2700000000000031,0.009999999999998,32.42,0.25
,,,32.65,0.2299999999999968
32.86,,-0.0300000000000011,32.89,0.240000000000002
,,,33.12,0.2299999999999968
33.34,,-0.009999999999998,33.35,0.2300000000000039
,,,33.57,0.2199999999999988
33.8,,0.0,33.8,0.2299999999999968
34.07,0.2700000000000031,0.0200000000000031,34.05,0.25
34.31,0.240000000000002,0.0100000000000051,34.3,0.25
34.49,0.1799999999999997,0.0,34.49,0.1900000000000048
34.69,0.1999999999999957,-0.0900000000000034,34.78,0.2899999999999991
35.02,0.3300000000000054,0.0200000000000031,35.0,0.2199999999999988
,,,35.23,0.2299999999999968
35.51,,0.0499999999999971,35.46,0.2300000000000039
35.67,0.1600000000000037,-0.0399999999999991,35.71,0.25
,,,35.94,0.2299999999999968
36.2,,0.0100000000000051,36.19,0.25
36.42,0.2199999999999988,0.0100000000000051,36.41,0.2199999999999988
36.67,0.25,0.0,36.67,0.2600000000000051
36.93,0.259999999999998,0.0200000000000031,36.91,0.2399999999999948
37.14,0.2100000000000008,-0.009999999999998,37.15,0.240000000000002
37.37,0.2299999999999968,-0.0100000000000051,37.38,0.2300000000000039
,,,37.61,0.2299999999999968
37.86,,0.009999999999998,37.85,0.240000000000002
38.13,0.2700000000000031,0.0300000000000011,38.1,0.25
38.35,0.2199999999999988,0.0300000000000011,38.32,0.2199999999999988
,,,38.58,0.259999999999998
38.84,,0.0200000000000031,38.82,0.240000000000002
39.12,0.279999999999994,0.0499999999999971,39.07,0.25
39.35,0.2300000000000039,0.0399999999999991,39.31,0.240000000000002
39.61,0.259999999999998,0.0499999999999971,39.56,0.25
39.8,0.1899999999999977,0.0,39.8,0.2399999999999948
40.03,0.2300000000000039,-0.019999999999996,40.05,0.25
40.32,0.2899999999999991,0.0499999999999971,40.27,0.2200000000000059
40.52,0.2000000000000028,0.0,40.52,0.25
40.73,0.2099999999999937,-0.0200000000000031,40.75,0.2299999999999968
,,,41.0,0.25
,,,41.25,0.25
,,,41.48,0.2299999999999968
41.74,,0.0300000000000011,41.71,0.2300000000000039
,,,41.97,0.259999999999998
42.22,,0.0300000000000011,42.19,0.2199999999999988
,,,42.44,0.25
,,,42.69,0.25
42.9,,-0.0300000000000011,42.93,0.240000000000002
,,,43.17,0.240000000000002
,,,43.41,0.2399999999999948
,,,43.64,0.2300000000000039
43.9,,0.0,43.9,0.259999999999998
