Tap Time,ITI,Asynchornies,Tone Time,IOI
0.65,0.42,0.05,0.6,0.41
1.0,0.35,-0.01,1.01,0.41
1.44,0.4399999999999999,0.05,1.39,0.3799999999999999
1.79,0.3500000000000001,-0.01,1.8,0.4100000000000001
2.2,0.4100000000000001,-0.0099999999999997,2.21,0.4099999999999999
2.61,0.4099999999999997,0.0,2.61,0.3999999999999999
3.01,0.3999999999999999,0.0,3.01,0.3999999999999999
3.42,0.4100000000000001,0.0,3.42,0.4100000000000001
3.79,0.3700000000000001,0.0,3.79,0.3700000000000001
4.2,0.4100000000000001,0.0099999999999997,4.19,0.4000000000000003
4.62,0.4199999999999999,0.04,4.58,0.3899999999999997
4.99,0.3700000000000001,0.0,4.99,0.4100000000000001
5.35,0.3599999999999994,-0.0100000000000006,5.36,0.3700000000000001
5.79,0.4400000000000004,0.0099999999999997,5.78,0.4199999999999999
6.22,0.4299999999999997,0.0499999999999998,6.17,0.3899999999999997
,,,6.58,0.4100000000000001
6.98,,0.0,6.98,0.4000000000000003
7.37,0.3899999999999997,-0.0099999999999997,7.38,0.3999999999999994
7.82,0.4500000000000002,0.08,7.74,0.3600000000000003
8.18,0.3599999999999994,0.0199999999999995,8.16,0.4199999999999999
8.54,0.3599999999999994,-0.0100000000000015,8.55,0.3900000000000005
8.95,0.4100000000000001,-0.0100000000000015,8.96,0.4100000000000001
9.34,0.3900000000000005,0.0,9.34,0.379999999999999
9.74,0.4000000000000003,0.0099999999999997,9.73,0.3900000000000005
10.13,0.3900000000000005,-0.0399999999999991,10.17,0.4399999999999995
10.57,0.4399999999999995,0.0500000000000007,10.52,0.3499999999999996
10.94,0.3699999999999992,0.0199999999999995,10.92,0.4000000000000003
11.34,0.4000000000000003,0.0399999999999991,11.3,0.3800000000000008
11.63,0.2900000000000009,-0.0599999999999987,11.69,0.3899999999999988
12.11,0.4799999999999986,0.0399999999999991,12.07,0.3800000000000008
,,,12.47,0.4000000000000003
12.87,,0.0,12.87,0.3999999999999986
13.25,0.3800000000000008,-0.0099999999999997,13.26,0.3900000000000005
13.67,0.4199999999999999,0.0199999999999995,13.65,0.3900000000000005
13.99,0.3200000000000003,-0.0499999999999989,14.04,0.3899999999999988
,,,14.43,0.3900000000000005
14.78,,-0.08,14.86,0.4299999999999997
