Tap Time,ITI,Asynchornies,Tone Time,IOI
0.76,0.5,0.0,0.76,0.49
,,,1.3,0.54
,,,1.82,0.52
2.34,,0.02,2.32,0.4999999999999998
2.83,0.4900000000000002,-0.0099999999999997,2.84,0.52
,,,3.36,0.52
,,,3.9,0.54
4.42,,0.0199999999999995,4.4,0.5000000000000004
4.92,0.5,-0.0300000000000002,4.95,0.5499999999999998
5.48,0.5600000000000005,0.0200000000000004,5.46,0.5099999999999998
6.02,0.5399999999999991,0.0,6.02,0.5599999999999996
6.52,0.5,0.0,6.52,0.5
7.03,0.5100000000000007,0.0200000000000004,7.01,0.4900000000000002
7.54,0.5099999999999998,,,
8.14,0.6000000000000005,0.0899999999999998,8.05,
8.52,0.379999999999999,-0.0500000000000007,8.57,0.5199999999999996
9.08,0.5600000000000005,-0.0299999999999993,9.11,0.5399999999999991
,,,9.62,0.5099999999999998
10.17,,-0.0099999999999997,10.18,0.5600000000000005
10.7,0.5299999999999994,0.0099999999999997,10.69,0.5099999999999998
11.2,0.5,0.0099999999999997,11.19,0.5
11.72,0.5200000000000014,0.0300000000000011,11.69,0.5
12.22,0.5,-0.0099999999999997,12.23,0.5400000000000009
12.77,0.5499999999999989,0.0099999999999997,12.76,0.5299999999999994
13.28,0.5099999999999998,-0.0099999999999997,13.29,0.5299999999999994
13.81,0.5300000000000011,-0.0199999999999995,13.83,0.5400000000000009
14.31,0.5,-0.0099999999999997,14.32,0.4900000000000002
14.79,0.4799999999999986,-0.0500000000000007,14.84,0.5199999999999996
15.32,0.5300000000000011,-0.0099999999999997,15.33,0.4900000000000002
15.82,0.5,-0.0199999999999995,15.84,0.5099999999999998
16.35,0.5300000000000011,-0.0199999999999995,16.37,0.5300000000000011
16.9,0.5499999999999972,0.0,16.9,0.5299999999999976
17.37,0.4700000000000024,-0.0599999999999987,17.43,0.5300000000000011
17.89,0.5199999999999996,-0.0399999999999991,17.93,0.5
18.39,0.5,-0.0599999999999987,18.45,0.5199999999999996
18.92,0.5300000000000011,-0.0399999999999991,18.96,0.5100000000000016
19.43,0.509999999999998,-0.0199999999999995,19.45,0.4899999999999984
19.93,0.5,-0.0199999999999995,19.95,0.5
20.44,0.5100000000000016,-0.0499999999999971,20.49,0.5399999999999991
20.94,0.5,-0.0499999999999971,20.99,0.5
21.47,0.5299999999999976,-0.0100000000000015,21.48,0.490000000000002
21.99,0.5199999999999996,0.0,21.99,0.509999999999998
22.5,0.5100000000000016,0.0100000000000015,22.49,0.5
23.0,0.5,-0.0199999999999995,23.02,0.5300000000000011
23.5,0.5,0.0,23.5,0.4800000000000004
23.99,0.4899999999999984,-0.0100000000000015,24.0,0.5
24.53,0.5400000000000027,0.0199999999999995,24.51,0.5100000000000016
,,,25.02,0.509999999999998
,,,25.52,0.5
26.08,,0.0199999999999995,26.06,0.5399999999999991
26.6,0.5200000000000031,-0.009999999999998,26.61,0.5500000000000007
27.12,0.5199999999999996,-0.009999999999998,27.13,0.5199999999999996
27.64,0.5199999999999996,-0.009999999999998,27.65,0.5199999999999996
28.14,0.5,-0.0199999999999995,28.16,0.5100000000000016
28.59,0.4499999999999993,-0.0599999999999987,28.65,0.4899999999999984
,,,29.15,0.5
29.65,,0.0,29.65,0.5
30.14,0.490000000000002,-0.009999999999998,30.15,0.5
30.67,0.5300000000000011,-0.009999999999998,30.68,0.5300000000000011
31.17,0.5,-0.0299999999999975,31.2,0.5199999999999996
31.67,0.5,-0.0199999999999995,31.69,0.490000000000002
32.2,0.5300000000000011,0.0100000000000051,32.19,0.4999999999999964
32.68,0.4799999999999969,-0.0399999999999991,32.72,0.5300000000000011
33.2,0.5200000000000031,-0.019999999999996,33.22,0.5
33.71,0.509999999999998,-0.009999999999998,33.72,0.5
34.19,0.4799999999999969,-0.0500000000000042,34.24,0.5200000000000031
34.73,0.5399999999999991,-0.0300000000000011,34.76,0.519999999999996
35.21,0.480000000000004,-0.0600000000000022,35.27,0.5100000000000051
35.74,0.5300000000000011,-0.0499999999999971,35.79,0.519999999999996
,,,36.27,0.480000000000004
36.83,,0.009999999999998,36.82,0.5499999999999972
37.37,0.5399999999999991,0.029999999999994,37.34,0.5200000000000031
37.84,0.4700000000000059,-0.009999999999998,37.85,0.509999999999998
,,,38.37,0.519999999999996
38.86,,-0.0200000000000031,38.88,0.5100000000000051
39.39,0.5300000000000011,-0.009999999999998,39.4,0.519999999999996
39.88,0.490000000000002,-0.019999999999996,39.9,0.5
40.36,0.4799999999999969,-0.0399999999999991,40.4,0.5
40.92,0.5600000000000023,-0.009999999999998,40.93,0.5300000000000011
41.43,0.509999999999998,0.0,41.43,0.5
41.93,0.5,-0.009999999999998,41.94,0.509999999999998
42.43,0.5,-0.0300000000000011,42.46,0.5200000000000031
42.95,0.5200000000000031,-0.009999999999998,42.96,0.5
43.44,0.4899999999999949,-0.0399999999999991,43.48,0.519999999999996
43.94,0.5,0.019999999999996,43.92,0.4400000000000048
44.44,0.5,-0.0200000000000031,44.46,0.5399999999999991
44.94,0.5,-0.0600000000000022,45.0,0.5399999999999991
45.44,0.5,-0.0700000000000002,45.51,0.509999999999998
45.95,0.5100000000000051,-0.0700000000000002,46.02,0.5100000000000051
46.45,0.5,-0.019999999999996,46.47,0.4499999999999957
46.93,0.4799999999999969,-0.0700000000000002,47.0,0.5300000000000011
47.46,0.5300000000000011,-0.0399999999999991,47.5,0.5
,,,47.97,0.4699999999999988
48.53,,0.0300000000000011,48.5,0.5300000000000011
49.02,0.490000000000002,0.0,49.02,0.5200000000000031
49.54,0.519999999999996,-0.0200000000000031,49.56,0.5399999999999991
50.16,0.6199999999999974,0.0899999999999963,50.07,0.509999999999998
,,,50.56,0.490000000000002
51.03,,-0.0300000000000011,51.06,0.5
51.56,0.5300000000000011,-0.009999999999998,51.57,0.509999999999998
52.07,0.509999999999998,-0.009999999999998,52.08,0.509999999999998
52.56,0.490000000000002,-0.0399999999999991,52.6,0.5200000000000031
53.07,0.509999999999998,-0.0200000000000031,53.09,0.490000000000002
53.64,0.5700000000000003,0.0300000000000011,53.61,0.519999999999996
54.2,0.5600000000000023,0.0700000000000002,54.13,0.5200000000000031
54.65,0.4499999999999957,0.009999999999998,54.64,0.509999999999998
55.15,0.5,0.019999999999996,55.13,0.490000000000002
55.65,0.5,0.019999999999996,55.63,0.5
56.14,0.490000000000002,0.0,56.14,0.509999999999998
56.65,0.509999999999998,0.009999999999998,56.64,0.5
57.17,0.5200000000000031,,,
57.68,0.509999999999998,0.0,57.68,
58.19,0.509999999999998,-0.0300000000000011,58.22,0.5399999999999991
58.69,0.5,-0.0300000000000011,58.72,0.5
59.2,0.5100000000000051,-0.009999999999998,59.21,0.490000000000002
59.7,0.5,-0.009999999999998,59.71,0.5
60.24,0.5399999999999991,0.0100000000000051,60.23,0.519999999999996
60.73,0.4899999999999949,-0.0100000000000051,60.74,0.5100000000000051
61.24,0.5100000000000051,-0.009999999999998,61.25,0.509999999999998
61.74,0.5,-0.019999999999996,61.76,0.509999999999998
62.25,0.509999999999998,-0.0399999999999991,62.29,0.5300000000000011
,,,62.79,0.5
63.26,,-0.0100000000000051,63.27,0.480000000000004
63.8,0.5399999999999991,0.0,63.8,0.529999999999994
64.32,0.519999999999996,0.0,64.32,0.519999999999996
64.9,0.5800000000000125,0.0700000000000073,64.83,0.5100000000000051
65.4,0.5,0.0300000000000011,65.37,0.5400000000000063
,,,65.9,0.5300000000000011
66.36,,-0.0400000000000062,66.4,0.5
66.96,0.5999999999999943,0.0499999999999971,66.91,0.5099999999999909
67.45,0.4900000000000091,0.0100000000000051,67.44,0.5300000000000011
68.0,0.5499999999999972,0.0600000000000022,67.94,0.5
68.5,0.5,0.0400000000000062,68.46,0.519999999999996
69.03,0.5300000000000011,0.0499999999999971,68.98,0.5200000000000102
69.53,0.5,0.019999999999996,69.51,0.5300000000000011
,,,70.03,0.519999999999996
70.55,,0.0,70.55,0.519999999999996
71.06,0.5100000000000051,-0.0099999999999909,71.07,0.519999999999996
71.58,0.519999999999996,-0.019999999999996,71.6,0.5300000000000011
72.07,0.4899999999999949,-0.0200000000000102,72.09,0.4900000000000091
72.61,0.5400000000000063,0.0,72.61,0.519999999999996
73.09,0.480000000000004,-0.039999999999992,73.13,0.519999999999996
73.62,0.5300000000000011,-0.0099999999999909,73.63,0.5
74.13,0.5099999999999909,-0.0300000000000011,74.16,0.5300000000000011
74.77,0.6400000000000006,0.0799999999999983,74.69,0.5300000000000011
75.17,0.4000000000000057,0.0,75.17,0.480000000000004
75.68,0.5100000000000051,-0.039999999999992,75.72,0.5499999999999972
76.19,0.5099999999999909,-0.0600000000000022,76.25,0.5300000000000011
76.69,0.5,,,
77.14,0.4500000000000028,-0.1200000000000045,77.26,
77.73,0.5900000000000034,-0.0300000000000011,77.76,0.5
78.26,0.5300000000000011,-0.0099999999999909,78.27,0.5099999999999909
78.78,0.519999999999996,-0.019999999999996,78.8,0.5300000000000011
