Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.38,
0.8,,0.01,0.79,0.41
1.21,0.4099999999999999,0.04,1.17,0.3799999999999999
1.65,0.4399999999999999,0.0599999999999998,1.59,0.4200000000000001
2.01,0.3599999999999999,0.0099999999999997,2.0,0.4099999999999999
2.41,0.4000000000000003,0.02,2.39,0.3900000000000001
2.86,0.4499999999999997,0.0899999999999998,2.77,0.3799999999999999
3.2,0.3400000000000003,0.0100000000000002,3.19,0.4199999999999999
3.6,0.3999999999999999,0.02,3.58,0.3900000000000001
,,,3.99,0.4100000000000001
4.42,,0.0499999999999998,4.37,0.3799999999999999
4.82,0.4000000000000003,0.04,4.78,0.4100000000000001
5.22,0.3999999999999994,0.0499999999999998,5.17,0.3899999999999997
,,,5.58,0.4100000000000001
5.98,,0.0,5.98,0.4000000000000003
6.41,0.4299999999999997,0.04,6.37,0.3899999999999997
6.81,0.3999999999999994,0.04,6.77,0.3999999999999994
7.13,0.3200000000000003,-0.0300000000000002,7.16,0.3900000000000005
7.54,0.4100000000000001,-0.0099999999999997,7.55,0.3899999999999997
8.0,0.4599999999999999,0.04,7.96,0.4100000000000001
8.38,0.3800000000000008,0.0300000000000011,8.35,0.3899999999999997
8.78,0.3999999999999986,0.0399999999999991,8.74,0.3900000000000005
9.16,0.3800000000000008,0.0299999999999993,9.13,0.3900000000000005
9.49,0.33,-0.0299999999999993,9.52,0.3899999999999988
9.96,0.4700000000000006,0.0400000000000009,9.92,0.4000000000000003
10.34,0.379999999999999,0.0199999999999995,10.32,0.4000000000000003
10.76,0.4199999999999999,0.0600000000000005,10.7,0.379999999999999
11.16,0.4000000000000003,0.0600000000000005,11.1,0.4000000000000003
11.45,0.2899999999999991,-0.0400000000000009,11.49,0.3900000000000005
11.86,0.4100000000000001,-0.0200000000000013,11.88,0.3900000000000005
12.23,0.370000000000001,-0.0399999999999991,12.27,0.3899999999999988
12.72,0.4900000000000002,0.0500000000000007,12.67,0.4000000000000003
13.02,0.2999999999999989,-0.0400000000000009,13.06,0.3900000000000005
13.42,0.4000000000000003,-0.0299999999999993,13.45,0.3899999999999988
13.87,0.4499999999999993,0.0299999999999993,13.84,0.3900000000000005
14.24,0.370000000000001,0.0299999999999993,14.21,0.370000000000001
14.64,0.4000000000000003,0.0300000000000011,14.61,0.3999999999999986
15.04,0.3999999999999986,0.0399999999999991,15.0,0.3900000000000005
15.44,0.4000000000000003,0.0499999999999989,15.39,0.3900000000000005
15.8,0.3600000000000012,0.0200000000000013,15.78,0.3899999999999988
16.24,0.4399999999999977,0.0599999999999987,16.18,0.4000000000000003
,,,16.58,0.3999999999999986
16.99,,0.0,16.99,0.4100000000000001
,,,17.37,0.3800000000000025
,,,17.76,0.3900000000000005
18.22,,0.0700000000000002,18.15,0.389999999999997
18.57,0.3500000000000014,0.0300000000000011,18.54,0.3900000000000005
18.96,0.3900000000000005,0.0399999999999991,18.92,0.3800000000000025
19.29,0.3299999999999983,-0.0399999999999991,19.33,0.4099999999999966
19.76,0.4700000000000024,0.0600000000000022,19.7,0.370000000000001
20.05,0.2899999999999991,-0.0399999999999991,20.09,0.3900000000000005
20.44,0.3900000000000005,-0.0299999999999975,20.47,0.379999999999999
20.85,0.4100000000000001,-0.0199999999999995,20.87,0.4000000000000021
21.24,0.389999999999997,-0.0200000000000031,21.26,0.3900000000000005
21.63,0.3900000000000005,-0.0199999999999995,21.65,0.389999999999997
22.09,0.4600000000000008,0.0500000000000007,22.04,0.3900000000000005
22.49,0.3999999999999986,0.0699999999999967,22.42,0.3800000000000025
22.86,0.370000000000001,0.0399999999999991,22.82,0.3999999999999986
,,,23.21,0.3900000000000005
23.63,,0.0199999999999995,23.61,0.3999999999999986
24.03,0.4000000000000021,0.0400000000000027,23.99,0.379999999999999
24.45,0.4199999999999981,0.0599999999999987,24.39,0.4000000000000021
24.82,0.370000000000001,0.0399999999999991,24.78,0.3900000000000005
25.22,0.3999999999999986,0.0399999999999991,25.18,0.3999999999999986
25.61,0.3900000000000005,0.0500000000000007,25.56,0.379999999999999
25.95,0.3399999999999998,-0.0100000000000015,25.96,0.4000000000000021
26.37,0.4200000000000017,0.0199999999999995,26.35,0.3900000000000005
26.79,0.4199999999999981,0.0299999999999975,26.76,0.4100000000000001
27.2,0.4100000000000001,0.0399999999999991,27.16,0.3999999999999986
27.59,0.3900000000000005,0.0399999999999991,27.55,0.3900000000000005
27.98,0.3900000000000005,0.0300000000000011,27.95,0.3999999999999986
,,,28.35,0.4000000000000021
28.79,,0.0399999999999991,28.75,0.3999999999999986
29.17,0.3800000000000025,0.0400000000000027,29.13,0.379999999999999
29.56,0.389999999999997,0.0399999999999991,29.52,0.3900000000000005
29.97,0.4100000000000001,0.0399999999999991,29.93,0.4100000000000001
30.36,0.3900000000000005,0.0399999999999991,30.32,0.3900000000000005
30.74,0.379999999999999,0.0,30.74,0.4199999999999981
31.12,0.3800000000000025,0.0100000000000015,31.11,0.370000000000001
,,,31.5,0.3900000000000005
31.94,,0.0700000000000002,31.87,0.370000000000001
32.35,0.4100000000000001,0.0700000000000002,32.28,0.4100000000000001
32.73,0.3799999999999954,0.0799999999999983,32.65,0.3699999999999974
33.12,0.3900000000000005,0.0899999999999963,33.03,0.3800000000000025
33.49,0.3700000000000045,0.0700000000000002,33.42,0.3900000000000005
33.87,0.3799999999999954,0.0599999999999951,33.81,0.3900000000000005
34.25,0.3800000000000025,0.0399999999999991,34.21,0.3999999999999986
34.65,0.3999999999999986,0.0599999999999951,34.59,0.3800000000000025
,,,34.98,0.3899999999999934
35.41,,0.0399999999999991,35.37,0.3900000000000005
35.81,0.4000000000000057,0.0399999999999991,35.77,0.4000000000000057
36.19,0.3799999999999954,0.019999999999996,36.17,0.3999999999999986
,,,36.57,0.3999999999999986
36.96,,,,
37.38,0.4200000000000017,0.0200000000000031,37.36,
,,,37.73,0.3699999999999974
38.16,,0.0399999999999991,38.12,0.3900000000000005
38.56,0.4000000000000057,0.0500000000000042,38.51,0.3900000000000005
38.98,0.4199999999999946,0.0599999999999951,38.92,0.4100000000000037
39.37,0.3900000000000005,0.0700000000000002,39.3,0.3799999999999954
39.78,0.4100000000000037,0.0700000000000002,39.71,0.4100000000000037
40.1,0.3200000000000003,0.009999999999998,40.09,0.3800000000000025
40.48,0.3799999999999954,0.0,40.48,0.3899999999999934
,,,40.89,0.4100000000000037
41.31,,0.0300000000000011,41.28,0.3900000000000005
41.64,0.3299999999999983,-0.0399999999999991,41.68,0.3999999999999986
42.07,0.4299999999999997,0.0,42.07,0.3900000000000005
42.39,0.3200000000000003,-0.0799999999999983,42.47,0.3999999999999986
42.81,0.4200000000000017,-0.019999999999996,42.83,0.3599999999999994
43.21,0.3999999999999986,0.0,43.21,0.3800000000000025
,,,43.6,0.3900000000000005
44.01,,0.0399999999999991,43.97,0.3699999999999974
44.4,0.3900000000000005,0.0300000000000011,44.37,0.3999999999999986
44.79,0.3900000000000005,0.0399999999999991,44.75,0.3800000000000025
45.19,0.3999999999999986,0.0399999999999991,45.15,0.3999999999999986
45.6,0.4100000000000037,0.0500000000000042,45.55,0.3999999999999986
45.98,0.3799999999999954,0.0499999999999971,45.93,0.3800000000000025
46.35,0.3700000000000045,0.0300000000000011,46.32,0.3900000000000005
46.75,0.3999999999999986,0.0300000000000011,46.72,0.3999999999999986
47.12,0.3699999999999974,0.019999999999996,47.1,0.3800000000000025
47.46,0.3400000000000034,-0.019999999999996,47.48,0.3799999999999954
47.93,0.4699999999999988,0.0499999999999971,47.88,0.4000000000000057
48.31,0.3800000000000025,0.0399999999999991,48.27,0.3900000000000005
48.68,0.3699999999999974,0.0300000000000011,48.65,0.3799999999999954
49.05,0.3699999999999974,-0.0100000000000051,49.06,0.4100000000000037
,,,49.46,0.3999999999999986
,,,49.87,0.4099999999999966
,,,50.24,0.3700000000000045
50.66,,0.0399999999999991,50.62,0.3799999999999954
51.1,0.4400000000000048,0.0700000000000002,51.03,0.4100000000000037
,,,51.44,0.4099999999999966
51.88,,0.0300000000000011,51.85,0.4100000000000037
,,,52.23,0.3799999999999954
52.66,,0.019999999999996,52.64,0.4100000000000037
,,,53.03,0.3900000000000005
53.46,,0.0200000000000031,53.44,0.4099999999999966
,,,53.81,0.3700000000000045
54.29,,0.0799999999999983,54.21,0.3999999999999986
54.57,0.2800000000000011,-0.0399999999999991,54.61,0.3999999999999986
55.06,0.490000000000002,0.0600000000000022,55.0,0.3900000000000005
55.37,0.3099999999999951,-0.0300000000000011,55.4,0.3999999999999986
55.75,0.3800000000000025,-0.0499999999999971,55.8,0.3999999999999986
56.14,0.3900000000000005,-0.0399999999999991,56.18,0.3800000000000025
56.63,0.490000000000002,0.0600000000000022,56.57,0.3900000000000005
,,,56.96,0.3900000000000005
57.39,,0.0399999999999991,57.35,0.3900000000000005
57.75,0.3599999999999994,0.009999999999998,57.74,0.3900000000000005
58.21,0.4600000000000008,0.0600000000000022,58.15,0.4099999999999966
58.6,0.3900000000000005,0.0600000000000022,58.54,0.3900000000000005
58.99,0.3900000000000005,0.0500000000000042,58.94,0.3999999999999986
59.37,0.3799999999999954,0.029999999999994,59.34,0.4000000000000057
59.78,0.4100000000000037,0.0399999999999991,59.74,0.3999999999999986
60.16,0.3799999999999954,0.029999999999994,60.13,0.3900000000000005
60.55,0.3900000000000005,0.019999999999996,60.53,0.3999999999999986
60.94,0.3900000000000005,0.0300000000000011,60.91,0.3799999999999954
,,,61.3,0.3900000000000005
61.72,,0.019999999999996,61.7,0.4000000000000057
62.13,0.4100000000000037,0.0200000000000031,62.11,0.4099999999999966
62.55,0.4199999999999946,0.0700000000000002,62.48,0.3699999999999974
62.92,0.3700000000000045,0.0500000000000042,62.87,0.3900000000000005
63.27,0.3500000000000014,-0.019999999999996,63.29,0.4200000000000017
63.67,0.3999999999999986,0.0,63.67,0.3800000000000025
,,,64.07,0.3999999999999915
64.45,,0.0,64.45,0.3800000000000096
64.91,0.4599999999999937,0.0699999999999931,64.84,0.3900000000000005
65.29,0.3800000000000096,0.0600000000000022,65.23,0.3900000000000005
65.68,0.3900000000000005,0.0700000000000073,65.61,0.3799999999999954
66.05,0.3699999999999903,0.0600000000000022,65.99,0.3799999999999954
,,,66.39,0.4000000000000057
66.83,,0.0600000000000022,66.77,0.3799999999999954
67.2,0.3700000000000045,0.0300000000000011,67.17,0.4000000000000057
67.62,0.4200000000000017,0.0500000000000113,67.57,0.3999999999999915
68.0,0.3799999999999954,0.0499999999999971,67.95,0.3800000000000096
68.4,0.4000000000000057,0.0700000000000073,68.33,0.3799999999999954
68.76,0.3599999999999994,0.0300000000000011,68.73,0.4000000000000057
69.17,0.4099999999999966,0.0499999999999971,69.12,0.3900000000000005
69.55,0.3799999999999954,0.039999999999992,69.51,0.3900000000000005
69.93,0.3800000000000096,0.0300000000000011,69.9,0.3900000000000005
70.36,0.4299999999999926,0.0600000000000022,70.3,0.3999999999999915
70.72,0.3599999999999994,0.019999999999996,70.7,0.4000000000000057
71.13,0.4099999999999966,0.0300000000000011,71.1,0.3999999999999915
,,,71.48,0.3800000000000096
,,,71.88,0.3999999999999915
72.34,,0.0499999999999971,72.29,0.4100000000000108
,,,72.68,0.3900000000000005
73.12,,0.0500000000000113,73.07,0.3899999999999863
73.5,0.3799999999999954,0.0400000000000062,73.46,0.3900000000000005
,,,73.85,0.3900000000000005
74.28,,0.019999999999996,74.26,0.4100000000000108
74.69,0.4099999999999966,0.019999999999996,74.67,0.4099999999999966
,,,75.05,0.3799999999999954
75.49,,0.0499999999999971,75.44,0.3900000000000005
75.88,0.3900000000000005,0.039999999999992,75.84,0.4000000000000057
76.3,0.4200000000000017,0.0499999999999971,76.25,0.4099999999999966
76.69,0.3900000000000005,0.039999999999992,76.65,0.4000000000000057
77.09,0.4000000000000057,0.0400000000000062,77.05,0.3999999999999915
77.48,0.3900000000000005,0.0300000000000011,77.45,0.4000000000000057
77.87,0.3900000000000005,0.0300000000000011,77.84,0.3900000000000005
78.31,0.4399999999999977,0.0700000000000073,78.24,0.3999999999999915
78.7,0.3900000000000005,0.0400000000000062,78.66,0.4200000000000017
79.15,0.4500000000000028,0.0900000000000034,79.06,0.4000000000000057
79.48,0.3299999999999983,0.0300000000000011,79.45,0.3900000000000005
79.87,0.3900000000000005,0.0200000000000102,79.85,0.3999999999999915
,,,80.24,0.3900000000000005
80.65,,0.0200000000000102,80.63,0.3900000000000005
81.07,0.4199999999999875,0.039999999999992,81.03,0.4000000000000057
81.46,0.3900000000000005,0.0299999999999869,81.43,0.4000000000000057
81.85,0.3900000000000005,0.019999999999996,81.83,0.3999999999999915
82.26,0.4100000000000108,0.0400000000000062,82.22,0.3900000000000005
82.65,0.3900000000000005,0.0300000000000011,82.62,0.4000000000000057
83.04,0.3900000000000005,0.0200000000000102,83.02,0.3999999999999915
83.46,0.4199999999999875,0.0499999999999971,83.41,0.3900000000000005
83.85,0.3900000000000005,0.059999999999988,83.79,0.3800000000000096
84.25,0.4000000000000057,0.0600000000000022,84.19,0.3999999999999915
84.66,0.4099999999999966,0.0600000000000022,84.6,0.4099999999999966
85.03,0.3700000000000045,0.0499999999999971,84.98,0.3800000000000096
,,,85.39,0.4099999999999966
85.82,,0.039999999999992,85.78,0.3900000000000005
86.2,0.3800000000000096,0.0400000000000062,86.16,0.3799999999999954
86.59,0.3900000000000005,0.0300000000000011,86.56,0.4000000000000057
,,,86.95,0.3900000000000005
87.37,,0.0100000000000051,87.36,0.4099999999999966
87.78,0.4099999999999966,0.019999999999996,87.76,0.4000000000000057
,,,88.16,0.3999999999999915
,,,,
,,,88.93,
,,,,
,,,89.74,
90.17,,0.0600000000000022,90.11,0.3700000000000045
90.57,0.3999999999999915,0.0499999999999971,90.52,0.4099999999999966
90.93,0.3600000000000136,0.0200000000000102,90.91,0.3900000000000005
,,,91.31,0.4000000000000057
,,,91.69,0.3799999999999954
92.11,,0.019999999999996,92.09,0.4000000000000057
,,,92.47,0.3799999999999954
92.84,,0.0,92.84,0.3700000000000045
93.26,0.4200000000000017,0.0300000000000011,93.23,0.3900000000000005
,,,93.64,0.4099999999999966
,,,94.01,0.3700000000000045
,,,94.38,0.3699999999999903
,,,94.78,0.4000000000000057
,,,95.17,0.3900000000000005
,,,95.56,0.3900000000000005
,,,95.96,0.3999999999999915
96.44,,,,
96.76,0.3200000000000074,,,
97.13,0.3699999999999903,0.0099999999999909,97.12,
97.54,0.4100000000000108,0.0300000000000011,97.51,0.3900000000000005
,,,97.89,0.3799999999999954
98.33,,,,
98.72,0.3900000000000005,,,
99.13,0.4099999999999966,0.0499999999999971,99.08,
99.5,0.3700000000000045,,,
,,,99.83,
100.27,,0.019999999999996,100.25,0.4200000000000017
100.65,0.3800000000000096,-0.0099999999999909,100.66,0.4099999999999966
101.05,0.3999999999999915,0.0,101.05,0.3900000000000005
,,,101.46,0.4099999999999966
101.8,,,,
102.19,0.3900000000000005,-0.019999999999996,102.21,
,,,102.58,0.3700000000000045
103.0,,0.0,103.0,0.4200000000000017
103.41,0.4099999999999966,0.019999999999996,103.39,0.3900000000000005
,,,103.78,0.3900000000000005
,,,104.15,0.3700000000000045
104.56,,0.019999999999996,104.54,0.3900000000000005
104.94,0.3799999999999954,0.0,104.94,0.3999999999999915
105.34,0.4000000000000057,0.0,105.34,0.4000000000000057
105.74,0.3999999999999915,-0.0200000000000102,105.76,0.4200000000000017
106.13,0.3900000000000005,,,
106.55,0.4200000000000017,,,
106.96,0.4099999999999966,0.0299999999999869,106.93,
,,,107.31,0.3799999999999954
107.72,,0.0,107.72,0.4099999999999966
108.13,0.4099999999999966,0.019999999999996,108.11,0.3900000000000005
108.49,0.3599999999999994,0.0,108.49,0.3799999999999954
108.93,0.4400000000000119,0.0200000000000102,108.91,0.4200000000000017
109.33,0.3999999999999915,0.0300000000000011,109.3,0.3900000000000005
,,,109.71,0.4099999999999966
110.14,,0.0400000000000062,110.1,0.3900000000000005
,,,110.52,0.4200000000000017
110.91,,0.0,110.91,0.3900000000000005
111.32,0.4099999999999966,0.0099999999999909,111.31,0.4000000000000057
111.74,0.4200000000000017,0.039999999999992,111.7,0.3900000000000005
112.15,0.4100000000000108,0.0400000000000062,112.11,0.4099999999999966
112.52,0.3699999999999903,0.0300000000000011,112.49,0.3799999999999954
,,,112.88,0.3900000000000005
113.32,,0.059999999999988,113.26,0.3800000000000096
113.71,0.3900000000000005,0.039999999999992,113.67,0.4099999999999966
114.07,0.3599999999999994,,,
,,,114.46,
114.85,,0.0099999999999909,114.84,0.3800000000000096
,,,115.25,0.4099999999999966
115.66,,0.0300000000000011,115.63,0.3799999999999954
,,,116.04,0.4100000000000108
116.45,,0.0300000000000011,116.42,0.3799999999999954
116.89,0.4399999999999977,0.0799999999999983,116.81,0.3900000000000005
117.23,0.3400000000000034,0.0200000000000102,117.21,0.3999999999999915
117.62,0.3900000000000005,0.0200000000000102,117.6,0.3900000000000005
