Tap Time,ITI,Asynchornies,Tone Time,IOI
0.52,0.3,0.03,0.49,0.3399999999999999
0.83,0.3099999999999999,0.0299999999999999,0.8,0.31
1.15,0.3199999999999999,0.0299999999999998,1.12,0.32
1.49,0.3400000000000001,0.03,1.46,0.3399999999999998
,,,1.78,0.32
2.08,,-0.0099999999999997,2.09,0.3099999999999998
,,,2.39,0.3000000000000002
2.74,,0.0300000000000002,2.71,0.3199999999999998
3.1,0.3599999999999999,0.06,3.04,0.33
3.39,0.29,0.02,3.37,0.33
3.69,0.2999999999999998,0.0099999999999997,3.68,0.31
4.02,0.3299999999999996,0.0199999999999995,4.0,0.3199999999999998
4.36,0.3400000000000007,0.04,4.32,0.3200000000000003
,,,4.62,0.2999999999999998
4.94,,0.0,4.94,0.3200000000000003
5.3,0.3599999999999994,0.0300000000000002,5.27,0.3299999999999992
,,,5.59,0.3200000000000003
5.91,,0.0,5.91,0.3200000000000003
6.24,0.33,0.0,6.24,0.33
6.54,0.2999999999999998,-0.0099999999999997,6.55,0.3099999999999996
6.85,0.3099999999999996,-0.0100000000000006,6.86,0.3100000000000005
7.18,0.33,0.0099999999999997,7.17,0.3099999999999996
7.53,0.3500000000000005,0.04,7.49,0.3200000000000003
7.87,0.3399999999999998,0.04,7.83,0.3399999999999998
8.2,0.3299999999999992,0.08,8.12,0.2899999999999991
8.52,0.3200000000000003,0.08,8.44,0.3200000000000003
8.83,0.3100000000000005,0.0700000000000002,8.76,0.3200000000000003
9.13,0.3000000000000007,0.0500000000000007,9.08,0.3200000000000003
9.48,0.3499999999999996,0.08,9.4,0.3200000000000003
9.78,0.2999999999999989,0.0499999999999989,9.73,0.33
10.1,0.3200000000000003,,,
10.39,0.2900000000000009,0.0099999999999997,10.38,
10.73,0.3399999999999998,0.0400000000000009,10.69,0.3099999999999987
11.05,0.3200000000000003,0.0200000000000013,11.03,0.3399999999999998
11.38,0.33,0.0500000000000007,11.33,0.3000000000000007
11.68,0.2999999999999989,0.0199999999999995,11.66,0.33
12.0,0.3200000000000003,0.0199999999999995,11.98,0.3200000000000003
12.36,0.3599999999999994,0.08,12.28,0.2999999999999989
12.62,0.2599999999999998,0.0,12.62,0.3399999999999998
13.0,0.3800000000000008,0.08,12.92,0.3000000000000007
13.28,0.2799999999999993,0.0299999999999993,13.25,0.33
13.59,0.3100000000000005,0.0,13.59,0.3399999999999998
13.92,0.33,,,
14.23,0.3100000000000005,0.0199999999999995,14.21,
14.55,0.3200000000000003,0.0300000000000011,14.52,0.3099999999999987
14.92,0.3699999999999992,0.0700000000000002,14.85,0.33
15.2,0.2799999999999993,0.0299999999999993,15.17,0.3200000000000003
15.5,0.3000000000000007,0.0,15.5,0.33
,,,15.83,0.33
16.2,,0.0700000000000002,16.13,0.2999999999999989
16.47,0.2699999999999996,0.0299999999999975,16.44,0.3100000000000023
16.76,0.2900000000000027,-0.009999999999998,16.77,0.3299999999999983
,,,17.05,0.2800000000000011
17.39,,-0.009999999999998,17.4,0.3499999999999978
17.76,0.370000000000001,0.0500000000000007,17.71,0.3100000000000023
18.08,0.3199999999999967,0.0499999999999971,18.03,0.3200000000000003
18.36,0.2800000000000011,0.009999999999998,18.35,0.3200000000000003
18.7,0.3399999999999998,0.0199999999999995,18.68,0.3299999999999983
19.02,0.3200000000000003,0.0399999999999991,18.98,0.3000000000000007
19.31,0.2899999999999991,0.009999999999998,19.3,0.3200000000000003
,,,19.61,0.3099999999999987
19.93,,0.0,19.93,0.3200000000000003
20.3,0.370000000000001,0.0500000000000007,20.25,0.3200000000000003
20.59,0.2899999999999991,0.0199999999999995,20.57,0.3200000000000003
20.93,0.3399999999999998,0.0500000000000007,20.88,0.3099999999999987
21.26,0.3300000000000018,0.0600000000000022,21.2,0.3200000000000003
,,,21.5,0.3000000000000007
21.82,,-0.009999999999998,21.83,0.3299999999999983
