Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.39,0.24
0.66,,0.01,0.65,0.26
0.93,0.27,0.0,0.93,0.28
1.17,0.2399999999999998,0.0,1.17,0.2399999999999998
1.45,0.28,0.02,1.43,0.26
1.69,0.24,0.01,1.68,0.25
1.97,0.28,0.0,1.97,0.29
,,,2.18,0.2100000000000002
,,,2.45,0.27
2.71,,0.0,2.71,0.2599999999999998
2.99,0.2800000000000002,0.0300000000000002,2.96,0.25
3.24,0.25,0.02,3.22,0.2600000000000002
3.49,0.25,0.0,3.49,0.27
3.75,0.2599999999999998,0.02,3.73,0.2399999999999997
4.01,0.2599999999999998,0.0199999999999995,3.99,0.2600000000000002
4.28,0.2700000000000004,0.04,4.24,0.25
4.5,0.2199999999999997,0.0099999999999997,4.49,0.25
4.76,0.2599999999999998,0.0199999999999995,4.74,0.25
5.02,0.2599999999999998,0.0099999999999997,5.01,0.2699999999999996
5.27,0.25,0.0,5.27,0.2599999999999998
5.53,0.2600000000000007,0.0,5.53,0.2600000000000007
5.78,0.25,0.0100000000000006,5.77,0.2399999999999993
6.03,0.25,0.0,6.03,0.2600000000000007
6.28,0.25,0.0200000000000004,6.26,0.2299999999999995
6.54,0.2599999999999998,0.0300000000000002,6.51,0.25
6.79,0.25,0.0200000000000004,6.77,0.2599999999999998
7.07,0.2800000000000002,0.0500000000000007,7.02,0.25
7.29,0.2199999999999997,0.0200000000000004,7.27,0.25
7.56,0.2699999999999996,0.0199999999999995,7.54,0.2700000000000004
7.79,0.2300000000000004,0.0,7.79,0.25
8.04,0.2499999999999991,0.0099999999999997,8.03,0.2399999999999993
8.29,0.25,0.0,8.29,0.2599999999999998
8.56,0.2700000000000013,0.0300000000000011,8.53,0.2400000000000002
8.79,0.2299999999999986,0.0099999999999997,8.78,0.25
9.04,0.25,0.0,9.04,0.2599999999999998
9.3,0.2600000000000015,0.0,9.3,0.2600000000000015
9.56,0.2599999999999998,0.0200000000000013,9.54,0.2399999999999984
9.83,0.2699999999999996,0.0600000000000005,9.77,0.2300000000000004
10.07,0.2400000000000002,0.0400000000000009,10.03,0.2599999999999998
10.32,0.25,0.0300000000000011,10.29,0.2599999999999998
10.55,0.2300000000000004,0.0,10.55,0.2600000000000015
10.8,0.25,0.0,10.8,0.25
11.05,0.25,0.0,11.05,0.25
11.3,0.25,0.0100000000000015,11.29,0.2399999999999984
11.58,0.2799999999999993,0.0500000000000007,11.53,0.2400000000000002
11.8,0.2200000000000006,0.0100000000000015,11.79,0.2599999999999998
12.05,0.25,0.0,12.05,0.2600000000000015
,,,12.3,0.25
12.55,,0.0,12.55,0.25
12.8,0.25,0.0100000000000015,12.79,0.2399999999999984
13.05,0.25,0.0,13.05,0.2600000000000015
13.32,0.2699999999999996,0.0300000000000011,13.29,0.2399999999999984
13.56,0.2400000000000002,0.0099999999999997,13.55,0.2600000000000015
13.79,0.2299999999999986,0.0,13.79,0.2399999999999984
14.05,0.2600000000000015,0.0100000000000015,14.04,0.25
14.32,0.2699999999999996,0.0500000000000007,14.27,0.2300000000000004
14.53,0.209999999999999,0.0199999999999995,14.51,0.2400000000000002
14.79,0.2599999999999998,0.0,14.79,0.2799999999999993
15.04,0.25,0.0,15.04,0.25
,,,15.29,0.25
15.53,,-0.0099999999999997,15.54,0.25
15.78,0.25,-0.0099999999999997,15.79,0.25
16.06,0.2799999999999993,0.0399999999999991,16.02,0.2300000000000004
16.31,0.25,0.0499999999999971,16.26,0.240000000000002
16.54,0.2300000000000004,0.0500000000000007,16.49,0.2299999999999968
,,,16.73,0.240000000000002
17.0,,0.0,17.0,0.2699999999999996
17.25,0.25,0.0,17.25,0.25
17.5,0.25,0.0,17.5,0.25
17.76,0.2600000000000015,0.0,17.76,0.2600000000000015
18.0,0.2399999999999984,-0.0100000000000015,18.01,0.25
18.26,0.2600000000000015,0.0,18.26,0.25
18.52,0.259999999999998,,,
18.77,0.25,,,
19.05,0.2800000000000011,0.0500000000000007,19.0,
19.28,0.2300000000000004,0.0199999999999995,19.26,0.2600000000000015
19.5,0.2199999999999988,-0.0199999999999995,19.52,0.259999999999998
19.75,0.25,-0.0199999999999995,19.77,0.25
20.01,0.2600000000000015,-0.009999999999998,20.02,0.25
,,,20.27,0.25
20.52,,0.0199999999999995,20.5,0.2300000000000004
20.76,0.240000000000002,0.0200000000000031,20.74,0.2399999999999984
21.03,0.2699999999999996,0.0199999999999995,21.01,0.2700000000000031
21.26,0.2300000000000004,0.0,21.26,0.25
21.53,0.2699999999999996,0.0199999999999995,21.51,0.25
