Tap Time,ITI,Asynchornies,Tone Time,IOI
0.48,0.3299999999999999,0.0399999999999999,0.44,0.33
0.81,0.33,0.02,0.79,0.35
,,,1.13,0.3399999999999998
,,,1.47,0.3400000000000001
,,,1.81,0.3400000000000001
,,,,
2.49,,0.0,2.49,
2.85,0.3599999999999999,0.02,2.83,0.3399999999999998
3.2,0.3500000000000001,0.04,3.16,0.33
3.49,0.29,,,
,,,3.82,
4.16,,,,
,,,4.48,
4.84,,0.0499999999999998,4.79,0.3099999999999996
5.16,0.3200000000000003,0.0200000000000004,5.14,0.3499999999999996
5.51,0.3499999999999996,0.04,5.47,0.33
5.84,0.33,0.0300000000000002,5.81,0.3399999999999998
6.19,0.3500000000000005,0.04,6.15,0.3400000000000007
6.49,0.2999999999999998,0.0200000000000004,6.47,0.3199999999999994
6.84,0.3499999999999996,0.04,6.8,0.33
7.15,0.3100000000000005,0.04,7.11,0.3100000000000005
,,,,
7.82,,0.0200000000000004,7.8,
8.14,0.3200000000000003,0.0099999999999997,8.13,0.3300000000000009
,,,8.44,0.3099999999999987
8.78,,0.0,8.78,0.3399999999999998
9.13,0.3500000000000014,0.0200000000000013,9.11,0.33
9.46,0.33,0.0100000000000015,9.45,0.3399999999999998
9.8,0.3399999999999998,0.0400000000000009,9.76,0.3100000000000005
10.14,0.3399999999999998,,,
10.37,0.2299999999999986,-0.0400000000000009,10.41,
10.76,0.3900000000000005,0.0099999999999997,10.75,0.3399999999999998
,,,11.07,0.3200000000000003
11.43,,0.0199999999999995,11.41,0.3399999999999998
11.75,0.3200000000000003,0.0399999999999991,11.71,0.3000000000000007
12.01,0.2599999999999998,-0.0400000000000009,12.05,0.3399999999999998
12.4,0.3900000000000005,0.0300000000000011,12.37,0.3199999999999985
12.72,0.3200000000000003,0.0200000000000013,12.7,0.33
,,,13.02,0.3200000000000003
13.36,,0.0,13.36,0.3399999999999998
13.63,0.2700000000000013,-0.0299999999999993,13.66,0.3000000000000007
13.98,0.3499999999999996,-0.0099999999999997,13.99,0.33
,,,14.32,0.33
14.67,,0.0099999999999997,14.66,0.3399999999999998
14.99,0.3200000000000003,0.0199999999999995,14.97,0.3100000000000005
15.34,0.3499999999999996,0.0399999999999991,15.3,0.33
15.69,0.3499999999999996,0.0499999999999989,15.64,0.3399999999999998
16.01,0.320000000000002,0.0500000000000007,15.96,0.3200000000000003
16.33,0.3199999999999967,0.0499999999999971,16.28,0.3200000000000003
16.65,0.3200000000000003,0.0199999999999995,16.63,0.3499999999999978
16.99,0.3399999999999998,0.0399999999999991,16.95,0.3200000000000003
17.3,0.3100000000000023,0.0100000000000015,17.29,0.3399999999999998
,,,17.63,0.3399999999999998
17.98,,,,
18.31,0.3299999999999983,0.0299999999999975,18.28,
18.62,0.3100000000000023,-0.009999999999998,18.63,0.3499999999999978
,,,18.94,0.3100000000000023
,,,19.29,0.3499999999999978
19.6,,-0.009999999999998,19.61,0.3200000000000003
19.95,0.3499999999999978,-0.0100000000000015,19.96,0.3500000000000014
20.22,0.2699999999999996,-0.0400000000000027,20.26,0.3000000000000007
20.59,0.370000000000001,0.0,20.59,0.3299999999999983
20.94,0.3500000000000014,0.0199999999999995,20.92,0.3300000000000018
21.27,0.3299999999999983,0.009999999999998,21.26,0.3399999999999998
21.61,0.3399999999999998,0.0300000000000011,21.58,0.3199999999999967
21.91,0.3000000000000007,0.0100000000000015,21.9,0.3200000000000003
22.24,0.3299999999999983,0.009999999999998,22.23,0.3300000000000018
22.63,0.3900000000000005,0.0700000000000002,22.56,0.3299999999999983
22.85,0.2200000000000024,-0.0299999999999975,22.88,0.3200000000000003
23.22,0.3699999999999974,0.0199999999999995,23.2,0.3200000000000003
23.6,0.3800000000000025,0.0700000000000002,23.53,0.3300000000000018
23.87,0.2699999999999996,0.0100000000000015,23.86,0.3299999999999983
24.18,0.3099999999999987,-0.0100000000000015,24.19,0.3300000000000018
24.52,0.3399999999999998,0.009999999999998,24.51,0.3200000000000003
24.85,0.3300000000000018,0.0100000000000015,24.84,0.3299999999999983
25.19,0.3399999999999998,0.0199999999999995,25.17,0.3300000000000018
25.46,0.2699999999999996,-0.0399999999999991,25.5,0.3299999999999983
25.78,0.3200000000000003,-0.0399999999999991,25.82,0.3200000000000003
26.16,0.379999999999999,0.0,26.16,0.3399999999999998
26.5,0.3399999999999998,0.0100000000000015,26.49,0.3299999999999983
26.78,0.2800000000000011,-0.0299999999999975,26.81,0.3200000000000003
27.16,0.379999999999999,0.0199999999999995,27.14,0.3300000000000018
27.48,0.3200000000000003,0.0100000000000015,27.47,0.3299999999999983
27.82,0.3399999999999998,0.0199999999999995,27.8,0.3300000000000018
28.12,0.3000000000000007,-0.009999999999998,28.13,0.3299999999999983
28.47,0.3499999999999978,,,
28.79,0.3200000000000003,0.0,28.79,
29.11,0.3200000000000003,-0.0199999999999995,29.13,0.3399999999999998
29.46,0.3500000000000014,0.0100000000000015,29.45,0.3200000000000003
29.78,0.3200000000000003,,,
30.14,0.3599999999999994,0.0100000000000015,30.13,
30.48,0.3399999999999998,-0.009999999999998,30.49,0.3599999999999994
30.82,0.3399999999999998,0.0399999999999991,30.78,0.2900000000000027
31.14,0.3200000000000003,0.0500000000000007,31.09,0.3099999999999987
31.47,0.3299999999999983,0.0199999999999995,31.45,0.3599999999999994
31.81,0.3399999999999998,0.009999999999998,31.8,0.3500000000000014
32.12,0.3099999999999987,0.009999999999998,32.11,0.3099999999999987
32.46,0.3400000000000034,0.0300000000000011,32.43,0.3200000000000003
32.77,0.3100000000000023,0.0200000000000031,32.75,0.3200000000000003
33.09,0.3200000000000003,,,
33.44,0.3499999999999943,0.0,33.44,
33.77,0.3300000000000054,,,
34.13,0.3599999999999994,0.0200000000000031,34.11,
34.44,0.3099999999999951,-0.0100000000000051,34.45,0.3400000000000034
,,,34.77,0.3200000000000003
35.1,,-0.009999999999998,35.11,0.3399999999999963
35.44,0.3399999999999963,0.0,35.44,0.3299999999999983
35.8,0.3599999999999994,0.019999999999996,35.78,0.3400000000000034
36.15,0.3500000000000014,0.0300000000000011,36.12,0.3399999999999963
36.48,0.3299999999999983,0.029999999999994,36.45,0.3300000000000054
36.81,0.3300000000000054,0.0399999999999991,36.77,0.3200000000000003
37.16,0.3499999999999943,0.0399999999999991,37.12,0.3499999999999943
37.5,0.3400000000000034,0.0600000000000022,37.44,0.3200000000000003
37.79,0.2899999999999991,0.009999999999998,37.78,0.3400000000000034
38.12,0.3299999999999983,0.0,38.12,0.3399999999999963
38.47,0.3500000000000014,0.009999999999998,38.46,0.3400000000000034
38.8,0.3299999999999983,0.0399999999999991,38.76,0.2999999999999971
39.12,0.3200000000000003,,,
39.46,0.3400000000000034,0.0,39.46,
39.78,0.3200000000000003,-0.019999999999996,39.8,0.3399999999999963
40.16,0.3799999999999954,0.0399999999999991,40.12,0.3200000000000003
,,,40.47,0.3500000000000014
40.86,,0.0700000000000002,40.79,0.3200000000000003
,,,41.13,0.3400000000000034
41.5,,0.0499999999999971,41.45,0.3200000000000003
,,,41.76,0.3099999999999951
42.15,,0.0499999999999971,42.1,0.3400000000000034
42.46,0.3100000000000023,0.009999999999998,42.45,0.3500000000000014
,,,42.77,0.3200000000000003
43.12,,0.0,43.12,0.3499999999999943
43.44,0.3200000000000003,0.0,43.44,0.3200000000000003
43.8,0.3599999999999994,0.019999999999996,43.78,0.3400000000000034
44.13,0.3300000000000054,0.0200000000000031,44.11,0.3299999999999983
44.47,0.3399999999999963,0.0300000000000011,44.44,0.3299999999999983
44.78,0.3100000000000023,0.009999999999998,44.77,0.3300000000000054
45.11,0.3299999999999983,0.0,45.11,0.3399999999999963
,,,45.44,0.3299999999999983
45.77,,,,
46.12,0.3499999999999943,0.029999999999994,46.09,
46.44,0.3200000000000003,0.0,46.44,0.3499999999999943
46.79,0.3500000000000014,0.0300000000000011,46.76,0.3200000000000003
47.06,0.2700000000000031,-0.019999999999996,47.08,0.3200000000000003
47.37,0.3099999999999951,-0.0300000000000011,47.4,0.3200000000000003
47.77,0.4000000000000057,0.0400000000000062,47.73,0.3299999999999983
48.01,0.2399999999999948,-0.0399999999999991,48.05,0.3200000000000003
48.34,0.3300000000000054,-0.029999999999994,48.37,0.3200000000000003
48.73,0.3899999999999934,0.0399999999999991,48.69,0.3200000000000003
49.05,0.3200000000000003,0.0399999999999991,49.01,0.3200000000000003
49.39,0.3400000000000034,0.0600000000000022,49.33,0.3200000000000003
49.72,0.3299999999999983,0.0499999999999971,49.67,0.3400000000000034
50.04,0.3200000000000003,0.0399999999999991,50.0,0.3299999999999983
50.35,0.3100000000000023,0.009999999999998,50.34,0.3400000000000034
50.69,0.3399999999999963,0.019999999999996,50.67,0.3299999999999983
,,,51.0,0.3299999999999983
51.33,,0.019999999999996,51.31,0.3100000000000023
51.65,0.3200000000000003,,,
52.0,0.3500000000000014,0.0200000000000031,51.98,
52.34,0.3400000000000034,0.0400000000000062,52.3,0.3200000000000003
52.66,0.3199999999999932,0.009999999999998,52.65,0.3500000000000014
53.0,0.3400000000000034,0.009999999999998,52.99,0.3400000000000034
53.33,0.3299999999999983,0.0300000000000011,53.3,0.3099999999999951
53.66,0.3299999999999983,0.009999999999998,53.65,0.3500000000000014
53.99,0.3300000000000054,0.0,53.99,0.3400000000000034
54.36,0.3699999999999974,0.0300000000000011,54.33,0.3399999999999963
54.69,0.3299999999999983,,,
55.04,0.3500000000000014,,,
55.35,0.3100000000000023,0.0200000000000031,55.33,
55.67,0.3200000000000003,0.0100000000000051,55.66,0.3299999999999983
55.99,0.3200000000000003,0.0200000000000031,55.97,0.3100000000000023
56.33,0.3399999999999963,,,
56.66,0.3299999999999983,0.0,56.66,
57.01,0.3500000000000014,0.019999999999996,56.99,0.3300000000000054
57.33,0.3200000000000003,0.0399999999999991,57.29,0.2999999999999971
57.66,0.3299999999999983,,,
57.99,0.3300000000000054,0.0200000000000031,57.97,
58.33,0.3399999999999963,0.0300000000000011,58.3,0.3299999999999983
58.65,0.3200000000000003,0.0599999999999951,58.59,0.2900000000000062
58.98,0.3299999999999983,,,
59.28,0.3000000000000042,0.0200000000000031,59.26,
59.6,0.3200000000000003,0.0200000000000031,59.58,0.3200000000000003
59.91,0.3099999999999951,0.029999999999994,59.88,0.3000000000000042
60.23,0.3200000000000003,,,
,,,60.53,
60.89,,0.0200000000000031,60.87,0.3399999999999963
61.25,0.3599999999999994,0.0499999999999971,61.2,0.3300000000000054
,,,61.54,0.3399999999999963
61.9,,0.0300000000000011,61.87,0.3299999999999983
62.22,0.3200000000000003,0.009999999999998,62.21,0.3400000000000034
,,,62.5,0.2899999999999991
62.87,,0.0700000000000002,62.8,0.2999999999999971
63.18,0.3100000000000023,0.0399999999999991,63.14,0.3400000000000034
63.53,0.3500000000000014,0.0500000000000042,63.48,0.3399999999999963
63.83,0.2999999999999971,0.0300000000000011,63.8,0.3200000000000003
64.17,0.3400000000000034,0.0400000000000062,64.13,0.3299999999999983
64.49,0.3199999999999932,0.0300000000000011,64.46,0.3299999999999983
64.83,0.3400000000000034,0.0300000000000011,64.8,0.3400000000000034
65.15,0.3200000000000074,0.0200000000000102,65.13,0.3299999999999983
65.47,0.3199999999999932,0.019999999999996,65.45,0.3200000000000074
65.8,0.3299999999999983,0.039999999999992,65.76,0.3100000000000023
66.12,0.3200000000000074,0.0100000000000051,66.11,0.3499999999999943
66.46,0.3399999999999892,0.0299999999999869,66.43,0.3200000000000074
66.8,0.3400000000000034,0.0300000000000011,66.77,0.3399999999999892
67.09,0.2900000000000062,0.0,67.09,0.3200000000000074
67.44,0.3499999999999943,0.019999999999996,67.42,0.3299999999999983
67.76,0.3200000000000074,0.0100000000000051,67.75,0.3299999999999983
68.11,0.3499999999999943,0.0300000000000011,68.08,0.3299999999999983
68.41,0.2999999999999971,-0.0100000000000051,68.42,0.3400000000000034
68.75,0.3400000000000034,0.0,68.75,0.3299999999999983
69.09,0.3400000000000034,0.0200000000000102,69.07,0.3199999999999932
69.41,0.3199999999999932,-0.0300000000000011,69.44,0.3700000000000045
69.75,0.3400000000000034,0.0100000000000051,69.74,0.2999999999999971
70.09,0.3400000000000034,0.0,70.09,0.3500000000000085
70.42,0.3299999999999983,0.019999999999996,70.4,0.3100000000000023
70.77,0.3499999999999943,0.019999999999996,70.75,0.3499999999999943
71.1,0.3299999999999983,0.0300000000000011,71.07,0.3199999999999932
71.4,0.3000000000000113,-0.019999999999996,71.42,0.3500000000000085
71.74,0.3399999999999892,0.019999999999996,71.72,0.2999999999999971
72.06,0.3200000000000074,0.019999999999996,72.04,0.3200000000000074
,,,72.36,0.3199999999999932
72.7,,0.0100000000000051,72.69,0.3299999999999983
73.03,0.3299999999999983,0.0,73.03,0.3400000000000034
73.37,0.3400000000000034,0.0400000000000062,73.33,0.2999999999999971
73.63,0.2599999999999909,-0.0400000000000062,73.67,0.3400000000000034
73.98,0.3500000000000085,,,
74.3,0.3199999999999932,-0.0100000000000051,74.31,
74.64,0.3400000000000034,0.0,74.64,0.3299999999999983
75.0,0.3599999999999994,0.0300000000000011,74.97,0.3299999999999983
75.26,0.2600000000000051,-0.0300000000000011,75.29,0.3200000000000074
75.63,0.3699999999999903,0.0099999999999909,75.62,0.3299999999999983
75.93,0.3000000000000113,-0.019999999999996,75.95,0.3299999999999983
,,,76.27,0.3199999999999932
76.59,,-0.0300000000000011,76.62,0.3500000000000085
76.98,0.3900000000000005,0.0300000000000011,76.95,0.3299999999999983
77.29,0.3100000000000023,0.0100000000000051,77.28,0.3299999999999983
,,,77.61,0.3299999999999983
77.97,,0.019999999999996,77.95,0.3400000000000034
,,,78.27,0.3199999999999932
78.62,,0.0300000000000011,78.59,0.3200000000000074
78.93,0.3100000000000023,0.0,78.93,0.3400000000000034
79.26,0.3299999999999983,-0.0099999999999909,79.27,0.3399999999999892
79.63,0.3699999999999903,0.0499999999999971,79.58,0.3100000000000023
79.95,0.3200000000000074,0.0100000000000051,79.94,0.3599999999999994
80.26,0.3100000000000023,0.0,80.26,0.3200000000000074
80.59,0.3299999999999983,-0.0099999999999909,80.6,0.3399999999999892
80.93,0.3400000000000034,0.0100000000000051,80.92,0.3200000000000074
,,,,
81.59,,0.0,81.59,
81.93,0.3400000000000034,0.0200000000000102,81.91,0.3199999999999932
82.26,0.3299999999999983,0.0100000000000051,82.25,0.3400000000000034
82.59,0.3299999999999983,0.0100000000000051,82.58,0.3299999999999983
,,,82.93,0.3500000000000085
