Tap Time,ITI,Asynchornies,Tone Time,IOI
0.65,0.26,-0.01,0.66,0.32
,,,0.98,0.3199999999999999
1.35,,0.06,1.29,0.31
1.61,0.26,0.02,1.59,0.3
1.97,0.3599999999999999,,,
2.29,0.32,0.06,2.23,
2.62,0.33,0.0700000000000002,2.55,0.3199999999999998
,,,2.87,0.3200000000000003
,,,3.18,0.31
3.48,,-0.0100000000000002,3.49,0.31
3.81,0.33,,,
4.16,0.3500000000000001,0.0600000000000005,4.1,
4.51,0.3499999999999996,,,
4.78,0.2700000000000004,0.0499999999999998,4.73,
5.11,0.33,,,
,,,5.35,
5.72,,0.0499999999999998,5.67,0.3200000000000003
,,,5.98,0.3100000000000005
6.38,,,,
6.66,0.2800000000000002,0.0499999999999998,6.61,
6.97,0.3099999999999996,0.04,6.93,0.3199999999999994
7.27,0.2999999999999998,0.0199999999999995,7.25,0.3200000000000003
7.61,0.3400000000000007,0.0500000000000007,7.56,0.3099999999999996
,,,7.85,0.29
8.22,,0.0300000000000011,8.19,0.3399999999999998
,,,8.49,0.3000000000000007
,,,8.81,0.3200000000000003
9.11,,0.0,9.11,0.2999999999999989
9.44,0.33,0.0099999999999997,9.43,0.3200000000000003
9.75,0.3100000000000005,0.0199999999999995,9.73,0.3000000000000007
10.11,0.3599999999999994,0.0399999999999991,10.07,0.3399999999999998
10.38,0.2700000000000013,0.0,10.38,0.3100000000000005
10.7,0.3199999999999985,-0.0100000000000015,10.71,0.33
11.01,0.3100000000000005,0.0,11.01,0.2999999999999989
,,,11.33,0.3200000000000003
,,,11.64,0.3100000000000005
11.98,,0.0300000000000011,11.95,0.3099999999999987
12.32,0.3399999999999998,0.0700000000000002,12.25,0.3000000000000007
12.64,0.3200000000000003,,,
,,,12.88,
13.25,,0.0600000000000005,13.19,0.3099999999999987
13.52,0.2699999999999996,0.0199999999999995,13.5,0.3100000000000005
13.87,0.3499999999999996,0.0599999999999987,13.81,0.3100000000000005
,,,14.13,0.3200000000000003
14.49,,0.0400000000000009,14.45,0.3199999999999985
14.8,0.3100000000000005,0.0400000000000009,14.76,0.3100000000000005
15.11,0.3099999999999987,0.0499999999999989,15.06,0.3000000000000007
15.39,0.2800000000000011,0.0099999999999997,15.38,0.3200000000000003
15.71,0.3200000000000003,,,
16.01,0.3000000000000007,0.0200000000000013,15.99,
16.36,0.3499999999999978,0.0500000000000007,16.31,0.3199999999999985
,,,16.62,0.3100000000000023
16.99,,0.0499999999999971,16.94,0.3200000000000003
17.28,0.2900000000000027,0.0199999999999995,17.26,0.3200000000000003
17.64,0.3599999999999994,0.0700000000000002,17.57,0.3099999999999987
