Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.48,0.39
,,,0.85,0.37
1.24,,0.02,1.22,0.37
1.62,0.3800000000000001,0.03,1.59,0.3700000000000001
,,,1.97,0.3799999999999999
2.38,,0.0299999999999998,2.35,0.3800000000000001
2.72,0.3400000000000003,-0.02,2.74,0.3900000000000001
,,,3.1,0.3599999999999999
,,,3.49,0.3900000000000001
3.83,,-0.0299999999999998,3.86,0.3699999999999996
,,,4.24,0.3800000000000003
4.6,,-0.0100000000000006,4.61,0.3700000000000001
4.99,0.3900000000000005,0.0,4.99,0.3799999999999999
,,,5.37,0.3799999999999999
,,,5.75,0.3799999999999999
6.18,,0.0599999999999996,6.12,0.3700000000000001
6.48,0.3000000000000007,-0.0099999999999997,6.49,0.3700000000000001
,,,6.86,0.3700000000000001
,,,7.25,0.3899999999999997
7.61,,0.0,7.61,0.3600000000000003
7.98,0.3700000000000001,-0.0099999999999997,7.99,0.3799999999999999
8.35,0.3699999999999992,0.0,8.35,0.3599999999999994
8.73,0.3800000000000008,0.0,8.73,0.3800000000000008
9.13,0.4000000000000003,0.0300000000000011,9.1,0.3699999999999992
,,,9.49,0.3900000000000005
,,,9.86,0.3699999999999992
10.17,,-0.0600000000000005,10.23,0.370000000000001
10.59,0.4199999999999999,0.0,10.59,0.3599999999999994
10.98,0.3900000000000005,0.0,10.98,0.3900000000000005
11.33,0.3499999999999996,0.0199999999999995,11.31,0.33
11.67,0.3399999999999998,-0.0299999999999993,11.7,0.3899999999999988
12.04,0.3699999999999992,-0.0300000000000011,12.07,0.370000000000001
12.43,0.3900000000000005,-0.0199999999999995,12.45,0.379999999999999
12.8,0.370000000000001,0.0,12.8,0.3500000000000014
13.2,0.3999999999999986,0.0199999999999995,13.18,0.379999999999999
13.55,0.3500000000000014,-0.0099999999999997,13.56,0.3800000000000008
13.95,0.3999999999999986,0.0,13.95,0.3899999999999988
14.33,0.3800000000000008,0.0199999999999995,14.31,0.3600000000000012
14.67,0.3399999999999998,-0.0099999999999997,14.68,0.3699999999999992
15.05,0.3800000000000008,0.0100000000000015,15.04,0.3599999999999994
15.41,0.3599999999999994,-0.0199999999999995,15.43,0.3900000000000005
15.77,0.3599999999999994,-0.0300000000000011,15.8,0.370000000000001
16.17,0.4000000000000021,0.0,16.17,0.370000000000001
16.56,0.389999999999997,0.0299999999999975,16.53,0.3599999999999994
16.92,0.360000000000003,0.0400000000000027,16.88,0.3499999999999978
,,,17.27,0.3900000000000005
17.66,,0.0300000000000011,17.63,0.3599999999999994
,,,17.99,0.3599999999999994
18.38,,0.0,18.38,0.3900000000000005
18.74,0.3599999999999994,0.0,18.74,0.3599999999999994
,,,19.12,0.3800000000000025
19.46,,-0.0299999999999975,19.49,0.3699999999999974
19.84,0.379999999999999,-0.0199999999999995,19.86,0.370000000000001
20.23,0.3900000000000005,0.0100000000000015,20.22,0.3599999999999994
20.57,0.3399999999999998,-0.009999999999998,20.58,0.3599999999999994
20.97,0.3999999999999986,0.0299999999999975,20.94,0.360000000000003
,,,21.32,0.379999999999999
,,,21.7,0.379999999999999
,,,22.06,0.3599999999999994
,,,22.44,0.3800000000000025
22.79,,,,
23.15,0.3599999999999994,-0.0100000000000015,23.16,
23.51,0.360000000000003,-0.009999999999998,23.52,0.3599999999999994
23.89,0.379999999999999,0.0100000000000015,23.88,0.3599999999999994
24.27,0.379999999999999,0.0199999999999995,24.25,0.370000000000001
,,,24.61,0.3599999999999994
24.99,,0.009999999999998,24.98,0.370000000000001
,,,25.34,0.3599999999999994
25.7,,-0.0100000000000015,25.71,0.370000000000001
,,,26.07,0.3599999999999994
26.43,,-0.0199999999999995,26.45,0.379999999999999
26.82,0.3900000000000005,0.0100000000000015,26.81,0.3599999999999994
,,,27.19,0.3800000000000025
27.5,,-0.0300000000000011,27.53,0.3399999999999998
,,,27.9,0.3699999999999974
28.26,,-0.009999999999998,28.27,0.370000000000001
,,,28.64,0.370000000000001
,,,29.01,0.370000000000001
29.37,,-0.009999999999998,29.38,0.3699999999999974
29.8,0.4299999999999997,0.0700000000000002,29.73,0.3500000000000014
30.13,0.3299999999999983,0.0299999999999975,30.1,0.370000000000001
30.48,0.3500000000000014,0.0100000000000015,30.47,0.3699999999999974
,,,30.85,0.3800000000000025
31.26,,0.0500000000000007,31.21,0.3599999999999994
31.58,0.3199999999999967,-0.0100000000000015,31.59,0.379999999999999
31.93,0.3500000000000014,-0.0300000000000011,31.96,0.370000000000001
32.29,0.3599999999999994,-0.0200000000000031,32.31,0.3500000000000014
32.63,0.3400000000000034,-0.0399999999999991,32.67,0.3599999999999994
33.02,0.3900000000000005,-0.019999999999996,33.04,0.3699999999999974
33.37,0.3499999999999943,-0.0399999999999991,33.41,0.3699999999999974
33.73,0.3599999999999994,-0.0200000000000031,33.75,0.3400000000000034
34.1,0.3700000000000045,-0.019999999999996,34.12,0.3699999999999974
