Tap Time,ITI,Asynchornies,Tone Time,IOI
0.99,0.48,0.03,0.96,
1.35,0.3600000000000001,0.03,1.32,0.3600000000000001
,,,1.7,0.3799999999999999
,,,2.06,0.3600000000000001
2.45,,0.0100000000000002,2.44,0.3799999999999999
,,,2.82,0.3799999999999999
3.18,,-0.0099999999999997,3.19,0.3700000000000001
3.54,0.3599999999999999,-0.02,3.56,0.3700000000000001
3.91,0.3700000000000001,-0.02,3.93,0.3700000000000001
4.33,0.4199999999999999,0.0300000000000002,4.3,0.3699999999999996
4.69,0.3600000000000003,0.0300000000000002,4.66,0.3600000000000003
5.04,0.3499999999999996,0.0,5.04,0.3799999999999999
,,,,
,,,,
6.27,,,,
6.64,0.3700000000000001,,,
7.05,0.4100000000000001,-0.0600000000000005,7.11,
7.48,0.4300000000000006,,,
7.89,0.4099999999999992,0.0599999999999996,7.83,
8.31,0.4200000000000008,0.0099999999999997,8.3,0.4700000000000006
8.62,0.3099999999999987,-0.0500000000000007,8.67,0.3699999999999992
9.04,0.4199999999999999,0.0199999999999995,9.02,0.3499999999999996
9.48,0.4400000000000013,0.08,9.4,0.3800000000000008
9.78,0.2999999999999989,0.0199999999999995,9.76,0.3599999999999994
10.19,0.4100000000000001,0.0299999999999993,10.16,0.4000000000000003
10.52,0.33,0.0,10.52,0.3599999999999994
10.9,0.3800000000000008,-0.0199999999999995,10.92,0.4000000000000003
11.28,0.379999999999999,-0.0099999999999997,11.29,0.3699999999999992
11.68,0.4000000000000003,0.0199999999999995,11.66,0.370000000000001
12.06,0.3800000000000008,0.0099999999999997,12.05,0.3900000000000005
12.38,0.3200000000000003,-0.0499999999999989,12.43,0.379999999999999
12.81,0.4299999999999997,0.0099999999999997,12.8,0.370000000000001
13.23,0.4199999999999999,0.0500000000000007,13.18,0.379999999999999
13.55,0.3200000000000003,-0.0099999999999997,13.56,0.3800000000000008
13.96,0.4100000000000001,0.0200000000000013,13.94,0.379999999999999
14.29,0.3299999999999983,-0.0200000000000013,14.31,0.370000000000001
,,,14.7,0.3899999999999988
15.13,,0.0500000000000007,15.08,0.3800000000000008
15.5,0.3699999999999992,0.0399999999999991,15.46,0.3800000000000008
,,,15.84,0.379999999999999
16.23,,0.0100000000000015,16.22,0.379999999999999
16.61,0.379999999999999,0.009999999999998,16.6,0.3800000000000025
16.99,0.379999999999999,0.0,16.99,0.389999999999997
17.42,0.4300000000000032,0.0500000000000007,17.37,0.3800000000000025
17.74,0.3199999999999967,-0.0100000000000015,17.75,0.379999999999999
18.22,0.4800000000000004,0.0899999999999998,18.13,0.379999999999999
18.57,0.3500000000000014,0.0500000000000007,18.52,0.3900000000000005
,,,18.88,0.3599999999999994
,,,19.29,0.4100000000000001
,,,19.65,0.3599999999999994
20.1,,0.0700000000000002,20.03,0.3800000000000025
,,,20.4,0.3699999999999974
20.86,,0.0899999999999998,20.77,0.370000000000001
,,,21.14,0.370000000000001
21.6,,0.0700000000000002,21.53,0.3900000000000005
,,,21.9,0.3699999999999974
22.35,,,,
22.66,0.3099999999999987,-0.0300000000000011,22.69,
23.17,0.5100000000000016,0.1000000000000014,23.07,0.379999999999999
