Tap Time,ITI,Asynchornies,Tone Time,IOI
0.67,0.42,0.03,0.64,0.42
,,,1.06,0.42
1.5,,0.04,1.46,0.3999999999999999
1.91,0.4099999999999999,0.02,1.89,0.4299999999999999
2.33,0.4200000000000001,0.0100000000000002,2.32,0.4299999999999999
,,,2.72,0.4000000000000003
3.15,,0.0099999999999997,3.14,0.4199999999999999
,,,3.54,0.3999999999999999
3.98,,0.02,3.96,0.4199999999999999
4.38,0.3999999999999999,0.0199999999999995,4.36,0.4000000000000003
,,,4.78,0.4199999999999999
5.21,,0.0199999999999995,5.19,0.4100000000000001
5.62,0.4100000000000001,0.0200000000000004,5.6,0.4099999999999992
,,,6.02,0.4199999999999999
6.44,,0.0,6.44,0.4200000000000008
,,,6.85,0.4099999999999992
7.29,,0.0200000000000004,7.27,0.4199999999999999
7.71,0.4199999999999999,0.0300000000000002,7.68,0.4100000000000001
,,,8.11,0.4299999999999997
,,,8.52,0.4100000000000001
8.98,,0.0400000000000009,8.94,0.4199999999999999
9.36,0.379999999999999,-0.0099999999999997,9.37,0.4299999999999997
9.83,0.4700000000000006,0.0400000000000009,9.79,0.4199999999999999
10.25,0.4199999999999999,0.0500000000000007,10.2,0.4100000000000001
10.67,0.4199999999999999,0.0500000000000007,10.62,0.4199999999999999
,,,11.04,0.4199999999999999
11.47,,0.0099999999999997,11.46,0.4200000000000017
,,,11.87,0.4099999999999983
12.35,,0.0600000000000005,12.29,0.4199999999999999
12.74,0.3900000000000005,0.0400000000000009,12.7,0.4100000000000001
13.19,0.4499999999999993,0.0700000000000002,13.12,0.4199999999999999
13.55,0.3600000000000012,0.0200000000000013,13.53,0.4100000000000001
13.97,0.4199999999999999,0.0200000000000013,13.95,0.4199999999999999
,,,14.37,0.4199999999999999
14.8,,0.0100000000000015,14.79,0.4199999999999999
,,,15.19,0.4000000000000003
15.65,,0.0300000000000011,15.62,0.4299999999999997
16.08,0.4299999999999979,0.0499999999999971,16.03,0.4100000000000019
16.45,0.370000000000001,0.0,16.45,0.4199999999999981
16.89,0.4400000000000013,0.0399999999999991,16.85,0.4000000000000021
17.33,0.4399999999999977,0.0599999999999987,17.27,0.4199999999999981
17.78,0.4500000000000028,0.0899999999999998,17.69,0.4200000000000017
18.12,0.3399999999999998,0.0100000000000015,18.11,0.4199999999999981
18.5,0.379999999999999,-0.0100000000000015,18.51,0.4000000000000021
18.97,0.4699999999999988,0.0399999999999991,18.93,0.4199999999999981
19.36,0.3900000000000005,0.0199999999999995,19.34,0.4100000000000001
19.81,0.4499999999999993,,,
,,,20.17,
,,,20.59,0.4199999999999981
,,,20.99,0.3999999999999986
21.43,,0.0199999999999995,21.41,0.4200000000000017
21.84,0.4100000000000001,0.0199999999999995,21.82,0.4100000000000001
22.32,0.4800000000000004,0.0700000000000002,22.25,0.4299999999999997
,,,22.65,0.3999999999999986
23.09,,0.0100000000000015,23.08,0.4299999999999997
,,,23.49,0.4100000000000001
23.94,,0.0400000000000027,23.9,0.4100000000000001
24.35,0.4100000000000001,0.0300000000000011,24.32,0.4200000000000017
24.79,0.4399999999999977,0.0500000000000007,24.74,0.4199999999999981
,,,25.14,0.4000000000000021
25.58,,0.0199999999999995,25.56,0.4199999999999981
26.03,0.4500000000000028,0.0700000000000002,25.96,0.4000000000000021
26.45,0.4199999999999981,0.0700000000000002,26.38,0.4199999999999981
26.83,0.379999999999999,0.0499999999999971,26.78,0.4000000000000021
27.2,0.370000000000001,-0.0100000000000015,27.21,0.4299999999999997
,,,27.58,0.3699999999999974
28.01,,0.0100000000000015,28.0,0.4200000000000017
28.44,0.4299999999999997,0.0199999999999995,28.42,0.4200000000000017
28.89,0.4499999999999993,0.0399999999999991,28.85,0.4299999999999997
,,,29.26,0.4100000000000001
29.67,,-0.009999999999998,29.68,0.4199999999999981
30.09,0.4199999999999981,0.0,30.09,0.4100000000000001
30.52,0.4299999999999997,0.009999999999998,30.51,0.4200000000000017
30.96,0.4400000000000013,0.0500000000000007,30.91,0.3999999999999986
31.39,0.4299999999999997,0.0700000000000002,31.32,0.4100000000000001
31.77,0.379999999999999,0.0500000000000007,31.72,0.3999999999999986
32.18,0.4100000000000001,0.0399999999999991,32.14,0.4200000000000017
32.58,0.3999999999999986,0.0300000000000011,32.55,0.4099999999999966
32.99,0.4100000000000037,0.0200000000000031,32.97,0.4200000000000017
,,,33.37,0.3999999999999986
33.82,,0.0399999999999991,33.78,0.4100000000000037
34.22,0.3999999999999986,0.0399999999999991,34.18,0.3999999999999986
,,,34.6,0.4200000000000017
35.05,,0.0499999999999971,35.0,0.3999999999999986
35.45,0.4000000000000057,0.0200000000000031,35.43,0.4299999999999997
35.91,0.4599999999999937,0.0699999999999931,35.84,0.4100000000000037
,,,,
,,,36.67,
37.05,,-0.0300000000000011,37.08,0.4099999999999966
,,,37.47,0.3900000000000005
37.89,,0.0,37.89,0.4200000000000017
38.3,0.4099999999999966,0.009999999999998,38.29,0.3999999999999986
38.69,0.3900000000000005,-0.0300000000000011,38.72,0.4299999999999997
39.12,0.4299999999999997,0.009999999999998,39.11,0.3900000000000005
,,,39.52,0.4100000000000037
39.98,,0.0599999999999951,39.92,0.3999999999999986
40.4,0.4200000000000017,,,
40.77,0.3700000000000045,0.0,40.77,
41.21,0.4399999999999977,0.0300000000000011,41.18,0.4099999999999966
,,,41.58,0.3999999999999986
42.0,,0.0,42.0,0.4200000000000017
42.44,0.4399999999999977,0.0300000000000011,42.41,0.4099999999999966
42.9,0.4600000000000008,0.0599999999999951,42.84,0.4300000000000068
,,,43.24,0.3999999999999986
43.71,,0.0500000000000042,43.66,0.4199999999999946
44.14,0.4299999999999997,0.0900000000000034,44.05,0.3900000000000005
44.49,0.3500000000000014,0.0200000000000031,44.47,0.4200000000000017
44.95,0.4600000000000008,0.0800000000000054,44.87,0.3999999999999986
45.33,0.3799999999999954,0.0300000000000011,45.3,0.4299999999999997
45.74,0.4100000000000037,0.0399999999999991,45.7,0.4000000000000057
46.22,0.4799999999999969,0.0899999999999963,46.13,0.4299999999999997
46.56,0.3400000000000034,0.0399999999999991,46.52,0.3900000000000005
46.99,0.4299999999999997,0.0399999999999991,46.95,0.4299999999999997
47.39,0.3999999999999986,0.0499999999999971,47.34,0.3900000000000005
47.79,0.3999999999999986,0.0399999999999991,47.75,0.4099999999999966
,,,48.17,0.4200000000000017
48.62,,0.029999999999994,48.59,0.4200000000000017
49.01,0.3900000000000005,0.0300000000000011,48.98,0.3899999999999934
49.45,0.4400000000000048,0.0500000000000042,49.4,0.4200000000000017
49.89,0.4399999999999977,0.0900000000000034,49.8,0.3999999999999986
50.29,0.3999999999999986,0.0700000000000002,50.22,0.4200000000000017
50.67,0.3800000000000025,0.0399999999999991,50.63,0.4100000000000037
51.07,0.3999999999999986,0.0300000000000011,51.04,0.4099999999999966
,,,51.45,0.4100000000000037
51.87,,0.0,51.87,0.4199999999999946
52.29,0.4200000000000017,0.0300000000000011,52.26,0.3900000000000005
52.7,0.4100000000000037,0.0300000000000011,52.67,0.4100000000000037
53.08,0.3799999999999954,0.009999999999998,53.07,0.3999999999999986
53.56,0.480000000000004,,,
53.94,0.3799999999999954,0.0300000000000011,53.91,
54.33,0.3900000000000005,0.0,54.33,0.4200000000000017
54.73,0.3999999999999986,-0.0200000000000031,54.75,0.4200000000000017
55.17,0.4400000000000048,0.0300000000000011,55.14,0.3900000000000005
55.66,0.4899999999999949,0.1099999999999994,55.55,0.4099999999999966
,,,55.97,0.4200000000000017
,,,56.35,0.3800000000000025
56.78,,-0.009999999999998,56.79,0.4399999999999977
57.2,0.4200000000000017,0.0200000000000031,57.18,0.3900000000000005
57.64,0.4399999999999977,0.0399999999999991,57.6,0.4200000000000017
,,,57.99,0.3900000000000005
,,,58.4,0.4099999999999966
,,,58.81,0.4100000000000037
,,,,
59.62,,0.019999999999996,59.6,
60.05,0.4299999999999997,0.029999999999994,60.02,0.4200000000000017
60.46,0.4100000000000037,0.0500000000000042,60.41,0.3899999999999934
60.84,0.3800000000000025,0.0,60.84,0.4300000000000068
61.27,0.4299999999999997,0.0200000000000031,61.25,0.4099999999999966
61.71,0.4399999999999977,0.0200000000000031,61.69,0.4399999999999977
62.09,0.3800000000000025,0.0,62.09,0.4000000000000057
,,,,
62.94,,0.009999999999998,62.93,
63.37,0.4299999999999997,0.019999999999996,63.35,0.4200000000000017
63.78,0.4100000000000037,,,
64.22,0.4399999999999977,0.0499999999999971,64.17,
64.64,0.4200000000000017,0.0600000000000022,64.58,0.4099999999999966
,,,64.98,0.4000000000000057
65.4,,0.0100000000000051,65.39,0.4099999999999966
,,,,
,,,66.23,
66.64,,-0.0100000000000051,66.65,0.4200000000000017
67.11,0.4699999999999988,0.0300000000000011,67.08,0.4299999999999926
67.49,0.3799999999999954,-0.0100000000000051,67.5,0.4200000000000017
67.9,0.4100000000000108,0.0100000000000051,67.89,0.3900000000000005
68.32,0.4199999999999875,0.0099999999999909,68.31,0.4200000000000017
,,,68.71,0.3999999999999915
69.09,,-0.039999999999992,69.13,0.4200000000000017
69.56,0.4699999999999988,0.0300000000000011,69.53,0.4000000000000057
69.96,0.3999999999999915,0.0099999999999909,69.95,0.4200000000000017
70.38,0.4200000000000017,0.019999999999996,70.36,0.4099999999999966
70.8,0.4200000000000017,0.0300000000000011,70.77,0.4099999999999966
71.2,0.4000000000000057,0.019999999999996,71.18,0.4100000000000108
71.58,0.3799999999999954,-0.0100000000000051,71.59,0.4099999999999966
72.01,0.4300000000000068,0.0300000000000011,71.98,0.3900000000000005
72.42,0.4099999999999966,0.0300000000000011,72.39,0.4099999999999966
,,,72.79,0.4000000000000057
73.19,,-0.0100000000000051,73.2,0.4099999999999966
73.61,0.4200000000000017,0.0300000000000011,73.58,0.3799999999999954
74.03,0.4200000000000017,0.0400000000000062,73.99,0.4099999999999966
74.44,0.4099999999999966,0.0300000000000011,74.41,0.4200000000000017
74.84,0.4000000000000057,0.0200000000000102,74.82,0.4099999999999966
75.23,0.3900000000000005,0.0100000000000051,75.22,0.4000000000000057
75.68,0.4500000000000028,,,
76.09,0.4099999999999966,0.0499999999999971,76.04,
76.5,0.4099999999999966,0.0300000000000011,76.47,0.4299999999999926
76.9,0.4000000000000057,0.0400000000000062,76.86,0.3900000000000005
,,,77.26,0.4000000000000057
,,,77.66,0.3999999999999915
78.11,,0.0300000000000011,78.08,0.4200000000000017
78.51,0.4000000000000057,0.0300000000000011,78.48,0.4000000000000057
78.91,0.3999999999999915,0.0099999999999909,78.9,0.4200000000000017
79.32,0.4099999999999966,0.0099999999999909,79.31,0.4099999999999966
79.76,0.4400000000000119,0.0400000000000062,79.72,0.4099999999999966
80.16,0.3999999999999915,0.0099999999999909,80.15,0.4300000000000068
80.66,0.5,0.0999999999999943,80.56,0.4099999999999966
81.05,0.3900000000000005,,,
81.43,0.3800000000000096,0.0400000000000062,81.39,
81.82,0.3899999999999863,0.0299999999999869,81.79,0.4000000000000057
82.23,0.4100000000000108,,,
82.65,0.4200000000000017,0.0300000000000011,82.62,
83.1,0.4499999999999886,0.059999999999988,83.04,0.4200000000000017
83.49,0.3900000000000005,0.039999999999992,83.45,0.4099999999999966
83.98,0.4900000000000091,,,
84.3,0.3199999999999932,0.0300000000000011,84.27,
84.73,0.4300000000000068,0.0300000000000011,84.7,0.4300000000000068
85.15,0.4200000000000017,0.0500000000000113,85.1,0.3999999999999915
,,,85.52,0.4200000000000017
85.94,,,,
86.34,0.4000000000000057,-0.0099999999999909,86.35,
86.82,0.4799999999999897,0.0699999999999931,86.75,0.4000000000000057
87.23,0.4100000000000108,0.0499999999999971,87.18,0.4300000000000068
87.64,0.4099999999999966,0.0700000000000073,87.57,0.3899999999999863
87.98,0.3400000000000034,-0.019999999999996,88.0,0.4300000000000068
88.4,0.4200000000000017,0.0,88.4,0.4000000000000057
88.85,0.4499999999999886,0.0300000000000011,88.82,0.4199999999999875
89.26,0.4100000000000108,0.0100000000000051,89.25,0.4300000000000068
,,,89.66,0.4099999999999966
,,,90.06,0.4000000000000057
90.47,,0.0,90.47,0.4099999999999966
90.91,0.4399999999999977,0.039999999999992,90.87,0.4000000000000057
91.3,0.3900000000000005,0.019999999999996,91.28,0.4099999999999966
91.75,0.4500000000000028,0.0499999999999971,91.7,0.4200000000000017
92.09,0.3400000000000034,,,
,,,92.51,
92.94,,0.0099999999999909,92.93,0.4200000000000017
93.31,0.3700000000000045,-0.019999999999996,93.33,0.3999999999999915
93.83,0.519999999999996,0.0900000000000034,93.74,0.4099999999999966
94.21,0.3799999999999954,0.0699999999999931,94.14,0.4000000000000057
,,,94.55,0.4099999999999966
94.97,,0.019999999999996,94.95,0.4000000000000057
95.39,0.4200000000000017,0.0300000000000011,95.36,0.4099999999999966
95.85,0.4599999999999937,0.0799999999999983,95.77,0.4099999999999966
96.22,0.3700000000000045,0.039999999999992,96.18,0.4100000000000108
,,,96.57,0.3899999999999863
97.0,,-0.0799999999999983,97.08,0.5100000000000051
,,,97.35,0.269999999999996
,,,97.77,0.4200000000000017
,,,98.17,0.4000000000000057
,,,,
98.99,,0.0099999999999909,98.98,
,,,,
,,,99.82,
100.23,,0.0,100.23,0.4100000000000108
100.65,0.4200000000000017,0.0300000000000011,100.62,0.3900000000000005
101.07,0.4199999999999875,0.019999999999996,101.05,0.4299999999999926
101.48,0.4100000000000108,0.0300000000000011,101.45,0.4000000000000057
101.87,0.3900000000000005,,,
,,,102.29,
102.73,,0.0400000000000062,102.69,0.3999999999999915
103.15,0.4200000000000017,0.0600000000000022,103.09,0.4000000000000057
103.54,0.3900000000000005,0.0400000000000062,103.5,0.4099999999999966
103.95,0.4099999999999966,,,
104.36,0.4099999999999966,0.0400000000000062,104.32,
104.77,0.4099999999999966,0.0600000000000022,104.71,0.3900000000000005
,,,,
,,,105.55,
,,,105.98,0.4300000000000068
106.4,,0.0200000000000102,106.38,0.3999999999999915
106.83,0.4299999999999926,0.019999999999996,106.81,0.4300000000000068
107.25,0.4200000000000017,0.0400000000000062,107.21,0.3999999999999915
107.58,0.3299999999999983,-0.0499999999999971,107.63,0.4200000000000017
108.09,0.5100000000000051,0.0600000000000022,108.03,0.4000000000000057
108.44,0.3499999999999943,0.0,108.44,0.4099999999999966
,,,108.85,0.4099999999999966
109.25,,-0.019999999999996,109.27,0.4200000000000017
109.74,0.4899999999999949,0.0799999999999983,109.66,0.3900000000000005
,,,110.09,0.4300000000000068
110.5,,0.019999999999996,110.48,0.3900000000000005
,,,110.91,0.4299999999999926
111.34,,0.0100000000000051,111.33,0.4200000000000017
111.78,0.4399999999999977,0.0300000000000011,111.75,0.4200000000000017
112.19,0.4099999999999966,0.0300000000000011,112.16,0.4099999999999966
112.6,0.4099999999999966,0.0300000000000011,112.57,0.4099999999999966
113.08,0.480000000000004,,,
113.46,0.3799999999999954,0.0799999999999983,113.38,
113.83,0.3700000000000045,0.039999999999992,113.79,0.4100000000000108
114.25,0.4200000000000017,0.0499999999999971,114.2,0.4099999999999966
114.67,0.4200000000000017,0.0700000000000073,114.6,0.3999999999999915
115.1,0.4299999999999926,0.0799999999999983,115.02,0.4200000000000017
,,,115.42,0.4000000000000057
115.84,,0.0100000000000051,115.83,0.4099999999999966
116.32,0.4799999999999897,,,
116.69,0.3700000000000045,0.039999999999992,116.65,
,,,117.05,0.3999999999999915
117.47,,0.019999999999996,117.45,0.4000000000000057
,,,117.86,0.4099999999999966
,,,,
118.67,,-0.0100000000000051,118.68,
119.11,0.4399999999999977,,,
119.53,0.4200000000000017,0.019999999999996,119.51,
119.92,0.3900000000000005,,,
120.35,0.4299999999999926,0.019999999999996,120.33,
120.79,0.4400000000000119,0.0400000000000062,120.75,0.4200000000000017
121.2,0.4099999999999966,0.0400000000000062,121.16,0.4099999999999966
121.58,0.3799999999999954,,,
122.02,0.4399999999999977,0.0499999999999971,121.97,
122.45,0.4300000000000068,-0.0300000000000011,122.48,0.5100000000000051
122.84,0.3900000000000005,,,
123.24,0.3999999999999915,0.059999999999988,123.18,
,,,123.59,0.4099999999999966
124.02,,,,
124.43,0.4100000000000108,,,
124.83,0.3999999999999915,0.0300000000000011,124.8,
125.27,0.4399999999999977,0.039999999999992,125.23,0.4300000000000068
125.65,0.3800000000000096,,,
126.06,0.4099999999999966,0.0,126.06,
126.51,0.4500000000000028,0.0400000000000062,126.47,0.4099999999999966
