Tap Time,ITI,Asynchornies,Tone Time,IOI
0.51,,-0.04,0.55,
0.92,0.41,0.03,0.89,0.3399999999999999
1.19,0.2699999999999999,-0.04,1.23,0.3399999999999999
1.63,0.4399999999999999,0.0499999999999998,1.58,0.3500000000000001
1.93,0.3,-0.02,1.95,0.3699999999999999
2.34,0.4099999999999999,0.0299999999999998,2.31,0.3600000000000001
2.71,0.3700000000000001,0.0499999999999998,2.66,0.3500000000000001
3.08,0.3700000000000001,0.06,3.02,0.3599999999999999
3.45,0.3700000000000001,0.0700000000000002,3.38,0.3599999999999999
3.8,0.3499999999999996,0.0599999999999996,3.74,0.3600000000000003
,,,4.09,0.3499999999999996
4.51,,0.0599999999999996,4.45,0.3600000000000003
,,,4.8,0.3499999999999996
5.21,,0.0700000000000002,5.14,0.3399999999999998
5.57,0.3600000000000003,0.08,5.49,0.3500000000000005
5.94,0.3700000000000001,0.0900000000000007,5.85,0.3599999999999994
6.24,0.2999999999999998,0.0300000000000002,6.21,0.3600000000000003
6.56,0.3199999999999994,-0.0100000000000006,6.57,0.3600000000000003
6.91,0.3500000000000005,0.0,6.91,0.3399999999999998
7.26,0.3499999999999996,-0.0099999999999997,7.27,0.3599999999999994
7.64,0.3799999999999999,0.0299999999999993,7.61,0.3400000000000007
,,,7.97,0.3599999999999994
8.38,,0.0500000000000007,8.33,0.3600000000000003
8.66,0.2799999999999993,-0.0199999999999995,8.68,0.3499999999999996
,,,9.02,0.3399999999999998
9.43,,0.0499999999999989,9.38,0.3600000000000012
9.78,0.3499999999999996,0.0499999999999989,9.73,0.3499999999999996
10.07,0.2900000000000009,-0.0199999999999995,10.09,0.3599999999999994
,,,10.45,0.3599999999999994
,,,10.79,0.3399999999999998
11.22,,0.0600000000000005,11.16,0.370000000000001
11.54,0.3199999999999985,0.0299999999999993,11.51,0.3499999999999996
11.95,0.4100000000000001,0.08,11.87,0.3599999999999994
12.2,0.25,-0.0400000000000009,12.24,0.370000000000001
,,,12.55,0.3100000000000005
12.96,,0.0400000000000009,12.92,0.3699999999999992
,,,13.26,0.3399999999999998
13.6,,-0.0099999999999997,13.61,0.3499999999999996
14.01,0.4100000000000001,0.0399999999999991,13.97,0.3600000000000012
14.3,0.2900000000000009,-0.0199999999999995,14.32,0.3499999999999996
14.71,0.4100000000000001,0.0400000000000009,14.67,0.3499999999999996
15.06,0.3499999999999996,0.0500000000000007,15.01,0.3399999999999998
15.39,0.33,0.0200000000000013,15.37,0.3599999999999994
15.69,0.2999999999999989,-0.0200000000000013,15.71,0.3400000000000016
,,,16.06,0.3499999999999978
16.47,,0.0599999999999987,16.41,0.3500000000000014
16.73,0.2600000000000015,-0.0199999999999995,16.75,0.3399999999999998
17.09,0.3599999999999994,-0.0100000000000015,17.1,0.3500000000000014
17.42,0.3300000000000018,-0.0299999999999975,17.45,0.3499999999999978
17.84,0.4199999999999981,0.0399999999999991,17.8,0.3500000000000014
,,,18.16,0.3599999999999994
,,,18.52,0.3599999999999994
,,,18.88,0.3599999999999994
19.27,,0.0399999999999991,19.23,0.3500000000000014
19.63,0.3599999999999994,0.0399999999999991,19.59,0.3599999999999994
20.01,0.3800000000000025,0.0700000000000002,19.94,0.3500000000000014
20.36,0.3499999999999978,0.0599999999999987,20.3,0.3599999999999994
20.71,0.3500000000000014,0.0600000000000022,20.65,0.3499999999999978
21.05,0.3399999999999998,0.0500000000000007,21.0,0.3500000000000014
21.39,0.3399999999999998,0.0399999999999991,21.35,0.3500000000000014
21.76,0.370000000000001,0.0600000000000022,21.7,0.3499999999999978
22.12,0.3599999999999994,0.0600000000000022,22.06,0.3599999999999994
,,,22.41,0.3500000000000014
22.8,,0.0300000000000011,22.77,0.3599999999999994
23.17,0.370000000000001,0.0400000000000027,23.13,0.3599999999999994
23.48,0.3099999999999987,-0.0199999999999995,23.5,0.370000000000001
23.94,0.4600000000000008,0.0800000000000018,23.86,0.3599999999999994
24.16,0.2199999999999988,-0.0300000000000011,24.19,0.3300000000000018
24.56,0.3999999999999986,-0.0100000000000015,24.57,0.379999999999999
24.91,0.3500000000000014,-0.0199999999999995,24.93,0.3599999999999994
25.28,0.370000000000001,-0.0199999999999995,25.3,0.370000000000001
25.67,0.3900000000000005,0.0,25.67,0.370000000000001
26.02,0.3499999999999978,-0.0100000000000015,26.03,0.3599999999999994
26.39,0.370000000000001,0.0,26.39,0.3599999999999994
26.81,0.4199999999999981,0.0599999999999987,26.75,0.3599999999999994
27.14,0.3300000000000018,0.0300000000000011,27.11,0.3599999999999994
27.48,0.3399999999999998,0.0100000000000015,27.47,0.3599999999999994
27.86,0.379999999999999,0.0300000000000011,27.83,0.3599999999999994
28.21,0.3500000000000014,0.0199999999999995,28.19,0.360000000000003
28.59,0.379999999999999,0.0300000000000011,28.56,0.3699999999999974
28.95,0.3599999999999994,0.0299999999999975,28.92,0.360000000000003
29.33,0.379999999999999,0.0499999999999971,29.28,0.3599999999999994
29.68,0.3500000000000014,0.0399999999999991,29.64,0.3599999999999994
30.05,0.370000000000001,0.0500000000000007,30.0,0.3599999999999994
,,,30.35,0.3500000000000014
30.77,,0.0700000000000002,30.7,0.3499999999999978
31.12,0.3500000000000014,0.0500000000000007,31.07,0.370000000000001
31.44,0.3200000000000003,0.0199999999999995,31.42,0.3500000000000014
,,,31.78,0.3599999999999994
,,,32.13,0.3500000000000014
,,,32.49,0.3599999999999994
,,,32.85,0.3599999999999994
33.19,,-0.0200000000000031,33.21,0.3599999999999994
,,,33.56,0.3500000000000014
33.93,,0.0200000000000031,33.91,0.3499999999999943
34.31,0.3800000000000025,0.0500000000000042,34.26,0.3500000000000014
,,,34.62,0.3599999999999994
,,,34.99,0.3700000000000045
35.29,,-0.0200000000000031,35.31,0.3200000000000003
35.71,0.4200000000000017,0.0399999999999991,35.67,0.3599999999999994
36.08,0.3699999999999974,0.0399999999999991,36.04,0.3699999999999974
36.37,0.2899999999999991,-0.0100000000000051,36.38,0.3400000000000034
36.74,0.3700000000000045,0.0,36.74,0.3599999999999994
37.06,0.3200000000000003,-0.0300000000000011,37.09,0.3500000000000014
37.5,0.4399999999999977,0.0600000000000022,37.44,0.3499999999999943
37.88,0.3800000000000025,0.0900000000000034,37.79,0.3500000000000014
,,,38.14,0.3500000000000014
38.51,,0.009999999999998,38.5,0.3599999999999994
38.9,0.3900000000000005,0.0499999999999971,38.85,0.3500000000000014
39.25,0.3500000000000014,0.0399999999999991,39.21,0.3599999999999994
39.6,0.3500000000000014,0.0500000000000042,39.55,0.3399999999999963
39.88,0.2800000000000011,-0.029999999999994,39.91,0.3599999999999994
40.22,0.3399999999999963,-0.0300000000000011,40.25,0.3400000000000034
40.63,0.4100000000000037,0.0300000000000011,40.6,0.3500000000000014
41.01,0.3799999999999954,0.0499999999999971,40.96,0.3599999999999994
41.33,0.3200000000000003,0.0300000000000011,41.3,0.3399999999999963
41.68,0.3500000000000014,0.0200000000000031,41.66,0.3599999999999994
42.06,0.3800000000000025,0.0399999999999991,42.02,0.3600000000000065
42.41,0.3499999999999943,0.029999999999994,42.38,0.3599999999999994
42.78,0.3700000000000045,0.0399999999999991,42.74,0.3599999999999994
43.18,0.3999999999999986,0.0700000000000002,43.11,0.3699999999999974
43.52,0.3400000000000034,0.0400000000000062,43.48,0.3699999999999974
43.88,0.3599999999999994,0.0300000000000011,43.85,0.3700000000000045
44.24,0.3599999999999994,0.0500000000000042,44.19,0.3399999999999963
44.61,0.3699999999999974,0.0399999999999991,44.57,0.3800000000000025
,,,44.92,0.3500000000000014
45.33,,0.0300000000000011,45.3,0.3799999999999954
45.69,0.3599999999999994,0.0300000000000011,45.66,0.3599999999999994
46.05,0.3599999999999994,0.029999999999994,46.02,0.3600000000000065
46.44,0.3900000000000005,0.0499999999999971,46.39,0.3699999999999974
46.78,0.3400000000000034,0.0200000000000031,46.76,0.3699999999999974
47.13,0.3500000000000014,0.0500000000000042,47.08,0.3200000000000003
,,,47.47,0.3900000000000005
47.86,,0.0300000000000011,47.83,0.3599999999999994
48.23,0.3699999999999974,0.0499999999999971,48.18,0.3500000000000014
,,,48.54,0.3599999999999994
,,,48.92,0.3800000000000025
49.32,,0.0399999999999991,49.28,0.3599999999999994
,,,49.63,0.3500000000000014
50.03,,0.0399999999999991,49.99,0.3599999999999994
50.42,0.3900000000000005,0.0600000000000022,50.36,0.3699999999999974
50.81,0.3900000000000005,0.0900000000000034,50.72,0.3599999999999994
51.17,0.3599999999999994,0.0900000000000034,51.08,0.3599999999999994
