Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.75,0.41
1.16,,0.01,1.15,0.3999999999999999
1.58,0.4200000000000001,0.0,1.58,0.4300000000000001
2.01,0.4299999999999997,0.0299999999999998,1.98,0.3999999999999999
,,,2.41,0.4300000000000001
2.83,,0.02,2.81,0.3999999999999999
3.23,0.3999999999999999,0.0099999999999997,3.22,0.4100000000000001
3.67,0.4399999999999999,0.02,3.65,0.4299999999999997
4.08,0.4100000000000001,0.0300000000000002,4.05,0.3999999999999999
4.48,0.4000000000000003,0.0100000000000006,4.47,0.4199999999999999
4.88,0.3999999999999994,0.0199999999999995,4.86,0.3900000000000005
5.33,0.4500000000000002,0.0499999999999998,5.28,0.4199999999999999
5.68,0.3499999999999996,-0.0100000000000006,5.69,0.4100000000000001
6.13,0.4500000000000002,0.0300000000000002,6.1,0.4099999999999992
6.5,0.3700000000000001,0.0099999999999997,6.49,0.3900000000000005
6.94,0.4400000000000004,0.0300000000000002,6.91,0.4199999999999999
,,,7.31,0.3999999999999994
7.75,,0.0099999999999997,7.74,0.4300000000000006
8.12,0.3699999999999992,-0.0100000000000015,8.13,0.3900000000000005
8.56,0.4400000000000013,0.0200000000000013,8.54,0.4099999999999983
8.93,0.3699999999999992,0.0,8.93,0.3900000000000005
9.38,0.450000000000001,0.0300000000000011,9.35,0.4199999999999999
9.74,0.3599999999999994,-0.0099999999999997,9.75,0.4000000000000003
10.19,0.4499999999999993,0.0399999999999991,10.15,0.4000000000000003
10.62,0.4299999999999997,0.0599999999999987,10.56,0.4100000000000001
10.98,0.3600000000000012,0.0400000000000009,10.94,0.379999999999999
11.39,0.4100000000000001,0.0200000000000013,11.37,0.4299999999999997
11.85,0.4599999999999991,0.08,11.77,0.4000000000000003
12.25,0.4000000000000003,0.0600000000000005,12.19,0.4199999999999999
,,,12.6,0.4100000000000001
13.01,,0.0099999999999997,13.0,0.4000000000000003
13.44,0.4299999999999997,0.0199999999999995,13.42,0.4199999999999999
13.84,0.4000000000000003,0.0299999999999993,13.81,0.3900000000000005
14.25,0.4100000000000001,0.0299999999999993,14.22,0.4100000000000001
,,,14.63,0.4100000000000001
15.06,,0.0200000000000013,15.04,0.4099999999999983
15.47,0.4100000000000001,0.0300000000000011,15.44,0.4000000000000003
15.92,0.4499999999999993,0.0700000000000002,15.85,0.4100000000000001
16.3,0.3800000000000008,0.0500000000000007,16.25,0.4000000000000003
16.7,0.3999999999999986,0.0399999999999991,16.66,0.4100000000000001
17.06,0.3599999999999994,0.0,17.06,0.3999999999999986
17.49,0.4299999999999997,0.0299999999999975,17.46,0.4000000000000021
17.9,0.4100000000000001,0.0299999999999975,17.87,0.4100000000000001
18.36,0.4600000000000008,0.0799999999999983,18.28,0.4100000000000001
,,,18.68,0.3999999999999986
19.17,,0.0700000000000002,19.1,0.4200000000000017
19.52,0.3499999999999978,0.0199999999999995,19.5,0.3999999999999986
19.95,0.4299999999999997,0.0399999999999991,19.91,0.4100000000000001
20.31,0.3599999999999994,0.0,20.31,0.3999999999999986
20.76,0.4500000000000028,0.0300000000000011,20.73,0.4200000000000017
21.13,0.3699999999999974,0.009999999999998,21.12,0.3900000000000005
,,,21.54,0.4199999999999981
21.95,,0.009999999999998,21.94,0.4000000000000021
22.39,0.4400000000000013,0.0300000000000011,22.36,0.4199999999999981
22.76,0.370000000000001,0.0100000000000015,22.75,0.3900000000000005
23.2,0.4399999999999977,0.0199999999999995,23.18,0.4299999999999997
23.58,0.379999999999999,0.009999999999998,23.57,0.3900000000000005
24.0,0.4200000000000017,0.0,24.0,0.4299999999999997
24.4,0.3999999999999986,0.0199999999999995,24.38,0.379999999999999
24.84,0.4400000000000013,0.0399999999999991,24.8,0.4200000000000017
25.25,0.4100000000000001,0.0399999999999991,25.21,0.4100000000000001
25.64,0.3900000000000005,0.0199999999999995,25.62,0.4100000000000001
26.03,0.3900000000000005,0.0100000000000015,26.02,0.3999999999999986
26.48,0.4499999999999993,0.0399999999999991,26.44,0.4200000000000017
26.85,0.370000000000001,0.0,26.85,0.4100000000000001
27.3,0.4499999999999993,0.0399999999999991,27.26,0.4100000000000001
