Tap Time,ITI,Asynchornies,Tone Time,IOI
0.65,0.45,0.06,0.59,0.41
,,,0.98,0.39
1.38,,-0.01,1.39,0.4099999999999999
1.77,0.3900000000000001,-0.01,1.78,0.3900000000000001
2.17,0.3999999999999999,0.0,2.17,0.3899999999999999
2.59,0.4199999999999999,0.0099999999999997,2.58,0.4100000000000001
3.01,0.4199999999999999,0.0499999999999998,2.96,0.3799999999999999
3.36,0.3500000000000001,0.0,3.36,0.3999999999999999
3.78,0.4199999999999999,0.0299999999999998,3.75,0.3900000000000001
,,,4.16,0.4100000000000001
,,,4.55,0.3899999999999997
4.96,,0.0199999999999995,4.94,0.3900000000000005
5.31,0.3499999999999996,-0.0100000000000006,5.32,0.3799999999999999
5.76,0.4500000000000002,0.0299999999999993,5.73,0.4100000000000001
6.16,0.4000000000000003,0.0499999999999998,6.11,0.3799999999999999
6.54,0.3799999999999999,0.0300000000000002,6.51,0.3999999999999994
6.93,0.3899999999999997,0.0299999999999993,6.9,0.3900000000000005
7.3,0.3700000000000001,0.0,7.3,0.3999999999999994
,,,7.68,0.3799999999999999
8.1,,0.0,8.1,0.4199999999999999
8.44,0.3399999999999998,-0.0200000000000013,8.46,0.3600000000000012
,,,8.86,0.3999999999999986
9.27,,0.0299999999999993,9.24,0.3800000000000008
9.67,0.4000000000000003,0.0199999999999995,9.65,0.4100000000000001
10.05,0.3800000000000008,0.0400000000000009,10.01,0.3599999999999994
10.42,0.3699999999999992,0.0,10.42,0.4100000000000001
,,,10.8,0.3800000000000008
,,,11.2,0.3999999999999986
11.59,,0.0199999999999995,11.57,0.370000000000001
11.92,0.33,-0.0600000000000005,11.98,0.4100000000000001
12.41,0.4900000000000002,0.08,12.33,0.3499999999999996
,,,12.74,0.4100000000000001
13.18,,0.0700000000000002,13.11,0.3699999999999992
13.56,0.3800000000000008,0.0400000000000009,13.52,0.4100000000000001
13.92,0.3599999999999994,0.0099999999999997,13.91,0.3900000000000005
14.32,0.4000000000000003,-0.0099999999999997,14.33,0.4199999999999999
14.72,0.4000000000000003,0.0099999999999997,14.71,0.3800000000000008
15.19,0.4699999999999988,0.08,15.11,0.3999999999999986
15.51,0.3200000000000003,0.0199999999999995,15.49,0.3800000000000008
,,,15.91,0.4199999999999999
16.33,,0.0599999999999987,16.27,0.3599999999999994
16.69,0.360000000000003,0.0100000000000015,16.68,0.4100000000000001
17.08,0.389999999999997,0.0399999999999991,17.04,0.3599999999999994
17.4,0.3200000000000003,-0.0500000000000007,17.45,0.4100000000000001
17.86,0.4600000000000008,0.0399999999999991,17.82,0.370000000000001
18.24,0.379999999999999,0.0199999999999995,18.22,0.3999999999999986
18.63,0.3900000000000005,0.009999999999998,18.62,0.4000000000000021
19.04,0.4100000000000001,0.0399999999999991,19.0,0.379999999999999
19.41,0.370000000000001,0.0300000000000011,19.38,0.379999999999999
19.8,0.3900000000000005,0.0100000000000015,19.79,0.4100000000000001
20.19,0.3900000000000005,0.0300000000000011,20.16,0.370000000000001
20.56,0.3699999999999974,-0.0100000000000015,20.57,0.4100000000000001
21.03,0.4700000000000024,0.0800000000000018,20.95,0.379999999999999
21.37,0.3399999999999998,0.0199999999999995,21.35,0.4000000000000021
21.77,0.3999999999999986,0.0399999999999991,21.73,0.379999999999999
22.14,0.370000000000001,0.0100000000000015,22.13,0.3999999999999986
22.52,0.379999999999999,0.0,22.52,0.3900000000000005
22.96,0.4400000000000013,0.0300000000000011,22.93,0.4100000000000001
,,,23.32,0.3900000000000005
,,,23.73,0.4100000000000001
,,,24.12,0.3900000000000005
24.56,,0.0399999999999991,24.52,0.3999999999999986
24.92,0.360000000000003,0.0200000000000031,24.9,0.379999999999999
,,,25.31,0.4100000000000001
25.72,,0.0199999999999995,25.7,0.3900000000000005
26.11,0.3900000000000005,0.0,26.11,0.4100000000000001
26.52,0.4100000000000001,0.0300000000000011,26.49,0.379999999999999
26.91,0.3900000000000005,-0.0100000000000015,26.92,0.4300000000000032
27.31,0.3999999999999986,0.0199999999999995,27.29,0.3699999999999974
27.71,0.4000000000000021,0.0,27.71,0.4200000000000017
28.1,0.3900000000000005,0.0,28.1,0.3900000000000005
,,,28.51,0.4100000000000001
28.9,,-0.0100000000000015,28.91,0.3999999999999986
29.3,0.4000000000000021,-0.009999999999998,29.31,0.3999999999999986
29.68,0.379999999999999,0.009999999999998,29.67,0.360000000000003
,,,30.09,0.4199999999999981
30.5,,0.0300000000000011,30.47,0.379999999999999
,,,30.89,0.4200000000000017
31.28,,0.0100000000000015,31.27,0.379999999999999
31.75,0.4699999999999988,0.0700000000000002,31.68,0.4100000000000001
32.08,0.3299999999999983,0.019999999999996,32.06,0.3800000000000025
32.48,0.3999999999999986,0.019999999999996,32.46,0.3999999999999986
32.93,0.4500000000000028,0.0799999999999983,32.85,0.3900000000000005
,,,33.26,0.4099999999999966
,,,33.64,0.3800000000000025
34.04,,-0.009999999999998,34.05,0.4099999999999966
34.44,0.3999999999999986,0.009999999999998,34.43,0.3800000000000025
34.85,0.4100000000000037,0.0200000000000031,34.83,0.3999999999999986
,,,35.22,0.3900000000000005
35.69,,0.0599999999999951,35.63,0.4100000000000037
36.04,0.3500000000000014,0.0399999999999991,36.0,0.3699999999999974
36.4,0.3599999999999994,-0.009999999999998,36.41,0.4099999999999966
36.82,0.4200000000000017,0.0499999999999971,36.77,0.3600000000000065
37.25,0.4299999999999997,0.0600000000000022,37.19,0.4199999999999946
37.66,0.4099999999999966,0.0799999999999983,37.58,0.3900000000000005
38.04,0.3800000000000025,0.0600000000000022,37.98,0.3999999999999986
38.39,0.3500000000000014,0.009999999999998,38.38,0.4000000000000057
38.8,0.4099999999999966,0.009999999999998,38.79,0.4099999999999966
,,,39.19,0.3999999999999986
,,,39.6,0.4100000000000037
40.0,,0.0200000000000031,39.98,0.3799999999999954
40.33,0.3299999999999983,-0.0500000000000042,40.38,0.4000000000000057
40.77,0.4400000000000048,0.0100000000000051,40.76,0.3799999999999954
41.18,0.4099999999999966,0.0300000000000011,41.15,0.3900000000000005
41.53,0.3500000000000014,0.0,41.53,0.3800000000000025
41.97,0.4399999999999977,0.0399999999999991,41.93,0.3999999999999986
42.34,0.3700000000000045,0.0400000000000062,42.3,0.3699999999999974
42.72,0.3799999999999954,0.009999999999998,42.71,0.4100000000000037
43.04,0.3200000000000003,-0.0300000000000011,43.07,0.3599999999999994
,,,43.48,0.4099999999999966
43.9,,0.0499999999999971,43.85,0.3700000000000045
44.28,0.3800000000000025,0.0300000000000011,44.25,0.3999999999999986
44.64,0.3599999999999994,0.0300000000000011,44.61,0.3599999999999994
45.05,0.4099999999999966,0.029999999999994,45.02,0.4100000000000037
45.44,0.3900000000000005,0.0399999999999991,45.4,0.3799999999999954
45.82,0.3800000000000025,0.009999999999998,45.81,0.4100000000000037
,,,46.19,0.3799999999999954
46.6,,-0.009999999999998,46.61,0.4200000000000017
47.0,0.3999999999999986,0.0,47.0,0.3900000000000005
47.41,0.4099999999999966,-0.0100000000000051,47.42,0.4200000000000017
,,,47.8,0.3799999999999954
48.21,,0.0,48.21,0.4100000000000037
,,,48.6,0.3900000000000005
,,,49.0,0.3999999999999986
49.42,,0.0399999999999991,49.38,0.3800000000000025
49.82,0.3999999999999986,,,
50.2,0.3800000000000025,0.0200000000000031,50.18,
50.6,0.3999999999999986,0.0200000000000031,50.58,0.3999999999999986
50.99,0.3900000000000005,0.0200000000000031,50.97,0.3900000000000005
51.39,0.3999999999999986,0.0200000000000031,51.37,0.3999999999999986
,,,51.77,0.4000000000000057
,,,52.17,0.3999999999999986
,,,52.57,0.3999999999999986
52.99,,0.0300000000000011,52.96,0.3900000000000005
53.37,0.3799999999999954,0.029999999999994,53.34,0.3800000000000025
53.77,0.4000000000000057,0.0200000000000031,53.75,0.4099999999999966
54.15,0.3799999999999954,0.009999999999998,54.14,0.3900000000000005
54.55,0.3999999999999986,0.0,54.55,0.4099999999999966
