Tap Time,ITI,Asynchornies,Tone Time,IOI
0.47,0.3299999999999999,0.0099999999999999,0.46,
0.82,0.35,0.0099999999999998,0.81,0.35
1.15,0.3299999999999999,0.0299999999999998,1.12,0.31
1.49,0.3400000000000001,0.03,1.46,0.3399999999999998
1.83,0.3400000000000001,0.04,1.79,0.33
2.16,0.33,0.02,2.14,0.3500000000000001
2.47,0.31,0.0100000000000002,2.46,0.3199999999999998
2.8,0.3299999999999996,0.0,2.8,0.3399999999999998
3.14,0.3400000000000003,0.02,3.12,0.3200000000000003
3.45,0.31,0.0,3.45,0.33
3.79,0.3399999999999998,0.02,3.77,0.3199999999999998
4.12,0.33,0.0099999999999997,4.11,0.3400000000000003
4.45,0.33,0.0200000000000004,4.43,0.3199999999999994
4.78,0.33,0.0200000000000004,4.76,0.33
5.08,0.2999999999999998,0.0,5.08,0.3200000000000003
5.44,0.3600000000000003,0.04,5.4,0.3200000000000003
5.79,0.3499999999999996,0.0499999999999998,5.74,0.3399999999999998
6.11,0.3200000000000003,0.0300000000000002,6.08,0.3399999999999998
6.43,0.3199999999999994,0.0199999999999995,6.41,0.33
6.78,0.3500000000000005,0.0200000000000004,6.76,0.3499999999999996
7.11,0.33,,,
7.4,0.29,0.0100000000000006,7.39,
7.72,0.3199999999999994,0.0099999999999997,7.71,0.3200000000000003
8.1,0.3799999999999999,0.0399999999999991,8.06,0.3500000000000005
8.42,0.3200000000000003,,,
8.73,0.3100000000000005,0.0099999999999997,8.72,
9.05,0.3200000000000003,0.0,9.05,0.33
9.41,0.3599999999999994,0.0199999999999995,9.39,0.3399999999999998
9.74,0.33,0.0400000000000009,9.7,0.3099999999999987
10.09,0.3499999999999996,,,
10.39,0.3000000000000007,0.0200000000000013,10.37,
10.76,0.3699999999999992,0.0399999999999991,10.72,0.3500000000000014
11.04,0.2799999999999993,0.0099999999999997,11.03,0.3099999999999987
11.39,0.3500000000000014,0.0,11.39,0.3600000000000012
11.73,0.3399999999999998,0.0300000000000011,11.7,0.3099999999999987
12.06,0.33,0.0200000000000013,12.04,0.3399999999999998
12.38,0.3200000000000003,0.0100000000000015,12.37,0.33
12.71,0.33,0.0,12.71,0.3400000000000016
13.04,0.3299999999999983,0.0099999999999997,13.03,0.3199999999999985
13.39,0.3500000000000014,-0.0099999999999997,13.4,0.370000000000001
13.72,0.33,0.0200000000000013,13.7,0.2999999999999989
14.04,0.3199999999999985,0.0,14.04,0.3399999999999998
14.36,0.3200000000000003,-0.0099999999999997,14.37,0.33
14.67,0.3100000000000005,-0.0199999999999995,14.69,0.3200000000000003
14.99,0.3200000000000003,-0.0399999999999991,15.03,0.3399999999999998
15.32,0.33,-0.0499999999999989,15.37,0.3399999999999998
15.67,0.3499999999999996,-0.0299999999999993,15.7,0.33
,,,16.0,0.3000000000000007
16.34,,0.0199999999999995,16.32,0.3200000000000003
16.68,0.3399999999999998,,,
17.0,0.3200000000000003,0.0199999999999995,16.98,
17.32,0.3200000000000003,-0.0199999999999995,17.34,0.3599999999999994
17.69,0.370000000000001,0.0600000000000022,17.63,0.2899999999999991
18.0,0.3099999999999987,0.0,18.0,0.370000000000001
18.31,0.3099999999999987,0.0199999999999995,18.29,0.2899999999999991
18.63,0.3200000000000003,-0.0100000000000015,18.64,0.3500000000000014
18.97,0.3399999999999998,0.0199999999999995,18.95,0.3099999999999987
19.3,0.3300000000000018,0.0100000000000015,19.29,0.3399999999999998
19.63,0.3299999999999983,0.0299999999999975,19.6,0.3100000000000023
19.98,0.3500000000000014,0.0100000000000015,19.97,0.3699999999999974
20.31,0.3299999999999983,0.0299999999999975,20.28,0.3100000000000023
20.63,0.3200000000000003,0.0299999999999975,20.6,0.3200000000000003
20.91,0.2800000000000011,-0.0100000000000015,20.92,0.3200000000000003
21.23,0.3200000000000003,0.0,21.23,0.3099999999999987
21.59,0.3599999999999994,0.0199999999999995,21.57,0.3399999999999998
21.92,0.3300000000000018,,,
22.24,0.3199999999999967,0.009999999999998,22.23,
22.59,0.3500000000000014,0.0199999999999995,22.57,0.3399999999999998
22.92,0.3300000000000018,,,
23.25,0.3299999999999983,0.0500000000000007,23.2,
23.56,0.3099999999999987,0.0,23.56,0.3599999999999994
23.89,0.3300000000000018,,,
24.22,0.3299999999999983,0.009999999999998,24.21,
24.55,0.3300000000000018,0.0,24.55,0.3399999999999998
24.87,0.3200000000000003,,,
25.18,0.3099999999999987,0.0,25.18,
25.56,0.379999999999999,0.0299999999999975,25.53,0.3500000000000014
25.86,0.3000000000000007,,,
26.19,0.3300000000000018,0.0300000000000011,26.16,
26.52,0.3299999999999983,0.0199999999999995,26.5,0.3399999999999998
26.83,0.3099999999999987,,,
27.16,0.3300000000000018,0.0100000000000015,27.15,
27.48,0.3200000000000003,-0.009999999999998,27.49,0.3399999999999998
27.8,0.3200000000000003,,,
28.13,0.3299999999999983,0.0,28.13,
,,,28.45,0.3200000000000003
,,,28.75,0.3000000000000007
29.12,,0.0300000000000011,29.09,0.3399999999999998
29.43,0.3099999999999987,0.0300000000000011,29.4,0.3099999999999987
29.77,0.3399999999999998,0.0199999999999995,29.75,0.3500000000000014
30.09,0.3200000000000003,0.0300000000000011,30.06,0.3099999999999987
30.42,0.3300000000000018,-0.009999999999998,30.43,0.370000000000001
30.76,0.3399999999999998,0.0300000000000011,30.73,0.3000000000000007
31.06,0.2999999999999971,-0.0199999999999995,31.08,0.3499999999999978
31.39,0.3300000000000018,0.0100000000000015,31.38,0.3000000000000007
31.71,0.3200000000000003,-0.009999999999998,31.72,0.3399999999999998
32.05,0.3399999999999963,0.019999999999996,32.03,0.3100000000000023
32.37,0.3200000000000003,0.0,32.37,0.3399999999999963
32.69,0.3200000000000003,0.009999999999998,32.68,0.3100000000000023
33.06,0.3700000000000045,0.0200000000000031,33.04,0.3599999999999994
33.35,0.2899999999999991,0.009999999999998,33.34,0.3000000000000042
33.7,0.3500000000000014,0.0200000000000031,33.68,0.3399999999999963
34.01,0.3099999999999951,,,
34.33,0.3200000000000003,0.0300000000000011,34.3,
34.66,0.3299999999999983,0.029999999999994,34.63,0.3300000000000054
34.98,0.3200000000000003,,,
35.3,0.3200000000000003,0.009999999999998,35.29,
35.63,0.3300000000000054,0.0200000000000031,35.61,0.3200000000000003
35.96,0.3299999999999983,0.0399999999999991,35.92,0.3100000000000023
36.29,0.3299999999999983,0.009999999999998,36.28,0.3599999999999994
36.62,0.3299999999999983,0.0499999999999971,36.57,0.2899999999999991
36.93,0.3100000000000023,0.009999999999998,36.92,0.3500000000000014
37.28,0.3500000000000014,0.0500000000000042,37.23,0.3099999999999951
37.6,0.3200000000000003,0.0300000000000011,37.57,0.3400000000000034
37.91,0.3099999999999951,0.0399999999999991,37.87,0.2999999999999971
38.24,0.3300000000000054,0.0500000000000042,38.19,0.3200000000000003
38.55,0.3099999999999951,0.0399999999999991,38.51,0.3200000000000003
38.86,0.3100000000000023,0.0300000000000011,38.83,0.3200000000000003
39.18,0.3200000000000003,,,
39.51,0.3299999999999983,0.0300000000000011,39.48,
